Краткое наименование ценной бумаги;Краткое наименование эмитента ценной бумаги;Тип ценной бумаги;Гос. рег. номер ценной бумаги (при отсутствии - код ISIN);ИНН эмитента ценной бумаги;Торговый код ценной бумаги
BCS 7/21;BROKER CREDIT SERVICE STRUCTURED PRODUCTS;об;XS1838071964;;XS1838071964
iСЛТ 1Р1;"АО ""СофтЛайн Трейд""";об;4B02-01-45848-H-001P;7736227885;RU000A0ZYLD2
RUS-28;Минфин России;об;MK-0-CM-119;7710168360;XS0088543193
VEB-20;VEB Finance;об;XS0524610812;;XS0524610812
Veb-23;VEB Finance;об;XS0993162683;;XS0993162683
АльфаБО-05;АО «АЛЬФА-БАНК»;об;4B020501326B;7728168971;RU000A0JUB02
АПРИФП БО1;"ООО АПРИ ""Флай Плэнинг""";об;4B02-01-00364-R;7451343204;RU000A0ZZ2V1
БалтЛизБП1;"ООО ""Балтийский лизинг""";об;4B02-01-36442-R-001P;7826705374;RU000A0JXT17
БинбанкБ02;ПАО «БИНБАНК»;об;4B020202562B;5408117935;RU000A0JU0N7
БинбанкБ03;ПАО «БИНБАНК»;об;4B020302562B;5408117935;RU000A0JRZ74
БинбанкБП3;"ПАО ""БИНБАНК""";об;4B020300323B001P;5408117935;RU000A0JXTN0
БСК 1P1;"АО ""БСК""";об;4B02-01-01068-K-001P;268008010;RU000A0ZYR18
Волгогр 07;Администрация г. Волгограда;об;RU34007VGG1;3444059139;RU000A0JUWU5
ВТБ Б-1-1;Банк ВТБ (ПАО);об;4B020101000B001P;7702070139;RU000A0ZYG78
ВТБ Б-1-2;Банк ВТБ (ПАО);об;4B020201000B001P;7702070139;RU000A0ZYKF9
ВЭБ ПБО1Р7;Внешэкономбанк ;об;4B02-07-00004-T-001P;7750004150;RU000A0JXRP9
ВЭБ ПБО1Р9;Внешэкономбанк ;об;4B02-09-00004-T-001P;7750004150;RU000A0JXU71
Газпнф1P3R;ПАО «Газпром нефть»;об;4B02-03-00146-A-001P;5504036333;RU000A0ZYDS7
ГазпромКБ5;"ООО ""Газпром капитал""";об;4B02-05-36400-R;7726588547;RU000A0JXFS8
ГПБ БО-17;Банк ГПБ (АО);об;4B021700354B;7744001497;RU000A0ZYEE5
ГТЛК 1P-03;ПАО «ГТЛК»;об;4B02-03-32432-H-001P;7720261827;RU000A0JXE06
ГТЛК 1P-04;ПАО «ГТЛК»;об;4B02-04-32432-H-001P;7720261827;RU000A0JXPG2
ГТЛК 1P-07;ПАО «ГТЛК»;об;4B02-07-32432-H-001P;7720261827;RU000A0ZYNY4
ДетМир Б-4;"ПАО ""Детский мир""";об;4B02-04-00844-A;7729355029;RU000A0JXMZ9
Калаш БП1;"АО ""Концерн ""Калашников""";об;4B02-01-57320-D-001P;1832090230;RU000A0JXPU3
Карелия 18;Министерство финансов Республики Карелия;об;RU35018KAR0;1001040590;RU000A0ZYCZ4
КаркадеБ03;"ООО ""Каркаде""";об;4B02-03-36324-R;3905019765;RU000A0JXTH2
КраснодКр1;Минфин КК;об;RU35001KND0;2308040000;RU000A0JXYS9
КТЖФинанс1;"ООО ""КТЖ Финанс""";об;4-01-00332-R;7704391000;RU000A0JXS34
КЧР 2017;Правительство КЧР;об;RU35001KRC0;901006128;RU000A0ZYL22
ЛЕГЕНДА1P1;"ООО ""ЛЕГЕНДА""";об;4B02-01-00368-R-001P;7840438730;RU000A0ZZCV0
Лента 3 об;"ООО ""Лента""";об;4-03-36420-R;7814148471;RU000A0JTQB9
ЛСР БО 1Р2;ПАО «Группа ЛСР»;об;4B02-02-55234-E-001P;7838360491;RU000A0JXPM0
МегафнБ1P3;ПАО «МегаФон»;об;4B02-03-00822-J-001P;7812014560;RU000A0ZYC98
Мечел 13об;"ПАО ""Мечел""";об;4-13-55005-E;7703370008;RU000A0JR0K8
Мечел 14об;"ПАО ""Мечел""";об;4-14-55005-E;7703370008;RU000A0JR0J0
Мечел 18об;"ПАО ""Мечел""";об;4-18-55005-E;7703370008;RU000A0JRJT0
Мечел 19об;"ПАО ""Мечел""";об;4-19-55005-E;7703370008;RU000A0JRJY0
МКБ БО-07;"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК""";об;4B020701978B;7734202860;RU000A0JU8W1
Мордовия01;Министерство финансов Республики Мордовия;об;RU34001MOR0;1300050318;RU000A0JU8Q3
Мордовия02;Министерство финансов Республики Мордовия;об;RU34002MOR0;1300050318;RU000A0JVV49
МТС 001P-4;"ПАО ""МТС""";об;4B02-04-04715-A-001P;7740000076;RU000A0ZYJ83
МТС 1P-06;"ПАО ""МТС""";об;4B02-06-04715-A-001P;7740000076;RU000A0ZYWY5
МясничБОП1;"ООО ТД ""Мясничий""";об;4B02-01-00317-R-001P;2462232112;RU000A0ZZAE0
ОбувьрусБ1;"ООО ""Обувьрус""";об;4B02-01-16005-R;5407038230;RU000A0JXVY3
ОФЗ 24019;Минфин России;об;24019RMFS;7710168360;SU24019RMFS0
ОФЗ 25083;Минфин России;об;25083RMFS;7710168360;SU25083RMFS5
ОФЗ 26205;Минфин России;об;26205RMFS;7710168360;SU26205RMFS3
ОФЗ 26207;Минфин России;об;26207RMFS;7710168360;SU26207RMFS9
ОФЗ 26208;Минфин России;об;26208RMFS;7710168360;SU26208RMFS7
ОФЗ 26209;Минфин России;об;26209RMFS;7710168360;SU26209RMFS5
ОФЗ 26210;Минфин России;об;26210RMFS;7710168360;SU26210RMFS3
ОФЗ 26211;Минфин России;об;26211RMFS;7710168360;SU26211RMFS1
ОФЗ 26212;Минфин России;об;26212RMFS;7710168360;SU26212RMFS9
ОФЗ 26214;Минфин России;об;26214RMFS;7710168360;SU26214RMFS5
ОФЗ 26215;Минфин России;об;26215RMFS;7710168360;SU26215RMFS2
ОФЗ 26216;Минфин России;об;26216RMFS;7710168360;SU26216RMFS0
ОФЗ 26217;Минфин России;об;26217RMFS;7710168360;SU26217RMFS8
ОФЗ 26218;Минфин России;об;26218RMFS;7710168360;SU26218RMFS6
ОФЗ 26219;Минфин России;об;26219RMFS;7710168360;SU26219RMFS4
ОФЗ 26220;Минфин России;об;26220RMFS;7710168360;SU26220RMFS2
ОФЗ 26221;Минфин России;об;26221RMFS;7710168360;SU26221RMFS0
ОФЗ 26222;Минфин России;об;26222RMFS;7710168360;SU26222RMFS8
ОФЗ 26223;Минфин России;об;26223RMFS;7710168360;SU26223RMFS6
ОФЗ 26224;Минфин России;об;26224RMFS;7710168360;SU26224RMFS4
ОФЗ 26225;Минфин России;об;26225RMFS;7710168360;SU26225RMFS1
ОФЗ 29006;Минфин России;об;29006RMFS;7710168360;SU29006RMFS2
ОФЗ 29007;Минфин России;об;29007RMFS;7710168360;SU29007RMFS0
ОФЗ 29008;Минфин России;об;29008RMFS;7710168360;SU29008RMFS8
ОФЗ 29009;Минфин России;об;29009RMFS;7710168360;SU29009RMFS6
ОФЗ 29010;Минфин России;об;29010RMFS;7710168360;SU29010RMFS4
ОФЗ 29011;Минфин России;об;29011RMFS;7710168360;SU29011RMFS2
ОФЗ 29012;Минфин России;об;29012RMFS;7710168360;SU29012RMFS0
ОФЗ 46018;Минфин России;об;46018RMFS;7710168360;SU46018RMFS6
ОФЗ 46020;Минфин России;об;46020RMFS;7710168360;SU46020RMFS2
ОФЗ 46022;Минфин России;об;46022RMFS;7710168360;SU46022RMFS8
