Краткое наименование ценной бумаги;Краткое наименование эмитента ценной бумаги;Тип ценной бумаги;Гос. рег. номер ценной бумаги (при отсутствии - код ISIN);ИНН эмитента ценной бумаги;Торговый код ценной бумаги
#ИМЯ?;"ПАО ""Мосэнерго""";aо;1-01-00085-A;7705035012;MSNG        
AGRO-гдр;BNY Mellon;др;US7496552057;;AGRO        
ENPL-гдр;Citibank N.A.;др;US29355E2081;;ENPL        
FIVE-гдр;BNY Mellon;др;US98387E2054;;FIVE        
GTL ао;"ОАО ""GTL""";aо;1-03-22061-H;7706211944;GTLC        
iQIWI;BNY Mellon;др;US74735M1080;;QIWI        
iАвиастКао;ПАО «ОАК»;aо;1-02-55306-E;7708619320;UNAC        
Polymetal;Polymetal International;aо;JE00B6T5S470;;POLY        
RUSAL plc;UNITED COMPANY RUSAL;aо;JE00B5BCW814;;RUAL        
Yandex clA;ЯНДЕКС Н.В.;aо;NL0009805522;;YNDX        
АВТОВАЗ ао;"ПАО ""АВТОВАЗ""";aо;1-07-00002-A;6320002223;AVAZ        
АВТОВАЗ ап;"ПАО ""АВТОВАЗ""";ап;2-04-00002-A;6320002223;AVAZP       
Акрон;"ПАО ""Акрон""";aо;1-03-00207-A;5321029508;AKRN        
АЛРОСА ао;"АК ""АЛРОСА"" (ПАО)";aо;1-03-40046-N;1433000147;ALRS        
Аптеки36и6;ПАО «Аптечная сеть 36,6»;aо;1-01-07335-A;7722266450;APTK        
АСКО ао;"ПАО ""АСКО-СТРАХОВАНИЕ""";aо;1-01-52065-Z;7453297458;ACKO        
АшинскийМЗ;"ПАО ""Ашинский метзавод""";aо;1-03-45219-D;7401000473;AMEZ        
Аэрофлот;"ПАО ""Аэрофлот-российские авиалинии""";aо;1-01-00010-A;7712040126;AFLT        
Башнефт ао;"ПАО АНК ""Башнефть""";aо;1-01-00013-A;274051582;BANE        
Башнефт ап;"ПАО АНК ""Башнефть""";ап;2-01-00013-A;274051582;BANEP       
БСП ао;ПАО «Банк «Санкт-Петербург»;aо;10300436B;7831000027;BSPB        
БУДУЩЕЕ ао;"ПАО ""ФГ БУДУЩЕЕ""";aо;1-01-50531-A;9710010585;FTRE        
Возрожд-п;Банк «Возрождение» (ПАО);ап;20201439B;5000001042;VZRZP       
ВСМПО-АВСМ;"ПАО ""Корпорация ВСМПО-АВИСМА""";aо;1-01-30202-D;6607000556;VSMO        
ВТБ ао;Банк ВТБ (ПАО);aо;10401000B;7702070139;VTBR        
Газпрнефть;ПАО «Газпром нефть»;aо;1-01-00146-A;5504036333;SIBN        
ГАЗПРОМ ао;"ПАО ""Газпром""";aо;1-02-00028-A;7736050003;GAZP        
ГИТ ао;"ПАО ""ГИТ""";aо;1-01-05280-D;7804493447;GRNT        
ГМКНорНик;"ПАО ""ГМК ""Норильский никель""";aо;1-01-40155-F;8401005730;GMKN        
ДагСб ао;ПАО «Дагестанская энергосбытовая компания»;aо;1-01-55094-E;541031172;DASB        
ДетскийМир;"ПАО ""Детский мир""";aо;1-02-00844-A;7729355029;DSKY        
ДЭК ао;ПАО «ДЭК»;aо;1-01-55275-E;2723088770;DVEC        
ЕвроЭлтех;"ПАО ""Европейская Электротехника""";aо;1-01-83993-H;7716814300;EELT        
ЕТС ао;"ПАО ""ЕТС""";aо;1-01-05281-D;7816546936;UTSY        
