history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQTF;2018-10-01;FXDE ETF;FXDE;113;1847669;2252;2211.5;2252;2215.5;2226;2216;830;2226;2226;2215.5;1847669;1847669;1847669;2846369.79
TQTF;2018-10-02;FXDE ETF;FXDE;136;2803300.5;2253;2179;2253;2200.5;2192;2200.5;1279;2192;2192;2200.5;2803300.5;2803300.5;2803300.5;2846369.79
TQTF;2018-10-03;FXDE ETF;FXDE;82;1866318.5;2208;2207;2234;2221;2224.5;2222;839;2224.5;2224.5;2221;1866318.5;1866318.5;1866318.5;2846369.79
TQTF;2018-10-04;FXDE ETF;FXDE;112;1538283.5;2222.5;2199.5;2242.5;2234.5;2219.5;2235.5;693;2219.5;2219.5;2234.5;1538283.5;1538283.5;1538283.5;2846369.79
TQTF;2018-10-05;FXDE ETF;FXDE;121;3283632;2237;2199;2237;2199;2208;2199;1487;2208;2208;2199;3283632;3283632;3283632;2846369.79
TQTF;2018-10-08;FXDE ETF;FXDE;128;2197414;2238;2160.5;2238;2162.5;2184.5;2162.5;1006;2184.5;2184.5;2162.5;2197414;2197414;2197414;2846369.79
TQTF;2018-10-09;FXDE ETF;FXDE;118;1635572;2187;2140;2187.5;2164.5;2152;2164.5;760;2152;2152;2164.5;1635572;1635572;1635572;2846369.79
TQTF;2018-10-10;FXDE ETF;FXDE;109;2029741.5;2188;2125;2188;2127.5;2141;2127.5;948;2141;2141;2127.5;2029741.5;2029741.5;2029741.5;2846369.79
TQTF;2018-10-11;FXDE ETF;FXDE;159;2337336.5;2085;2079;2149;2095;2105.5;2093.5;1110;2105.5;2105.5;2095;2337336.5;2337336.5;2337336.5;2846369.79
TQTF;2018-10-12;FXDE ETF;FXDE;133;2386316;2135;2023;2135;2085.5;2095;2085.5;1139;2095;2095;2085.5;2386316;2386316;2386316;2846369.79
