history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQTF;2018-10-16;FXKZ ETF;FXKZ;65;1018309.8;177.9;177.8;180.12;179.58;179.6;179.58;5670;179.6;179.6;179.58;1018309.8;1018309.8;1018309.8;
TQTF;2018-10-17;FXKZ ETF;FXKZ;105;990247.68;182.7;180;183.98;183.98;182.58;183.98;5424;182.56;182.56;183.98;990247.68;990247.68;990247.68;
TQTF;2018-10-18;FXKZ ETF;FXKZ;76;483752.44;183.7;182.7;184.16;183.52;183.46;183.52;2637;;183.46;183.52;0;501230.54;0;
TQTF;2018-10-19;FXKZ ETF;FXKZ;64;510474.78;182.74;181.14;183.9;183.46;183.16;183.44;2787;183.16;183.16;183.46;510474.78;510474.78;510474.78;
TQTF;2018-10-22;FXKZ ETF;FXKZ;63;49684.82;187.1;180;187.1;180.02;182;180.02;273;;183.24;180.02;0;504475.02;0;
TQTF;2018-10-23;FXKZ ETF;FXKZ;89;136288.94;183.72;182.14;183.72;183.06;182.94;183.06;745;;183.08;183.06;0;510247.76;0;
TQTF;2018-10-24;FXKZ ETF;FXKZ;115;514926.52;186.72;179;186.72;179.88;180.12;179.86;2859;180.1;180.1;179.88;514926.52;514926.52;514926.52;
TQTF;2018-10-25;FXKZ ETF;FXKZ;83;172682.88;179.7;178.96;182;180.84;179.32;182;963;;179.76;180.84;0;537298.42;0;
TQTF;2018-10-26;FXKZ ETF;FXKZ;77;258897.4;178.74;178.74;181.46;181.46;180.92;181.46;1431;;180.18;181.46;0;513335.42;0;
TQTF;2018-10-29;FXKZ ETF;FXKZ;80;112637.04;186.94;179.98;190.66;183;180.8;183;623;;180.46;183;0;504564.02;0;
TQTF;2018-10-30;FXKZ ETF;FXKZ;84;30142.12;180.96;180.06;181;180.44;180;181;167;;180.48;180.44;0;528616.22;0;
TQTF;2018-10-31;FXKZ ETF;FXKZ;92;118808.48;180;179;180.4;179.82;180.02;179;660;;180.66;179.82;0;508033.72;0;
TQTF;2018-11-01;FXKZ ETF;FXKZ;86;116126.46;179.44;179.28;180.36;180.18;180.04;180.02;645;;180.48;180.18;0;501185.82;0;347152.26
TQTF;2018-11-02;FXKZ ETF;FXKZ;156;724062.7;180.9;180.68;181.84;181.8;181.52;181.46;3989;181.52;181.52;181.8;724062.7;724062.7;724062.7;347152.26
TQTF;2018-11-06;FXKZ ETF;FXKZ;84;113993.6;183;180.12;183;180.88;181.24;180.88;629;;181.52;180.88;0;510983.64;0;347152.26
TQTF;2018-11-07;FXKZ ETF;FXKZ;131;358822.36;178.74;176.9;178.86;178.72;178.16;178.72;2014;;179.2;178.72;0;526639.5;0;347152.26
TQTF;2018-11-08;FXKZ ETF;FXKZ;103;221855.36;180;179.42;181.3;181.28;180.52;181.28;1229;;179.36;181.28;0;501471.04;0;347152.26
TQTF;2018-11-09;FXKZ ETF;FXKZ;153;252415.62;184.9;182.36;184.9;183.6;183.04;183.6;1379;;181.6;183.6;0;514108.22;0;347152.26
TQTF;2018-11-12;FXKZ ETF;FXKZ;103;275703.88;181.72;180.02;182.34;181.9;181.5;181.9;1519;;182.2;181.9;0;500165.92;0;347152.26
TQTF;2018-11-13;FXKZ ETF;FXKZ;94;223749.56;182.18;182.02;183.44;183.28;182.8;183.28;1224;;182.08;183.28;0;500004.22;0;347152.26
TQTF;2018-11-14;FXKZ ETF;FXKZ;73;265121.66;183.44;182.04;184.4;182.6;183.1;182.6;1448;;182.94;182.6;0;500150.92;0;347152.26
TQTF;2018-11-15;FXKZ ETF;FXKZ;131;116696.14;184.04;182.9;184.22;183.04;183.48;183;636;;183.14;183.04;0;513162.44;0;347152.26
TQTF;2018-11-16;FXKZ ETF;FXKZ;138;309310.38;186.66;183;186.66;183.92;183.8;183.92;1683;;183.5;183.92;0;522601.34;0;347152.26
TQTF;2018-11-19;FXKZ ETF;FXKZ;142;183217.26;187.58;184.22;187.58;184.76;184.88;184.5;991;;184.18;184.76;0;502243.48;0;347152.26
TQTF;2018-11-20;FXKZ ETF;FXKZ;133;464933.86;187.98;184.12;187.98;184.38;184.5;184.16;2520;;184.54;184.38;0;501379.8;0;347152.26
TQTF;2018-11-21;FXKZ ETF;FXKZ;135;175894.02;187;185.34;187;185.9;185.74;185.9;947;;184.88;185.9;0;507324.38;0;347152.26
TQTF;2018-11-22;FXKZ ETF;FXKZ;112;211869.04;184.14;183.42;184.2;183.86;183.76;183.98;1153;;184.58;183.86;0;517534.92;0;347152.26
TQTF;2018-11-23;FXKZ ETF;FXKZ;106;179474.28;183.06;183.06;186.4;185.2;185.8;184.06;966;;184.96;185.2;0;541376.7;0;347152.26
TQTF;2018-11-26;FXKZ ETF;FXKZ;125;87092.24;184.72;183.4;186.88;185.06;184.52;186.88;472;;184.72;185.06;0;512423.02;0;347152.26
TQTF;2018-11-27;FXKZ ETF;FXKZ;131;241662.92;185;183;185;183.96;183.92;183.96;1314;;184.68;183.96;0;501036.22;0;347152.26
TQTF;2018-11-28;FXKZ ETF;FXKZ;111;212363.54;183.88;183.42;185.12;185.02;184.5;184.82;1151;;184.2;185.02;0;500493.1;0;347152.26
TQTF;2018-11-29;FXKZ ETF;FXKZ;108;127769.74;188.5;183.5;188.5;183.7;184.12;183.7;694;;184.24;183.7;0;500035.82;0;347152.26
TQTF;2018-11-30;FXKZ ETF;FXKZ;112;284962.86;184.22;183.48;185.38;185.3;184.92;184.9;1541;;184.64;185.3;0;580685.32;0;347152.26
TQTF;2018-12-03;FXKZ ETF;FXKZ;164;320668.26;182.88;182.88;186.46;186.44;185.36;186.44;1730;;185.3;186.44;0;512886;0;290135.84
TQTF;2018-12-04;FXKZ ETF;FXKZ;134;96929.08;190.5;184;190.5;186.7;186.4;186.7;520;;185.56;186.7;0;519544.58;0;290135.84
TQTF;2018-12-05;FXKZ ETF;FXKZ;160;197648.12;186.88;186.88;187.88;187.68;187.52;187.68;1054;;186.38;187.68;0;508091.94;0;290135.84
TQTF;2018-12-06;FXKZ ETF;FXKZ;127;170063.18;186.28;186.28;187.96;187.22;187.3;187.38;908;;187.08;187.22;0;504176.24;0;290135.84
TQTF;2018-12-07;FXKZ ETF;FXKZ;108;130467.14;190.5;185.16;192.3;186.16;186.12;188;701;;187.06;186.16;0;508260.24;0;290135.84
TQTF;2018-12-10;FXKZ ETF;FXKZ;142;510211.54;186.98;183.16;197.92;184.22;185;184.12;2758;185;185;184.22;510211.54;510211.54;510211.54;290135.84
TQTF;2018-12-11;FXKZ ETF;FXKZ;135;282791.24;186.88;182.88;186.88;183.06;183.4;183.14;1542;;183.82;183.06;0;600916.6;0;290135.84
TQTF;2018-12-12;FXKZ ETF;FXKZ;192;316340.82;183.2;182.32;184.72;183.24;183.4;182.32;1725;;183.32;183.24;0;504494.88;0;290135.84
TQTF;2018-12-13;FXKZ ETF;FXKZ;222;241057.94;184.98;184.72;185.7;185.3;185;185.34;1301;;184.26;185.3;0;517198.82;0;290135.84
TQTF;2018-12-14;FXKZ ETF;FXKZ;293;1723257.66;186.2;185.18;187.48;186.92;186.42;186.98;9244;186.42;186.42;186.92;1723257.66;1723257.66;1723257.66;290135.84
TQTF;2018-12-17;FXKZ ETF;FXKZ;296;1069828.86;190.84;184.74;190.84;186.32;185.9;186.52;5755;185.9;185.9;186.32;1069828.86;1069828.86;1069828.86;290135.84
TQTF;2018-12-18;FXKZ ETF;FXKZ;199;1178993.1;185.3;183.64;185.86;185.02;184.3;185.02;6397;184.3;184.3;185.02;1178993.1;1178993.1;1178993.1;290135.84
TQTF;2018-12-19;FXKZ ETF;FXKZ;243;1018959.52;184.52;184.02;190.84;189.84;186.9;190.84;5452;186.9;186.9;189.84;1018959.52;1018959.52;1018959.52;290135.84
TQTF;2018-12-20;FXKZ ETF;FXKZ;255;1023224.36;189.42;187.66;189.88;187.9;188.4;189.68;5431;188.4;188.4;187.9;1023224.36;1023224.36;1023224.36;290135.84
TQTF;2018-12-21;FXKZ ETF;FXKZ;233;7646641.88;189.66;188.64;189.66;189.6;189.02;189.64;40454;189.02;189.02;189.6;7646641.88;7646641.88;7646641.88;290135.84


