,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQTF,2018-10-01,FXRL ETF,FXRL,242,4369499.0,2352.0,2315.0,2387.0,2327.5,2333.0,2330.0,1873,2333.0,2333.0,2327.5,4369499.0,4369499.0,4369499.0,4555409.65
1,TQTF,2018-10-02,FXRL ETF,FXRL,192,7733929.5,2389.5,2300.5,2389.5,2303.0,2317.5,2304.0,3337,2317.5,2317.5,2303.0,7757241.23,7757241.23,7757241.23,4555409.65
2,TQTF,2018-10-03,FXRL ETF,FXRL,152,3801794.0,2352.0,2303.0,2352.0,2345.0,2336.5,2344.0,1627,2336.5,2336.5,2345.0,3801794.0,3801794.0,3801794.0,4555409.65
3,TQTF,2018-10-04,FXRL ETF,FXRL,118,3717851.5,2384.5,2311.5,2384.5,2318.0,2333.5,2318.0,1593,2333.5,2333.5,2318.0,3738536.73,3738536.73,3738536.73,4555409.65
4,TQTF,2018-10-05,FXRL ETF,FXRL,108,3812243.0,2317.5,2293.5,2352.0,2309.5,2310.5,2309.5,1650,2310.5,2310.5,2309.5,3814522.0,3814522.0,3814522.0,4555409.65
5,TQTF,2018-10-08,FXRL ETF,FXRL,137,1941014.5,2368.0,2296.5,2368.0,2318.5,2313.5,2318.0,839,2313.5,2313.5,2318.5,1941014.5,1941014.5,1941014.5,4555409.65
6,TQTF,2018-10-09,FXRL ETF,FXRL,141,4380029.0,2318.0,2309.0,2336.0,2310.0,2322.5,2309.0,1886,2322.5,2322.5,2310.0,4382382.94,4382382.94,4382382.94,4555409.65
7,TQTF,2018-10-10,FXRL ETF,FXRL,124,1902430.0,2349.5,2274.0,2350.0,2281.0,2297.5,2283.5,828,2297.5,2297.5,2281.0,1904715.6,1904715.6,1904715.6,4555409.65
8,TQTF,2018-10-11,FXRL ETF,FXRL,196,3997406.0,2318.5,2179.0,2318.5,2240.5,2235.5,2240.0,1788,2235.5,2235.5,2240.5,4790207.93,4790207.93,4790207.93,4555409.65
9,TQTF,2018-10-12,FXRL ETF,FXRL,151,2609357.5,2240.0,2239.5,2319.5,2275.5,2269.0,2275.5,1150,2269.0,2269.0,2275.5,2623074.61,2623074.61,2623074.61,4555409.65
10,TQTF,2018-10-15,FXRL ETF,FXRL,149,6128548.5,2282.0,2246.5,2289.0,2265.5,2261.5,2266.5,2710,2261.5,2261.5,2265.5,6135366.37,6135366.37,6135366.37,4555409.65
11,TQTF,2018-10-16,FXRL ETF,FXRL,75,1163676.5,2245.0,2245.0,2287.5,2284.5,2264.0,2284.5,514,2264.0,2264.0,2284.5,1163676.5,1163676.5,1163676.5,4555409.65
12,TQTF,2018-10-17,FXRL ETF,FXRL,109,2814131.0,2268.0,2268.0,2303.5,2284.5,2292.0,2284.5,1228,2292.0,2292.0,2284.5,2890055.95,2890055.95,2890055.95,4555409.65
13,TQTF,2018-10-18,FXRL ETF,FXRL,102,2375905.5,2318.5,2245.5,2318.5,2252.5,2269.0,2252.5,1047,2269.0,2269.0,2252.5,2384890.52,2384890.52,2384890.52,4555409.65
14,TQTF,2018-10-19,FXRL ETF,FXRL,136,2839039.5,2249.0,2215.0,2283.0,2232.5,2235.5,2267.0,1270,2235.5,2235.5,2232.5,2841285.28,2841285.28,2841285.28,4555409.65
15,TQTF,2018-10-22,FXRL ETF,FXRL,177,2786429.0,2288.5,2180.5,2288.5,2184.0,2213.0,2182.5,1259,2213.0,2213.0,2184.0,2786429.0,2786429.0,2786429.0,4555409.65
16,TQTF,2018-10-23,FXRL ETF,FXRL,110,2107116.5,2181.5,2164.0,2193.5,2189.0,2179.0,2187.0,967,2179.0,2179.0,2189.0,2107116.5,2107116.5,2107116.5,4555409.65
