history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;ГМКНорНик;GMKN;12309;1792551390;11430;11251;11529;11307;11418;11307;157040;11415;11415;11307;1792551390;1792551390;1792551390;
TQBR;2018-10-02;ГМКНорНик;GMKN;9368;1404396558;11339;11156;11393;11229;11251;11229;124820;11251;11251;11229;1404396558;1404396558;1404396558;
TQBR;2018-10-03;ГМКНорНик;GMKN;12192;1918928975;11201;11201;11506;11365;11404;11365;168263;11404;11404;11365;1918928975;1918928975;1918928975;
TQBR;2018-10-04;ГМКНорНик;GMKN;7628;1141095942;11410;11307;11444;11416;11385;11416;100227;11385;11385;11416;1141095942;1141095942;1141095942;
TQBR;2018-10-05;ГМКНорНик;GMKN;6750;1006814392;11409;11247;11410;11292;11312;11292;89003;11312;11312;11292;1006814392;1006814392;1006814392;
TQBR;2018-10-08;ГМКНорНик;GMKN;5452;888004999;11328;11290;11399;11321;11332;11321;78365;11332;11332;11321;888004999;888004999;888004999;
TQBR;2018-10-09;ГМКНорНик;GMKN;6570;1027785749;11342;11326;11509;11403;11429;11403;89928;11429;11429;11403;1027785749;1027785749;1027785749;
TQBR;2018-10-10;ГМКНорНик;GMKN;13054;2107092717;11420;11351;11650;11376;11475;11376;183574;11478;11478;11376;2107092717;2107092717;2107092717;
TQBR;2018-10-11;ГМКНорНик;GMKN;12470;2023888288;11220;11114;11285;11253;11208;11253;180587;11207;11207;11253;2023888288;2023888288;2023888288;
TQBR;2018-10-12;ГМКНорНик;GMKN;9479;1690251174;11290;11143;11326;11170;11237;11170;150419;11237;11237;11170;1690251174;1690251174;1690251174;
TQBR;2018-10-15;ГМКНорНик;GMKN;10896;1882301369;11150;11011;11176;11088;11098;11088;169603;11098;11098;11088;1882301369;1882301369;1882301369;
TQBR;2018-10-16;ГМКНорНик;GMKN;9581;1515722148;11099;11055;11264;11264;11177;11264;135591;11179;11179;11264;1515722148;1515722148;1515722148;
TQBR;2018-10-17;ГМКНорНик;GMKN;9548;1262902944;11266;11254;11470;11430;11389;11430;110894;11388;11388;11430;1262902944;1262902944;1262902944;
TQBR;2018-10-18;ГМКНорНик;GMKN;7505;1217944022;11423;11257;11423;11360;11332;11360;107482;11332;11332;11360;1217944022;1217944022;1217944022;
TQBR;2018-10-19;ГМКНорНик;GMKN;9234;1604914652;11367;11285;11486;11378;11389;11378;140920;11389;11389;11378;1604914652;1604914652;1604914652;
TQBR;2018-10-22;ГМКНорНик;GMKN;9460;1564796835;11400;11280;11580;11291;11430;11291;136901;11430;11430;11291;1564796835;1564796835;1564796835;
TQBR;2018-10-23;ГМКНорНик;GMKN;10160;1448369275;11275;11061;11289;11061;11172;11061;129644;11172;11172;11061;1448369275;1448369275;1448369275;
TQBR;2018-10-24;ГМКНорНик;GMKN;10818;1879226967;11111;11025;11230;11025;11137;11025;168742;11137;11137;11025;1879226967;1879226967;1879226967;
TQBR;2018-10-25;ГМКНорНик;GMKN;15134;2093031385;10998;10870;11075;10902;10943;10902;191301;10941;10941;10902;2093031385;2093031385;2093031385;
TQBR;2018-10-26;ГМКНорНик;GMKN;13521;2173137228;10871;10570;10914;10650;10721;10650;203007;10705;10705;10650;2173137228;2173137228;2173137228;
TQBR;2018-10-29;ГМКНорНик;GMKN;8459;1044306243;10639;10555;10770;10679;10675;10679;97835;10674;10674;10679;1044306243;1044306243;1044306243;
TQBR;2018-10-30;ГМКНорНик;GMKN;7655;1176706702;10657;10611;10767;10702;10682;10702;110161;10682;10682;10702;1176706702;1176706702;1176706702;
TQBR;2018-10-31;ГМКНорНик;GMKN;11273;1684252988;10749;10740;11000;11000;10920;11000;154248;10919;10919;11000;1684252988;1684252988;1684252988;
TQBR;2018-11-01;ГМКНорНик;GMKN;11901;2086847607;10950;10910;11250;11250;11054;11250;188803;11053;11053;11250;2086847607;2086847607;2086847607;
