history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;ГТМ ао;GTRK;1;3285;109.5;109.5;109.5;109.5;109.5;109.5;30;108;108;109.5;1305150;641285;1305150;
TQBR;2018-10-02;ГТМ ао;GTRK;1;276275;107.5;107.5;107.5;107.5;107.5;107.5;2570;108;107.5;107.5;1570625;539810;1570625;
TQBR;2018-10-03;ГТМ ао;GTRK;3;324365;106.5;106;106.5;106;106;106;3060;107.5;106.5;106;1890670;611550;1890670;
TQBR;2018-10-04;ГТМ ао;GTRK;2;4230;106.5;105.5;106.5;105.5;106;105.5;40;106.5;106.5;105.5;613630;612535;613630;
TQBR;2018-10-05;ГТМ ао;GTRK;1;5325;106.5;106.5;106.5;106.5;106.5;106.5;50;107.5;106.5;106.5;1789730;615670;1789730;
TQBR;2018-10-08;ГТМ ао;GTRK;0;0;;;;106.5;;;0;107;106.5;106.5;873730;615670;873730;
TQBR;2018-10-09;ГТМ ао;GTRK;1;1065;106.5;106.5;106.5;106.5;106.5;106.5;10;107;106.5;106.5;866195;615640;866195;
TQBR;2018-10-10;ГТМ ао;GTRK;2;4220;105.5;105.5;105.5;105.5;105.5;105.5;40;106.5;106.5;105.5;624240;615480;624240;
TQBR;2018-10-11;ГТМ ао;GTRK;0;0;;;;105.5;;;0;106.5;106.5;105.5;624240;615480;624240;
TQBR;2018-10-12;ГТМ ао;GTRK;0;0;;;;105.5;;;0;106.5;106.5;105.5;618765;615480;618765;
TQBR;2018-10-15;ГТМ ао;GTRK;1;1055;105.5;105.5;105.5;105.5;105.5;105.5;10;106.5;106.5;105.5;616535;616535;616535;
TQBR;2018-10-16;ГТМ ао;GTRK;1;2120;106;106;106;106;106;106;20;;106.5;106;0;618655;0;
TQBR;2018-10-17;ГТМ ао;GTRK;2;4240;106;106;106;106;106;106;40;;106.5;106;0;622895;0;
TQBR;2018-10-18;ГТМ ао;GTRK;1;1045;104.5;104.5;104.5;104.5;104.5;104.5;10;;106.5;104.5;0;623940;0;
TQBR;2018-10-19;ГТМ ао;GTRK;2;3180;106;106;106;106;106;106;30;;106.5;106;0;627120;0;
TQBR;2018-10-22;ГТМ ао;GTRK;4;16960;106;106;106;106;106;106;160;;106.5;106;0;644080;0;
TQBR;2018-10-23;ГТМ ао;GTRK;6;731435;104.5;103;104.5;104;103.5;104;7050;104;104;104;748395;748395;748395;
TQBR;2018-10-24;ГТМ ао;GTRK;0;0;;;;104;;;0;104;104;104;748395;748395;748395;
TQBR;2018-10-25;ГТМ ао;GTRK;0;0;;;;104;;;0;104;104;104;751575;748395;751575;
TQBR;2018-10-26;ГТМ ао;GTRK;1;1040;104;104;104;104;104;104;10;104;104;104;749435;748375;749435;
TQBR;2018-10-29;ГТМ ао;GTRK;0;0;;;;104;;;0;104;104;104;760020;748375;760020;
TQBR;2018-10-30;ГТМ ао;GTRK;0;0;;;;104;;;0;104;104;104;757900;748375;757900;
TQBR;2018-10-31;ГТМ ао;GTRK;2;19760;104;104;104;104;104;104;190;104;104;104;773420;756475;773420;
TQBR;2018-11-01;ГТМ ао;GTRK;3;30605;102.5;102;102.5;102;102;102;300;103.5;103.5;102;802980;781795;802980;
TQBR;2018-11-02;ГТМ ао;GTRK;1;2040;102;102;102;102;102;102;20;103.5;103.5;102;801840;783835;801840;
TQBR;2018-11-06;ГТМ ао;GTRK;1;1040;104;104;104;104;104;104;10;103.5;103.5;104;785920;784875;785920;
TQBR;2018-11-07;ГТМ ао;GTRK;6;817260;102;102;102.5;102.5;102.5;102.5;7990;102.5;102.5;102.5;870705;849920;870705;
TQBR;2018-11-08;ГТМ ао;GTRK;0;0;;;;102.5;;;0;102.5;102.5;102.5;850945;849920;850945;
TQBR;2018-11-09;ГТМ ао;GTRK;1;3105;103.5;103.5;103.5;103.5;103.5;103.5;30;102.5;102.5;103.5;874850;843845;874850;
TQBR;2018-11-12;ГТМ ао;GTRK;0;0;;;;103.5;;;0;102.5;102.5;103.5;873810;843845;873810;
TQBR;2018-11-13;ГТМ ао;GTRK;2;233620;104;102;104;102;102;102;2290;102.5;102;102;1107430;1055025;1107430;
TQBR;2018-11-14;ГТМ ао;GTRK;0;0;;;;102;;;0;102.5;102;102;1107430;1055025;1107430;
TQBR;2018-11-15;ГТМ ао;GTRK;0;0;;;;102;;;0;102;102;102;1087670;1055025;1087670;
TQBR;2018-11-16;ГТМ ао;GTRK;0;0;;;;102;;;0;102;102;102;1057065;1055025;1057065;
TQBR;2018-11-19;ГТМ ао;GTRK;2;5150;103;103;103;103;103;103;50;102;102;103;1060175;1056075;1060175;
TQBR;2018-11-20;ГТМ ао;GTRK;4;25260;101.5;101;101.5;101;101;101;250;102;102.5;101;1084395;625885;1084395;
TQBR;2018-11-21;ГТМ ао;GTRK;1;1015;101.5;101.5;101.5;101.5;101.5;101.5;10;;102.5;101.5;0;626900;0;
TQBR;2018-11-22;ГТМ ао;GTRK;1;3075;102.5;102.5;102.5;102.5;102.5;102.5;30;;102.5;102.5;0;629975;0;
TQBR;2018-11-23;ГТМ ао;GTRK;0;0;;;;102.5;;;0;;102.5;102.5;0;629975;0;
TQBR;2018-11-26;ГТМ ао;GTRK;2;2040;102;102;102;102;102;102;20;;102.5;102;0;632015;0;
TQBR;2018-11-27;ГТМ ао;GTRK;0;0;;;;102;;;0;;102.5;102;0;632015;0;
TQBR;2018-11-28;ГТМ ао;GTRK;15;1066885;102.5;95;103;100;100;100;10670;100;100;100;1066885;1066885;1066885;
TQBR;2018-11-29;ГТМ ао;GTRK;12;24930;100;98;100;100;99.5;100;250;;99.5;100;0;730190;0;
TQBR;2018-11-30;ГТМ ао;GTRK;4;441965;98;97;98.5;98.5;98;98.5;4520;;98.5;98.5;0;823135;0;
TQBR;2018-12-03;ГТМ ао;GTRK;24;1127165;97;90.5;97.5;95.5;96;95.5;11750;96;96;95.5;1127165;1127165;1127165;
TQBR;2018-12-04;ГТМ ао;GTRK;58;1622050;94;89.5;96;94.5;91.5;96;17690;91.5;91.5;94.5;1622050;1622050;1622050;
TQBR;2018-12-05;ГТМ ао;GTRK;29;96155;91.5;89.5;96;94;94.5;94;1020;;91.5;94;0;611535;0;
TQBR;2018-12-06;ГТМ ао;GTRK;31;275680;95;89.5;95;91.5;91;91.5;3030;;92;91.5;0;510690;0;
TQBR;2018-12-07;ГТМ ао;GTRK;16;37085;91.5;89;91.5;89;90.5;89;410;;92;89;0;511175;0;
TQBR;2018-12-10;ГТМ ао;GTRK;81;1286425;87.5;87.5;103;93;94;90;13650;94;94;93;1286425;1286425;1286425;
TQBR;2018-12-11;ГТМ ао;GTRK;45;202560;90;90;100;93.5;95;93.5;2130;;93;93.5;0;531930;0;
TQBR;2018-12-12;ГТМ ао;GTRK;25;105445;92;92;100;94;96.5;94;1090;;94;94;0;505815;0;
TQBR;2018-12-13;ГТМ ао;GTRK;22;76950;99.5;90;101;92.5;95;92.5;810;;94;92.5;0;531115;0;
TQBR;2018-12-14;ГТМ ао;GTRK;22;51695;90;90;100;95;97.5;95;530;;94.5;95;0;582810;0;
TQBR;2018-12-17;ГТМ ао;GTRK;36;147155;100;94.5;105;99;99.5;98;1480;;96.5;99;0;512535;0;
TQBR;2018-12-18;ГТМ ао;GTRK;25;66705;101;92;101;96;96.5;95.5;690;;97;96;0;507660;0;
TQBR;2018-12-19;ГТМ ао;GTRK;25;147550;98.5;92;99.5;92;93;92;1590;;96;92;0;507915;0;
TQBR;2018-12-20;ГТМ ао;GTRK;34;138080;98;91;98;92.5;92.5;92.5;1490;;95;92.5;0;500440;0;
TQBR;2018-12-21;ГТМ ао;GTRK;22;80810;95.5;90;96;93;93;93;870;;94;93;0;503210;0;


