,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,ЛУКОЙЛ,LKOH,19699,4761613361.0,5045.0,4980.0,5115.0,5016.0,5039.0,5016.0,944915,5039.0,5039.0,5016.0,4761613361.0,4761613361.0,4761613361.0,
1,TQBR,2018-10-02,ЛУКОЙЛ,LKOH,20007,4152006486.0,5033.0,4877.0,5037.5,4898.5,4926.0,4898.5,842901,4926.0,4926.0,4898.5,4152006486.0,4152006486.0,4152006486.0,
2,TQBR,2018-10-03,ЛУКОЙЛ,LKOH,23320,5134714849.0,4912.5,4905.0,5055.0,5035.0,4999.0,5035.0,1027078,4999.5,4999.5,5035.0,5134714849.0,5134714849.0,5134714849.0,
3,TQBR,2018-10-04,ЛУКОЙЛ,LKOH,15786,4017154692.0,5024.0,4956.0,5035.0,4990.0,4990.0,4990.0,804543,4993.0,4993.0,4990.0,4017154692.0,4017154692.0,4017154692.0,
4,TQBR,2018-10-05,ЛУКОЙЛ,LKOH,12187,2516859351.0,4989.0,4962.5,5043.5,4987.0,5002.5,4987.0,503118,5002.5,5002.5,4987.0,2516859351.0,2516859351.0,2516859351.0,
5,TQBR,2018-10-08,ЛУКОЙЛ,LKOH,10800,1897711360.0,4982.5,4941.5,5015.0,4966.0,4968.5,4966.0,381963,4968.5,4968.5,4966.0,1897711360.0,1897711360.0,1897711360.0,
6,TQBR,2018-10-09,ЛУКОЙЛ,LKOH,11064,2184691509.5,4981.5,4970.5,5031.0,4971.5,5001.5,4971.5,436837,5001.0,5001.0,4971.5,2184691509.5,2184691509.5,2184691509.5,
7,TQBR,2018-10-10,ЛУКОЙЛ,LKOH,10103,1951437926.5,4993.5,4901.5,4993.5,4901.5,4940.0,4901.5,395030,4940.0,4940.0,4901.5,1951437926.5,1951437926.5,1951437926.5,
8,TQBR,2018-10-11,ЛУКОЙЛ,LKOH,20758,4562950076.0,4840.0,4770.5,4883.0,4804.0,4817.0,4804.0,947246,4817.0,4817.0,4804.0,4562950076.0,4562950076.0,4562950076.0,
9,TQBR,2018-10-12,ЛУКОЙЛ,LKOH,11720,2316111813.5,4850.0,4806.0,4880.5,4806.0,4839.5,4806.0,478564,4839.5,4839.5,4806.0,2316111813.5,2316111813.5,2316111813.5,
10,TQBR,2018-10-15,ЛУКОЙЛ,LKOH,10460,2075637199.5,4837.0,4733.0,4837.0,4747.0,4762.0,4747.0,435853,4762.0,4762.0,4747.0,2075637199.5,2075637199.5,2075637199.5,
11,TQBR,2018-10-16,ЛУКОЙЛ,LKOH,11790,2229627777.5,4755.0,4721.5,4797.0,4795.0,4762.5,4795.0,468178,4762.5,4762.5,4795.0,2229627777.5,2229627777.5,2229627777.5,
12,TQBR,2018-10-17,ЛУКОЙЛ,LKOH,10583,1887904061.0,4820.0,4732.0,4832.5,4773.0,4778.0,4773.0,395161,4777.5,4777.5,4773.0,1887904061.0,1887904061.0,1887904061.0,
13,TQBR,2018-10-18,ЛУКОЙЛ,LKOH,11546,2157003247.5,4749.0,4682.0,4770.0,4694.5,4712.5,4694.5,457730,4712.5,4712.5,4694.5,2157003247.5,2157003247.5,2157003247.5,
14,TQBR,2018-10-19,ЛУКОЙЛ,LKOH,16136,3127018152.0,4709.5,4665.5,4750.0,4693.0,4718.0,4693.0,662876,4717.5,4717.5,4693.0,3127018152.0,3127018152.0,3127018152.0,
15,TQBR,2018-10-22,ЛУКОЙЛ,LKOH,10409,1795379282.0,4710.0,4635.5,4725.0,4673.5,4679.0,4673.5,383719,4679.0,4679.0,4673.5,1795379282.0,1795379282.0,1795379282.0,
16,TQBR,2018-10-23,ЛУКОЙЛ,LKOH,63017,13533749900.0,4691.0,4691.0,4896.0,4770.0,4819.0,4770.0,2808341,4819.0,4819.0,4770.0,13533749900.0,13533749900.0,13533749900.0,
17,TQBR,2018-10-24,ЛУКОЙЛ,LKOH,62482,32650209025.0,4825.0,4798.0,4995.0,4995.0,4937.0,4995.0,6612873,4937.5,4937.5,4995.0,32650209025.0,32650209025.0,32650209025.0,
18,TQBR,2018-10-25,ЛУКОЙЛ,LKOH,32330,8828278554.5,4940.0,4886.0,4968.0,4943.0,4931.0,4943.0,1790415,4931.0,4931.0,4943.0,8828278554.5,8828278554.5,8828278554.5,
19,TQBR,2018-10-26,ЛУКОЙЛ,LKOH,19666,5271926604.0,4921.0,4806.0,4924.5,4888.5,4855.0,4888.5,1085876,4855.0,4855.0,4888.5,5271926604.0,5271926604.0,5271926604.0,
20,TQBR,2018-10-29,ЛУКОЙЛ,LKOH,14759,3057029139.5,4885.0,4856.0,4926.5,4872.5,4892.0,4872.5,624901,4892.0,4892.0,4872.5,3057029139.5,3057029139.5,3057029139.5,
21,TQBR,2018-10-30,ЛУКОЙЛ,LKOH,17619,4022220633.5,4841.0,4726.0,4855.0,4778.5,4790.0,4778.5,840102,4788.0,4788.0,4778.5,4022220633.5,4022220633.5,4022220633.5,
22,TQBR,2018-10-31,ЛУКОЙЛ,LKOH,17419,3917884411.5,4800.5,4800.5,4946.0,4945.0,4903.0,4945.0,799085,4903.0,4903.0,4945.0,3917884411.5,3917884411.5,3917884411.5,
23,TQBR,2018-11-01,ЛУКОЙЛ,LKOH,17369,3426276294.5,4910.0,4861.5,5004.0,4937.0,4927.5,4937.0,695196,4928.5,4928.5,4937.0,3426276294.5,3426276294.5,3426276294.5,
24,TQBR,2018-11-02,ЛУКОЙЛ,LKOH,16206,4447935276.0,4948.0,4910.0,5004.5,4980.0,4964.5,4980.0,895847,4965.0,4965.0,4980.0,4447935276.0,4447935276.0,4447935276.0,
25,TQBR,2018-11-06,ЛУКОЙЛ,LKOH,19891,4590374522.0,5000.0,4976.0,5083.0,5055.0,5042.5,5055.0,910145,5043.5,5043.5,5055.0,4590374522.0,4590374522.0,4590374522.0,
26,TQBR,2018-11-07,ЛУКОЙЛ,LKOH,17771,3748074424.5,5054.5,5016.0,5174.5,5174.5,5116.0,5174.5,732623,5116.0,5116.0,5174.5,3748074424.5,3748074424.5,3748074424.5,
27,TQBR,2018-11-08,ЛУКОЙЛ,LKOH,14629,3038662080.0,5176.0,5130.0,5192.5,5160.0,5159.5,5160.0,588944,5159.5,5159.5,5160.0,3038662080.0,3038662080.0,3038662080.0,
28,TQBR,2018-11-09,ЛУКОЙЛ,LKOH,19577,4535913273.0,5136.0,4996.5,5147.5,5094.5,5061.5,5094.5,896172,5061.5,5061.5,5094.5,4535913273.0,4535913273.0,4535913273.0,
29,TQBR,2018-11-12,ЛУКОЙЛ,LKOH,15874,2684477367.5,5101.5,5101.5,5191.0,5129.0,5147.5,5129.0,521518,5147.5,5147.5,5129.0,2684477367.5,2684477367.5,2684477367.5,
30,TQBR,2018-11-13,ЛУКОЙЛ,LKOH,30909,6243901390.5,5119.0,4941.0,5126.5,4959.5,5009.5,4959.5,1246408,5009.5,5009.5,4959.5,6243901390.5,6243901390.5,6243901390.5,
31,TQBR,2018-11-14,ЛУКОЙЛ,LKOH,26048,4698594326.5,4923.0,4831.5,4933.0,4856.5,4871.5,4856.5,964537,4871.5,4871.5,4856.5,4698594326.5,4698594326.5,4698594326.5,
32,TQBR,2018-11-15,ЛУКОЙЛ,LKOH,16807,2768163886.5,4864.5,4835.0,4914.0,4854.0,4865.0,4854.0,569079,4864.5,4864.5,4854.0,2768163886.5,2768163886.5,2768163886.5,
33,TQBR,2018-11-16,ЛУКОЙЛ,LKOH,18263,3189919180.5,4860.5,4813.0,4915.0,4824.0,4863.0,4824.0,655941,4863.0,4863.0,4824.0,3189919180.5,3189919180.5,3189919180.5,
34,TQBR,2018-11-19,ЛУКОЙЛ,LKOH,14557,2897731288.5,4850.0,4820.0,4912.0,4845.5,4867.0,4845.5,595428,4866.5,4866.5,4845.5,2897731288.5,2897731288.5,2897731288.5,
35,TQBR,2018-11-20,ЛУКОЙЛ,LKOH,18714,2966224393.5,4820.0,4743.0,4830.0,4809.5,4781.5,4809.5,620325,4781.5,4781.5,4809.5,2966224393.5,2966224393.5,2966224393.5,
36,TQBR,2018-11-21,ЛУКОЙЛ,LKOH,19123,3036627680.0,4799.0,4766.0,4835.0,4800.0,4800.5,4800.0,632581,4800.5,4800.5,4800.0,3036627680.0,3036627680.0,3036627680.0,
37,TQBR,2018-11-22,ЛУКОЙЛ,LKOH,11314,2087245656.0,4791.5,4755.0,4819.0,4813.5,4791.0,4813.5,435668,4791.0,4791.0,4813.5,2087245656.0,2087245656.0,2087245656.0,
38,TQBR,2018-11-23,ЛУКОЙЛ,LKOH,25409,5598164640.0,4800.0,4624.5,4800.0,4670.0,4711.0,4670.0,1188339,4711.0,4711.0,4670.0,5598164640.0,5598164640.0,5598164640.0,
39,TQBR,2018-11-26,ЛУКОЙЛ,LKOH,26059,5374226387.5,4699.5,4555.0,4699.5,4623.0,4613.0,4623.0,1165029,4613.0,4613.0,4623.0,5374226387.5,5374226387.5,5374226387.5,
40,TQBR,2018-11-27,ЛУКОЙЛ,LKOH,18946,4838257787.5,4632.0,4609.0,4703.0,4689.0,4640.5,4689.0,1042648,4640.5,4640.5,4689.0,4838257787.5,4838257787.5,4838257787.5,
41,TQBR,2018-11-28,ЛУКОЙЛ,LKOH,21471,3666045612.5,4699.0,4655.5,4758.0,4717.5,4708.0,4717.5,778668,4708.0,4708.0,4717.5,3666045612.5,3666045612.5,3666045612.5,
42,TQBR,2018-11-29,ЛУКОЙЛ,LKOH,30118,6058757313.0,4729.0,4659.0,4796.0,4766.0,4741.0,4766.0,1277988,4741.0,4741.0,4766.0,6058757313.0,6058757313.0,6058757313.0,
