history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;ММК;MAGN;2847;158827537.5;52.03;51.115;52.36;51.115;51.65;51.115;3075000;51.65;51.65;51.115;158827537.5;158827537.5;158827537.5;
TQBR;2018-10-02;ММК;MAGN;4875;302524640.5;51.645;50.875;51.66;51.2;51.12;51.2;5918300;51.115;51.115;51.2;302524640.5;302524640.5;302524640.5;
TQBR;2018-10-03;ММК;MAGN;9681;592797346.5;51.2;51.2;53.75;53.485;52.635;53.485;11262600;52.635;52.635;53.485;592797346.5;592797346.5;592797346.5;
TQBR;2018-10-04;ММК;MAGN;6434;328601017.5;53.75;52.235;53.835;52.5;52.62;52.5;6244600;52.62;52.62;52.5;328601017.5;328601017.5;328601017.5;
TQBR;2018-10-05;ММК;MAGN;4105;362784950;52.5;51.8;52.585;51.8;52.095;51.8;6962600;52.105;52.105;51.8;362784950;362784950;362784950;
TQBR;2018-10-08;ММК;MAGN;4601;313423467.5;50.75;50.19;50.995;50.73;50.62;50.73;6191400;50.62;50.62;50.73;313423467.5;313423467.5;313423467.5;
TQBR;2018-10-09;ММК;MAGN;3273;234800438.5;50.795;49.525;50.965;49.7;50;49.7;4695200;50.01;50.01;49.7;234800438.5;234800438.5;234800438.5;
TQBR;2018-10-10;ММК;MAGN;8553;583583131;49.7;47.925;50.045;47.965;48.75;47.965;11969400;48.755;48.755;47.965;583583131;583583131;583583131;
TQBR;2018-10-11;ММК;MAGN;8756;577979241.5;47.005;46.52;48.35;48.16;47.475;48.16;12174100;47.475;47.475;48.16;577979241.5;577979241.5;577979241.5;
TQBR;2018-10-12;ММК;MAGN;5376;338500898.5;48.25;48.06;49.065;49.065;48.56;49.065;6970800;48.56;48.56;49.065;338500898.5;338500898.5;338500898.5;
TQBR;2018-10-15;ММК;MAGN;4514;229159743;49.205;47.755;49.205;47.935;48.2;47.935;4754500;48.2;48.2;47.935;229159743;229159743;229159743;
TQBR;2018-10-16;ММК;MAGN;5380;296046036;48.39;47.415;48.53;48.32;48.03;48.32;6163700;48.03;48.03;48.32;296046036;296046036;296046036;
TQBR;2018-10-17;ММК;MAGN;3712;220050055.5;48.495;48.215;48.955;48.215;48.57;48.215;4530500;48.57;48.57;48.215;220050055.5;220050055.5;220050055.5;
TQBR;2018-10-18;ММК;MAGN;5593;333704634;48.19;47.3;48.41;48;47.845;48;6975000;47.845;47.845;48;333704634;333704634;333704634;
TQBR;2018-10-19;ММК;MAGN;4751;444172031;48;47.775;48.465;47.955;48.04;47.955;9246100;48.04;48.04;47.955;444172031;444172031;444172031;
TQBR;2018-10-22;ММК;MAGN;7503;567699150;47.945;46.53;48.235;46.6;47.28;46.6;12006300;47.285;47.285;46.6;567699150;567699150;567699150;
TQBR;2018-10-23;ММК;MAGN;5603;372809521.5;46.425;45.305;46.685;46.305;45.995;46.305;8105700;45.995;45.995;46.305;372809521.5;372809521.5;372809521.5;
TQBR;2018-10-24;ММК;MAGN;6611;468221051;46.5;46.5;48.255;46.805;47.33;46.805;9892800;47.33;47.33;46.805;468221051;468221051;468221051;
TQBR;2018-10-25;ММК;MAGN;6293;382267881.5;46.12;45.815;46.865;46.82;46.475;46.82;8225300;46.475;46.475;46.82;382267881.5;382267881.5;382267881.5;
TQBR;2018-10-26;ММК;MAGN;4863;388376977;46.31;45.91;46.87;46.87;46.345;46.87;8380300;46.345;46.345;46.87;388376977;388376977;388376977;
TQBR;2018-10-29;ММК;MAGN;2027;153353650.5;46.545;46.415;47.2;46.585;46.915;46.585;3268600;46.915;46.915;46.585;153353650.5;153353650.5;153353650.5;
TQBR;2018-10-30;ММК;MAGN;3655;240891990.5;46.525;46.33;47.435;47.085;46.8;47.085;5147500;46.8;46.8;47.085;240891990.5;240891990.5;240891990.5;
TQBR;2018-10-31;ММК;MAGN;3908;246423586.5;47.305;47.2;48.155;47.945;47.795;47.945;5156100;47.795;47.795;47.945;246423586.5;246423586.5;246423586.5;
TQBR;2018-11-01;ММК;MAGN;5027;297523388;47.65;46.92;48.125;47.43;47.42;47.43;6274300;47.42;47.42;47.43;297523388;297523388;297523388;
TQBR;2018-11-02;ММК;MAGN;5857;438343755;47.905;47.345;48.38;47.5;47.98;47.5;9136000;47.98;47.98;47.5;438343755;438343755;438343755;
TQBR;2018-11-06;ММК;MAGN;7810;717330979;47.61;46.55;47.985;46.75;47.005;46.75;15261100;47.005;47.005;46.75;717330979;717330979;717330979;
TQBR;2018-11-07;ММК;MAGN;11882;896465702;46.75;45.7;46.915;46.895;46.18;46.895;19407400;46.19;46.19;46.895;896465702;896465702;896465702;
TQBR;2018-11-08;ММК;MAGN;4666;544162689;47.45;46.565;47.45;46.95;46.935;46.95;11593900;46.935;46.935;46.95;544162689;544162689;544162689;
TQBR;2018-11-09;ММК;MAGN;7385;637145688.5;47.5;46.91;47.97;47.81;47.71;47.81;13398800;47.55;47.55;47.81;637145688.5;637145688.5;637145688.5;
TQBR;2018-11-12;ММК;MAGN;3117;220371208.5;47.82;47.565;48.135;47.6;47.975;47.6;4595900;47.95;47.95;47.6;220371208.5;220371208.5;220371208.5;
TQBR;2018-11-13;ММК;MAGN;3745;287334135.5;47.52;47.35;47.97;47.415;47.655;47.415;6029600;47.655;47.655;47.415;287334135.5;287334135.5;287334135.5;
TQBR;2018-11-14;ММК;MAGN;4837;322040844;47.51;46.85;47.885;46.9;47.135;46.9;6832400;47.135;47.135;46.9;322040844;322040844;322040844;
TQBR;2018-11-15;ММК;MAGN;3714;257627312;47.04;47;47.77;47.105;47.5;47.105;5428900;47.455;47.455;47.105;257627312;257627312;257627312;
TQBR;2018-11-16;ММК;MAGN;2782;168667314;47.475;47.1;47.64;47.205;47.37;47.205;3560600;47.37;47.37;47.205;168667314;168667314;168667314;
TQBR;2018-11-19;ММК;MAGN;5844;317123489;47.205;46.3;47.85;46.54;47.115;46.54;6731000;47.115;47.115;46.54;317123489;317123489;317123489;
TQBR;2018-11-20;ММК;MAGN;9094;496283284;46.575;44.905;46.575;45.3;45.625;45.3;10878000;45.625;45.625;45.3;496283284;496283284;496283284;
TQBR;2018-11-21;ММК;MAGN;7798;537895669;45.255;44.81;45.63;44.915;45.12;44.915;11920900;45.12;45.12;44.915;537895669;537895669;537895669;
TQBR;2018-11-22;ММК;MAGN;6302;511873123;45.19;44.955;46.5;46.4;46.015;46.4;11124800;46.01;46.01;46.4;511873123;511873123;511873123;
TQBR;2018-11-23;ММК;MAGN;5194;293240391.5;46.38;45.63;46.38;46.1;46.025;46.1;6370600;46.03;46.03;46.1;293240391.5;293240391.5;293240391.5;
TQBR;2018-11-26;ММК;MAGN;5594;388093159.5;46.1;45.25;46.285;45.78;45.735;45.78;8485800;45.735;45.735;45.78;388093159.5;388093159.5;388093159.5;
TQBR;2018-11-27;ММК;MAGN;3857;314569518;45.505;45.505;46.55;46.5;46.125;46.5;6817700;46.14;46.14;46.5;314569518;314569518;314569518;
TQBR;2018-11-28;ММК;MAGN;7421;654738589.5;46.8;45.71;47.2;45.88;46.575;45.88;14146800;46.28;46.28;45.88;654738589.5;654738589.5;654738589.5;
TQBR;2018-11-29;ММК;MAGN;7778;560309271;45.775;45.73;46.675;46;46.25;46;12119100;46.235;46.235;46;560309271;560309271;560309271;
TQBR;2018-11-30;ММК;MAGN;6699;800577559.5;46.4;45.55;46.805;46.805;46.26;46.805;17305200;46.26;46.26;46.805;800577559.5;800577559.5;800577559.5;
TQBR;2018-12-03;ММК;MAGN;16363;1214308058.5;46.8;41.91;47.96;46.1;46.61;46.1;26053300;46.61;46.61;46.1;1214308058.5;1214308058.5;1214308058.5;
TQBR;2018-12-04;ММК;MAGN;4173;297239504.5;46.21;46;46.475;46.335;46.175;46.335;6437400;46.175;46.175;46.335;297239504.5;297239504.5;297239504.5;
TQBR;2018-12-05;ММК;MAGN;7635;561204046.5;46.1;45.4;46.345;45.575;45.755;45.575;12265000;45.755;45.755;45.575;561204046.5;561204046.5;561204046.5;
TQBR;2018-12-06;ММК;MAGN;5373;443912647;45.405;45.2;46.175;46;45.615;46;9730900;45.62;45.62;46;443912647;443912647;443912647;
TQBR;2018-12-07;ММК;MAGN;7264;608087890.5;46.05;46;47.23;47;46.6;47;13048400;46.6;46.6;47;608087890.5;608087890.5;608087890.5;
TQBR;2018-12-10;ММК;MAGN;6559;478059209;46.815;46.45;47.8;47.23;47.355;47.23;10095200;47.355;47.355;47.23;478059209;478059209;478059209;
TQBR;2018-12-11;ММК;MAGN;6781;532829665.5;47.5;46.35;47.6;46.35;46.805;46.35;11383500;46.805;46.805;46.35;532829665.5;532829665.5;532829665.5;
TQBR;2018-12-12;ММК;MAGN;5149;445418246.5;46.555;46.105;46.665;46.6;46.34;46.6;9611900;46.34;46.34;46.6;445418246.5;445418246.5;445418246.5;
TQBR;2018-12-13;ММК;MAGN;5392;506164545;46.605;46.35;47.4;46.89;46.92;46.89;10827000;46.75;46.75;46.89;506164545;506164545;506164545;
TQBR;2018-12-14;ММК;MAGN;5466;469511160;46.7;46.21;46.99;46.725;46.42;46.725;10079800;46.58;46.58;46.725;469511160;469511160;469511160;
TQBR;2018-12-17;ММК;MAGN;6397;371279924;44.98;44.26;44.98;44.555;44.34;44.555;8326500;44.59;44.59;44.555;371279924;371279924;371279924;
TQBR;2018-12-18;ММК;MAGN;17275;1061324939;44.39;42.65;44.39;42.75;43.29;42.75;24517400;43.29;43.29;42.75;1061324939;1061324939;1061324939;
TQBR;2018-12-19;ММК;MAGN;7432;477328342;42.995;42.455;43.365;43.185;42.88;43.185;11127000;42.9;42.9;43.185;477328342;477328342;477328342;
TQBR;2018-12-20;ММК;MAGN;5510;305813205.5;43.145;42.75;43.52;43.5;43.185;43.5;7081900;43.18;43.18;43.5;305813205.5;305813205.5;305813205.5;
TQBR;2018-12-21;ММК;MAGN;3850;347162714.5;43.32;42.61;43.455;42.95;42.965;42.95;8080000;42.965;42.965;42.95;347162714.5;347162714.5;347162714.5;


