history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;МегаФон ао;MFON;491;16459305;567.8;558.3;569.9;560;562.3;560;29270;562.3;562.3;560;16459305;16459305;16459305;
TQBR;2018-10-02;МегаФон ао;MFON;2096;75197481;563;545.4;564.4;561;558.2;561;134720;558.2;558.2;561;75197481;75197481;75197481;
TQBR;2018-10-03;МегаФон ао;MFON;693;39779113;562.9;561.6;569.8;569.2;566;569.2;70280;566;566;569.2;39779113;39779113;39779113;
TQBR;2018-10-04;МегаФон ао;MFON;1581;172601940;569.9;561.1;582.3;578.8;573.9;578.8;300730;573.9;573.9;578.8;172601940;172601940;172601940;
TQBR;2018-10-05;МегаФон ао;MFON;1143;116969057;575.2;570.4;583;581;575.8;581;203150;575.8;575.8;581;116969057;116969057;116969057;
TQBR;2018-10-08;МегаФон ао;MFON;2502;127846094;581.5;562.3;583.8;580;576.8;580;221650;576.8;576.8;580;127846094;127846094;127846094;
TQBR;2018-10-09;МегаФон ао;MFON;1093;34911704;581;575.5;584.1;580;579.5;580;60240;579.5;579.5;580;34911704;34911704;34911704;
TQBR;2018-10-10;МегаФон ао;MFON;938;29091848;575;575;585.3;579.5;580.9;579.5;50080;580.9;580.9;579.5;29091848;29091848;29091848;
TQBR;2018-10-11;МегаФон ао;MFON;1219;120631719;578.1;573.6;590.9;590;584.7;590;206300;584.7;584.7;590;120631719;120631719;120631719;
TQBR;2018-10-12;МегаФон ао;MFON;871;28426494;585;585;594.5;591;590;591;48180;590;590;591;28426494;28426494;28426494;
TQBR;2018-10-15;МегаФон ао;MFON;723;21993864;587.1;583.1;597.8;595;590.3;595;37260;590.3;590.3;595;21993864;21993864;21993864;
TQBR;2018-10-16;МегаФон ао;MFON;457;19748168;597.6;583.8;597.6;589.8;588.1;589.8;33530;589;589;589.8;19748168;19748168;19748168;
TQBR;2018-10-17;МегаФон ао;MFON;512;30211429;586.5;584.5;594.4;592;589.6;592;51240;589.6;589.6;592;30211429;30211429;30211429;
TQBR;2018-10-18;МегаФон ао;MFON;203;16456570;588.7;583;591;589.7;586.9;589.7;28040;586.9;586.9;589.7;16456570;16456570;16456570;
TQBR;2018-10-19;МегаФон ао;MFON;263;25741813;586.3;583;593;593;586.2;593;43910;586.2;586.2;593;25741813;25741813;25741813;
TQBR;2018-10-22;МегаФон ао;MFON;490;43754384;587;580.5;597.5;589;585.9;589;74680;585.9;585.9;589;43754384;43754384;43754384;
TQBR;2018-10-23;МегаФон ао;MFON;298;8684171;584.5;581.1;586.2;585;583.2;585;14890;583.2;583.2;585;8684171;8684171;8684171;
TQBR;2018-10-24;МегаФон ао;MFON;1940;40459726;584.8;583.5;593.3;587.5;587.7;587.5;68850;587.7;587.7;587.5;40459726;40459726;40459726;
TQBR;2018-10-25;МегаФон ао;MFON;713;22149469;587.4;580;597.8;584.1;586.3;584.1;37780;586.3;586.3;584.1;22149469;22149469;22149469;
TQBR;2018-10-26;МегаФон ао;MFON;688;19781360;585.2;580;589.8;585;584;585;33870;584;584;585;19781360;19781360;19781360;
TQBR;2018-10-29;МегаФон ао;MFON;188;14541165;580.1;580.1;591.6;591.6;587.5;591.6;24750;587.5;587.5;591.6;14541165;14541165;14541165;
TQBR;2018-10-30;МегаФон ао;MFON;145;5616996;585;585;595.5;590;588.2;590;9550;588.2;588.2;590;5616996;5616996;5616996;
TQBR;2018-10-31;МегаФон ао;MFON;142;6921441;592.7;586;592.8;586;587.6;586;11780;587.6;587.6;586;6921441;6921441;6921441;
TQBR;2018-11-01;МегаФон ао;MFON;514;24559354;587.8;584;594.9;593.9;589.1;593.9;41690;589.1;589.1;593.9;24559354;24559354;24559354;
TQBR;2018-11-02;МегаФон ао;MFON;730;22195900;595;586;596.9;593;590.9;593;37560;590.9;590.9;593;22195900;22195900;22195900;
TQBR;2018-11-06;МегаФон ао;MFON;950;27903563;587.5;587.5;610;608.5;600.6;608.5;46460;600.6;600.6;608.5;27903563;27903563;27903563;
TQBR;2018-11-07;МегаФон ао;MFON;1115;66596925;603.7;596.5;613.9;596.5;602.8;596.5;110470;602.9;602.9;596.5;66596925;66596925;66596925;
TQBR;2018-11-08;МегаФон ао;MFON;821;19580283;599.7;581.8;604.8;585;592.8;585;33030;592.8;592.8;585;19580283;19580283;19580283;
TQBR;2018-11-09;МегаФон ао;MFON;966;49916490;590;585;600;586;587.9;586;84910;587.9;587.9;586;49916490;49916490;49916490;
TQBR;2018-11-12;МегаФон ао;MFON;344;17088971;594.8;583;594.9;583;586.6;583;29130;586.6;586.6;583;17088971;17088971;17088971;
TQBR;2018-11-13;МегаФон ао;MFON;193;10140343;587.9;584.1;592.9;587;588.2;587;17240;588.2;588.2;587;10140343;10140343;10140343;
TQBR;2018-11-14;МегаФон ао;MFON;214;8867684;584.8;582;589.3;585;584.6;585;15170;584.6;584.6;585;8867684;8867684;8867684;
TQBR;2018-11-15;МегаФон ао;MFON;257;31224015;589.2;583;593;593;587.8;593;53120;587.8;587.8;593;31224015;31224015;31224015;
TQBR;2018-11-16;МегаФон ао;MFON;384;16775785;586;586;593.7;590.2;588.8;590.2;28490;588.8;588.8;590.2;16775785;16775785;16775785;
TQBR;2018-11-19;МегаФон ао;MFON;255;36665779;586.6;583.2;589.7;584;584.5;584;62730;584.5;584.5;584;36665779;36665779;36665779;
TQBR;2018-11-20;МегаФон ао;MFON;388;36408525;584.2;574.5;586.6;583.3;581.3;583.3;62630;581.3;581.3;583.3;36408525;36408525;36408525;
TQBR;2018-11-21;МегаФон ао;MFON;322;30147200;584.2;573;584.3;573;577.5;573;52200;577.5;577.5;573;30147200;30147200;30147200;
TQBR;2018-11-22;МегаФон ао;MFON;178;7947677;575.9;575;579.4;579.4;578.4;579.4;13740;578.4;578.4;579.4;7947677;7947677;7947677;
TQBR;2018-11-23;МегаФон ао;MFON;231;9590345;580;576.6;583;583;579.1;583;16560;579.1;579.1;583;9590345;9590345;9590345;
TQBR;2018-11-26;МегаФон ао;MFON;240;8999062;583;576;585;579.9;578.3;579.9;15560;578.3;578.3;579.9;8999062;8999062;8999062;
TQBR;2018-11-27;МегаФон ао;MFON;232;16461574;579.7;575;583.8;582.2;578.2;582.2;28470;578.2;578.2;582.2;16461574;16461574;16461574;
TQBR;2018-11-28;МегаФон ао;MFON;263;9758711;580.6;573.6;580.9;580;579.5;580;16840;579.5;579.5;580;9758711;9758711;9758711;
TQBR;2018-11-29;МегаФон ао;MFON;795;100901145;578.4;578;592;581.1;582;581.1;173890;580.3;580.3;581.1;100901145;100901145;100901145;
TQBR;2018-11-30;МегаФон ао;MFON;441;22778650;586.4;577.5;591.3;582;579.8;582;39290;579.8;579.8;582;22778650;22778650;22778650;
TQBR;2018-12-03;МегаФон ао;MFON;569;11400474;577.5;577.5;590;585;582.8;585;19560;582.8;582.8;585;11400474;11400474;11400474;
TQBR;2018-12-04;МегаФон ао;MFON;110;2798324;585.2;579.4;587.8;583.8;583;583.8;4800;583;583;583.8;2798324;2798324;2798324;
TQBR;2018-12-05;МегаФон ао;MFON;219;24671658;580.3;579;588.5;581.5;580.6;581.5;42490;580.6;580.6;581.5;24671658;24671658;24671658;
TQBR;2018-12-06;МегаФон ао;MFON;556;39534673;584.4;578.5;586.3;582.5;580.5;582.5;68110;580.5;580.5;582.5;39534673;39534673;39534673;
TQBR;2018-12-07;МегаФон ао;MFON;326;23877650;585.4;579.2;585.4;580;581.1;580;41090;581.1;581.1;580;23877650;23877650;23877650;
TQBR;2018-12-10;МегаФон ао;MFON;169;7803299;580;576.8;582.7;579.5;578;579.5;13500;578;578;579.5;7803299;7803299;7803299;
TQBR;2018-12-11;МегаФон ао;MFON;340;56639646;577.8;577.1;587;587;581.5;587;97410;581.5;581.5;587;56639646;56639646;56639646;
TQBR;2018-12-12;МегаФон ао;MFON;2798;397737142;589.1;589.1;619.6;611;610.8;611;651030;610.9;610.9;611;397737142;397737142;397737142;
TQBR;2018-12-13;МегаФон ао;MFON;1783;311943992;615;613;627;617;619.1;617;504090;618.8;618.8;617;311943992;311943992;311943992;
TQBR;2018-12-14;МегаФон ао;MFON;1241;107884325;616.6;616.6;629.5;626.8;625.7;626.8;172410;625.7;625.7;626.8;107884325;107884325;107884325;
TQBR;2018-12-17;МегаФон ао;MFON;2369;297040291;626;615.5;626;619.5;619.7;619.5;479340;619.7;619.7;619.5;297040291;297040291;297040291;
TQBR;2018-12-18;МегаФон ао;MFON;2089;320286665;617.4;612;618.4;612;615.2;612;521850;613.8;613.8;612;320286665;320286665;320286665;
TQBR;2018-12-19;МегаФон ао;MFON;1160;86251793;617.9;610;619.3;617.2;616.6;617.2;139880;616.6;616.6;617.2;86251793;86251793;86251793;
TQBR;2018-12-20;МегаФон ао;MFON;552;43821913;615.2;615.2;622.4;620.1;618;620.1;70910;618;618;620.1;43821913;43821913;43821913;
TQBR;2018-12-21;МегаФон ао;MFON;597;787028675;619.6;616.1;623.4;618;618.2;618;1273180;618.2;618.2;618;787028675;787028675;787028675;


