history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;МосБиржа;MOEX;25326;721124418.2;97.77;96.29;98.1;97.07;97.04;97.07;7431330;97.04;97.04;97.07;721124418.2;721124418.2;721124418.2;
TQBR;2018-10-02;МосБиржа;MOEX;12891;346133235;97.13;96.37;97.6;96.45;96.94;96.45;3570570;96.94;96.94;96.45;346133235;346133235;346133235;
TQBR;2018-10-03;МосБиржа;MOEX;19583;891879311;96.5;96.23;97.52;97.22;97.04;97.22;9191030;97.04;97.04;97.22;891879311;891879311;891879311;
TQBR;2018-10-04;МосБиржа;MOEX;14649;625178806.5;97.55;96.6;97.72;96.63;97;96.63;6445280;97;97;96.63;625178806.5;625178806.5;625178806.5;
TQBR;2018-10-05;МосБиржа;MOEX;16854;623332535;96.7;95.35;96.95;96.02;95.97;96.02;6494760;95.97;95.97;96.02;623332535;623332535;623332535;
TQBR;2018-10-08;МосБиржа;MOEX;16381;523537126.8;96.48;94.84;96.71;95.32;95.32;95.32;5492180;95.32;95.32;95.32;523537126.8;523537126.8;523537126.8;
TQBR;2018-10-09;МосБиржа;MOEX;20388;786376351.1;95.7;93.55;96.11;93.56;94.34;93.56;8334540;94.35;94.35;93.56;786376351.1;786376351.1;786376351.1;
TQBR;2018-10-10;МосБиржа;MOEX;14455;449908860.7;93.56;92.15;93.8;93.02;93.07;93.02;4834180;93.07;93.07;93.02;449908860.7;449908860.7;449908860.7;
TQBR;2018-10-11;МосБиржа;MOEX;19297;645845251.5;91.75;91.71;92.9;92.42;92.17;92.42;7007380;92.17;92.17;92.42;645845251.5;645845251.5;645845251.5;
TQBR;2018-10-12;МосБиржа;MOEX;13163;426166903.8;92.77;92.4;93.51;93.45;92.96;93.45;4584410;92.96;92.96;93.45;426166903.8;426166903.8;426166903.8;
TQBR;2018-10-15;МосБиржа;MOEX;9514;267523314.8;93.39;92.66;93.75;92.73;93.07;92.73;2874410;93.07;93.07;92.73;267523314.8;267523314.8;267523314.8;
TQBR;2018-10-16;МосБиржа;MOEX;31044;771109001.3;93;91.34;93.05;91.5;91.73;91.5;8406230;91.73;91.73;91.5;771109001.3;771109001.3;771109001.3;
TQBR;2018-10-17;МосБиржа;MOEX;13669;475648106.6;91.8;91.45;92.19;91.5;91.83;91.5;5180090;91.82;91.82;91.5;475648106.6;475648106.6;475648106.6;
TQBR;2018-10-18;МосБиржа;MOEX;34101;1306457520.9;91.47;90.05;92.53;92.53;91.02;92.53;14353580;91.02;91.02;92.53;1306457520.9;1306457520.9;1306457520.9;
TQBR;2018-10-19;МосБиржа;MOEX;15811;686567396.1;92.4;90.5;92.47;90.58;91.05;90.58;7540530;91.05;91.05;90.58;686567396.1;686567396.1;686567396.1;
TQBR;2018-10-22;МосБиржа;MOEX;36015;1382052485.9;90.6;88.19;90.89;88.8;89;88.8;15528640;89;89;88.8;1382052485.9;1382052485.9;1382052485.9;
TQBR;2018-10-23;МосБиржа;MOEX;32136;1040679834.7;88.78;87.96;89.7;88.46;88.73;88.46;11728930;88.73;88.73;88.46;1040679834.7;1040679834.7;1040679834.7;
