,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,+МосЭнерго,MSNG,1686,39840513.5,2.0980000000000003,2.0575,2.0980000000000003,2.0735,2.07,2.0735,19245000,2.07,2.07,2.0735,39840513.5,39840513.5,39840513.5,
1,TQBR,2018-10-02,+МосЭнерго,MSNG,2412,60398452.5,2.0775,2.029,2.0885,2.0665,2.061,2.0665,29307000,2.061,2.061,2.0665,60398452.5,60398452.5,60398452.5,
2,TQBR,2018-10-03,+МосЭнерго,MSNG,1664,37440035.5,2.09,2.0115,2.09,2.026,2.0469999999999997,2.026,18289000,2.0469999999999997,2.0469999999999997,2.026,37440035.5,37440035.5,37440035.5,
3,TQBR,2018-10-04,+МосЭнерго,MSNG,1348,28642429.0,2.026,1.9869999999999999,2.0565,1.9925,2.0245,1.9925,14157000,2.023,2.023,1.9925,28642429.0,28642429.0,28642429.0,
4,TQBR,2018-10-05,+МосЭнерго,MSNG,908,16882116.0,1.99,1.955,1.9985,1.982,1.976,1.982,8542000,1.9765,1.9765,1.982,16882116.0,16882116.0,16882116.0,
5,TQBR,2018-10-08,+МосЭнерго,MSNG,795,18545413.5,1.99,1.99,2.0325,2.023,2.011,2.023,9223000,2.011,2.011,2.023,18545413.5,18545413.5,18545413.5,
6,TQBR,2018-10-09,+МосЭнерго,MSNG,619,10896860.5,2.023,1.9769999999999999,2.029,1.9895,1.9995,1.9895,5450000,1.9995,1.9995,1.9895,10896860.5,10896860.5,10896860.5,
7,TQBR,2018-10-10,+МосЭнерго,MSNG,1087,22343009.0,1.9995,1.913,1.9995,1.913,1.9505,1.913,11456000,1.9505,1.9505,1.913,22343009.0,22343009.0,22343009.0,
8,TQBR,2018-10-11,+МосЭнерго,MSNG,1212,31641723.5,1.8869999999999998,1.8635,1.9340000000000002,1.9180000000000001,1.906,1.9180000000000001,16601000,1.906,1.906,1.9180000000000001,31641723.5,31641723.5,31641723.5,
9,TQBR,2018-10-12,+МосЭнерго,MSNG,787,9165978.5,1.935,1.9169999999999998,1.9445,1.925,1.929,1.925,4752000,1.929,1.929,1.925,9165978.5,9165978.5,9165978.5,
10,TQBR,2018-10-15,+МосЭнерго,MSNG,551,10875007.0,1.926,1.9165,1.9595,1.9405,1.939,1.9405,5608000,1.939,1.939,1.9405,10875007.0,10875007.0,10875007.0,
11,TQBR,2018-10-16,+МосЭнерго,MSNG,524,7226509.0,1.945,1.9280000000000002,1.9480000000000002,1.933,1.9355,1.933,3734000,1.9355,1.9355,1.933,7226509.0,7226509.0,7226509.0,
12,TQBR,2018-10-17,+МосЭнерго,MSNG,488,9627249.5,1.9355,1.923,1.9509999999999998,1.9509999999999998,1.94,1.9509999999999998,4963000,1.94,1.94,1.9509999999999998,9627249.5,9627249.5,9627249.5,
13,TQBR,2018-10-18,+МосЭнерго,MSNG,961,18140508.5,1.935,1.935,2.0,1.9795,1.9725,1.9795,9197000,1.9725,1.9725,1.9795,18140508.5,18140508.5,18140508.5,
14,TQBR,2018-10-19,+МосЭнерго,MSNG,347,8525644.5,1.9795,1.962,1.99,1.9655,1.972,1.9655,4323000,1.972,1.972,1.9655,8525644.5,8525644.5,8525644.5,
15,TQBR,2018-10-22,+МосЭнерго,MSNG,640,13577997.5,1.963,1.925,1.9755,1.931,1.9445,1.931,6982000,1.9445,1.9445,1.931,13577997.5,13577997.5,13577997.5,
16,TQBR,2018-10-23,+МосЭнерго,MSNG,949,18391150.0,1.93,1.8875,1.9380000000000002,1.89,1.9085,1.89,9636000,1.9085,1.9085,1.89,18391150.0,18391150.0,18391150.0,
17,TQBR,2018-10-24,+МосЭнерго,MSNG,1580,25435698.5,1.9155,1.86,1.9755,1.97,1.9405,1.97,13107000,1.9405,1.9405,1.97,25435698.5,25435698.5,25435698.5,
18,TQBR,2018-10-25,+МосЭнерго,MSNG,526,8624109.5,1.95,1.9115,1.95,1.942,1.931,1.942,4466000,1.931,1.931,1.942,8624109.5,8624109.5,8624109.5,
19,TQBR,2018-10-26,+МосЭнерго,MSNG,841,17980319.5,1.942,1.874,1.9425,1.9115,1.896,1.9115,9484000,1.896,1.896,1.9115,17980319.5,17980319.5,17980319.5,
20,TQBR,2018-10-29,+МосЭнерго,MSNG,742,9469811.0,1.913,1.913,1.9635,1.93,1.9380000000000002,1.93,4886000,1.9380000000000002,1.9380000000000002,1.93,9469811.0,9469811.0,9469811.0,
21,TQBR,2018-10-30,+МосЭнерго,MSNG,495,6639633.5,1.949,1.9040000000000001,1.949,1.923,1.9240000000000002,1.9240000000000002,3451000,1.9240000000000002,1.9240000000000002,1.923,6639633.5,6639633.5,6639633.5,
22,TQBR,2018-10-31,+МосЭнерго,MSNG,392,7363753.0,1.93,1.9045,1.939,1.9285,1.9225,1.9285,3830000,1.9225,1.9225,1.9285,7363753.0,7363753.0,7363753.0,
23,TQBR,2018-11-01,+МосЭнерго,MSNG,548,8997528.0,1.933,1.902,1.933,1.9069999999999998,1.911,1.9069999999999998,4708000,1.911,1.911,1.9069999999999998,8997528.0,8997528.0,8997528.0,
24,TQBR,2018-11-02,+МосЭнерго,MSNG,1505,14271416.0,1.9080000000000001,1.8880000000000001,1.9080000000000001,1.89,1.8940000000000001,1.89,7532000,1.895,1.895,1.89,14271416.0,14271416.0,14271416.0,
25,TQBR,2018-11-06,+МосЭнерго,MSNG,565,11062201.0,1.891,1.885,1.911,1.905,1.8980000000000001,1.905,5829000,1.8980000000000001,1.8980000000000001,1.905,11062201.0,11062201.0,11062201.0,
26,TQBR,2018-11-07,+МосЭнерго,MSNG,590,15910837.0,1.903,1.88,1.9040000000000001,1.882,1.889,1.882,8421000,1.889,1.889,1.882,15910837.0,15910837.0,15910837.0,
27,TQBR,2018-11-08,+МосЭнерго,MSNG,500,10320115.0,1.895,1.883,1.9069999999999998,1.893,1.895,1.893,5446000,1.895,1.895,1.893,10320115.0,10320115.0,10320115.0,
28,TQBR,2018-11-09,+МосЭнерго,MSNG,616,15350136.0,1.895,1.855,1.899,1.867,1.874,1.867,8192000,1.874,1.874,1.867,15350136.0,15350136.0,15350136.0,
29,TQBR,2018-11-12,+МосЭнерго,MSNG,781,11411930.0,1.87,1.8530000000000002,1.8969999999999998,1.854,1.8769999999999998,1.854,6079000,1.8769999999999998,1.8769999999999998,1.854,11411930.0,11411930.0,11411930.0,
30,TQBR,2018-11-13,+МосЭнерго,MSNG,1037,18831714.0,1.859,1.831,1.859,1.8419999999999999,1.839,1.8419999999999999,10239000,1.839,1.839,1.8419999999999999,18831714.0,18831714.0,18831714.0,
31,TQBR,2018-11-14,+МосЭнерго,MSNG,1636,35044566.0,1.8330000000000002,1.7930000000000001,1.835,1.811,1.808,1.811,19379000,1.808,1.808,1.811,35044566.0,35044566.0,35044566.0,
32,TQBR,2018-11-15,+МосЭнерго,MSNG,1549,29901340.0,1.824,1.761,1.824,1.774,1.786,1.774,16742000,1.786,1.786,1.774,29901340.0,29901340.0,29901340.0,
33,TQBR,2018-11-16,+МосЭнерго,MSNG,1052,14122127.0,1.775,1.761,1.794,1.761,1.774,1.761,7963000,1.7730000000000001,1.7730000000000001,1.761,14122127.0,14122127.0,14122127.0,
34,TQBR,2018-11-19,+МосЭнерго,MSNG,602,10797211.0,1.764,1.76,1.787,1.76,1.77,1.76,6100000,1.77,1.77,1.76,10797211.0,10797211.0,10797211.0,
35,TQBR,2018-11-20,+МосЭнерго,MSNG,1079,22447557.0,1.76,1.705,1.764,1.712,1.7309999999999999,1.712,12966000,1.7309999999999999,1.7309999999999999,1.712,22447557.0,22447557.0,22447557.0,
36,TQBR,2018-11-21,+МосЭнерго,MSNG,1306,27965717.0,1.73,1.6740000000000002,1.73,1.7,1.693,1.7,16520000,1.693,1.693,1.7,27965717.0,27965717.0,27965717.0,
37,TQBR,2018-11-22,+МосЭнерго,MSNG,433,12018961.0,1.7,1.6909999999999998,1.715,1.7009999999999998,1.702,1.7009999999999998,7063000,1.702,1.702,1.7009999999999998,12018961.0,12018961.0,12018961.0,
38,TQBR,2018-11-23,+МосЭнерго,MSNG,388,4721990.0,1.716,1.69,1.716,1.699,1.6980000000000002,1.699,2781000,1.6980000000000002,1.6980000000000002,1.699,4721990.0,4721990.0,4721990.0,
39,TQBR,2018-11-26,+МосЭнерго,MSNG,693,13579227.0,1.705,1.67,1.7080000000000002,1.675,1.682,1.675,8073000,1.682,1.682,1.675,13579227.0,13579227.0,13579227.0,
40,TQBR,2018-11-27,+МосЭнерго,MSNG,701,13678926.0,1.675,1.653,1.685,1.6740000000000002,1.673,1.6740000000000002,8178000,1.673,1.673,1.6740000000000002,13678926.0,13678926.0,13678926.0,
41,TQBR,2018-11-28,+МосЭнерго,MSNG,1048,31781066.0,1.672,1.6669999999999998,1.699,1.68,1.6880000000000002,1.68,18829000,1.6880000000000002,1.6880000000000002,1.68,31781066.0,31781066.0,31781066.0,
42,TQBR,2018-11-29,+МосЭнерго,MSNG,2333,81014854.0,1.683,1.681,1.77,1.767,1.7469999999999999,1.767,46975000,1.725,1.725,1.767,81014854.0,81014854.0,81014854.0,
43,TQBR,2018-11-30,+МосЭнерго,MSNG,3627,158066435.0,1.76,1.74,1.838,1.75,1.788,1.75,88421000,1.788,1.788,1.75,158066435.0,158066435.0,158066435.0,
44,TQBR,2018-12-03,+МосЭнерго,MSNG,2607,65731416.0,1.7630000000000001,1.7630000000000001,1.88,1.88,1.84,1.88,35729000,1.84,1.84,1.88,65731416.0,65731416.0,65731416.0,
45,TQBR,2018-12-04,+МосЭнерго,MSNG,2700,78575768.0,1.874,1.8619999999999999,1.973,1.905,1.9240000000000002,1.905,40843000,1.9240000000000002,1.9240000000000002,1.905,78575768.0,78575768.0,78575768.0,
46,TQBR,2018-12-05,+МосЭнерго,MSNG,1258,39251407.0,1.88,1.88,1.9340000000000002,1.919,1.921,1.919,20435000,1.921,1.921,1.919,39251407.0,39251407.0,39251407.0,
47,TQBR,2018-12-06,+МосЭнерго,MSNG,1397,26127688.0,1.89,1.868,1.911,1.876,1.883,1.876,13873000,1.883,1.883,1.876,26127688.0,26127688.0,26127688.0,
48,TQBR,2018-12-07,+МосЭнерго,MSNG,614,17089314.0,1.876,1.871,1.91,1.886,1.896,1.886,9015000,1.896,1.896,1.886,17089314.0,17089314.0,17089314.0,
49,TQBR,2018-12-10,+МосЭнерго,MSNG,1574,29757314.0,1.8940000000000001,1.855,1.895,1.882,1.876,1.882,15863000,1.876,1.876,1.882,29757314.0,29757314.0,29757314.0,
50,TQBR,2018-12-11,+МосЭнерго,MSNG,574,11638861.0,1.875,1.87,1.892,1.883,1.882,1.883,6185000,1.882,1.882,1.883,11638861.0,11638861.0,11638861.0,
51,TQBR,2018-12-12,+МосЭнерго,MSNG,615,25955110.0,1.889,1.8530000000000002,1.899,1.86,1.871,1.86,13874000,1.871,1.871,1.86,25955110.0,25955110.0,25955110.0,
52,TQBR,2018-12-13,+МосЭнерго,MSNG,596,21878999.0,1.84,1.84,1.889,1.88,1.869,1.88,11700000,1.87,1.87,1.88,21878999.0,21878999.0,21878999.0,
53,TQBR,2018-12-14,+МосЭнерго,MSNG,706,19005637.0,1.889,1.864,1.892,1.885,1.875,1.885,10136000,1.875,1.875,1.885,19005637.0,19005637.0,19005637.0,
54,TQBR,2018-12-17,+МосЭнерго,MSNG,679,27205256.0,1.8869999999999998,1.845,1.8869999999999998,1.88,1.8619999999999999,1.88,14611000,1.8619999999999999,1.8619999999999999,1.88,27205256.0,27205256.0,27205256.0,
