history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;ФосАгро ао;PHOR;1551;75601363;2525;2512;2575;2550;2549;2550;29662;2549;2549;2550;75601363;75601363;75601363;
TQBR;2018-10-02;ФосАгро ао;PHOR;1132;45728652;2560;2543;2589;2546;2568;2546;17810;2568;2568;2546;45728652;45728652;45728652;
TQBR;2018-10-03;ФосАгро ао;PHOR;2934;167484371;2566;2538;2637;2623;2613;2623;64078;2614;2614;2623;167484371;167484371;167484371;
TQBR;2018-10-04;ФосАгро ао;PHOR;3497;154147423;2621;2586;2670;2657;2647;2657;58241;2647;2647;2657;154147423;154147423;154147423;
TQBR;2018-10-05;ФосАгро ао;PHOR;1253;48146751;2670;2621;2689;2630;2650;2630;18167;2650;2650;2630;48146751;48146751;48146751;
TQBR;2018-10-08;ФосАгро ао;PHOR;1962;62888832;2648;2588;2666;2615;2623;2615;23976;2623;2623;2615;62888832;62888832;62888832;
TQBR;2018-10-09;ФосАгро ао;PHOR;3211;90410357;2625;2552;2640;2555;2597;2555;34811;2597;2597;2555;90410357;90410357;90410357;
TQBR;2018-10-10;ФосАгро ао;PHOR;4376;162730316;2554;2472;2571;2493;2529;2493;64419;2526;2526;2493;162730316;162730316;162730316;
TQBR;2018-10-11;ФосАгро ао;PHOR;2964;138309420;2448;2368;2465;2443;2426;2443;57014;2426;2426;2443;138309420;138309420;138309420;
TQBR;2018-10-12;ФосАгро ао;PHOR;1135;36496584;2475;2455;2493;2463;2467;2463;14795;2467;2467;2463;36496584;36496584;36496584;
TQBR;2018-10-15;ФосАгро ао;PHOR;733;20353772;2475;2427;2475;2457;2450;2457;8307;2450;2450;2457;20353772;20353772;20353772;
