,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,Полюс,PLZL,1697,91097107.0,4107.0,4072.0,4129.0,4090.0,4090.0,4090.0,22272,4090.0,4090.0,4090.0,91097107.0,91097107.0,91097107.0,
1,TQBR,2018-10-02,Полюс,PLZL,2792,227849728.0,4094.0,4071.0,4157.0,4145.0,4112.0,4145.0,55400,4113.0,4113.0,4145.0,227849728.0,227849728.0,227849728.0,
2,TQBR,2018-10-03,Полюс,PLZL,5561,264636857.0,4150.0,4149.0,4236.0,4180.0,4203.0,4180.0,62963,4203.0,4203.0,4180.0,264636857.0,264636857.0,264636857.0,
3,TQBR,2018-10-04,Полюс,PLZL,3344,185923100.0,4167.0,4136.0,4197.0,4170.0,4172.0,4170.0,44561,4172.0,4172.0,4170.0,185923100.0,185923100.0,185923100.0,
4,TQBR,2018-10-05,Полюс,PLZL,1715,145371284.0,4170.0,4111.0,4194.0,4150.0,4156.0,4150.0,34975,4156.0,4156.0,4150.0,145371284.0,145371284.0,145371284.0,
5,TQBR,2018-10-08,Полюс,PLZL,1722,108955658.0,4192.0,4152.0,4205.0,4152.0,4166.0,4152.0,26150,4167.0,4167.0,4152.0,108955658.0,108955658.0,108955658.0,
6,TQBR,2018-10-09,Полюс,PLZL,1213,72417573.0,4142.0,4131.0,4180.0,4140.0,4154.0,4140.0,17439,4153.0,4153.0,4140.0,72417573.0,72417573.0,72417573.0,
7,TQBR,2018-10-10,Полюс,PLZL,1703,87864981.0,4150.0,4090.0,4180.0,4110.0,4129.0,4110.0,21288,4127.0,4127.0,4110.0,87864981.0,87864981.0,87864981.0,
8,TQBR,2018-10-11,Полюс,PLZL,4274,313141168.0,4085.0,4060.0,4249.0,4222.0,4183.0,4222.0,74849,4184.0,4184.0,4222.0,313141168.0,313141168.0,313141168.0,
9,TQBR,2018-10-12,Полюс,PLZL,3506,267100778.0,4225.0,4153.0,4288.0,4240.0,4231.0,4240.0,63105,4233.0,4233.0,4240.0,267100778.0,267100778.0,267100778.0,
