history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;Распадская;RASP;3500;114348567.2;118.45;117.05;118.98;117.32;117.96;117.32;969410;117.96;117.96;117.32;114348567.2;114348567.2;114348567.2;
TQBR;2018-10-02;Распадская;RASP;3191;180768623;117.27;115.3;118.49;118.41;117.67;118.41;1536220;117.67;117.67;118.41;180768623;180768623;180768623;
TQBR;2018-10-03;Распадская;RASP;3604;192523703.6;118.36;117.71;119.9;119.1;118.87;119.1;1619540;118.88;118.88;119.1;192523703.6;192523703.6;192523703.6;
TQBR;2018-10-04;Распадская;RASP;4952;263875280.2;118.83;118.83;121.59;121.01;120.46;121.01;2190620;120.46;120.46;121.01;263875280.2;263875280.2;263875280.2;
TQBR;2018-10-05;Распадская;RASP;7890;353721575.3;120.75;120.01;125.2;124.98;121.66;124.98;2880310;122.81;122.81;124.98;353721575.3;353721575.3;353721575.3;
TQBR;2018-10-08;Распадская;RASP;5187;202699903.4;124.51;122.11;126;123.11;123.78;123.11;1637610;123.78;123.78;123.11;202699903.4;202699903.4;202699903.4;
TQBR;2018-10-09;Распадская;RASP;10875;271996186.1;122.65;121;125.3;121.3;122.65;121.3;2217650;122.65;122.65;121.3;271996186.1;271996186.1;271996186.1;
TQBR;2018-10-10;Распадская;RASP;7869;296967102.3;121.37;118.83;125.8;122.52;122.94;122.52;2415560;122.94;122.94;122.52;296967102.3;296967102.3;296967102.3;
TQBR;2018-10-11;Распадская;RASP;6346;279185937.1;121.16;118.16;121.89;120;120.06;120;2325420;120.06;120.06;120;279185937.1;279185937.1;279185937.1;
TQBR;2018-10-12;Распадская;RASP;3383;114289501.8;121.24;121.06;123.5;122.24;122.52;122.24;932830;122.52;122.52;122.24;114289501.8;114289501.8;114289501.8;
TQBR;2018-10-15;Распадская;RASP;3842;137535724.9;122;121.33;124.87;124.35;123.53;124.35;1113370;123.53;123.53;124.35;137535724.9;137535724.9;137535724.9;
TQBR;2018-10-16;Распадская;RASP;6118;335703402.4;124.6;123.66;128.31;126.38;126.25;126.38;2659040;126.25;126.25;126.38;335703402.4;335703402.4;335703402.4;
TQBR;2018-10-17;Распадская;RASP;5713;217966414.8;126.95;123.25;127.49;124.67;124.91;124.67;1744980;124.91;124.91;124.67;217966414.8;217966414.8;217966414.8;
TQBR;2018-10-18;Распадская;RASP;2608;87352506.9;124.98;122.26;124.98;123;123.27;123;708640;123.27;123.27;123;87352506.9;87352506.9;87352506.9;
TQBR;2018-10-19;Распадская;RASP;3744;182984336.5;122.5;119.5;122.95;120.1;121.08;120.1;1511260;121.08;121.08;120.1;182984336.5;182984336.5;182984336.5;
TQBR;2018-10-22;Распадская;RASP;3469;109861802.6;120.94;119.9;121.86;120;120.52;120;911540;120.52;120.52;120;109861802.6;109861802.6;109861802.6;
