,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-03,Raven,RAVN,3,10277.5,34.0,34.0,34.41,34.41,34.0,34.41,300,,,34.41,0.0,0.0,0.0,
1,TQBR,2018-10-04,Raven,RAVN,6,189212.5,35.0,34.985,35.125,35.125,35.04,35.125,5400,,,35.125,0.0,0.0,0.0,
2,TQBR,2018-10-05,Raven,RAVN,1,13938.0,34.845,34.845,34.845,34.845,34.845,34.845,400,,,34.845,0.0,0.0,0.0,
3,TQBR,2018-10-08,Raven,RAVN,1,35245.0,35.245,35.245,35.245,35.245,35.245,35.245,1000,,,35.245,0.0,0.0,0.0,
4,TQBR,2018-10-09,Raven,RAVN,4,43000.0,35.63,35.63,36.195,35.795,35.835,35.795,1200,,,35.795,0.0,0.0,0.0,
5,TQBR,2018-10-10,Raven,RAVN,0,0.0,,,,35.795,,,0,,,35.795,0.0,0.0,0.0,
6,TQBR,2018-10-11,Raven,RAVN,5,568446.5,36.11,36.11,36.935,36.935,36.675,36.935,15500,36.5,36.535,36.935,660629.5,646691.5,660629.5,
7,TQBR,2018-10-12,Raven,RAVN,7,40657.0,37.67,36.0,37.67,36.0,36.96,36.0,1100,36.695,36.71,36.0,609103.5,591048.5,609103.5,
8,TQBR,2018-10-15,Raven,RAVN,2,7304.0,36.39,36.39,36.65,36.65,36.52,36.65,200,36.69,36.71,36.65,616407.5,598352.5,616407.5,
9,TQBR,2018-10-16,Raven,RAVN,1,55470.0,36.98,36.98,36.98,36.98,36.98,36.98,1500,,36.73,36.98,0.0,653822.5,0.0,
10,TQBR,2018-10-17,Raven,RAVN,4,523977.5,36.825,36.27,36.825,36.74,36.385,36.74,14400,36.57,36.45,36.74,1195855.0,612340.5,1195855.0,
11,TQBR,2018-10-18,Raven,RAVN,4,26494.0,37.52,37.52,38.23,37.74,37.85,37.74,700,36.53,36.505,37.74,653902.5,609606.5,653902.5,
12,TQBR,2018-10-19,Raven,RAVN,4,523135.0,38.445,38.365,39.435,39.435,38.465,39.435,13600,37.41,38.365,39.435,1073606.5,567811.0,1073606.5,
13,TQBR,2018-10-22,Raven,RAVN,8,118678.5,38.635,37.69,38.635,37.69,38.285,37.69,3100,38.43,38.43,37.69,641813.5,641813.5,641813.5,
14,TQBR,2018-10-23,Raven,RAVN,8,34814.5,38.615,38.615,39.075,38.765,38.685,38.765,900,,38.445,38.765,0.0,676628.0,0.0,
15,TQBR,2018-10-24,Raven,RAVN,1,3874.0,38.74,38.74,38.74,38.74,38.74,38.74,100,,38.445,38.74,0.0,680502.0,0.0,
16,TQBR,2018-10-25,Raven,RAVN,4,53317.0,37.97,37.97,38.48,38.48,38.085,38.48,1400,,38.42,38.48,0.0,733819.0,0.0,
17,TQBR,2018-10-26,Raven,RAVN,1,56377.5,37.585,37.585,37.585,37.585,37.585,37.585,1500,,38.36,37.585,0.0,790196.5,0.0,
18,TQBR,2018-10-29,Raven,RAVN,1,3887.0,38.87,38.87,38.87,38.87,38.87,38.87,100,,38.36,38.87,0.0,794083.5,0.0,
19,TQBR,2018-10-30,Raven,RAVN,2,505418.0,37.7,37.7,38.295,38.295,37.72,38.295,13400,37.6,37.755,38.295,1849973.0,626750.0,1849973.0,
20,TQBR,2018-10-31,Raven,RAVN,1,147136.0,38.72,38.72,38.72,38.72,38.72,38.72,3800,38.165,37.93,38.72,1473131.5,770009.5,1473131.5,
21,TQBR,2018-11-01,Raven,RAVN,0,0.0,,,,38.72,,,0,38.17,37.93,38.72,1446637.5,770009.5,1446637.5,
22,TQBR,2018-11-02,Raven,RAVN,0,0.0,,,,38.72,,,0,38.005,37.93,38.72,923502.5,770009.5,923502.5,
23,TQBR,2018-11-06,Raven,RAVN,1,7618.0,38.09,38.09,38.09,38.09,38.09,38.09,200,37.965,37.93,38.09,812442.0,773753.5,812442.0,
24,TQBR,2018-11-07,Raven,RAVN,0,0.0,,,,38.09,,,0,37.935,37.93,38.09,777627.5,773753.5,777627.5,
25,TQBR,2018-11-08,Raven,RAVN,0,0.0,,,,38.09,,,0,37.93,37.93,38.09,773753.5,773753.5,773753.5,
26,TQBR,2018-11-09,Raven,RAVN,0,0.0,,,,38.09,,,0,,37.93,38.09,0.0,773753.5,0.0,
27,TQBR,2018-11-12,Raven,RAVN,2,15671.0,38.87,38.87,39.28,39.28,39.18,39.28,400,,37.95,39.28,0.0,762791.5,0.0,
28,TQBR,2018-11-13,Raven,RAVN,1,179400.0,39.0,39.0,39.0,39.0,39.0,39.0,4600,,38.15,39.0,0.0,919355.5,0.0,
29,TQBR,2018-11-14,Raven,RAVN,5,31074.5,39.68,38.265,39.68,38.68,38.845,38.265,800,,38.205,38.68,0.0,886317.5,0.0,
30,TQBR,2018-11-15,Raven,RAVN,0,0.0,,,,38.68,,,0,,38.205,38.68,0.0,886317.5,0.0,
31,TQBR,2018-11-16,Raven,RAVN,0,0.0,,,,38.68,,,0,,38.205,38.68,0.0,886317.5,0.0,
32,TQBR,2018-11-19,Raven,RAVN,0,0.0,,,,38.68,,,0,,38.205,38.68,0.0,886317.5,0.0,
33,TQBR,2018-11-20,Raven,RAVN,2,180567.0,37.62,37.53,37.62,37.53,37.62,37.53,4800,,38.455,37.53,0.0,561466.5,0.0,
34,TQBR,2018-11-21,Raven,RAVN,0,0.0,,,,37.53,,,0,,38.455,37.53,0.0,561466.5,0.0,
35,TQBR,2018-11-22,Raven,RAVN,0,0.0,,,,37.53,,,0,,38.455,37.53,0.0,561466.5,0.0,
36,TQBR,2018-11-23,Raven,RAVN,0,0.0,,,,37.53,,,0,,38.455,37.53,0.0,561466.5,0.0,
37,TQBR,2018-11-26,Raven,RAVN,1,22698.0,37.83,37.83,37.83,37.83,37.83,37.83,600,,38.43,37.83,0.0,584164.5,0.0,
38,TQBR,2018-11-27,Raven,RAVN,0,0.0,,,,37.83,,,0,,38.43,37.83,0.0,584164.5,0.0,
39,TQBR,2018-11-28,Raven,RAVN,0,0.0,,,,37.83,,,0,,38.43,37.83,0.0,584164.5,0.0,
40,TQBR,2018-11-29,Raven,RAVN,1,3783.0,37.83,37.83,37.83,37.83,37.83,37.83,100,,38.43,37.83,0.0,587947.5,0.0,
41,TQBR,2018-11-30,Raven,RAVN,0,0.0,,,,37.83,,,0,,38.43,37.83,0.0,587947.5,0.0,
42,TQBR,2018-12-03,Raven,RAVN,0,0.0,,,,37.83,,,0,,38.43,37.83,0.0,587947.5,0.0,
43,TQBR,2018-12-04,Raven,RAVN,0,0.0,,,,37.83,,,0,,38.43,37.83,0.0,587947.5,0.0,
44,TQBR,2018-12-05,Raven,RAVN,0,0.0,,,,37.83,,,0,,38.43,37.83,0.0,587947.5,0.0,
45,TQBR,2018-12-06,Raven,RAVN,0,0.0,,,,37.83,,,0,,38.43,37.83,0.0,587947.5,0.0,
46,TQBR,2018-12-07,Raven,RAVN,0,0.0,,,,37.83,,,0,,38.43,37.83,0.0,587947.5,0.0,
47,TQBR,2018-12-10,Raven,RAVN,0,0.0,,,,37.83,,,0,,38.43,37.83,0.0,587947.5,0.0,
48,TQBR,2018-12-11,Raven,RAVN,0,0.0,,,,37.83,,,0,,38.43,37.83,0.0,587947.5,0.0,
49,TQBR,2018-12-12,Raven,RAVN,0,0.0,,,,37.83,,,0,,38.43,37.83,0.0,587947.5,0.0,
50,TQBR,2018-12-13,Raven,RAVN,0,0.0,,,,37.83,,,0,,38.43,37.83,0.0,587947.5,0.0,
51,TQBR,2018-12-14,Raven,RAVN,0,0.0,,,,37.83,,,0,,38.43,37.83,0.0,587947.5,0.0,
52,TQBR,2018-12-17,Raven,RAVN,0,0.0,,,,37.83,,,0,,38.43,37.83,0.0,587947.5,0.0,
53,TQBR,2018-12-18,Raven,RAVN,0,0.0,,,,37.83,,,0,,38.43,37.83,0.0,587947.5,0.0,
54,TQBR,2018-12-19,Raven,RAVN,1,3890.0,38.9,38.9,38.9,38.9,38.9,38.9,100,,38.43,38.9,0.0,591837.5,0.0,
55,TQBR,2018-12-20,Raven,RAVN,1,3827.5,38.275,38.275,38.275,38.275,38.275,38.275,100,,38.43,38.275,0.0,595665.0,0.0,
56,TQBR,2018-12-21,Raven,RAVN,1,19257.5,38.515,38.515,38.515,38.515,38.515,38.515,500,,38.435,38.515,0.0,614922.5,0.0,
