,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,РОСИНТЕРао,ROST,28,550656,85.6,80.2,86.0,84.8,83.7,84.8,6580,83.7,83.7,84.8,550656,550656,550656,
1,TQBR,2018-10-02,РОСИНТЕРао,ROST,0,0,,,,84.8,,,0,83.7,83.7,84.8,550656,540395,550656,
2,TQBR,2018-10-03,РОСИНТЕРао,ROST,2,6823,85.3,85.2,85.3,85.3,85.3,85.2,80,83.7,83.5,85.3,557479,501956,557479,
3,TQBR,2018-10-04,РОСИНТЕРао,ROST,12,39860,83.3,78.4,83.3,78.4,79.7,78.4,500,,83.1,78.4,0,514563,0,
4,TQBR,2018-10-05,РОСИНТЕРао,ROST,32,292891,77.4,74.9,79.4,74.9,76.9,74.9,3810,,79.4,74.9,0,544615,0,
5,TQBR,2018-10-08,РОСИНТЕРао,ROST,4,46224,75.7,75.7,75.9,75.8,75.8,75.8,610,,78.7,75.8,0,509659,0,
6,TQBR,2018-10-09,РОСИНТЕРао,ROST,24,361086,75.9,75.9,83.2,82.9,77.3,82.9,4670,,76.9,82.9,0,504770,0,
7,TQBR,2018-10-10,РОСИНТЕРао,ROST,25,963007,80.2,75.4,82.8,75.8,79.5,79.9,12120,79.5,79.5,75.8,963007,963007,963007,
8,TQBR,2018-10-11,РОСИНТЕРао,ROST,40,769956,77.2,71.2,77.9,77.2,74.4,77.9,10350,74.4,74.4,77.2,769956,769956,769956,
9,TQBR,2018-10-12,РОСИНТЕРао,ROST,20,548617,77.3,73.1,78.5,75.2,76.1,77.9,7210,76.1,76.1,75.2,548617,548617,548617,
10,TQBR,2018-10-15,РОСИНТЕРао,ROST,10,25301,75.8,75.7,77.9,77.7,76.7,77.7,330,,76.1,77.7,0,565428,0,
11,TQBR,2018-10-16,РОСИНТЕРао,ROST,22,690918,75.9,75.9,80.0,78.5,79.5,78.0,8690,79.5,79.5,78.5,690918,690918,690918,
12,TQBR,2018-10-17,РОСИНТЕРао,ROST,7,353644,82.0,80.4,82.0,82.0,81.9,82.0,4320,80.3,81.0,82.0,1044562,515281,1044562,
13,TQBR,2018-10-18,РОСИНТЕРао,ROST,4,4007,79.7,79.7,80.7,80.0,80.1,80.0,50,,81.0,80.0,0,519288,0,
14,TQBR,2018-10-19,РОСИНТЕРао,ROST,3,26341,79.9,79.8,79.9,79.9,79.8,79.9,330,,81.0,79.9,0,505679,0,
15,TQBR,2018-10-22,РОСИНТЕРао,ROST,50,452654,81.8,81.5,87.0,86.0,84.3,86.0,5370,,83.7,86.0,0,565002,0,
16,TQBR,2018-10-23,РОСИНТЕРао,ROST,31,63603,88.0,77.3,91.0,81.5,82.6,81.5,770,,84.2,81.5,0,500763,0,
17,TQBR,2018-10-24,РОСИНТЕРао,ROST,4,86211,82.8,80.1,82.8,80.2,81.3,80.2,1060,,84.0,80.2,0,520735,0,
