,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,Ростел -ао,RTKM,3098,103253297.9,69.79,67.7,70.0,69.72,69.65,69.72,1482510,69.65,69.65,69.72,103253297.9,103253297.9,103253297.9,
1,TQBR,2018-10-02,Ростел -ао,RTKM,4265,245153160.1,69.75,68.5,70.24,70.05,69.99,70.05,3503290,69.98,69.98,70.05,245153160.1,245153160.1,245153160.1,
2,TQBR,2018-10-03,Ростел -ао,RTKM,3074,124550558.6,69.86,69.8,70.25,70.0,70.02,70.0,1778730,70.02,70.02,70.0,124550558.6,124550558.6,124550558.6,
3,TQBR,2018-10-04,Ростел -ао,RTKM,4509,260619251.3,69.95,69.36,70.13,70.0,69.86,70.0,3731930,69.83,69.83,70.0,260619251.3,260619251.3,260619251.3,
4,TQBR,2018-10-05,Ростел -ао,RTKM,3044,179811643.0,69.99,69.51,70.4,69.9,70.07,69.9,2569830,69.97,69.97,69.9,179811643.0,179811643.0,179811643.0,
5,TQBR,2018-10-08,Ростел -ао,RTKM,2604,82963987.8,69.91,69.61,70.37,70.24,70.09,70.24,1183750,70.09,70.09,70.24,82963987.8,82963987.8,82963987.8,
6,TQBR,2018-10-09,Ростел -ао,RTKM,2083,125527252.0,70.16,69.65,70.74,70.28,70.16,70.28,1792100,70.04,70.04,70.28,125527252.0,125527252.0,125527252.0,
7,TQBR,2018-10-10,Ростел -ао,RTKM,3899,625681187.6,70.12,69.82,70.34,69.95,70.02,69.95,8940030,69.99,69.99,69.95,625681187.6,625681187.6,625681187.6,
8,TQBR,2018-10-11,Ростел -ао,RTKM,5813,351040464.6,69.71,69.05,70.7,70.12,70.13,70.12,5005190,70.14,70.14,70.12,351040464.6,351040464.6,351040464.6,
9,TQBR,2018-10-12,Ростел -ао,RTKM,2066,138863039.9,70.08,69.91,70.68,70.5,70.53,70.5,1968740,70.53,70.53,70.5,138863039.9,138863039.9,138863039.9,
10,TQBR,2018-10-15,Ростел -ао,RTKM,2525,80104946.4,70.65,69.1,70.98,70.2,70.31,70.2,1139270,70.31,70.31,70.2,80104946.4,80104946.4,80104946.4,
11,TQBR,2018-10-16,Ростел -ао,RTKM,3181,156879273.8,70.23,70.1,71.35,70.56,70.91,70.56,2214070,70.86,70.86,70.56,156879273.8,156879273.8,156879273.8,
12,TQBR,2018-10-17,Ростел -ао,RTKM,1576,54694553.2,70.63,70.45,71.0,70.99,70.72,70.99,773420,70.72,70.72,70.99,54694553.2,54694553.2,54694553.2,
13,TQBR,2018-10-18,Ростел -ао,RTKM,3312,105829293.5,70.78,70.59,71.58,71.32,71.36,71.32,1483050,71.36,71.36,71.32,105829293.5,105829293.5,105829293.5,
14,TQBR,2018-10-19,Ростел -ао,RTKM,4113,156222916.9,71.32,70.7,71.68,71.5,71.32,71.5,2190280,71.33,71.33,71.5,156222916.9,156222916.9,156222916.9,
15,TQBR,2018-10-22,Ростел -ао,RTKM,5166,138275970.3,71.5,69.4,71.5,70.0,70.11,70.0,1972420,70.1,70.1,70.0,138275970.3,138275970.3,138275970.3,
16,TQBR,2018-10-23,Ростел -ао,RTKM,2836,119838296.4,69.75,69.03,69.96,69.79,69.46,69.79,1725290,69.46,69.46,69.79,119838296.4,119838296.4,119838296.4,
17,TQBR,2018-10-24,Ростел -ао,RTKM,3910,293261148.9,70.01,69.5,70.45,70.0,69.96,70.0,4191780,69.96,69.96,70.0,293261148.9,293261148.9,293261148.9,
18,TQBR,2018-10-25,Ростел -ао,RTKM,3048,221361020.7,70.18,69.66,70.19,70.0,69.99,70.0,3162830,69.99,69.99,70.0,221361020.7,221361020.7,221361020.7,
19,TQBR,2018-10-26,Ростел -ао,RTKM,2741,362233976.8,69.88,69.59,70.23,69.77,69.96,69.77,5177530,69.96,69.96,69.77,362233976.8,362233976.8,362233976.8,
20,TQBR,2018-10-29,Ростел -ао,RTKM,5090,278866093.7,69.96,68.83,70.11,69.2,69.33,69.2,4022430,69.33,69.33,69.2,278866093.7,278866093.7,278866093.7,
21,TQBR,2018-10-30,Ростел -ао,RTKM,3978,453243296.2,69.12,68.45,69.95,69.7,69.47,69.7,6524520,69.47,69.47,69.7,453243296.2,453243296.2,453243296.2,
22,TQBR,2018-10-31,Ростел -ао,RTKM,4168,123795813.8,69.99,69.52,70.24,70.0,69.89,70.0,1771350,69.89,69.89,70.0,123795813.8,123795813.8,123795813.8,
23,TQBR,2018-11-01,Ростел -ао,RTKM,7354,386792352.0,70.0,69.65,71.55,70.3,70.32,70.3,5500810,70.32,70.32,70.3,386792352.0,386792352.0,386792352.0,
24,TQBR,2018-11-02,Ростел -ао,RTKM,5144,229128068.9,70.31,70.2,70.9,70.9,70.72,70.9,3240140,70.72,70.72,70.9,229128068.9,229128068.9,229128068.9,
25,TQBR,2018-11-06,Ростел -ао,RTKM,4111,90041165.8,70.9,70.47,71.43,70.62,70.7,70.62,1273520,70.7,70.7,70.62,90041165.8,90041165.8,90041165.8,
26,TQBR,2018-11-07,Ростел -ао,RTKM,3419,119552002.7,70.52,70.22,70.6,70.6,70.52,70.6,1695290,70.52,70.52,70.6,119552002.7,119552002.7,119552002.7,
27,TQBR,2018-11-08,Ростел -ао,RTKM,2045,93347960.8,70.61,69.8,70.79,70.36,70.34,70.36,1327140,70.34,70.34,70.36,93347960.8,93347960.8,93347960.8,
28,TQBR,2018-11-09,Ростел -ао,RTKM,1559,176985422.4,70.13,69.91,70.58,70.3,70.29,70.3,2517870,70.29,70.29,70.3,176985422.4,176985422.4,176985422.4,
29,TQBR,2018-11-12,Ростел -ао,RTKM,2196,128817611.0,70.38,70.24,70.72,70.72,70.63,70.72,1824490,70.6,70.6,70.72,128817611.0,128817611.0,128817611.0,
30,TQBR,2018-11-13,Ростел -ао,RTKM,3359,350290160.6,70.15,70.15,71.05,71.0,70.83,71.0,4945290,70.83,70.83,71.0,350290160.6,350290160.6,350290160.6,
31,TQBR,2018-11-14,Ростел -ао,RTKM,3104,177991266.5,71.0,70.65,71.05,71.0,70.91,71.0,2509940,70.91,70.91,71.0,177991266.5,177991266.5,177991266.5,
32,TQBR,2018-11-15,Ростел -ао,RTKM,2794,93159979.3,70.56,70.56,72.0,71.55,71.55,71.55,1302060,71.55,71.55,71.55,93159979.3,93159979.3,93159979.3,
33,TQBR,2018-11-16,Ростел -ао,RTKM,2266,38493253.4,71.63,70.72,71.63,71.32,71.21,71.32,540550,71.21,71.21,71.32,38493253.4,38493253.4,38493253.4,
34,TQBR,2018-11-19,Ростел -ао,RTKM,2415,62551035.8,71.3,70.59,71.93,71.01,71.09,71.01,879850,71.09,71.09,71.01,62551035.8,62551035.8,62551035.8,
35,TQBR,2018-11-20,Ростел -ао,RTKM,3410,274992675.9,71.07,70.6,71.31,71.15,70.99,71.15,3873650,70.99,70.99,71.15,274992675.9,274992675.9,274992675.9,
36,TQBR,2018-11-21,Ростел -ао,RTKM,2531,119870854.8,70.84,70.81,71.5,71.35,71.21,71.35,1683250,71.21,71.21,71.35,119870854.8,119870854.8,119870854.8,
37,TQBR,2018-11-22,Ростел -ао,RTKM,1172,22067097.3,71.37,71.1,71.65,71.65,71.47,71.65,308780,71.47,71.47,71.65,22067097.3,22067097.3,22067097.3,
38,TQBR,2018-11-23,Ростел -ао,RTKM,2350,50008958.0,71.5,70.87,71.65,71.5,71.23,71.5,702030,71.23,71.23,71.5,50008958.0,50008958.0,50008958.0,
39,TQBR,2018-11-26,Ростел -ао,RTKM,3753,101956176.6,70.91,70.42,72.0,71.14,71.17,71.14,1432640,71.17,71.17,71.14,101956176.6,101956176.6,101956176.6,
40,TQBR,2018-11-27,Ростел -ао,RTKM,1423,35044225.5,71.01,70.93,71.6,71.5,71.43,71.5,490640,71.43,71.43,71.5,35044225.5,35044225.5,35044225.5,
41,TQBR,2018-11-28,Ростел -ао,RTKM,2365,108102661.2,71.6,71.39,72.2,71.5,71.79,71.5,1505860,71.79,71.79,71.5,108102661.2,108102661.2,108102661.2,
42,TQBR,2018-11-29,Ростел -ао,RTKM,4657,125578735.2,70.6,70.6,71.88,71.49,71.23,71.49,1763030,71.23,71.23,71.49,125578735.2,125578735.2,125578735.2,
43,TQBR,2018-11-30,Ростел -ао,RTKM,2122,58829048.8,71.62,70.95,71.96,71.27,71.23,71.27,825850,71.23,71.23,71.27,58829048.8,58829048.8,58829048.8,
44,TQBR,2018-12-03,Ростел -ао,RTKM,2949,97245876.0,71.5,71.2,72.11,71.4,71.5,71.4,1360090,71.5,71.5,71.4,97245876.0,97245876.0,97245876.0,
45,TQBR,2018-12-04,Ростел -ао,RTKM,2945,103071399.4,71.55,70.6,71.65,70.65,71.17,70.65,1448250,71.17,71.17,70.65,103071399.4,103071399.4,103071399.4,
46,TQBR,2018-12-05,Ростел -ао,RTKM,2575,117397440.3,70.6,70.6,71.18,70.96,70.97,70.96,1654210,70.97,70.97,70.96,117397440.3,117397440.3,117397440.3,
47,TQBR,2018-12-06,Ростел -ао,RTKM,2554,180098164.8,71.0,70.69,71.25,71.25,71.01,71.25,2536120,71.01,71.01,71.25,180098164.8,180098164.8,180098164.8,
48,TQBR,2018-12-07,Ростел -ао,RTKM,2576,71808414.2,71.4,71.02,71.54,71.3,71.32,71.3,1006840,71.32,71.32,71.3,71808414.2,71808414.2,71808414.2,
49,TQBR,2018-12-10,Ростел -ао,RTKM,1789,81891834.8,70.81,70.8,71.32,71.05,71.06,71.05,1152530,71.05,71.05,71.05,81891834.8,81891834.8,81891834.8,
50,TQBR,2018-12-11,Ростел -ао,RTKM,2196,57624170.9,71.33,70.76,71.42,70.9,71.09,70.9,810630,71.09,71.09,70.9,57624170.9,57624170.9,57624170.9,
51,TQBR,2018-12-12,Ростел -ао,RTKM,2297,141466973.7,71.1,70.53,71.4,70.82,71.0,70.82,1992470,71.0,71.0,70.82,141466973.7,141466973.7,141466973.7,
52,TQBR,2018-12-13,Ростел -ао,RTKM,2439,149420576.6,70.7,70.7,71.8,71.8,71.33,71.8,2094500,71.34,71.34,71.8,149420576.6,149420576.6,149420576.6,
53,TQBR,2018-12-14,Ростел -ао,RTKM,2034,110457165.9,71.5,70.89,71.68,71.41,71.24,71.41,1550020,71.26,71.26,71.41,110457165.9,110457165.9,110457165.9,
54,TQBR,2018-12-17,Ростел -ао,RTKM,2044,70848752.9,71.2,71.12,71.7,71.3,71.4,71.3,992290,71.4,71.4,71.3,70848752.9,70848752.9,70848752.9,
55,TQBR,2018-12-18,Ростел -ао,RTKM,3296,195281276.4,71.15,71.02,71.38,71.23,71.14,71.23,2745070,71.14,71.14,71.23,195281276.4,195281276.4,195281276.4,
