history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;МГор48-об;RU000A0JNYN1;5;198211.5;92.58;93.97;92.58;92.58;18.41;93.94;8.55;93.5;211;;92.9;92.58;0;705132.2;0;2022-06-11;1203;8.08;;;;30.08;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;МГор48-об;RU000A0JNYN1;0;0;;;;92.58;18.57;;8.55;;0;;92.9;92.58;0;705132.2;0;2022-06-11;1201;;;;;30.08;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-03;МГор48-об;RU000A0JNYN1;1;46745;93.49;93.49;93.49;93.49;18.74;93.49;8.23;93.49;50;;93.18;93.49;0;543224.4;0;2022-06-11;1200;8.23;;;;30.08;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;МГор48-об;RU000A0JNYN1;1;97572.8;93.82;93.82;93.82;93.82;18.9;93.82;8.12;93.82;104;;93.27;93.82;0;640797.2;0;2022-06-11;1199;8.12;;;;30.08;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;МГор48-об;RU000A0JNYN1;0;0;;;;93.82;19.07;;8.12;;0;92.95;93.27;93.82;1021545.3;640797.2;1021545.3;2022-06-11;1198;;;;;30.08;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-08;МГор48-об;RU000A0JNYN1;8;150960.7;93.45;93.84;93.84;93.84;19.56;93.76;8.12;93.45;161;;93.81;93.84;0;511250.6;0;2022-06-11;1195;8.15;;;;30.08;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;МГор48-об;RU000A0JNYN1;4;23616.6;93.89;94.59;94.59;94.49;19.72;94.47;7.86;93.89;25;;93.85;94.49;0;516171.6;0;2022-06-11;1195;7.9;;;;30.08;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;МГор48-об;RU000A0JNYN1;0;0;;;;94.49;19.89;;7.86;;0;;93.85;94.49;0;516171.6;0;2022-06-11;1193;;;;;30.08;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-11;МГор48-об;RU000A0JNYN1;4;248139.4;92.52;93;92.52;92.64;20.05;92.94;8.58;93;267;;93.41;92.64;0;520289.5;0;2022-06-11;1192;8.44;;;;30.08;;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;МГор48-об;RU000A0JNYN1;2;2788.9;92.95;92.99;92.99;92.99;20.22;92.96;8.42;92.95;3;;93.41;92.99;0;523078.4;0;2022-06-11;1191;8.43;;;;30.08;;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-15;МГор48-об;RU000A0JNYN1;4;106019.1;92.99;93;93;93;20.71;93;8.42;92.99;114;;93.24;93;0;500679.2;0;2022-06-11;1188;8.42;;;;30.08;;2018-10-15;1000;SUR;;;;;RUB
EQOB;2018-10-16;МГор48-об;RU000A0JNYN1;12;34173459;92.4;93;92.79;92.79;20.88;92.4;8.5;93;36984;92.4;92.4;92.79;34173459;34173459;34173459;2022-06-11;1186;8.63;;;;30.08;;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-17;МГор48-об;RU000A0JNYN1;6;42719.7;92.8;92.97;92.95;92.95;21.04;92.87;8.44;92.97;46;92.4;92.4;92.95;34216178.7;34153202.4;34216178.7;2022-06-11;1185;8.47;;;;30.08;;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-18;МГор48-об;RU000A0JNYN1;1;924.4;92.44;92.44;92.44;92.44;21.2;92.44;8.62;92.44;1;92.4;92.4;92.44;34217103.1;34154126.8;34217103.1;2022-06-11;1184;8.62;;;;30.08;;2018-10-18;1000;SUR;;;;;RUB
EQOB;2018-10-19;МГор48-об;RU000A0JNYN1;6;19528.5;92.46;93.24;92.8;92.8;21.37;92.99;8.5;92.46;21;;92.4;92.8;0;34173655.3;0;2022-06-11;1184;8.43;;;;30.08;;2018-10-19;1000;SUR;;;;;RUB
EQOB;2018-10-22;МГор48-об;RU000A0JNYN1;3;16824.5;93.46;93.47;93.47;93.47;21.86;93.47;8.27;93.46;18;;92.4;93.47;0;34190479.8;0;2022-06-11;1181;8.27;;;;30.08;;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-23;МГор48-об;RU000A0JNYN1;3;94857.5;92.99;93;93;93;22.03;93;8.43;92.99;102;;92.4;93;0;34285337.3;0;2022-06-11;1180;8.43;;;;30.08;;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-24;МГор48-об;RU000A0JNYN1;3;208320;93;93;93;93;22.19;93;8.44;93;224;;92.78;93;0;630900.2;0;2022-06-11;1179;8.44;;;;30.08;;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-25;МГор48-об;RU000A0JNYN1;3;2784.2;92.43;93;92.99;92.99;22.35;92.81;8.44;93;3;;92.78;92.99;0;633684.4;0;2022-06-11;1177;8.51;;;;30.08;;2018-10-25;1000;SUR;;;;;RUB
EQOB;2018-10-26;МГор48-об;RU000A0JNYN1;0;0;;;;92.99;22.52;;8.44;;0;;92.78;92.99;0;633684.4;0;2022-06-11;1176;;;;;30.08;;2018-10-25;1000;SUR;;;;;RUB
EQOB;2018-10-29;МГор48-об;RU000A0JNYN1;3;38070;92.43;92.99;92.9;92.9;23.01;92.85;8.48;92.43;41;;92.78;92.9;0;671754.4;0;2022-06-11;1173;8.5;;;;30.08;;2018-10-29;1000;SUR;;;;;RUB
EQOB;2018-10-30;МГор48-об;RU000A0JNYN1;7;13654442;92.9;92.9;92.9;92.9;23.18;92.9;8.48;92.9;14698;92.9;92.9;92.9;13692512;13692512;13692512;2022-06-11;1172;8.48;;;;30.08;;2018-10-30;1000;SUR;;;;;RUB
EQOB;2018-10-31;МГор48-об;RU000A0JNYN1;0;0;;;;92.9;23.34;;8.48;;0;92.9;92.9;92.9;13692512;13692512;13692512;2022-06-11;1171;;;;;30.08;;2018-10-30;1000;SUR;;;;;RUB
EQOB;2018-11-01;МГор48-об;RU000A0JNYN1;6;312163.2;92.48;93.76;92.52;92.52;23.51;93.74;8.62;93.75;333;92.92;92.92;92.52;13966605.2;13831900.2;13966605.2;2022-06-11;1171;8.19;;;;30.08;;2018-11-01;1000;SUR;;;;;RUB
EQOB;2018-11-02;МГор48-об;RU000A0JNYN1;0;0;;;;92.52;23.67;;8.62;;0;92.92;92.92;92.52;14004675.2;13831900.2;14004675.2;2022-06-11;1169;;;;;30.08;;2018-11-01;1000;SUR;;;;;RUB
EQOB;2018-11-06;МГор48-об;RU000A0JNYN1;0;0;;;;92.52;24.33;;8.63;;0;92.92;92.92;92.52;13966605.2;13831900.2;13966605.2;2022-06-11;1165;;;;;30.08;;2018-11-01;1000;SUR;;;;;RUB
EQOB;2018-11-07;МГор48-об;RU000A0JNYN1;5;337893.8;92.7;93.75;92.7;92.7;24.49;93.6;8.57;93.74;361;93.67;93.66;92.7;650057;595682;650057;2022-06-11;1165;8.25;;;;30.08;;2018-11-07;1000;SUR;;;;;RUB
EQOB;2018-11-08;МГор48-об;RU000A0JNYN1;4;99370;93.74;93.75;93.75;93.75;24.66;93.75;8.2;93.74;106;93.68;93.67;93.75;749427;634113.8;749427;2022-06-11;1164;8.2;;;;30.08;;2018-11-08;1000;SUR;;;;;RUB
EQOB;2018-11-09;МГор48-об;RU000A0JNYN1;1;1875;93.75;93.75;93.75;93.75;24.82;93.75;8.2;93.75;2;;93.67;93.75;0;635988.8;0;2022-06-11;1163;8.2;;;;30.08;;2018-11-09;1000;SUR;;;;;RUB
EQOB;2018-11-12;МГор48-об;RU000A0JNYN1;11;111550.7;93.74;93.75;93.74;93.74;25.31;93.74;8.21;93.75;119;;93.65;93.74;0;542252.9;0;2022-06-11;1160;8.21;;;;30.08;;2018-11-12;1000;SUR;;;;;RUB
EQOB;2018-11-13;МГор48-об;RU000A0JNYN1;3;213728.2;93.74;93.75;93.74;93.74;25.48;93.74;8.21;93.75;228;;93.66;93.74;0;580687.3;0;2022-06-11;1159;8.21;;;;30.08;;2018-11-13;1000;SUR;;;;;RUB
EQOB;2018-11-14;МГор48-об;RU000A0JNYN1;11;168619.6;91.62;93.09;93.09;93.07;25.64;92.65;8.44;92.36;182;;93.4;93.07;0;548273.5;0;2022-06-11;1157;8.6;;;;30.08;;2018-11-14;1000;SUR;;;;;RUB
EQOB;2018-11-15;МГор48-об;RU000A0JNYN1;2;9234.4;92.34;92.36;92.34;92.34;25.81;92.34;8.71;92.36;10;;93.34;92.34;0;500320.6;0;2022-06-11;1156;8.71;;;;30.08;;2018-11-15;1000;SUR;;;;;RUB
EQOB;2018-11-16;МГор48-об;RU000A0JNYN1;0;0;;;;92.34;25.97;;8.71;;0;;93.34;92.34;0;500320.6;0;2022-06-11;1156;;;;;30.08;;2018-11-15;1000;SUR;;;;;RUB
