history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;РЖД-18 обл;RU000A0JQ7X7;0;0;;;;100.69;17.83;;7.64;;0;100.37;100.37;100.69;241003718;240983658;241003718;2019-07-15;280;;;;;42.13;;2018-09-28;1000;SUR;;;;;RUB
EQOB;2018-10-02;РЖД-18 обл;RU000A0JQ7X7;9;188939058.2;100.5;100.74;100.74;100.74;18.06;100.58;7.57;100.52;187846;100.46;100.58;100.74;429942776.2;188989403.2;429942776.2;2019-07-15;279;7.79;;;;42.13;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;РЖД-18 обл;RU000A0JQ7X7;5;2448989.4;100.74;100.74;100.74;100.74;18.29;100.74;7.57;100.74;2431;100.58;100.66;100.74;191388047.6;100937042.4;191388047.6;2019-07-15;278;7.57;;;;42.13;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;РЖД-18 обл;RU000A0JQ7X7;5;83086689;100.55;100.69;100.55;100.55;18.52;100.55;7.83;100.69;82630;100.56;100.56;100.55;85535678.4;85535678.4;85535678.4;2019-07-15;277;7.83;;;;42.13;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;РЖД-18 обл;RU000A0JQ7X7;1;1006;100.6;100.6;100.6;100.6;18.75;100.6;7.76;100.6;1;100.56;100.56;100.6;85536684.4;85038021.4;85536684.4;2019-07-15;276;7.76;;;;42.13;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;РЖД-18 обл;RU000A0JQ7X7;0;0;;;;100.6;19.45;;7.75;;0;100.57;100.56;100.6;274475742.6;85038021.4;274475742.6;2019-07-15;273;;;;;42.13;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-09;РЖД-18 обл;RU000A0JQ7X7;0;0;;;;100.6;19.68;;7.74;;0;100.56;100.56;100.6;85536684.4;85038021.4;85536684.4;2019-07-15;272;;;;;42.13;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-10;РЖД-18 обл;RU000A0JQ7X7;0;0;;;;100.6;19.91;;7.74;;0;100.42;100.56;100.6;1117699460.6;85038021.4;1117699460.6;2019-07-15;271;;;;;42.13;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-11;РЖД-18 обл;RU000A0JQ7X7;0;0;;;;100.6;20.14;;7.74;;0;100.48;100.56;100.6;515479460.6;85038021.4;515479460.6;2019-07-15;270;;;;;42.13;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-12;РЖД-18 обл;RU000A0JQ7X7;1;5027000;100.54;100.54;100.54;100.54;20.37;100.54;7.82;100.54;5000;100.57;100.55;100.54;279502742.6;89420285.4;279502742.6;2019-07-15;269;7.82;;;;42.13;;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-15;РЖД-18 обл;RU000A0JQ7X7;6;7184602;100.4;100.5;100.4;100.4;21.07;100.48;8.01;100.5;7150;100.57;100.54;100.4;286687344.6;92652608;286687344.6;2019-07-15;266;7.9;;;;42.13;;2018-10-15;1000;SUR;;;;;RUB
EQOB;2018-10-16;РЖД-18 обл;RU000A0JQ7X7;1;3012;100.4;100.4;100.4;100.4;21.3;100.4;8.01;100.4;3;100.55;100.54;100.4;97751298.4;42380620;97751298.4;2019-07-15;265;8.01;;;;42.13;;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-17;РЖД-18 обл;RU000A0JQ7X7;4;2610420;100.4;100.5;100.4;100.4;21.53;100.4;8.01;100.5;2600;100.46;100.42;100.4;9798034;4773034;9798034;2019-07-15;264;8.01;;;;42.13;;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-18;РЖД-18 обл;RU000A0JQ7X7;2;2116550;100.55;100.8;100.55;100.55;21.76;100.79;7.79;100.8;2100;100.53;100.55;100.55;16941584;5935284;16941584;2019-07-15;263;7.44;;;;42.13;;2018-10-18;1000;SUR;;;;;RUB
EQOB;2018-10-19;РЖД-18 обл;RU000A0JQ7X7;1;1005.9;100.59;100.59;100.59;100.59;21.99;100.59;7.73;100.59;1;100.52;100.55;100.59;11915589.9;5934279.9;11915589.9;2019-07-15;262;7.73;;;;42.13;;2018-10-19;1000;SUR;;;;;RUB
EQOB;2018-10-22;РЖД-18 обл;RU000A0JQ7X7;0;0;;;;100.59;22.69;;7.72;;0;100.53;100.55;100.59;16942589.9;5934279.9;16942589.9;2019-07-15;259;;;;;42.13;;2018-10-19;1000;SUR;;;;;RUB
EQOB;2018-10-23;РЖД-18 обл;RU000A0JQ7X7;2;547561.5;100.47;100.47;100.47;100.47;22.92;100.47;7.89;100.47;545;100.52;100.56;100.47;17490151.4;5278549.4;17490151.4;2019-07-15;258;7.89;;;;42.13;;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-24;РЖД-18 обл;RU000A0JQ7X7;2;2009.6;100.48;100.48;100.48;100.48;23.15;100.48;7.87;100.48;2;100.52;100.56;100.48;17492161;5276542;17492161;2019-07-15;257;7.87;;;;42.13;;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-25;РЖД-18 обл;RU000A0JQ7X7;0;0;;;;100.48;23.38;;7.87;;0;100.52;100.56;100.48;17492161;5276542;17492161;2019-07-15;256;;;;;42.13;;2018-10-24;1000;SUR;;;;;RUB
