history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ДОМ.РФ16об;RU000A0JQXG0;0;0;;;;101.01;2.17;;7.75;;0;;;101.01;0;0;0;2021-09-15;;;;;;12.34;;2018-08-24;600;SUR;;;;;RUB
EQOB;2018-10-02;ДОМ.РФ16об;RU000A0JQXG0;0;0;;;;101.01;2.31;;7.75;;0;;;101.01;0;0;0;2021-09-15;;;;;;12.34;;2018-08-24;600;SUR;;;;;RUB
EQOB;2018-10-03;ДОМ.РФ16об;RU000A0JQXG0;0;0;;;;101.01;2.44;;7.75;;0;;;101.01;0;0;0;2021-09-15;;;;;;12.34;;2018-08-24;600;SUR;;;;;RUB
EQOB;2018-10-04;ДОМ.РФ16об;RU000A0JQXG0;0;0;;;;101.01;2.58;;7.75;;0;;;101.01;0;0;0;2021-09-15;;;;;;12.34;;2018-08-24;600;SUR;;;;;RUB
EQOB;2018-10-05;ДОМ.РФ16об;RU000A0JQXG0;1;600;100;100;100;100;2.71;100;8.51;100;1;;;100;0;0;0;2021-09-15;521;8.51;;;;12.34;;2018-10-05;600;SUR;;;;;RUB
EQOB;2018-10-08;ДОМ.РФ16об;RU000A0JQXG0;0;0;;;;100;3.12;;8.51;;0;;;100;0;0;0;2021-09-15;;;;;;12.34;;2018-10-05;600;SUR;;;;;RUB
EQOB;2018-10-09;ДОМ.РФ16об;RU000A0JQXG0;0;0;;;;100;3.25;;8.51;;0;;;100;0;0;0;2021-09-15;;;;;;12.34;;2018-10-05;600;SUR;;;;;RUB
EQOB;2018-10-10;ДОМ.РФ16об;RU000A0JQXG0;0;0;;;;100;3.39;;8.51;;0;;;100;0;0;0;2021-09-15;;;;;;12.34;;2018-10-05;600;SUR;;;;;RUB
EQOB;2018-10-11;ДОМ.РФ16об;RU000A0JQXG0;0;0;;;;100;3.53;;8.51;;0;;;100;0;0;0;2021-09-15;;;;;;12.34;;2018-10-05;600;SUR;;;;;RUB
EQOB;2018-10-12;ДОМ.РФ16об;RU000A0JQXG0;0;0;;;;100;3.66;;8.51;;0;;;100;0;0;0;2021-09-15;;;;;;12.34;;2018-10-05;600;SUR;;;;;RUB
EQOB;2018-10-15;ДОМ.РФ16об;RU000A0JQXG0;0;0;;;;100;4.07;;8.51;;0;;;100;0;0;0;2021-09-15;;;;;;12.34;;2018-10-05;600;SUR;;;;;RUB
EQOB;2018-10-16;ДОМ.РФ16об;RU000A0JQXG0;0;0;;;;100;4.2;;8.51;;0;;;100;0;0;0;2021-09-15;;;;;;12.34;;2018-10-05;600;SUR;;;;;RUB
