history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQIF;2018-10-01;ВТБФондАкц;RU000A0JR282;30;382065;27.85;27.85;28.4;28.4;28.3;28.4;13500;;28.2;28.4;0;507695;0;
TQIF;2018-10-02;ВТБФондАкц;RU000A0JR282;21;178835;28.4;28.3;28.4;28.4;28.4;28.4;6300;;28.35;28.4;0;510180;0;
TQIF;2018-10-03;ВТБФондАкц;RU000A0JR282;20;187975;28.35;28.35;28.5;28.4;28.5;28.4;6600;;28.4;28.4;0;502875;0;
TQIF;2018-10-04;ВТБФондАкц;RU000A0JR282;28;414855;28.5;28.3;28.5;28.4;28.4;28.4;14600;;28.45;28.4;0;508895;0;
TQIF;2018-10-05;ВТБФондАкц;RU000A0JR282;23;135745;28.25;28.25;28.35;28.25;28.3;28.25;4800;;28.35;28.25;0;507880;0;
TQIF;2018-10-08;ВТБФондАкц;RU000A0JR282;24;209675;28.3;28.25;28.35;28.35;28.35;28.35;7400;;28.35;28.35;0;501635;0;
TQIF;2018-10-09;ВТБФондАкц;RU000A0JR282;21;258335;28.4;28.3;28.4;28.4;28.4;28.4;9100;;28.35;28.4;0;507610;0;
TQIF;2018-10-10;ВТБФондАкц;RU000A0JR282;15;386955;28.4;28.2;28.4;28.2;28.25;28.2;13700;;28.3;28.2;0;511895;0;
TQIF;2018-10-11;ВТБФондАкц;RU000A0JR282;32;241100;27.7;27.6;27.8;27.6;27.7;27.6;8700;;28.05;27.6;0;625215;0;
TQIF;2018-10-12;ВТБФондАкц;RU000A0JR282;16;96590;27.6;27.5;27.65;27.65;27.6;27.65;3500;;28;27.65;0;721805;0;
TQIF;2018-10-15;ВТБФондАкц;RU000A0JR282;24;232175;28.4;27.4;28.4;27.7;27.65;27.7;8400;;27.65;27.7;0;511525;0;
TQIF;2018-10-16;ВТБФондАкц;RU000A0JR282;18;177675;28.6;27.55;28.6;27.8;27.75;27.8;6400;;27.7;27.8;0;500920;0;
TQIF;2018-10-17;ВТБФондАкц;RU000A0JR282;23;196565;28.6;28;28.6;28;28.1;28;7000;;27.85;28;0;504150;0;
TQIF;2018-10-18;ВТБФондАкц;RU000A0JR282;39;595810;28.45;27.4;28.6;27.8;27.85;27.8;21400;27.85;27.85;27.8;595810;595810;595810;
TQIF;2018-10-19;ВТБФондАкц;RU000A0JR282;27;229805;27.7;27.55;27.75;27.55;27.7;27.55;8300;;27.75;27.55;0;527265;0;
TQIF;2018-10-22;ВТБФондАкц;RU000A0JR282;31;324185;27.5;27.4;27.5;27.5;27.45;27.4;11800;;27.55;27.5;0;504120;0;
TQIF;2018-10-23;ВТБФондАкц;RU000A0JR282;48;519710;27.5;26.85;27.5;26.85;26.95;26.85;19300;26.95;26.95;26.85;519710;519710;519710;
TQIF;2018-10-24;ВТБФондАкц;RU000A0JR282;28;171165;27.2;27;27.3;27.25;27.15;27.3;6300;;27;27.25;0;504555;0;
TQIF;2018-10-25;ВТБФондАкц;RU000A0JR282;16;116375;27;26.9;27.2;27.1;27.05;27.1;4300;;27;27.1;0;542865;0;
TQIF;2018-10-26;ВТБФондАкц;RU000A0JR282;16;259705;26.9;26.7;26.9;26.7;26.75;26.7;9700;;26.95;26.7;0;501045;0;
TQIF;2018-10-29;ВТБФондАкц;RU000A0JR282;29;222590;28;26.6;28;26.95;26.8;26.95;8300;;26.8;26.95;0;512180;0;
TQIF;2018-10-30;ВТБФондАкц;RU000A0JR282;73;491130;28.6;26.8;28.6;26.9;27;26.85;18200;;27;26.9;0;509985;0;
TQIF;2018-10-31;ВТБФондАкц;RU000A0JR282;75;467340;28.6;25.6;28.6;27.25;27.15;27.25;17200;;27.15;27.25;0;502305;0;
TQIF;2018-11-01;ВТБФондАкц;RU000A0JR282;85;668840;28.4;25.3;38;27.35;27.5;27.35;24300;27.5;27.5;27.35;668840;668840;668840;
TQIF;2018-11-02;ВТБФондАкц;RU000A0JR282;32;251210;26;26;27.75;27.75;27.6;27.75;9100;;27.45;27.75;0;502070;0;
TQIF;2018-11-06;ВТБФондАкц;RU000A0JR282;76;469510;26.05;26.05;27.9;27.8;27.8;27.8;16900;;27.8;27.8;0;500025;0;
TQIF;2018-11-07;ВТБФондАкц;RU000A0JR282;43;352540;27.9;27.8;28.1;28;28;28;12600;;27.95;28;0;502870;0;
TQIF;2018-11-08;ВТБФондАкц;RU000A0JR282;42;721815;29.75;26.5;29.75;28.2;28.2;28.2;25600;28.2;28.2;28.2;721815;721815;721815;
TQIF;2018-11-09;ВТБФондАкц;RU000A0JR282;40;479370;29.8;26.45;29.8;28;28.05;28;17100;;28.1;28;0;676730;0;
TQIF;2018-11-12;ВТБФондАкц;RU000A0JR282;47;711575;27.05;27.05;30;28.05;28;27.95;25400;28;28;28.05;711575;711575;711575;
TQIF;2018-11-13;ВТБФондАкц;RU000A0JR282;42;470790;29.8;27.9;29.8;27.95;28;27.95;16800;;28;27.95;0;504400;0;
TQIF;2018-11-14;ВТБФондАкц;RU000A0JR282;32;190280;29.15;27.9;29.15;27.9;28;27.9;6800;;28;27.9;0;515180;0;
TQIF;2018-11-15;ВТБФондАкц;RU000A0JR282;85;548680;26.55;26.55;30;28.05;28;28.05;19600;28;28;28.05;548680;548680;548680;
TQIF;2018-11-16;ВТБФондАкц;RU000A0JR282;43;286015;29.45;27.15;29.45;28.05;28.05;28.05;10200;;28.05;28.05;0;510155;0;
TQIF;2018-11-19;ВТБФондАкц;RU000A0JR282;37;246475;27;26.8;28.45;28.05;28;28.05;8800;;28;28.05;0;504370;0;
TQIF;2018-11-20;ВТБФондАкц;RU000A0JR282;65;412250;28.25;27.25;29.65;27.35;27.5;27.35;15000;;27.6;27.35;0;507545;0;
TQIF;2018-11-21;ВТБФондАкц;RU000A0JR282;66;318410;27.1;27.1;27.25;27.15;27.2;27.15;11700;;27.3;27.15;0;502215;0;
TQIF;2018-11-22;ВТБФондАкц;RU000A0JR282;109;710840;28.05;27.25;28.05;27.4;27.35;27.4;26000;27.35;27.35;27.4;710840;710840;710840;
TQIF;2018-11-23;ВТБФондАкц;RU000A0JR282;102;518765;27.95;27.05;28.05;27.15;27.3;27.05;19000;27.3;27.3;27.15;518765;518765;518765;
TQIF;2018-11-26;ВТБФондАкц;RU000A0JR282;58;470675;27.4;26.9;27.5;27;27.2;27;17300;;27.2;27;0;500510;0;
TQIF;2018-11-27;ВТБФондАкц;RU000A0JR282;49;318505;26.2;26.2;27.95;27;27;27;11800;;27;27;0;512645;0;
TQIF;2018-11-28;ВТБФондАкц;RU000A0JR282;60;1039610;26.4;26.4;27.5;27.4;27.2;27.45;38200;27.2;27.2;27.4;1039610;1039610;1039610;
TQIF;2018-11-29;ВТБФондАкц;RU000A0JR282;61;403090;26.6;26.6;27.7;27.55;27.6;27.55;14600;;27.55;27.55;0;512850;0;
TQIF;2018-11-30;ВТБФондАкц;RU000A0JR282;51;242300;26.7;26.7;28.6;27.45;27.55;27.45;8800;;27.55;27.45;0;504420;0;
TQIF;2018-12-03;ВТБФондАкц;RU000A0JR282;89;892900;28.55;26.25;28.55;27.9;27.8;27.9;32100;27.8;27.8;27.9;892900;892900;892900;
TQIF;2018-12-04;ВТБФондАкц;RU000A0JR282;64;398120;28.8;27.2;28.8;28.05;28.05;28.05;14200;;28;28.05;0;501470;0;
TQIF;2018-12-05;ВТБФондАкц;RU000A0JR282;38;378850;27.85;27.75;27.95;27.95;27.85;27.95;13600;;27.9;27.95;0;502150;0;
TQIF;2018-12-06;ВТБФондАкц;RU000A0JR282;31;404100;28.9;27.75;28.9;27.85;27.85;27.85;14500;;27.85;27.85;0;504505;0;
TQIF;2018-12-07;ВТБФондАкц;RU000A0JR282;41;397165;27.8;27.7;28.25;28.2;27.95;28.2;14200;;27.95;28.2;0;511330;0;
TQIF;2018-12-10;ВТБФондАкц;RU000A0JR282;64;599070;27.5;27.5;28;27.9;27.85;27.9;21500;27.85;27.85;27.9;599070;599070;599070;
TQIF;2018-12-11;ВТБФондАкц;RU000A0JR282;72;568080;27.8;27.75;27.9;27.85;27.85;27.8;20400;27.85;27.85;27.85;568080;568080;568080;
TQIF;2018-12-12;ВТБФондАкц;RU000A0JR282;226;1550975;27.5;27.05;37;27.5;27.75;27.5;55900;27.75;27.75;27.5;1550975;1550975;1550975;
TQIF;2018-12-13;ВТБФондАкц;RU000A0JR282;75;770530;28.3;27;29.3;27.55;27.4;27.55;28100;27.4;27.4;27.55;770530;770530;770530;
TQIF;2018-12-14;ВТБФондАкц;RU000A0JR282;43;505710;27.95;27.05;27.95;27.45;27.5;27.45;18400;27.5;27.5;27.45;505710;505710;505710;
TQIF;2018-12-17;ВТБФондАкц;RU000A0JR282;55;422415;27.4;27.3;27.5;27.4;27.45;27.5;15400;;27.45;27.4;0;501955;0;
TQIF;2018-12-18;ВТБФондАкц;RU000A0JR282;59;691865;27.95;27;27.95;27.1;27.15;27.1;25500;27.15;27.15;27.1;691865;691865;691865;
TQIF;2018-12-19;ВТБФондАкц;RU000A0JR282;74;470820;27.95;26.8;28.45;27.3;27.2;27.3;17300;;27.2;27.3;0;517040;0;
TQIF;2018-12-20;ВТБФондАкц;RU000A0JR282;66;806175;30;27;30;27.15;27.15;27.15;29700;27.15;27.15;27.15;806175;806175;806175;
TQIF;2018-12-21;ВТБФондАкц;RU000A0JR282;15;298430;27.05;27.05;27.15;27.1;27.15;27.1;11000;;27.1;27.1;0;501585;0;


