history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ДОМ.РФ17об;RU000A0JR5F7;0;0;;;;102;19.34;;7.93;;0;;;102;0;0;0;2022-04-15;;;;;;22.81;;2018-08-29;1000;SUR;;;;;RUB
EQOB;2018-10-02;ДОМ.РФ17об;RU000A0JR5F7;0;0;;;;102;19.59;;7.93;;0;;;102;0;0;0;2022-04-15;;;;;;22.81;;2018-08-29;1000;SUR;;;;;RUB
EQOB;2018-10-03;ДОМ.РФ17об;RU000A0JR5F7;1;283185;101.5;101.5;101.5;101.5;19.84;101.5;8.28;101.5;279;;103.19;101.5;0;940836270;0;2022-04-15;538;8.28;;;;22.81;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;ДОМ.РФ17об;RU000A0JR5F7;0;0;;;;101.5;20.08;;8.28;;0;;103.19;101.5;0;940836270;0;2022-04-15;541;;;;;22.81;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-05;ДОМ.РФ17об;RU000A0JR5F7;0;0;;;;101.5;20.33;;8.27;;0;;103.19;101.5;0;940836270;0;2022-04-15;540;;;;;22.81;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-08;ДОМ.РФ17об;RU000A0JR5F7;0;0;;;;101.5;21.08;;8.27;;0;;;101.5;0;0;0;2022-04-15;537;;;;;22.81;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-09;ДОМ.РФ17об;RU000A0JR5F7;0;0;;;;101.5;21.32;;8.27;;0;;;101.5;0;0;0;2022-04-15;;;;;;22.81;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-10;ДОМ.РФ17об;RU000A0JR5F7;0;0;;;;101.5;21.57;;8.27;;0;;;101.5;0;0;0;2022-04-15;;;;;;22.81;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-11;ДОМ.РФ17об;RU000A0JR5F7;0;0;;;;101.5;21.82;;8.26;;0;;;101.5;0;0;0;2022-04-15;;;;;;22.81;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-12;ДОМ.РФ17об;RU000A0JR5F7;0;0;;;;101.5;22.07;;8.26;;0;;;101.5;0;0;0;2022-04-15;;;;;;22.81;;2018-10-03;1000;SUR;;;;;RUB
