,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,Правоурми1,RU000A0JTER1,0,0,,,,101.0,9.37,,8.29,,0,,100.98,101.0,0,4935941.1,0,2019-12-26,434,,,,,30.58,,2018-09-28,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,Правоурми1,RU000A0JTER1,0,0,,,,101.0,9.62,,8.28,,0,,100.98,101.0,0,4935941.1,0,2019-12-26,433,,,,,30.58,,2018-09-28,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,Правоурми1,RU000A0JTER1,0,0,,,,101.0,9.86,,8.28,,0,,100.98,101.0,0,4935941.1,0,2019-12-26,432,,,,,30.58,,2018-09-28,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,Правоурми1,RU000A0JTER1,0,0,,,,101.0,10.11,,8.28,,0,,100.98,101.0,0,4935941.1,0,2019-12-26,431,,,,,30.58,,2018-09-28,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,Правоурми1,RU000A0JTER1,0,0,,,,101.0,10.36,,8.28,,0,,100.98,101.0,0,4935941.1,0,2019-12-26,430,,,,,30.58,,2018-09-28,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,Правоурми1,RU000A0JTER1,1,20130,100.65,100.65,100.65,100.65,11.1,100.65,8.59,100.65,20,,101.0,100.65,0,4780248.6,0,2019-12-26,427,8.59,,,,30.58,,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,Правоурми1,RU000A0JTER1,0,0,,,,100.65,11.34,,8.59,,0,,101.0,100.65,0,4780248.6,0,2019-12-26,426,,,,,30.58,,2018-10-08,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,Правоурми1,RU000A0JTER1,0,0,,,,100.65,11.59,,8.59,,0,,101.0,100.65,0,4780248.6,0,2019-12-26,425,,,,,30.58,,2018-10-08,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,Правоурми1,RU000A0JTER1,0,0,,,,100.65,11.84,,8.58,,0,,101.0,100.65,0,4780248.6,0,2019-12-26,424,,,,,30.58,,2018-10-08,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,Правоурми1,RU000A0JTER1,0,0,,,,100.65,12.08,,8.58,,0,,101.0,100.65,0,4780248.6,0,2019-12-26,423,,,,,30.58,,2018-10-08,1000,SUR,,,,,RUB
10,EQOB,2018-10-15,Правоурми1,RU000A0JTER1,0,0,,,,100.65,12.82,,8.58,,0,,101.0,100.65,0,4780248.6,0,2019-12-26,420,,,,,30.58,,2018-10-08,1000,SUR,,,,,RUB
11,EQOB,2018-10-16,Правоурми1,RU000A0JTER1,0,0,,,,100.65,13.07,,8.58,,0,,101.0,100.65,0,4780248.6,0,2019-12-26,419,,,,,30.58,,2018-10-08,1000,SUR,,,,,RUB
12,EQOB,2018-10-17,Правоурми1,RU000A0JTER1,0,0,,,,100.65,13.32,,8.57,,0,,101.0,100.65,0,4780248.6,0,2019-12-26,418,,,,,30.58,,2018-10-08,1000,SUR,,,,,RUB
13,EQOB,2018-10-18,Правоурми1,RU000A0JTER1,0,0,,,,100.65,13.56,,8.57,,0,,101.0,100.65,0,4780248.6,0,2019-12-26,417,,,,,30.58,,2018-10-08,1000,SUR,,,,,RUB
14,EQOB,2018-10-19,Правоурми1,RU000A0JTER1,0,0,,,,100.65,13.81,,8.57,,0,,101.0,100.65,0,4780248.6,0,2019-12-26,416,,,,,30.58,,2018-10-08,1000,SUR,,,,,RUB
15,EQOB,2018-10-22,Правоурми1,RU000A0JTER1,0,0,,,,100.65,14.55,,8.57,,0,,101.0,100.65,0,4780248.6,0,2019-12-26,413,,,,,30.58,,2018-10-08,1000,SUR,,,,,RUB
16,EQOB,2018-10-23,Правоурми1,RU000A0JTER1,0,0,,,,100.65,14.79,,8.57,,0,,101.0,100.65,0,4780248.6,0,2019-12-26,412,,,,,30.58,,2018-10-08,1000,SUR,,,,,RUB
17,EQOB,2018-10-24,Правоурми1,RU000A0JTER1,0,0,,,,100.65,15.04,,8.56,,0,,101.0,100.65,0,4780248.6,0,2019-12-26,411,,,,,30.58,,2018-10-08,1000,SUR,,,,,RUB
18,EQOB,2018-10-25,Правоурми1,RU000A0JTER1,0,0,,,,100.65,15.29,,8.56,,0,,101.0,100.65,0,4780248.6,0,2019-12-26,410,,,,,30.58,,2018-10-08,1000,SUR,,,,,RUB
19,EQOB,2018-10-26,Правоурми1,RU000A0JTER1,0,0,,,,100.65,15.53,,8.56,,0,,101.0,100.65,0,4780248.6,0,2019-12-26,409,,,,,30.58,,2018-10-08,1000,SUR,,,,,RUB
20,EQOB,2018-10-29,Правоурми1,RU000A0JTER1,0,0,,,,100.65,16.27,,8.56,,0,,101.0,100.65,0,4780248.6,0,2019-12-26,406,,,,,30.58,,2018-10-08,1000,SUR,,,,,RUB
21,EQOB,2018-10-30,Правоурми1,RU000A0JTER1,0,0,,,,100.65,16.52,,8.55,,0,,101.0,100.65,0,4780248.6,0,2019-12-26,405,,,,,30.58,,2018-10-08,1000,SUR,,,,,RUB
22,EQOB,2018-10-31,Правоурми1,RU000A0JTER1,0,0,,,,100.65,16.77,,8.55,,0,,101.0,100.65,0,4780248.6,0,2019-12-26,404,,,,,30.58,,2018-10-08,1000,SUR,,,,,RUB
23,EQOB,2018-11-01,Правоурми1,RU000A0JTER1,0,0,,,,100.65,17.01,,8.55,,0,,101.0,100.65,0,4780248.6,0,2019-12-26,403,,,,,30.58,,2018-10-08,1000,SUR,,,,,RUB
24,EQOB,2018-11-02,Правоурми1,RU000A0JTER1,0,0,,,,100.65,17.26,,8.55,,0,,101.0,100.65,0,4780248.6,0,2019-12-26,402,,,,,30.58,,2018-10-08,1000,SUR,,,,,RUB
25,EQOB,2018-11-06,Правоурми1,RU000A0JTER1,2,1493646,100.65,100.65,100.65,100.65,18.25,100.65,8.54,100.65,1484,,100.89,100.65,0,5061894.6,0,2019-12-26,398,8.54,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
26,EQOB,2018-11-07,Правоурми1,RU000A0JTER1,0,0,,,,100.65,18.49,,8.54,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,397,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
27,EQOB,2018-11-08,Правоурми1,RU000A0JTER1,0,0,,,,100.65,18.74,,8.54,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,396,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
28,EQOB,2018-11-09,Правоурми1,RU000A0JTER1,0,0,,,,100.65,18.99,,8.54,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,395,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
29,EQOB,2018-11-12,Правоурми1,RU000A0JTER1,0,0,,,,100.65,19.73,,8.53,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,392,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
30,EQOB,2018-11-13,Правоурми1,RU000A0JTER1,0,0,,,,100.65,19.97,,8.53,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,391,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
31,EQOB,2018-11-14,Правоурми1,RU000A0JTER1,0,0,,,,100.65,20.22,,8.53,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,390,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
32,EQOB,2018-11-15,Правоурми1,RU000A0JTER1,0,0,,,,100.65,20.47,,8.53,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,389,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
33,EQOB,2018-11-16,Правоурми1,RU000A0JTER1,0,0,,,,100.65,20.71,,8.53,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,388,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
34,EQOB,2018-11-19,Правоурми1,RU000A0JTER1,0,0,,,,100.65,21.45,,8.52,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,385,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
35,EQOB,2018-11-20,Правоурми1,RU000A0JTER1,0,0,,,,100.65,21.7,,8.52,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,384,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
36,EQOB,2018-11-21,Правоурми1,RU000A0JTER1,0,0,,,,100.65,21.95,,8.52,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,383,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
37,EQOB,2018-11-22,Правоурми1,RU000A0JTER1,0,0,,,,100.65,22.19,,8.52,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,382,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
38,EQOB,2018-11-23,Правоурми1,RU000A0JTER1,0,0,,,,100.65,22.44,,8.52,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,381,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
39,EQOB,2018-11-26,Правоурми1,RU000A0JTER1,0,0,,,,100.65,23.18,,8.51,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,378,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
40,EQOB,2018-11-27,Правоурми1,RU000A0JTER1,0,0,,,,100.65,23.42,,8.51,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,377,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
41,EQOB,2018-11-28,Правоурми1,RU000A0JTER1,0,0,,,,100.65,23.67,,8.51,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,376,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
42,EQOB,2018-11-29,Правоурми1,RU000A0JTER1,0,0,,,,100.65,23.92,,8.51,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,375,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
43,EQOB,2018-11-30,Правоурми1,RU000A0JTER1,0,0,,,,100.65,24.16,,8.5,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,374,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
44,EQOB,2018-12-03,Правоурми1,RU000A0JTER1,0,0,,,,100.65,24.9,,8.5,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,371,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
45,EQOB,2018-12-04,Правоурми1,RU000A0JTER1,0,0,,,,100.65,25.15,,8.5,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,370,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
46,EQOB,2018-12-05,Правоурми1,RU000A0JTER1,0,0,,,,100.65,25.4,,8.5,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,369,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
47,EQOB,2018-12-06,Правоурми1,RU000A0JTER1,0,0,,,,100.65,25.64,,8.49,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,368,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
48,EQOB,2018-12-07,Правоурми1,RU000A0JTER1,0,0,,,,100.65,25.89,,8.49,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,367,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
49,EQOB,2018-12-10,Правоурми1,RU000A0JTER1,0,0,,,,100.65,26.63,,8.49,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,364,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
50,EQOB,2018-12-11,Правоурми1,RU000A0JTER1,0,0,,,,100.65,26.88,,8.49,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,363,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
51,EQOB,2018-12-12,Правоурми1,RU000A0JTER1,0,0,,,,100.65,27.12,,8.48,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,362,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
52,EQOB,2018-12-13,Правоурми1,RU000A0JTER1,0,0,,,,100.65,27.37,,8.48,,0,,100.89,100.65,0,5061894.6,0,2019-12-26,361,,,,,30.58,,2018-11-06,1000,SUR,,,,,RUB
53,EQOB,2018-12-14,Правоурми1,RU000A0JTER1,2,2561360,101.0,101.0,101.0,101.0,27.62,101.0,8.11,101.0,2536,,100.9,101.0,0,5602238.6,0,2019-12-26,360,8.11,,,,30.58,,2018-12-14,1000,SUR,,,,,RUB
54,EQOB,2018-12-17,Правоурми1,RU000A0JTER1,0,0,,,,101.0,28.36,,8.1,,0,,100.9,101.0,0,5602238.6,0,2019-12-26,357,,,,,30.58,,2018-12-14,1000,SUR,,,,,RUB
55,EQOB,2018-12-18,Правоурми1,RU000A0JTER1,0,0,,,,101.0,28.6,,8.1,,0,,100.9,101.0,0,5602238.6,0,2019-12-26,356,,,,,30.58,,2018-12-14,1000,SUR,,,,,RUB
56,EQOB,2018-12-19,Правоурми1,RU000A0JTER1,0,0,,,,101.0,28.85,,8.1,,0,,100.9,101.0,0,5602238.6,0,2019-12-26,355,,,,,30.58,,2018-12-14,1000,SUR,,,,,RUB
57,EQOB,2018-12-20,Правоурми1,RU000A0JTER1,0,0,,,,101.0,29.1,,8.09,,0,,100.9,101.0,0,5602238.6,0,2019-12-26,354,,,,,30.58,,2018-12-14,1000,SUR,,,,,RUB
58,EQOB,2018-12-21,Правоурми1,RU000A0JTER1,0,0,,,,101.0,29.34,,8.09,,0,,100.9,101.0,0,5602238.6,0,2019-12-26,353,,,,,30.58,,2018-12-14,1000,SUR,,,,,RUB
