,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,130.67,,,,0,,0.48,0.01,0,2016473.8,0,2028-07-27,38.0,,,,,142.7,2018-11-08,2018-09-28,1000,SUR,,,,2018-11-13,RUB
1,EQOB,2018-10-02,ОткрХОЛ 6,RU000A0JU2N3,2,0.5,0.01,0.01,0.01,0.01,130.98,0.01,,0.01,5,,0.48,0.01,0,2016474.3,0,2028-07-27,37.0,0.0,,,,142.7,2018-11-08,2018-10-02,1000,SUR,,,,2018-11-13,RUB
2,EQOB,2018-10-03,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,131.3,,,,0,,0.48,0.01,0,2016474.3,0,2028-07-27,36.0,,,,,142.7,2018-11-08,2018-10-02,1000,SUR,,,,2018-11-13,RUB
3,EQOB,2018-10-04,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,131.62,,,,0,,0.48,0.01,0,2016474.3,0,2028-07-27,35.0,,,,,142.7,2018-11-08,2018-10-02,1000,SUR,,,,2018-11-13,RUB
4,EQOB,2018-10-05,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,131.94,,,,0,,0.48,0.01,0,2016474.3,0,2028-07-27,34.0,,,,,142.7,2018-11-08,2018-10-02,1000,SUR,,,,2018-11-13,RUB
5,EQOB,2018-10-08,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,132.89,,,,0,,0.48,0.01,0,2016474.3,0,2028-07-27,31.0,,,,,142.7,2018-11-08,2018-10-02,1000,SUR,,,,2018-11-13,RUB
6,EQOB,2018-10-09,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,133.2,,,,0,,0.48,0.01,0,2016474.3,0,2028-07-27,30.0,,,,,142.7,2018-11-08,2018-10-02,1000,SUR,,,,2018-11-13,RUB
7,EQOB,2018-10-10,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,133.52,,,,0,,0.48,0.01,0,2016474.3,0,2028-07-27,29.0,,,,,142.7,2018-11-08,2018-10-02,1000,SUR,,,,2018-11-13,RUB
8,EQOB,2018-10-11,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,133.84,,,,0,,0.48,0.01,0,2016474.3,0,2028-07-27,28.0,,,,,142.7,2018-11-08,2018-10-02,1000,SUR,,,,2018-11-13,RUB
9,EQOB,2018-10-12,ОткрХОЛ 6,RU000A0JU2N3,1,1.6,0.01,0.01,0.01,0.01,134.15,0.01,,0.01,16,,0.48,0.01,0,2016475.9,0,2028-07-27,27.0,0.0,,,,142.7,2018-11-08,2018-10-12,1000,SUR,,,,2018-11-13,RUB
10,EQOB,2018-10-15,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,135.1,,,,0,,0.48,0.01,0,2016475.9,0,2028-07-27,24.0,,,,,142.7,2018-11-08,2018-10-12,1000,SUR,,,,2018-11-13,RUB
11,EQOB,2018-10-16,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,135.42,,,,0,,0.48,0.01,0,2016475.9,0,2028-07-27,23.0,,,,,142.7,2018-11-08,2018-10-12,1000,SUR,,,,2018-11-13,RUB
12,EQOB,2018-10-17,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,135.74,,,,0,,0.48,0.01,0,2016475.9,0,2028-07-27,22.0,,,,,142.7,2018-11-08,2018-10-12,1000,SUR,,,,2018-11-13,RUB
13,EQOB,2018-10-18,ОткрХОЛ 6,RU000A0JU2N3,2,0.3,0.01,0.01,0.01,0.01,136.05,0.01,,0.01,3,,0.48,0.01,0,2016476.2,0,2028-07-27,21.0,0.0,,,,142.7,2018-11-08,2018-10-18,1000,SUR,,,,2018-11-13,RUB
14,EQOB,2018-10-19,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,136.37,,,,0,,0.48,0.01,0,2016476.2,0,2028-07-27,20.0,,,,,142.7,2018-11-08,2018-10-18,1000,SUR,,,,2018-11-13,RUB
15,EQOB,2018-10-22,ОткрХОЛ 6,RU000A0JU2N3,3,0.4,0.01,0.01,0.01,0.01,137.32,0.01,,0.01,4,,0.48,0.01,0,2016476.6,0,2028-07-27,17.0,0.0,,,,142.7,2018-11-08,2018-10-22,1000,SUR,,,,,RUB
16,EQOB,2018-10-23,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,137.64,,,,0,,0.48,0.01,0,2016476.6,0,2028-07-27,16.0,,,,,142.7,2018-11-08,2018-10-22,1000,SUR,,,,,RUB
17,EQOB,2018-10-24,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,137.95,,,,0,,0.48,0.01,0,2016476.6,0,2028-07-27,15.0,,,,,142.7,2018-11-08,2018-10-22,1000,SUR,,,,,RUB
18,EQOB,2018-10-25,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,138.27,,,,0,,0.48,0.01,0,2016476.6,0,2028-07-27,14.0,,,,,142.7,2018-11-08,2018-10-22,1000,SUR,,,,,RUB
19,EQOB,2018-10-26,ОткрХОЛ 6,RU000A0JU2N3,1,0.2,0.01,0.01,0.01,0.01,138.59,,,0.01,2,,0.48,0.01,0,2016476.6,0,2028-07-27,13.0,,,,,142.7,2018-11-08,2018-10-26,1000,SUR,,,,,RUB
20,EQOB,2018-10-29,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,139.54,,,,0,,0.48,0.01,0,2016476.6,0,2028-07-27,10.0,,,,,142.7,2018-11-08,2018-10-26,1000,SUR,,,,,RUB
21,EQOB,2018-10-30,ОткрХОЛ 6,RU000A0JU2N3,1,0.7,0.01,0.01,0.01,0.01,139.85,0.01,,0.01,7,,0.48,0.01,0,2016477.3,0,2028-07-27,9.0,0.0,,,,142.7,2018-11-08,2018-10-30,1000,SUR,,,,,RUB
22,EQOB,2018-10-31,ОткрХОЛ 6,RU000A0JU2N3,1,1.9,0.01,0.01,0.01,0.01,140.17,0.01,,0.01,19,,0.48,0.01,0,2016479.2,0,2028-07-27,8.0,0.0,,,,142.7,2018-11-08,2018-10-31,1000,SUR,,,,,RUB
23,EQOB,2018-11-01,ОткрХОЛ 6,RU000A0JU2N3,5,2.0,0.01,0.01,0.01,0.01,140.49,0.01,,0.01,20,,0.48,0.01,0,2016481.2,0,2028-07-27,7.0,0.0,,,,142.7,2018-11-08,2018-11-01,1000,SUR,,,,,RUB
24,EQOB,2018-11-02,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,140.8,,,,0,,0.48,0.01,0,2016481.2,0,2028-07-27,6.0,,,,,142.7,2018-11-08,2018-11-01,1000,SUR,,,,,RUB
25,EQOB,2018-11-06,ОткрХОЛ 6,RU000A0JU2N3,5,6.7,0.01,0.01,0.01,0.01,142.07,0.01,,0.01,67,,0.48,0.01,0,2016487.9,0,2028-07-27,2.0,0.0,,,,142.7,2018-11-08,2018-11-06,1000,SUR,,,,,RUB
26,EQOB,2018-11-07,ОткрХОЛ 6,RU000A0JU2N3,3,1.8,0.01,0.01,0.01,0.01,142.39,0.01,,0.01,18,,0.48,0.01,0,2016489.7,0,2028-07-27,1.0,0.0,,,,257.99,2019-11-07,2018-11-07,1000,SUR,,,,,RUB
27,EQOB,2018-11-08,ОткрХОЛ 6,RU000A0JU2N3,1,0.1,0.01,0.01,0.01,0.01,142.7,0.01,786.23,0.01,1,,0.48,0.01,0,2016489.8,0,2028-07-27,364.0,786.23,,,,257.99,2019-11-07,2018-11-08,1000,SUR,,,,,RUB
28,EQOB,2018-11-09,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,143.02,,789.57,,0,,0.48,0.01,0,2016489.8,0,2028-07-27,363.0,,,,,257.99,2019-11-07,2018-11-08,1000,SUR,,,,,RUB
29,EQOB,2018-11-12,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,143.97,,799.86,,0,,0.48,0.01,0,2016489.8,0,2028-07-27,360.0,,,,,257.99,2019-11-07,2018-11-08,1000,SUR,,,,,RUB
30,EQOB,2018-11-13,ОткрХОЛ 6,RU000A0JU2N3,1,0.1,0.01,0.01,0.01,0.01,144.29,0.01,803.34,0.01,1,,0.48,0.01,0,2016489.9,0,2028-07-27,359.0,803.34,,,,257.99,2019-11-07,2018-11-13,1000,SUR,,,,,RUB
31,EQOB,2018-11-14,ОткрХОЛ 6,RU000A0JU2N3,2,1.4,0.01,0.01,0.01,0.01,144.6,0.01,806.93,0.01,14,,0.48,0.01,0,2016491.3,0,2028-07-27,358.0,806.93,,,,257.99,2019-11-07,2018-11-14,1000,SUR,,,,,RUB
32,EQOB,2018-11-15,ОткрХОЛ 6,RU000A0JU2N3,2,0.5,0.01,0.01,0.01,0.01,144.92,0.01,810.49,0.01,5,,0.48,0.01,0,2016491.8,0,2028-07-27,357.0,810.49,,,,257.99,2019-11-07,2018-11-15,1000,SUR,,,,,RUB
33,EQOB,2018-11-16,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,145.24,,814.09,,0,,0.48,0.01,0,2016491.8,0,2028-07-27,356.0,,,,,257.99,2019-11-07,2018-11-15,1000,SUR,,,,,RUB
34,EQOB,2018-11-19,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,146.19,,825.19,,0,,0.48,0.01,0,2016491.8,0,2028-07-27,353.0,,,,,257.99,2019-11-07,2018-11-15,1000,SUR,,,,,RUB
35,EQOB,2018-11-20,ОткрХОЛ 6,RU000A0JU2N3,1,1.1,0.01,0.01,0.01,0.01,146.5,0.01,829.01,0.01,11,,0.48,0.01,0,2016492.9,0,2028-07-27,352.0,829.01,,,,257.99,2019-11-07,2018-11-20,1000,SUR,,,,,RUB
36,EQOB,2018-11-21,ОткрХОЛ 6,RU000A0JU2N3,5,0.8,0.01,0.01,0.01,0.01,146.82,0.01,832.81,0.01,8,,0.48,0.01,0,2016493.7,0,2028-07-27,351.0,832.81,,,,257.99,2019-11-07,2018-11-21,1000,SUR,,,,,RUB
37,EQOB,2018-11-22,ОткрХОЛ 6,RU000A0JU2N3,2,0.2,0.01,0.01,0.01,0.01,147.14,0.01,836.65,0.01,2,,0.48,0.01,0,2016493.9,0,2028-07-27,350.0,836.65,,,,257.99,2019-11-07,2018-11-22,1000,SUR,,,,,RUB
38,EQOB,2018-11-23,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,147.45,,840.61,,0,,,0.01,0,0.0,0,2028-07-27,349.0,,,,,257.99,2019-11-07,2018-11-22,1000,SUR,,,,,RUB
39,EQOB,2018-11-26,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,148.4,,852.59,,0,,,0.01,0,0.0,0,2028-07-27,,,,,,257.99,2019-11-07,2018-11-22,1000,SUR,,,,,RUB
40,EQOB,2018-11-27,ОткрХОЛ 6,RU000A0JU2N3,2,0.9,0.01,0.01,0.01,0.01,148.72,0.01,856.66,0.01,9,,,0.01,0,0.0,0,2028-07-27,345.0,856.66,,,,257.99,2019-11-07,2018-11-27,1000,SUR,,,,,RUB
41,EQOB,2018-11-28,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,149.04,,860.77,,0,,,0.01,0,0.0,0,2028-07-27,,,,,,257.99,2019-11-07,2018-11-27,1000,SUR,,,,,RUB
42,EQOB,2018-11-29,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,149.35,,864.99,,0,,,0.01,0,0.0,0,2028-07-27,,,,,,257.99,2019-11-07,2018-11-27,1000,SUR,,,,,RUB
43,EQOB,2018-11-30,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,149.67,,869.19,,0,,,0.01,0,0.0,0,2028-07-27,,,,,,257.99,2019-11-07,2018-11-27,1000,SUR,,,,,RUB
44,EQOB,2018-12-03,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,150.62,,882.16,,0,,,0.01,0,0.0,0,2028-07-27,,,,,,257.99,2019-11-07,2018-11-27,1000,SUR,,,,,RUB
45,EQOB,2018-12-04,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,150.94,,886.56,,0,,,0.01,0,0.0,0,2028-07-27,,,,,,257.99,2019-11-07,2018-11-27,1000,SUR,,,,,RUB
46,EQOB,2018-12-05,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,151.25,,891.08,,0,,,0.01,0,0.0,0,2028-07-27,,,,,,257.99,2019-11-07,2018-11-27,1000,SUR,,,,,RUB
47,EQOB,2018-12-06,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,151.57,,895.58,,0,,,0.01,0,0.0,0,2028-07-27,,,,,,257.99,2019-11-07,2018-11-27,1000,SUR,,,,,RUB
48,EQOB,2018-12-07,ОткрХОЛ 6,RU000A0JU2N3,4,2.1,0.01,0.01,0.01,0.01,151.89,0.01,900.14,0.01,21,,,0.01,0,0.0,0,2028-07-27,335.0,900.14,,,,257.99,2019-11-07,2018-12-07,1000,SUR,,,,,RUB
49,EQOB,2018-12-10,ОткрХОЛ 6,RU000A0JU2N3,1,0.1,0.01,0.01,0.01,0.01,152.84,0.01,914.19,0.01,1,,,0.01,0,0.0,0,2028-07-27,332.0,914.19,,,,257.99,2019-11-07,2018-12-10,1000,SUR,,,,,RUB
50,EQOB,2018-12-11,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,153.15,,919.04,,0,,,0.01,0,0.0,0,2028-07-27,,,,,,257.99,2019-11-07,2018-12-10,1000,SUR,,,,,RUB
51,EQOB,2018-12-12,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,153.47,,923.87,,0,,,0.01,0,0.0,0,2028-07-27,,,,,,257.99,2019-11-07,2018-12-10,1000,SUR,,,,,RUB
52,EQOB,2018-12-13,ОткрХОЛ 6,RU000A0JU2N3,1,0.1,0.01,0.01,0.01,0.01,153.79,0.01,928.75,0.01,1,,,0.01,0,0.0,0,2028-07-27,329.0,928.75,,,,257.99,2019-11-07,2018-12-13,1000,SUR,,,,,RUB
53,EQOB,2018-12-14,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,154.1,,933.77,,0,,,0.01,0,0.0,0,2028-07-27,,,,,,257.99,2019-11-07,2018-12-13,1000,SUR,,,,,RUB
54,EQOB,2018-12-17,ОткрХОЛ 6,RU000A0JU2N3,1,0.1,0.01,0.01,0.01,0.01,155.06,0.01,948.97,0.01,1,,,0.01,0,0.0,0,2028-07-27,325.0,948.97,,,,257.99,2019-11-07,2018-12-17,1000,SUR,,,,,RUB
55,EQOB,2018-12-18,ОткрХОЛ 6,RU000A0JU2N3,2,0.2,0.01,0.01,0.01,0.01,155.37,0.01,954.23,0.01,2,,,0.01,0,0.0,0,2028-07-27,324.0,954.23,,,,257.99,2019-11-07,2018-12-18,1000,SUR,,,,,RUB
56,EQOB,2018-12-19,ОткрХОЛ 6,RU000A0JU2N3,0,0.0,,,,0.01,155.69,,959.48,,0,,,0.01,0,0.0,0,2028-07-27,,,,,,257.99,2019-11-07,2018-12-18,1000,SUR,,,,,RUB
57,EQOB,2018-12-20,ОткрХОЛ 6,RU000A0JU2N3,1,9.7,0.01,0.01,0.01,0.01,156.01,0.01,964.8,0.01,97,,,0.01,0,0.0,0,2028-07-27,322.0,964.8,,,,257.99,2019-11-07,2018-12-20,1000,SUR,,,,,RUB
