history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;НижгорОбл9;RU000A0JU3B6;3;46754.62;99.69;99.69;99.69;99.69;3.17;99.69;8.28;99.69;134;99.58;99.58;99.69;4973014.91;4473571.42;4973014.91;2020-08-26;460;8.28;;;;13.73;;2018-10-01;350;SUR;;;;;RUB
EQOB;2018-10-02;НижгорОбл9;RU000A0JU3B6;3;59512.08;99.95;100.05;99.95;99.95;3.25;100.02;8.05;100.04;170;;99.59;99.95;0;4533083.5;0;2020-08-26;459;7.99;;;;13.73;;2018-10-02;350;SUR;;;;;RUB
EQOB;2018-10-03;НижгорОбл9;RU000A0JU3B6;1;348.11;99.46;99.46;99.46;99.46;3.32;99.46;8.47;99.46;1;99.59;99.59;99.46;6151990.37;4533431.61;6151990.37;2020-08-26;458;8.47;;;;13.73;;2018-10-03;350;SUR;;;;;RUB
EQOB;2018-10-04;НижгорОбл9;RU000A0JU3B6;2;5221.65;99.46;99.46;99.46;99.46;3.4;99.46;8.47;99.46;15;;99.59;99.46;0;4538653.26;0;2020-08-26;457;8.47;;;;13.73;;2018-10-04;350;SUR;;;;;RUB
EQOB;2018-10-05;НижгорОбл9;RU000A0JU3B6;3;31610.22;100.34;100.35;100.35;100.35;3.47;100.35;7.71;100.34;90;;99.59;100.35;0;4570263.48;0;2020-08-26;457;7.71;;;;13.73;;2018-10-05;350;SUR;;;;;RUB
EQOB;2018-10-08;НижгорОбл9;RU000A0JU3B6;0;0;;;;100.35;3.7;;7.71;;0;99.59;99.59;100.35;5069706.97;4570263.48;5069706.97;2020-08-26;453;;;;;13.73;;2018-10-05;350;SUR;;;;;RUB
EQOB;2018-10-09;НижгорОбл9;RU000A0JU3B6;0;0;;;;100.35;3.77;;7.71;;0;;99.59;100.35;0;4570263.48;0;2020-08-26;452;;;;;13.73;;2018-10-05;350;SUR;;;;;RUB
EQOB;2018-10-10;НижгорОбл9;RU000A0JU3B6;0;0;;;;100.35;3.85;;7.71;;0;;99.59;100.35;0;4570263.48;0;2020-08-26;451;;;;;13.73;;2018-10-05;350;SUR;;;;;RUB
EQOB;2018-10-11;НижгорОбл9;RU000A0JU3B6;11;773780.7;99.45;99.46;99.45;99.45;3.92;99.45;8.49;99.45;2223;99.45;99.45;99.45;773780.7;773780.7;773780.7;2020-08-26;450;8.49;;;;13.73;;2018-10-11;350;SUR;;;;;RUB
EQOB;2018-10-12;НижгорОбл9;RU000A0JU3B6;1;1755.95;100.34;100.34;100.34;100.34;4;100.34;7.72;100.34;5;99.45;99.45;100.34;775536.65;774840.49;775536.65;2020-08-26;450;7.72;;;;13.73;;2018-10-12;350;SUR;;;;;RUB
