,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,РЖД-30 обл,RU000A0JUAH8,0,0.0,,,,100.1,27.67,,7.69,,0,100.22,100.21,100.1,418010789.5,348104689.5,418010789.5,2028-11-07,394,,,,,38.15,2019-11-19,2018-09-28,1000,SUR,,7.6936,,2019-11-22,RUB
1,EQOB,2018-10-02,РЖД-30 обл,RU000A0JUAH8,0,0.0,,,,100.1,27.88,,7.69,,0,100.22,100.21,100.1,397953789.5,348104689.5,397953789.5,2028-11-07,393,,,,,38.15,2019-11-19,2018-09-28,1000,SUR,,7.7137,,2019-11-22,RUB
2,EQOB,2018-10-03,РЖД-30 обл,RU000A0JUAH8,0,0.0,,,,100.1,28.08,,7.69,,0,100.19,100.21,100.1,487784789.5,348104689.5,487784789.5,2028-11-07,392,,,,,38.15,2019-11-19,2018-09-28,1000,SUR,,7.734,,2019-11-22,RUB
3,EQOB,2018-10-04,РЖД-30 обл,RU000A0JUAH8,0,0.0,,,,100.1,28.29,,7.69,,0,100.22,100.21,100.1,428014789.5,348104689.5,428014789.5,2028-11-07,391,,,,,38.15,2019-11-19,2018-09-28,1000,SUR,,7.7544,,2019-11-22,RUB
4,EQOB,2018-10-05,РЖД-30 обл,RU000A0JUAH8,1,969224.1,100.23,100.23,100.23,100.23,28.5,100.23,7.56,100.23,967,100.22,100.21,100.23,418980013.6,348898388.6,418980013.6,2028-11-07,390,7.56,,,,38.15,2019-11-19,2018-10-05,1000,SUR,,7.5067,,2019-11-22,RUB
5,EQOB,2018-10-08,РЖД-30 обл,RU000A0JUAH8,4,603384.6,100.23,100.23,100.23,100.23,29.13,100.23,7.56,100.23,602,100.22,100.19,100.23,419583398.2,296970652.8,419583398.2,2028-11-07,387,7.56,,,,38.15,2019-11-19,2018-10-08,1000,SUR,,7.5051,,2019-11-22,RUB
6,EQOB,2018-10-09,РЖД-30 обл,RU000A0JUAH8,1,1747825.2,99.99,99.99,99.99,99.99,29.34,99.99,7.8,99.99,1748,100.22,100.19,99.99,401274223.4,298675353.3,401274223.4,2028-11-07,386,7.8,,,,38.15,2019-11-19,2018-10-09,1000,SUR,,7.7399,,2019-11-22,RUB
7,EQOB,2018-10-10,РЖД-30 обл,RU000A0JUAH8,0,0.0,,,,99.99,29.55,,7.8,,0,100.21,100.19,99.99,347067088.4,298675353.3,347067088.4,2028-11-07,385,,,,,38.15,2019-11-19,2018-10-09,1000,SUR,,7.7606,,2019-11-22,RUB
8,EQOB,2018-10-11,РЖД-30 обл,RU000A0JUAH8,0,0.0,,,,99.99,29.76,,7.8,,0,,100.19,99.99,0.0,298675353.3,0.0,2028-11-07,384,,,,,38.15,2019-11-19,2018-10-09,1000,SUR,,7.7814,,2019-11-22,RUB
9,EQOB,2018-10-12,РЖД-30 обл,RU000A0JUAH8,0,0.0,,,,99.99,29.97,,7.8,,0,,100.19,99.99,0.0,298675353.3,0.0,2028-11-07,383,,,,,38.15,2019-11-19,2018-10-09,1000,SUR,,7.8023,,2019-11-22,RUB
