history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ОВК Фин01;RU000A0JUBD5;0;0;;;;81.2;22.69;;189.55;;0;;94.68;81.2;0;502726.3;0;2021-11-24;58;;;;;33.31;2018-11-28;2018-09-11;1000;SUR;;;;;RUB
EQOB;2018-10-02;ОВК Фин01;RU000A0JUBD5;0;0;;;;81.2;22.88;;194.59;;0;;94.68;81.2;0;502726.3;0;2021-11-24;57;;;;;33.31;2018-11-28;2018-09-11;1000;SUR;;;;;RUB
EQOB;2018-10-03;ОВК Фин01;RU000A0JUBD5;0;0;;;;81.2;23.06;;199.93;;0;;94.68;81.2;0;502726.3;0;2021-11-24;56;;;;;33.31;2018-11-28;2018-09-11;1000;SUR;;;;;RUB
EQOB;2018-10-04;ОВК Фин01;RU000A0JUBD5;0;0;;;;81.2;23.24;;205.56;;0;;94.68;81.2;0;502726.3;0;2021-11-24;55;;;;;33.31;2018-11-28;2018-09-11;1000;SUR;;;;;RUB
EQOB;2018-10-05;ОВК Фин01;RU000A0JUBD5;0;0;;;;81.2;23.43;;211.49;;0;;94.68;81.2;0;502726.3;0;2021-11-24;54;;;;;33.31;2018-11-28;2018-09-11;1000;SUR;;;;;RUB
EQOB;2018-10-08;ОВК Фин01;RU000A0JUBD5;0;0;;;;81.2;23.97;;231.55;;0;;94.68;81.2;0;502726.3;0;2021-11-24;51;;;;;33.31;2018-11-28;2018-09-11;1000;SUR;;;;;RUB
EQOB;2018-10-09;ОВК Фин01;RU000A0JUBD5;0;0;;;;81.2;24.16;;239.05;;0;;94.68;81.2;0;502726.3;0;2021-11-24;50;;;;;33.31;2018-11-28;2018-09-11;1000;SUR;;;;;RUB
EQOB;2018-10-10;ОВК Фин01;RU000A0JUBD5;0;0;;;;81.2;24.34;;247.08;;0;;94.68;81.2;0;502726.3;0;2021-11-24;49;;;;;33.31;2018-11-28;2018-09-11;1000;SUR;;;;;RUB
EQOB;2018-10-11;ОВК Фин01;RU000A0JUBD5;0;0;;;;81.2;24.52;;255.64;;0;;94.68;81.2;0;502726.3;0;2021-11-24;48;;;;;33.31;2018-11-28;2018-09-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;ОВК Фин01;RU000A0JUBD5;0;0;;;;81.2;24.71;;264.75;;0;;94.68;81.2;0;502726.3;0;2021-11-24;47;;;;;33.31;2018-11-28;2018-09-11;1000;SUR;;;;;RUB
EQOB;2018-10-15;ОВК Фин01;RU000A0JUBD5;0;0;;;;81.2;25.26;;296.32;;0;;94.68;81.2;0;502726.3;0;2021-11-24;44;;;;;33.31;2018-11-28;2018-09-11;1000;SUR;;;;;RUB
EQOB;2018-10-16;ОВК Фин01;RU000A0JUBD5;0;0;;;;81.2;25.44;;308.51;;0;;94.68;81.2;0;502726.3;0;2021-11-24;43;;;;;33.31;2018-11-28;2018-09-11;1000;SUR;;;;;RUB
EQOB;2018-10-17;ОВК Фин01;RU000A0JUBD5;0;0;;;;81.2;25.62;;321.67;;0;;94.68;81.2;0;502726.3;0;2021-11-24;42;;;;;33.31;2018-11-28;2018-09-11;1000;SUR;;;;;RUB
EQOB;2018-10-18;ОВК Фин01;RU000A0JUBD5;0;0;;;;81.2;25.8;;335.94;;0;;94.68;81.2;0;502726.3;0;2021-11-24;41;;;;;33.31;2018-11-28;2018-09-11;1000;SUR;;;;;RUB
EQOB;2018-10-19;ОВК Фин01;RU000A0JUBD5;0;0;;;;81.2;25.99;;351.39;;0;;94.68;81.2;0;502726.3;0;2021-11-24;40;;;;;33.31;2018-11-28;2018-09-11;1000;SUR;;;;;RUB
EQOB;2018-10-22;ОВК Фин01;RU000A0JUBD5;0;0;;;;81.2;26.54;;406.91;;0;;94.68;81.2;0;502726.3;0;2021-11-24;37;;;;;33.31;2018-11-28;2018-09-11;1000;SUR;;;;;RUB
EQOB;2018-10-23;ОВК Фин01;RU000A0JUBD5;0;0;;;;81.2;26.72;;429.19;;0;;;81.2;0;0;0;2021-11-24;36;;;;;33.31;2018-11-28;2018-09-11;1000;SUR;;;;;RUB
EQOB;2018-10-24;ОВК Фин01;RU000A0JUBD5;0;0;;;;81.2;26.9;;453.8;;0;;;81.2;0;0;0;2021-11-24;;;;;;33.31;2018-11-28;2018-09-11;1000;SUR;;;;;RUB
EQOB;2018-10-25;ОВК Фин01;RU000A0JUBD5;0;0;;;;81.2;27.09;;481.04;;0;;;81.2;0;0;0;2021-11-24;;;;;;33.31;2018-11-28;2018-09-11;1000;SUR;;;;;RUB
EQOB;2018-10-26;ОВК Фин01;RU000A0JUBD5;0;0;;;;81.2;27.27;;511.48;;0;;;81.2;0;0;0;2021-11-24;;;;;;33.31;2018-11-28;2018-09-11;1000;SUR;;;;;RUB
EQOB;2018-10-29;ОВК Фин01;RU000A0JUBD5;0;0;;;;81.2;27.82;;627.29;;0;;;81.2;0;0;0;2021-11-24;;;;;;33.31;2018-11-28;2018-09-11;1000;SUR;;;;;RUB
EQOB;2018-10-30;ОВК Фин01;RU000A0JUBD5;0;0;;;;81.2;28;;676.78;;0;;;81.2;0;0;0;2021-11-24;;;;;;33.31;2018-11-28;2018-09-11;1000;SUR;;;;;RUB
EQOB;2018-10-31;ОВК Фин01;RU000A0JUBD5;0;0;;;;81.2;28.18;;733.56;;0;;;81.2;0;0;0;2021-11-24;;;;;;33.31;2018-11-28;2018-09-11;1000;SUR;;;;;RUB
EQOB;2018-11-01;ОВК Фин01;RU000A0JUBD5;0;0;;;;81.2;28.37;;799.03;;0;;;81.2;0;0;0;2021-11-24;;;;;;33.31;2018-11-28;2018-09-11;1000;SUR;;;;;RUB
EQOB;2018-11-02;ОВК Фин01;RU000A0JUBD5;0;0;;;;81.2;28.55;;875.46;;0;;;81.2;0;0;0;2021-11-24;;;;;;33.31;2018-11-28;2018-09-11;1000;SUR;;;;;RUB
EQOB;2018-11-06;ОВК Фин01;RU000A0JUBD5;2;1781;86;92.1;86;86;29.28;89.05;;92.1;2;;;86;0;0;0;2021-11-24;22;589.63;;;;33.31;2018-11-28;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-07;ОВК Фин01;RU000A0JUBD5;0;0;;;;86;29.47;;;;0;;;86;0;0;0;2021-11-24;;;;;;33.31;2018-11-28;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-08;ОВК Фин01;RU000A0JUBD5;0;0;;;;86;29.65;;;;0;;;86;0;0;0;2021-11-24;;;;;;33.31;2018-11-28;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-09;ОВК Фин01;RU000A0JUBD5;0;0;;;;86;29.83;;;;0;;;86;0;0;0;2021-11-24;;;;;;33.31;2018-11-28;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-12;ОВК Фин01;RU000A0JUBD5;0;0;;;;86;30.38;;;;0;;;86;0;0;0;2021-11-24;;;;;;33.31;2018-11-28;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-13;ОВК Фин01;RU000A0JUBD5;0;0;;;;86;30.56;;;;0;;;86;0;0;0;2021-11-24;;;;;;33.31;2018-11-28;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-14;ОВК Фин01;RU000A0JUBD5;0;0;;;;86;30.75;;;;0;;;86;0;0;0;2021-11-24;;;;;;33.31;2018-11-28;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-15;ОВК Фин01;RU000A0JUBD5;0;0;;;;86;30.93;;;;0;;;86;0;0;0;2021-11-24;;;;;;33.31;2018-11-28;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-16;ОВК Фин01;RU000A0JUBD5;0;0;;;;86;31.11;;;;0;;;86;0;0;0;2021-11-24;;;;;;33.31;2018-11-28;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-19;ОВК Фин01;RU000A0JUBD5;0;0;;;;86;31.66;;;;0;;;86;0;0;0;2021-11-24;;;;;;33.31;2018-11-28;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-20;ОВК Фин01;RU000A0JUBD5;0;0;;;;86;31.84;;;;0;;;86;0;0;0;2021-11-24;;;;;;33.31;2018-11-28;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-21;ОВК Фин01;RU000A0JUBD5;0;0;;;;86;32.03;;;;0;;;86;0;0;0;2021-11-24;;;;;;33.31;2018-11-28;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-22;ОВК Фин01;RU000A0JUBD5;0;0;;;;86;32.21;;;;0;;;86;0;0;0;2021-11-24;;;;;;33.31;2019-05-29;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-23;ОВК Фин01;RU000A0JUBD5;1;920;92;92;92;92;32.39;92;25.26;92;1;;;92;0;0;0;2021-11-24;181;25.26;;;;33.31;2019-05-29;2018-11-23;1000;SUR;;;;;RUB
EQOB;2018-11-26;ОВК Фин01;RU000A0JUBD5;0;0;;;;92;32.94;;25.59;;0;;;92;0;0;0;2021-11-24;;;;;;33.31;2019-05-29;2018-11-23;1000;SUR;;;;;RUB
EQOB;2018-11-27;ОВК Фин01;RU000A0JUBD5;0;0;;;;92;33.13;;25.7;;0;;;92;0;0;0;2021-11-24;;;;;;33.31;2019-05-29;2018-11-23;1000;SUR;;;;;RUB
