history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;Дельта14ИП;RU000A0JUJG1;0;0;;;;111.1;1.32;;8.09;;0;;;111.1;0;0;0;2024-03-27;;;;;;29.92;;2018-08-07;1000;SUR;;;;;RUB
EQOB;2018-10-02;Дельта14ИП;RU000A0JUJG1;0;0;;;;111.1;1.64;;8.08;;0;;;111.1;0;0;0;2024-03-27;;;;;;29.92;;2018-08-07;1000;SUR;;;;;RUB
EQOB;2018-10-03;Дельта14ИП;RU000A0JUJG1;0;0;;;;111.1;1.97;;8.08;;0;;;111.1;0;0;0;2024-03-27;;;;;;29.92;;2018-08-07;1000;SUR;;;;;RUB
EQOB;2018-10-04;Дельта14ИП;RU000A0JUJG1;0;0;;;;111.1;2.3;;8.08;;0;;;111.1;0;0;0;2024-03-27;;;;;;29.92;;2018-08-07;1000;SUR;;;;;RUB
EQOB;2018-10-05;Дельта14ИП;RU000A0JUJG1;0;0;;;;111.1;2.63;;8.07;;0;;;111.1;0;0;0;2024-03-27;;;;;;29.92;;2018-08-07;1000;SUR;;;;;RUB
EQOB;2018-10-08;Дельта14ИП;RU000A0JUJG1;0;0;;;;111.1;3.62;;8.06;;0;;;111.1;0;0;0;2024-03-27;;;;;;29.92;;2018-08-07;1000;SUR;;;;;RUB
EQOB;2018-10-09;Дельта14ИП;RU000A0JUJG1;0;0;;;;111.1;3.95;;8.06;;0;;;111.1;0;0;0;2024-03-27;;;;;;29.92;;2018-08-07;1000;SUR;;;;;RUB
EQOB;2018-10-10;Дельта14ИП;RU000A0JUJG1;0;0;;;;111.1;4.27;;8.06;;0;;;111.1;0;0;0;2024-03-27;;;;;;29.92;;2018-08-07;1000;SUR;;;;;RUB
EQOB;2018-10-11;Дельта14ИП;RU000A0JUJG1;0;0;;;;111.1;4.6;;8.05;;0;;;111.1;0;0;0;2024-03-27;;;;;;29.92;;2018-08-07;1000;SUR;;;;;RUB
EQOB;2018-10-12;Дельта14ИП;RU000A0JUJG1;0;0;;;;111.1;4.93;;8.05;;0;;;111.1;0;0;0;2024-03-27;;;;;;29.92;;2018-08-07;1000;SUR;;;;;RUB
