,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,ОткрХОЛБО4,RU000A0JUWV3,0,0.0,,,,8.0,181.76,,,,0,,24.93,8.0,0,1199163721.1,0,2027-09-30,10.0,,,,,185.24,2018-10-11,2018-09-27,1000,SUR,,,,2018-10-15,RUB
1,EQOB,2018-10-02,ОткрХОЛБО4,RU000A0JUWV3,2,129.3,6.43,6.5,6.5,6.47,182.11,6.47,,6.43,2,,24.93,6.47,0,1199163850.4,0,2027-09-30,9.0,0.0,,,,185.24,2018-10-11,2018-10-02,1000,SUR,,,,2018-10-15,RUB
2,EQOB,2018-10-03,ОткрХОЛБО4,RU000A0JUWV3,1,42.7,4.27,4.27,4.27,4.27,182.46,4.27,,4.27,1,,24.93,4.27,0,1199163893.1,0,2027-09-30,8.0,0.0,,,,185.24,2018-10-11,2018-10-03,1000,SUR,,,,2018-10-15,RUB
3,EQOB,2018-10-04,ОткрХОЛБО4,RU000A0JUWV3,4,176.5,2.85,3.0,2.85,2.96,182.81,2.94,,2.9,6,,24.93,2.96,0,1199164069.6,0,2027-09-30,7.0,0.0,,,,185.24,2018-10-11,2018-10-04,1000,SUR,,,,2018-10-15,RUB
4,EQOB,2018-10-05,ОткрХОЛБО4,RU000A0JUWV3,2,38.8,1.88,2.0,2.0,1.94,183.15,1.94,,1.88,2,,24.93,1.94,0,1199164108.4,0,2027-09-30,6.0,0.0,,,,185.24,2018-10-11,2018-10-05,1000,SUR,,,,2018-10-15,RUB
5,EQOB,2018-10-08,ОткрХОЛБО4,RU000A0JUWV3,1,16.3,1.63,1.63,1.63,1.63,184.2,1.63,,1.63,1,,24.93,1.63,0,1199164124.7,0,2027-09-30,3.0,0.0,,,,311.89,2019-10-10,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,ОткрХОЛБО4,RU000A0JUWV3,1,16.7,1.67,1.67,1.67,1.67,184.55,1.67,548.54,1.67,1,,24.93,1.67,0,1199164141.4,0,2027-09-30,366.0,548.54,,,,311.89,2019-10-10,2018-10-09,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,ОткрХОЛБО4,RU000A0JUWV3,0,0.0,,,,1.67,184.89,,550.77,,0,,24.93,1.67,0,1199164141.4,0,2027-09-30,365.0,,,,,311.89,2019-10-10,2018-10-09,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,ОткрХОЛБО4,RU000A0JUWV3,0,0.0,,,,1.67,185.24,,552.99,,0,,24.93,1.67,0,1199164141.4,0,2027-09-30,364.0,,,,,311.89,2019-10-10,2018-10-09,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,ОткрХОЛБО4,RU000A0JUWV3,0,0.0,,,,1.67,185.59,,555.23,,0,,24.93,1.67,0,1199164141.4,0,2027-09-30,363.0,,,,,311.89,2019-10-10,2018-10-09,1000,SUR,,,,,RUB
