history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;СоллФин 01;RU000A0JXFC2;6;260438.5;101.6;102.55;102.3;102.3;16.11;102.53;9.53;101.6;254;102.52;102.52;102.3;534141.4;526963.6;534141.4;2020-02-11;278;9.21;;;;30.54;;2018-10-01;1000;SUR;;9.5272;;2020-02-11;RUB
EQOB;2018-10-02;СоллФин 01;RU000A0JXFC2;4;35721.6;102;102.54;102;102;16.45;102.06;9.93;102;35;;102.51;102;0;552519.2;0;2020-02-11;277;9.85;;;;30.54;;2018-10-02;1000;SUR;;9.9344;;2020-02-11;RUB
EQOB;2018-10-03;СоллФин 01;RU000A0JXFC2;5;722010;102;102.54;102.54;102.54;16.78;102.27;9.17;102;706;102.33;102.26;102.54;1018170.1;764892.6;1018170.1;2020-02-11;276;9.55;;;;30.54;;2018-10-03;1000;SUR;;9.1726;;2020-02-11;RUB
EQOB;2018-10-04;СоллФин 01;RU000A0JXFC2;2;15374.5;102.49;102.5;102.49;102.49;17.12;102.5;9.23;102.5;15;102.26;102.27;102.49;773106.1;757806.1;773106.1;2020-02-11;275;9.22;;;;30.54;;2018-10-04;1000;SUR;;9.2297;;2020-02-11;RUB
EQOB;2018-10-05;СоллФин 01;RU000A0JXFC2;4;200959.1;102.5;102.55;102.5;102.5;17.45;102.53;9.2;102.54;196;102.33;102.33;102.5;938343.6;935283.6;938343.6;2020-02-11;274;9.16;;;;30.54;;2018-10-05;1000;SUR;;9.2048;;2020-02-11;RUB
EQOB;2018-10-08;СоллФин 01;RU000A0JXFC2;0;0;;;;102.5;18.46;;9.17;;0;102.32;102.33;102.5;974065.2;935283.6;974065.2;2020-02-11;271;;;;;30.54;;2018-10-05;1000;SUR;;9.3114;;2020-02-11;RUB
EQOB;2018-10-09;СоллФин 01;RU000A0JXFC2;2;254125;101.65;101.65;101.65;101.65;18.79;101.65;10.37;101.65;250;102.18;102.24;101.65;1192468.6;922168.6;1192468.6;2020-02-11;269;10.37;;;;30.54;;2018-10-09;1000;SUR;;10.3727;;2020-02-11;RUB
EQOB;2018-10-10;СоллФин 01;RU000A0JXFC2;1;2049.6;102.48;102.48;102.48;102.48;19.13;102.48;9.17;102.48;2;102.28;102.26;102.48;1764381.2;831398.2;1764381.2;2020-02-11;269;9.17;;;;30.54;;2018-10-10;1000;SUR;;9.1734;;2020-02-11;RUB
EQOB;2018-10-11;СоллФин 01;RU000A0JXFC2;0;0;;;;102.48;19.47;;9.16;;0;102.29;102.26;102.48;1747037.4;831398.2;1747037.4;2020-02-11;268;;;;;30.54;;2018-10-10;1000;SUR;;9.2091;;2020-02-11;RUB
EQOB;2018-10-12;СоллФин 01;RU000A0JXFC2;2;136278.8;101.67;102.49;102.49;102.49;19.8;101.7;9.14;101.67;134;102.2;101.97;102.49;1626957.1;598537;1626957.1;2020-02-11;266;10.27;;;;30.54;;2018-10-12;1000;SUR;;9.1351;;2020-02-11;RUB
EQOB;2018-10-15;СоллФин 01;RU000A0JXFC2;6;165190;101.7;102.5;101.7;101.7;20.81;101.97;10.25;102.5;162;101.76;101.76;101.7;557643.4;537313.4;557643.4;2020-02-11;264;9.85;;;;30.54;;2018-10-15;1000;SUR;;10.249;;2020-02-11;RUB
EQOB;2018-10-16;СоллФин 01;RU000A0JXFC2;2;71320;101.6;102;102;102;21.14;101.89;9.8;101.6;70;;101.78;102;0;608633.4;0;2020-02-11;262;9.96;;;;30.54;;2018-10-16;1000;SUR;;9.7997;;2020-02-11;RUB
EQOB;2018-10-17;СоллФин 01;RU000A0JXFC2;9;298051.1;102;102.3;102.15;102.15;21.48;102.07;9.57;102.3;292;;102;102.15;0;514061.1;0;2020-02-11;262;9.69;;;;30.54;;2018-10-17;1000;SUR;;9.5687;;2020-02-11;RUB
EQOB;2018-10-18;СоллФин 01;RU000A0JXFC2;6;428561;102;102.1;102;102;21.82;102.04;9.78;102.1;420;102.05;102.05;102;726612.1;673526;726612.1;2020-02-11;261;9.72;;;;30.54;;2018-10-18;1000;SUR;;9.7781;;2020-02-11;RUB
EQOB;2018-10-19;СоллФин 01;RU000A0JXFC2;9;550807.6;102;102.03;102;102;22.15;102;9.77;102.03;540;102.02;102;102;979368.6;600787.6;979368.6;2020-02-11;260;9.77;;;;30.54;;2018-10-19;1000;SUR;;9.7687;;2020-02-11;RUB
EQOB;2018-10-22;СоллФин 01;RU000A0JXFC2;7;1193904;102;102.2;102;102.05;23.16;102.04;9.74;102;1170;102.03;102.04;102.05;1744711.6;1463184;1744711.6;2020-02-11;257;9.68;;;;30.54;;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-23;СоллФин 01;RU000A0JXFC2;2;224310;101.95;101.96;101.95;101.95;23.49;102.15;9.8;101.96;220;102.02;102.03;101.95;1969021.6;1663014;1969021.6;2020-02-11;256;9.5;;;;30.54;;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-24;СоллФин 01;RU000A0JXFC2;6;819246;101.95;102.3;102.3;102.3;23.83;102.15;9.27;102.2;802;102.07;102.1;102.3;2237460;1151676;2237460;2020-02-11;255;9.49;;;;30.54;;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-25;СоллФин 01;RU000A0JXFC2;3;327420;102.3;102.35;102.35;102.32;24.16;102.32;9.18;102.3;320;102.16;102.19;102.32;1370976;1167056;1370976;2020-02-11;254;9.22;;;;30.54;;2018-10-25;1000;SUR;;;;;RUB
EQOB;2018-10-26;СоллФин 01;RU000A0JXFC2;4;707317;102.35;102.55;102.55;102.5;24.5;102.51;8.87;102.35;690;102.32;102.41;102.5;1853983;1362062;1853983;2020-02-11;253;8.93;;;;30.54;;2018-10-26;1000;SUR;;;;;RUB
EQOB;2018-10-29;СоллФин 01;RU000A0JXFC2;0;0;;;;102.5;25.51;;8.82;;0;102.28;102.41;102.5;2078293;1362062;2078293;2020-02-11;250;;;;;30.54;;2018-10-26;1000;SUR;;;;;RUB
EQOB;2018-10-30;СоллФин 01;RU000A0JXFC2;5;154763.2;101.91;102.5;101.91;101.91;25.84;102.49;9.79;102.5;151;102.33;102.49;101.91;2008746.2;984900.2;2008746.2;2020-02-11;249;8.9;;;;30.54;;2018-10-30;1000;SUR;;;;;RUB
EQOB;2018-10-31;СоллФин 01;RU000A0JXFC2;1;1023;102.3;102.3;102.3;102.3;26.18;102.3;9.18;102.3;1;102.45;102.51;102.3;1190523.2;863103.2;1190523.2;2020-02-11;248;9.18;;;;30.54;;2018-10-31;1000;SUR;;;;;RUB
EQOB;2018-11-01;СоллФин 01;RU000A0JXFC2;9;191575.5;101.73;102.2;101.73;101.73;26.51;101.9;10.05;102.16;188;;102.36;101.73;0;795305.2;0;2020-02-11;247;9.79;;;;30.54;;2018-11-01;1000;SUR;;;;;RUB
EQOB;2018-11-02;СоллФин 01;RU000A0JXFC2;1;3067.5;102.25;102.25;102.25;102.25;26.85;102.25;9.23;102.25;3;;102.36;102.25;0;798372.7;0;2020-02-11;246;9.23;;;;30.54;;2018-11-02;1000;SUR;;;;;RUB
EQOB;2018-11-06;СоллФин 01;RU000A0JXFC2;5;106431.5;102.2;102.35;102.35;102.35;28.19;102.34;9.02;102.3;104;;102.35;102.35;0;904804.2;0;2020-02-11;242;9.04;;;;30.54;;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-07;СоллФин 01;RU000A0JXFC2;5;1057749.4;102;102.02;102;102;28.53;102;9.56;102.02;1037;102.03;102.03;102;1164180.9;1164180.9;1164180.9;2020-02-11;241;9.56;;;;30.54;;2018-11-07;1000;SUR;;;;;RUB
