history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;Калаш БП1;RU000A0JXPU3;11;73881.2;103.52;104.44;104.44;104.44;47.18;104.06;7.97;103.59;71;;103.82;104.44;0;786971.5;0;2022-04-21;517;8.24;;;;54.35;2020-04-23;2018-10-01;1000;SUR;;7.9053;;2020-04-28;RUB
EQOB;2018-10-02;Калаш БП1;RU000A0JXPU3;0;0;;;;104.44;47.48;;7.96;;0;;103.82;104.44;0;786971.5;0;2022-04-21;516;;;;;54.35;2020-04-23;2018-10-01;1000;SUR;;7.921;;2020-04-28;RUB
EQOB;2018-10-03;Калаш БП1;RU000A0JXPU3;10;689533.1;104;104.39;104;104.01;47.78;104;8.27;104;663;104;104;104.01;689533.1;689533.1;689533.1;2022-04-21;515;8.27;;;;54.35;2020-04-23;2018-10-03;1000;SUR;;8.2018;;2020-04-28;RUB
EQOB;2018-10-04;Калаш БП1;RU000A0JXPU3;4;6211922.1;103.48;104.39;103.9;103.9;48.08;103.48;8.34;104.39;6003;103.53;103.5;103.9;6901455.2;6391854.9;6901455.2;2022-04-21;514;8.63;;;;54.35;2020-04-23;2018-10-04;1000;SUR;;8.2674;;2020-04-28;RUB
EQOB;2018-10-05;Калаш БП1;RU000A0JXPU3;13;6223609.4;102.97;104.4;104.4;104.4;48.38;102.99;7.98;103.89;6043;102.99;102.99;104.4;6223609.4;6223609.4;6223609.4;2022-04-21;513;8.98;;;;54.35;2020-04-23;2018-10-05;1000;SUR;;7.913;;2020-04-28;RUB
EQOB;2018-10-08;Калаш БП1;RU000A0JXPU3;5;47812.8;103.64;104.71;103.64;103.64;49.27;103.94;8.5;104.71;46;103;102.99;103.64;6271422.2;5711746.9;6271422.2;2022-04-21;510;8.29;;;;54.35;2020-04-23;2018-10-08;1000;SUR;;8.4342;;2020-04-28;RUB
EQOB;2018-10-09;Калаш БП1;RU000A0JXPU3;14;105204.4;102.99;103.64;103;103;49.57;103.14;8.96;103.61;102;;102.99;103;0;5816951.3;0;2022-04-21;509;8.86;;;;54.35;2020-04-23;2018-10-09;1000;SUR;;8.887;;2020-04-28;RUB
EQOB;2018-10-10;Калаш БП1;RU000A0JXPU3;3;1037496;103.64;103.75;103.75;103.75;49.87;103.65;8.42;103.64;1001;103.6;103.61;103.75;1142700.4;1099295.7;1142700.4;2022-04-21;508;8.49;;;;54.35;2020-04-23;2018-10-10;1000;SUR;;8.3476;;2020-04-28;RUB
EQOB;2018-10-11;Калаш БП1;RU000A0JXPU3;0;0;;;;103.75;50.17;;8.41;;0;103.6;103.61;103.75;1142700.4;1099295.7;1142700.4;2022-04-21;507;;;;;54.35;2020-04-23;2018-10-10;1000;SUR;;8.3646;;2020-04-28;RUB
EQOB;2018-10-12;Калаш БП1;RU000A0JXPU3;4;179487.5;103.75;103.75;103.75;103.75;50.47;103.75;8.41;103.75;173;103.63;103.65;103.75;1370000.7;1245823.2;1370000.7;2022-04-21;506;8.41;;;;54.35;2020-04-23;2018-10-12;1000;SUR;;8.3389;;2020-04-28;RUB
EQOB;2018-10-15;Калаш БП1;RU000A0JXPU3;14;6336879.5;102.85;103.75;103.75;103.75;51.36;102.87;8.4;103.75;6160;102.87;102.87;103.75;6336879.5;6336879.5;6336879.5;2022-04-21;503;9.04;;;;54.35;2020-04-23;2018-10-15;1000;SUR;;8.3264;;2020-04-28;RUB
EQOB;2018-10-16;Калаш БП1;RU000A0JXPU3;6;284324.2;103;103.5;103;103;51.66;103.02;8.94;103.01;276;102.88;102.87;103;6621203.7;6549783.9;6621203.7;2022-04-21;502;8.92;;;;54.35;2020-04-23;2018-10-16;1000;SUR;;8.8634;;2020-04-28;RUB
EQOB;2018-10-17;Калаш БП1;RU000A0JXPU3;7;192506.5;102.71;104.48;102.71;102.71;51.96;103.5;9.15;104.48;186;;103.3;102.71;0;571243.2;0;2022-04-21;501;8.57;;;;54.35;2020-04-23;2018-10-17;1000;SUR;;9.0713;;2020-04-28;RUB
EQOB;2018-10-18;Калаш БП1;RU000A0JXPU3;3;534576;103.2;103.2;103.2;103.2;52.26;103.2;8.78;103.2;518;103.28;103.28;103.2;727082.5;727082.5;727082.5;2022-04-21;500;8.78;;;;54.35;2020-04-23;2018-10-18;1000;SUR;;8.7108;;2020-04-28;RUB
