history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ПИК БО-П02;RU000A0JXQ93;29;1059855.2;102.26;102.95;102.89;102.89;20.34;102.9;10.14;102.78;1030;102.9;102.9;102.89;1059855.2;1059855.2;1059855.2;2022-04-22;713;10.13;;;;28.05;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;ПИК БО-П02;RU000A0JXQ93;17;445613.8;102.55;102.89;102.56;102.56;20.65;102.68;10.31;102.89;434;;102.7;102.56;0;521730.3;0;2022-04-22;712;10.25;;;;28.05;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;ПИК БО-П02;RU000A0JXQ93;18;184551.8;102.37;102.95;102.7;102.7;20.96;102.53;10.24;102.95;180;;102.58;102.7;0;500582.2;0;2022-04-22;710;10.33;;;;28.05;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;ПИК БО-П02;RU000A0JXQ93;26;396137.5;102.4;102.91;102.85;102.85;21.27;102.63;10.15;102.91;386;;102.61;102.85;0;513039.7;0;2022-04-22;710;10.27;;;;28.05;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;ПИК БО-П02;RU000A0JXQ93;18;1474453.8;102.84;102.9;102.89;102.89;21.58;102.89;10.13;102.87;1433;102.89;102.89;102.89;1474453.8;1474453.8;1474453.8;2022-04-22;709;10.13;;;;28.05;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;ПИК БО-П02;RU000A0JXQ93;37;2828179;102.66;102.95;102.7;102.7;22.5;102.81;10.23;102.93;2751;102.81;102.81;102.7;2828179;2828179;2828179;2022-04-22;706;10.17;;;;28.05;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;ПИК БО-П02;RU000A0JXQ93;33;485681.1;102.41;102.99;102.7;102.7;22.81;102.67;10.23;102.61;473;;102.68;102.7;0;507248.1;0;2022-04-22;705;10.24;;;;28.05;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;ПИК БО-П02;RU000A0JXQ93;46;421948;102.38;102.85;102.83;102.83;23.12;102.66;10.16;102.85;411;;102.67;102.83;0;546215;0;2022-04-22;704;10.25;;;;28.05;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;ПИК БО-П02;RU000A0JXQ93;18;2146202.4;102.8;102.87;102.84;102.84;23.42;102.84;10.15;102.83;2087;102.84;102.84;102.84;2146202.4;2146202.4;2146202.4;2022-04-22;703;10.15;;;;28.05;;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;ПИК БО-П02;RU000A0JXQ93;23;666868.6;102.36;103;102.98;102.98;23.73;102.88;10.07;102.47;648;102.91;102.91;102.98;666868.6;666868.6;666868.6;2022-04-22;702;10.13;;;;28.05;;2018-10-12;1000;SUR;;;;;RUB
EQOB;2018-10-15;ПИК БО-П02;RU000A0JXQ93;20;415183.1;102.42;102.98;102.8;102.8;24.66;102.77;10.16;102.47;404;;102.83;102.8;0;601576.9;0;2022-04-22;699;10.18;;;;28.05;;2018-10-15;1000;SUR;;;;;RUB
EQOB;2018-10-16;ПИК БО-П02;RU000A0JXQ93;42;2464012.1;102.43;102.95;102.8;102.8;24.97;102.58;10.16;102.44;2402;102.58;102.58;102.8;2464012.1;2464012.1;2464012.1;2022-04-22;698;10.28;;;;28.05;;2018-10-16;1000;SUR;;;;;RUB
EQOB;2018-10-17;ПИК БО-П02;RU000A0JXQ93;25;604222.1;102.6;102.94;102.8;102.79;25.27;102.76;10.16;102.89;588;102.76;102.76;102.79;604222.1;604222.1;604222.1;2022-04-22;697;10.18;;;;28.05;;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-18;ПИК БО-П02;RU000A0JXQ93;14;90492.8;102.78;102.93;102.78;102.78;25.58;102.83;10.17;102.82;88;;102.75;102.78;0;538400;0;2022-04-22;696;10.14;;;;28.05;;2018-10-18;1000;SUR;;;;;RUB
EQOB;2018-10-19;ПИК БО-П02;RU000A0JXQ93;33;788887.7;102.45;102.95;102.92;102.49;25.89;102.59;10.09;102.61;769;102.59;102.59;102.49;788887.7;788887.7;788887.7;2022-04-22;695;10.27;;;;28.05;;2018-10-19;1000;SUR;;;;;RUB
EQOB;2018-10-22;ПИК БО-П02;RU000A0JXQ93;21;1248194.2;102.4;102.74;102.72;102.72;26.82;102.48;10.2;102.52;1218;102.48;102.48;102.72;1248194.2;1248194.2;1248194.2;2022-04-22;691;10.33;;;;28.05;;2018-10-22;1000;SUR;;;;;RUB
EQOB;2018-10-23;ПИК БО-П02;RU000A0JXQ93;21;540995.5;102.41;102.47;102.46;102.46;27.12;102.46;10.34;102.47;528;102.46;102.46;102.46;540995.5;540995.5;540995.5;2022-04-22;690;10.34;;;;28.05;;2018-10-23;1000;SUR;;;;;RUB
EQOB;2018-10-24;ПИК БО-П02;RU000A0JXQ93;38;437872.8;102.41;102.9;102.9;102.89;27.43;102.79;10.1;102.41;426;;102.72;102.89;0;545455.8;0;2022-04-22;690;10.16;;;;28.05;;2018-10-24;1000;SUR;;;;;RUB
EQOB;2018-10-25;ПИК БО-П02;RU000A0JXQ93;43;3377976.9;102.45;103.2;103;103;27.74;102.99;10.04;102.99;3280;102.99;102.99;103;3377976.9;3377976.9;3377976.9;2022-04-22;689;10.04;;;;28.05;;2018-10-25;1000;SUR;;;;;RUB
EQOB;2018-10-26;ПИК БО-П02;RU000A0JXQ93;84;759348.6;102.64;103.19;102.99;102.99;0;103.03;10.04;103.19;737;103.03;103.03;102.99;759348.6;759348.6;759348.6;2022-04-22;707;10.02;;;;28.05;;2018-10-26;1000;SUR;;;;;RUB
EQOB;2018-10-29;ПИК БО-П02;RU000A0JXQ93;31;336763.2;102.54;102.99;102.56;102.6;0.92;102.67;10.27;102.9;328;;102.8;102.6;0;516075.6;0;2022-04-22;704;10.21;;;;28.05;;2018-10-29;1000;SUR;;;;;RUB
EQOB;2018-10-30;ПИК БО-П02;RU000A0JXQ93;57;542462.7;102.53;103.3;102.99;102.99;1.23;102.93;10.03;102.99;527;102.93;102.93;102.99;542462.7;542462.7;542462.7;2022-04-22;703;10.07;;;;28.05;;2018-10-30;1000;SUR;;;;;RUB
EQOB;2018-10-31;ПИК БО-П02;RU000A0JXQ93;35;1259007.3;102.72;103.3;103.18;103.07;1.54;103.11;9.93;103.3;1221;103.11;103.11;103.07;1259007.3;1259007.3;1259007.3;2022-04-22;702;9.96;;;;28.05;;2018-10-31;1000;SUR;;;;;RUB
EQOB;2018-11-01;ПИК БО-П02;RU000A0JXQ93;46;1733595.6;102.66;103.3;103;103.12;1.85;103.25;10.02;103.28;1679;103.25;103.25;103.12;1733595.6;1733595.6;1733595.6;2022-04-22;701;9.89;;;;28.05;;2018-11-01;1000;SUR;;;;;RUB
EQOB;2018-11-02;ПИК БО-П02;RU000A0JXQ93;76;2669993.8;102.7;103.3;102.99;103;2.16;103;10.03;103.3;2592;103.01;103.01;103;2669993.8;2669993.8;2669993.8;2022-04-22;700;10.02;;;;28.05;;2018-11-02;1000;SUR;;;;;RUB
EQOB;2018-11-06;ПИК БО-П02;RU000A0JXQ93;60;1814846.3;102.83;103.3;103.28;103.28;3.39;103.06;9.86;103.29;1761;103.06;103.06;103.28;1814846.3;1814846.3;1814846.3;2022-04-22;696;9.98;;;;28.05;;2018-11-06;1000;SUR;;;;;RUB
EQOB;2018-11-07;ПИК БО-П02;RU000A0JXQ93;22;828353.8;103.27;103.3;103.28;103.28;3.7;103.29;9.85;103.3;802;103.29;103.29;103.28;828353.8;828353.8;828353.8;2022-04-22;696;9.85;;;;28.05;;2018-11-07;1000;SUR;;;;;RUB
EQOB;2018-11-08;ПИК БО-П02;RU000A0JXQ93;43;693778;102.88;103.3;103;103;4.01;103.09;10.01;103.3;673;103.09;103.09;103;693778;693778;693778;2022-04-22;694;9.96;;;;28.05;;2018-11-08;1000;SUR;;;;;RUB
EQOB;2018-11-09;ПИК БО-П02;RU000A0JXQ93;57;981754.7;102.76;103.3;103;103;4.32;102.98;10.01;103.3;953;103.02;103.02;103;981754.7;981754.7;981754.7;2022-04-22;693;10.02;;;;28.05;;2018-11-09;1000;SUR;;;;;RUB
EQOB;2018-11-12;ПИК БО-П02;RU000A0JXQ93;37;682125.7;102.73;103.29;103.05;103.05;5.24;103.04;9.97;103.26;662;103.04;103.04;103.05;682125.7;682125.7;682125.7;2022-04-22;690;9.98;;;;28.05;;2018-11-12;1000;SUR;;;;;RUB
EQOB;2018-11-13;ПИК БО-П02;RU000A0JXQ93;29;388624.6;102.9;103.26;103.05;103.05;5.55;103.08;9.97;103.01;377;;103.09;103.05;0;637078.3;0;2022-04-22;689;9.95;;;;28.05;;2018-11-13;1000;SUR;;;;;RUB
EQOB;2018-11-14;ПИК БО-П02;RU000A0JXQ93;49;2253747.9;102.91;103.3;103.28;103.26;5.86;103.24;9.84;103.22;2183;103.24;103.24;103.26;2253747.9;2253747.9;2253747.9;2022-04-22;689;9.86;;;;28.05;;2018-11-14;1000;SUR;;;;;RUB
EQOB;2018-11-15;ПИК БО-П02;RU000A0JXQ93;19;686496.6;103.02;103.4;103.4;103.4;6.16;103.39;9.77;103.4;664;103.39;103.39;103.4;686496.6;686496.6;686496.6;2022-04-22;688;9.77;;;;28.05;;2018-11-15;1000;SUR;;;;;RUB
EQOB;2018-11-16;ПИК БО-П02;RU000A0JXQ93;35;5128498.5;103.03;103.41;103.41;103.41;6.47;103.38;9.76;103.03;4961;103.38;103.38;103.41;5128498.5;5128498.5;5128498.5;2022-04-22;687;9.78;;;;28.05;;2018-11-16;1000;SUR;;;;;RUB
EQOB;2018-11-19;ПИК БО-П02;RU000A0JXQ93;20;197236.4;103.18;103.98;103.93;103.93;7.4;103.81;9.46;103.98;190;;103.42;103.93;0;3304406.9;0;2022-04-22;684;9.53;;;;28.05;;2018-11-19;1000;SUR;;;;;RUB
EQOB;2018-11-20;ПИК БО-П02;RU000A0JXQ93;23;1548481.6;103.31;104.02;103.99;103.99;7.71;103.99;9.43;103.99;1489;103.99;103.99;103.99;1548481.6;1548481.6;1548481.6;2022-04-22;684;9.43;;;;28.05;;2018-11-20;1000;SUR;;;;;RUB
EQOB;2018-11-21;ПИК БО-П02;RU000A0JXQ93;22;927433.2;103.35;104.02;103.5;103.5;8.01;103.74;9.7;104.02;894;103.74;103.74;103.5;927433.2;927433.2;927433.2;2022-04-22;682;9.56;;;;28.05;;2018-11-21;1000;SUR;;;;;RUB
EQOB;2018-11-22;ПИК БО-П02;RU000A0JXQ93;20;272271.2;103.79;103.99;103.8;103.8;8.32;103.92;9.53;103.98;262;;103.83;103.8;0;504621.7;0;2022-04-22;682;9.46;;;;28.05;;2018-11-22;1000;SUR;;;;;RUB
EQOB;2018-11-23;ПИК БО-П02;RU000A0JXQ93;30;721045.1;103.25;104.04;104.04;104.03;8.63;103.9;9.39;103.99;694;103.9;103.9;104.03;721045.1;721045.1;721045.1;2022-04-22;681;9.47;;;;28.05;;2018-11-23;1000;SUR;;;;;RUB
EQOB;2018-11-26;ПИК БО-П02;RU000A0JXQ93;52;1016969.9;103.11;104.05;103.82;103.82;9.55;103.34;9.51;104.05;984;103.35;103.35;103.82;1016969.9;1016969.9;1016969.9;2022-04-22;677;9.78;;;;28.05;;2018-11-26;1000;SUR;;;;;RUB
EQOB;2018-11-27;ПИК БО-П02;RU000A0JXQ93;28;330780.8;103.12;103.78;103.21;103.21;9.86;103.37;9.85;103.14;320;;103.47;103.21;0;503883.5;0;2022-04-22;676;9.76;;;;28.05;;2018-11-27;1000;SUR;;;;;RUB
EQOB;2018-11-28;ПИК БО-П02;RU000A0JXQ93;26;837040.3;103.1;103.68;103.4;103.4;10.17;103.21;9.74;103.68;811;103.21;103.21;103.4;837040.3;837040.3;837040.3;2022-04-22;675;9.85;;;;28.05;;2018-11-28;1000;SUR;;;;;RUB
EQOB;2018-11-29;ПИК БО-П02;RU000A0JXQ93;38;920519.1;103.13;103.45;103.4;103.4;10.48;103.31;9.74;103.14;891;103.31;103.31;103.4;920519.1;920519.1;920519.1;2022-04-22;674;9.79;;;;28.05;;2018-11-29;1000;SUR;;;;;RUB
EQOB;2018-11-30;ПИК БО-П02;RU000A0JXQ93;19;554791.4;103.14;103.4;103.29;103.29;10.79;103.31;9.8;103.39;537;103.31;103.31;103.29;554791.4;554791.4;554791.4;2022-04-22;673;9.78;;;;28.05;;2018-11-30;1000;SUR;;;;;RUB
