history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ТрансФ1P04;RU000A0ZYEB1;51;19480164.7;99.41;100.55;100;99.95;45.45;99.95;10.77;99.5;19490;99.95;99.95;99.95;19480164.7;19480164.7;19480164.7;2027-10-14;666;10.8;;;;52.36;2020-10-22;2018-10-01;1000;SUR;;10.7031;;2020-10-27;RUB
EQOB;2018-10-02;ТрансФ1P04;RU000A0ZYEB1;11;2976213;99.99;100.01;100.01;100.01;45.74;100.01;10.76;100;2976;100.01;100.01;100.01;2976213;2976213;2976213;2027-10-14;665;10.76;;;;52.36;2020-10-22;2018-10-02;1000;SUR;;10.6974;;2020-10-27;RUB
EQOB;2018-10-03;ТрансФ1P04;RU000A0ZYEB1;7;1420995;99.99;100;100;100;46.03;100;10.77;99.99;1421;100;100.01;100;4397208;3906236.7;4397208;2027-10-14;664;10.77;;;;52.36;2020-10-22;2018-10-03;1000;SUR;;10.7032;;2020-10-27;RUB
EQOB;2018-10-04;ТрансФ1P04;RU000A0ZYEB1;28;2893704.5;99.51;100;99.75;99.75;46.32;99.96;10.92;100;2895;99.96;99.96;99.75;2893704.5;2893704.5;2893704.5;2027-10-14;663;10.79;;;;52.36;2020-10-22;2018-10-04;1000;SUR;;10.8484;;2020-10-27;RUB
EQOB;2018-10-05;ТрансФ1P04;RU000A0ZYEB1;16;3533345.5;99.99;100.09;100;100;46.6;100.04;10.77;100.09;3532;100.04;100.04;100;3533345.5;3533345.5;3533345.5;2027-10-14;662;10.75;;;;52.36;2020-10-22;2018-10-05;1000;SUR;;10.704;;2020-10-27;RUB
EQOB;2018-10-08;ТрансФ1P04;RU000A0ZYEB1;16;975333.3;99.8;100;99.99;99.93;47.47;100;10.78;99.99;976;99.93;99.93;99.93;975333.3;975333.3;975333.3;2027-10-14;659;10.77;;;;52.36;2020-10-22;2018-10-08;1000;SUR;;10.7101;;2020-10-27;RUB
EQOB;2018-10-09;ТрансФ1P04;RU000A0ZYEB1;18;1578807.3;99.77;100;100;99.99;47.75;99.99;10.77;99.9;1579;99.99;99.99;99.99;1578807.3;1578807.3;1578807.3;2027-10-14;658;10.78;;;;52.36;2020-10-22;2018-10-09;1000;SUR;;10.705;;2020-10-27;RUB
EQOB;2018-10-10;ТрансФ1P04;RU000A0ZYEB1;12;657734.1;99.95;100;99.96;99.96;48.04;99.96;10.8;100;658;99.96;99.96;99.96;657734.1;657734.1;657734.1;2027-10-14;657;10.8;;;;52.36;2020-10-22;2018-10-10;1000;SUR;;10.7284;;2020-10-27;RUB
EQOB;2018-10-11;ТрансФ1P04;RU000A0ZYEB1;19;1411838.8;99.71;100;99.98;99.98;48.33;99.99;10.78;99.71;1412;99.99;99.99;99.98;1411838.8;1411838.8;1411838.8;2027-10-14;656;10.78;;;;52.36;2020-10-22;2018-10-11;1000;SUR;;10.7169;;2020-10-27;RUB
EQOB;2018-10-12;ТрансФ1P04;RU000A0ZYEB1;19;1955945.9;99.94;100;99.94;100;48.62;100;10.81;99.96;1956;100;100;100;1955945.9;1955945.9;1955945.9;2027-10-14;655;10.77;;;;52.36;2020-10-22;2018-10-12;1000;SUR;;10.7405;;2020-10-27;RUB
EQOB;2018-10-15;ТрансФ1P04;RU000A0ZYEB1;16;1027927.3;99.9;100;99.99;99.99;49.48;99.99;10.78;100;1028;99.99;99.99;99.99;1027927.3;1027927.3;1027927.3;2027-10-14;652;10.78;;;;52.36;2020-10-22;2018-10-15;1000;SUR;;10.7122;;2020-10-27;RUB
