history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ИНГР Б1P1;RU000A0ZYG37;0;0;;;;100;37.07;;10.31;;0;;;100;0;0;0;2027-11-09;;;;;;51.11;2018-11-20;2018-07-12;1000;SUR;;;;2019-05-24;RUB
EQOB;2018-10-02;ИНГР Б1P1;RU000A0ZYG37;0;0;;;;100;37.35;;10.31;;0;;;100;0;0;0;2027-11-09;;;;;;51.11;2018-11-20;2018-07-12;1000;SUR;;;;2019-05-24;RUB
EQOB;2018-10-03;ИНГР Б1P1;RU000A0ZYG37;0;0;;;;100;37.63;;10.31;;0;;;100;0;0;0;2027-11-09;;;;;;51.11;2018-11-20;2018-07-12;1000;SUR;;;;2019-05-24;RUB
EQOB;2018-10-04;ИНГР Б1P1;RU000A0ZYG37;1;1004.4;100.44;100.44;100.44;100.44;37.91;100.44;6.75;100.44;1;;;100.44;0;0;0;2027-11-09;47;6.75;;;;51.11;2018-11-20;2018-10-04;1000;SUR;;9.5748;;2019-05-24;RUB
EQOB;2018-10-05;ИНГР Б1P1;RU000A0ZYG37;0;0;;;;100.44;38.19;;6.67;;0;;;100.44;0;0;0;2027-11-09;;;;;;51.11;2018-11-20;2018-10-04;1000;SUR;;9.6199;;2019-05-24;RUB
EQOB;2018-10-08;ИНГР Б1P1;RU000A0ZYG37;0;0;;;;100.44;39.03;;6.42;;0;;;100.44;0;0;0;2027-11-09;;;;;;51.11;2018-11-20;2018-10-04;1000;SUR;;9.758;;2019-05-24;RUB
EQOB;2018-10-09;ИНГР Б1P1;RU000A0ZYG37;0;0;;;;100.44;39.32;;6.32;;0;;;100.44;0;0;0;2027-11-09;;;;;;51.11;2018-11-20;2018-10-04;1000;SUR;;9.8049;;2019-05-24;RUB
EQOB;2018-10-10;ИНГР Б1P1;RU000A0ZYG37;0;0;;;;100.44;39.6;;6.23;;0;;;100.44;0;0;0;2027-11-09;;;;;;51.11;2018-11-20;2018-10-04;1000;SUR;;9.8523;;2019-05-24;RUB
EQOB;2018-10-11;ИНГР Б1P1;RU000A0ZYG37;0;0;;;;100.44;39.88;;6.13;;0;;;100.44;0;0;0;2027-11-09;;;;;;51.11;2018-11-20;2018-10-04;1000;SUR;;9.9001;;2019-05-24;RUB
EQOB;2018-10-12;ИНГР Б1P1;RU000A0ZYG37;0;0;;;;100.44;40.16;;6.02;;0;;;100.44;0;0;0;2027-11-09;;;;;;51.11;2018-11-20;2018-10-04;1000;SUR;;9.9484;;2019-05-24;RUB
EQOB;2018-10-15;ИНГР Б1P1;RU000A0ZYG37;0;0;;;;100.44;41;;5.68;;0;;;100.44;0;0;0;2027-11-09;;;;;;51.11;2018-11-20;2018-10-04;1000;SUR;;10.0962;;2019-05-24;RUB
EQOB;2018-10-16;ИНГР Б1P1;RU000A0ZYG37;0;0;;;;100.44;41.28;;5.55;;0;;;100.44;0;0;0;2027-11-09;;;;;;51.11;2018-11-20;2018-10-04;1000;SUR;;10.1464;;2019-05-24;RUB
EQOB;2018-10-17;ИНГР Б1P1;RU000A0ZYG37;0;0;;;;100.44;41.56;;5.41;;0;;;100.44;0;0;0;2027-11-09;;;;;;51.11;2018-11-20;2018-10-04;1000;SUR;;10.1971;;2019-05-24;RUB
EQOB;2018-10-18;ИНГР Б1P1;RU000A0ZYG37;0;0;;;;100.44;41.84;;5.27;;0;;;100.44;0;0;0;2027-11-09;;;;;;51.11;2018-11-20;2018-10-04;1000;SUR;;10.2484;;2019-05-24;RUB
EQOB;2018-10-19;ИНГР Б1P1;RU000A0ZYG37;0;0;;;;100.44;42.12;;5.12;;0;;;100.44;0;0;0;2027-11-09;;;;;;51.11;2018-11-20;2018-10-04;1000;SUR;;10.3001;;2019-05-24;RUB
EQOB;2018-10-22;ИНГР Б1P1;RU000A0ZYG37;0;0;;;;100.44;42.97;;4.59;;0;;;100.44;0;0;0;2027-11-09;;;;;;51.11;2018-11-20;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-23;ИНГР Б1P1;RU000A0ZYG37;0;0;;;;100.44;43.25;;4.39;;0;;;100.44;0;0;0;2027-11-09;;;;;;51.11;2018-11-20;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-24;ИНГР Б1P1;RU000A0ZYG37;0;0;;;;100.44;43.53;;4.18;;0;;;100.44;0;0;0;2027-11-09;;;;;;51.11;2018-11-20;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-25;ИНГР Б1P1;RU000A0ZYG37;0;0;;;;100.44;43.81;;3.95;;0;;;100.44;0;0;0;2027-11-09;;;;;;51.11;2018-11-20;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-26;ИНГР Б1P1;RU000A0ZYG37;0;0;;;;100.44;44.09;;3.71;;0;;;100.44;0;0;0;2027-11-09;;;;;;51.11;2018-11-20;2018-10-04;1000;SUR;;;;;RUB
