,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,ВТБ Б-1-1,RU000A0ZYG78,9,723077.5,100.04,100.15,100.15,100.15,8.77,100.15,7.06,100.04,722,100.06,100.15,100.15,34430093.2,725079.3,34430093.2,2018-11-21,51.0,7.06,,,,19.95,,2018-10-01,1000,SUR,,,6.8574,,RUB
1,EQOB,2018-10-02,ВТБ Б-1-1,RU000A0ZYG78,15,672714.1,100.05,100.15,100.05,100.05,8.99,100.11,7.82,100.15,672,100.11,100.11,100.05,672714.1,672714.1,672714.1,2018-11-21,50.0,7.35,,,,19.95,,2018-10-02,1000,SUR,,,7.564,,RUB
2,EQOB,2018-10-03,ВТБ Б-1-1,RU000A0ZYG78,15,1556870.4,100.1,100.15,100.1,100.14,9.21,100.12,7.41,100.15,1555,100.12,100.12,100.14,1556870.4,1556870.4,1556870.4,2018-11-21,49.0,7.25,,,,19.95,,2018-10-03,1000,SUR,,,7.182,,RUB
3,EQOB,2018-10-04,ВТБ Б-1-1,RU000A0ZYG78,13,15223540.1,100.01,100.16,100.16,100.16,9.42,100.12,6.92,100.05,15206,100.12,100.12,100.16,15223540.1,15223540.1,15223540.1,2018-11-21,48.0,7.24,,,,19.95,,2018-10-04,1000,SUR,,,6.7165,,RUB
4,EQOB,2018-10-05,ВТБ Б-1-1,RU000A0ZYG78,8,2108179.7,100.02,100.16,100.04,100.04,9.64,100.15,7.88,100.15,2105,100.12,100.16,100.04,17331719.8,12306470.9,17331719.8,2018-11-21,47.0,6.97,,,,19.95,,2018-10-05,1000,SUR,,,7.6196,,RUB
5,EQOB,2018-10-08,ВТБ Б-1-1,RU000A0ZYG78,7,290148.4,100.03,100.16,100.16,100.16,10.3,100.05,6.79,100.04,290,100.14,100.14,100.16,2398328.1,2298178.1,2398328.1,2018-11-21,44.0,7.76,,,,19.95,,2018-10-08,1000,SUR,,,6.5993,,RUB
6,EQOB,2018-10-09,ВТБ Б-1-1,RU000A0ZYG78,7,326364.6,100.1,100.14,100.14,100.13,10.52,100.11,6.94,100.1,326,100.08,100.08,100.13,616513.0,616513.0,616513.0,2018-11-21,43.0,7.21,,,,19.95,,2018-10-09,1000,SUR,,,6.7359,,RUB
7,EQOB,2018-10-10,ВТБ Б-1-1,RU000A0ZYG78,20,2186424.5,100.0,100.15,100.02,100.02,10.74,100.07,8.02,100.02,2185,100.07,100.07,100.02,2186424.5,2186424.5,2186424.5,2018-11-21,42.0,7.55,,,,19.95,,2018-10-10,1000,SUR,,,7.7454,,RUB
8,EQOB,2018-10-11,ВТБ Б-1-1,RU000A0ZYG78,14,1410656.6,100.02,100.05,100.03,100.03,10.96,100.05,7.92,100.05,1410,100.05,100.05,100.03,1410656.6,1410656.6,1410656.6,2018-11-21,41.0,7.73,,,,19.95,,2018-10-11,1000,SUR,,,7.6501,,RUB
9,EQOB,2018-10-12,ВТБ Б-1-1,RU000A0ZYG78,11,11576403.1,100.02,100.12,100.12,100.11,11.18,100.09,7.03,100.03,11566,100.09,100.09,100.11,11576403.1,11576403.1,11576403.1,2018-11-21,40.0,7.32,,,,19.95,,2018-10-12,1000,SUR,,,6.8232,,RUB
10,EQOB,2018-10-15,ВТБ Б-1-1,RU000A0ZYG78,13,2654798.0,100.1,100.15,100.15,100.15,11.84,100.14,6.62,100.1,2651,100.14,100.14,100.15,2654798.0,2654798.0,2654798.0,2018-11-21,37.0,6.73,,,,19.95,,2018-10-15,1000,SUR,,,6.4348,,RUB
11,EQOB,2018-10-16,ВТБ Б-1-1,RU000A0ZYG78,7,7282241.9,100.06,100.12,100.07,100.07,12.05,100.07,7.45,100.12,7277,100.09,100.08,100.07,9937039.9,8194608.4,9937039.9,2018-11-21,36.0,7.45,,,,19.95,,2018-10-16,1000,SUR,,,7.2081,,RUB
12,EQOB,2018-10-17,ВТБ Б-1-1,RU000A0ZYG78,14,29255538.4,100.06,100.15,100.13,100.13,12.27,100.1,6.76,100.07,29227,100.1,100.1,100.13,29255538.4,29255538.4,29255538.4,2018-11-21,35.0,7.09,,,,19.95,,2018-10-17,1000,SUR,,,6.5644,,RUB
13,EQOB,2018-10-18,ВТБ Б-1-1,RU000A0ZYG78,4,37020.1,100.05,100.13,100.13,100.13,12.49,100.05,6.72,100.05,37,100.1,100.13,100.13,29292558.5,13167077.8,29292558.5,2018-11-21,34.0,7.63,,,,19.95,,2018-10-18,1000,SUR,,,6.523,,RUB
14,EQOB,2018-10-19,ВТБ Б-1-1,RU000A0ZYG78,21,1357001.0,100.06,100.15,100.07,100.08,12.71,100.07,7.37,100.1,1356,100.07,100.07,100.08,1357001.0,1357001.0,1357001.0,2018-11-21,33.0,7.37,,,,19.95,,2018-10-19,1000,SUR,,,7.1379,,RUB
