,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,ВТБ Б-1-2,RU000A0ZYKF9,23,6488382.9,100.12,100.25,100.17,100.17,3.95,100.16,7.31,100.25,6478,100.16,100.16,100.17,6488382.9,6488382.9,6488382.9,2018-12-13,73.0,7.37,,,,19.95,,2018-10-01,1000,SUR,,,7.1098,,RUB
1,EQOB,2018-10-02,ВТБ Б-1-2,RU000A0ZYKF9,21,4104053.8,100.1,100.29,100.26,100.26,4.16,100.25,6.82,100.21,4094,100.25,100.25,100.26,4104053.8,4104053.8,4104053.8,2018-12-13,72.0,6.87,,,,19.95,,2018-10-02,1000,SUR,,,6.6417,,RUB
2,EQOB,2018-10-03,ВТБ Б-1-2,RU000A0ZYKF9,17,882144.1,100.08,100.17,100.1,100.13,4.38,100.13,7.68,100.17,881,100.13,100.13,100.13,882144.1,882144.1,882144.1,2018-12-13,71.0,7.51,,,,19.95,,2018-10-03,1000,SUR,,,7.4501,,RUB
3,EQOB,2018-10-04,ВТБ Б-1-2,RU000A0ZYKF9,11,1549350.4,100.13,100.24,100.13,100.13,4.6,100.22,7.5,100.19,1546,100.22,100.22,100.13,1549350.4,1549350.4,1549350.4,2018-12-13,70.0,7.0,,,,19.95,,2018-10-04,1000,SUR,,,7.2831,,RUB
4,EQOB,2018-10-05,ВТБ Б-1-2,RU000A0ZYKF9,26,1494703.3,100.08,100.27,100.19,100.19,4.82,100.18,7.15,100.27,1492,100.18,100.18,100.19,1494703.3,1494703.3,1494703.3,2018-12-13,69.0,7.21,,,,19.95,,2018-10-05,1000,SUR,,,6.9518,,RUB
5,EQOB,2018-10-08,ВТБ Б-1-2,RU000A0ZYKF9,24,2948777.3,100.1,100.23,100.18,100.18,5.48,100.16,7.16,100.2,2944,100.16,100.16,100.18,2948777.3,2948777.3,2948777.3,2018-12-13,66.0,7.28,,,,19.95,,2018-10-08,1000,SUR,,,6.9563,,RUB
6,EQOB,2018-10-09,ВТБ Б-1-2,RU000A0ZYKF9,24,7376711.1,100.08,100.22,100.22,100.22,5.7,100.19,6.9,100.11,7363,100.19,100.19,100.22,7376711.1,7376711.1,7376711.1,2018-12-13,65.0,7.08,,,,19.95,,2018-10-09,1000,SUR,,,6.7135,,RUB
7,EQOB,2018-10-10,ВТБ Б-1-2,RU000A0ZYKF9,9,3102581.0,100.05,100.21,100.11,100.11,5.92,100.08,7.55,100.21,3100,100.16,100.09,100.11,10479292.1,3198792.2,10479292.1,2018-12-13,64.0,7.73,,,,19.95,,2018-10-10,1000,SUR,,,7.3227,,RUB
8,EQOB,2018-10-11,ВТБ Б-1-2,RU000A0ZYKF9,34,11396282.6,100.0,100.2,100.1,100.1,6.14,100.1,7.6,100.01,11385,100.1,100.1,100.1,11396282.6,11396282.6,11396282.6,2018-12-13,63.0,7.6,,,,19.95,,2018-10-11,1000,SUR,,,7.3691,,RUB
9,EQOB,2018-10-12,ВТБ Б-1-2,RU000A0ZYKF9,13,8729132.2,100.04,100.1,100.06,100.06,6.36,100.09,7.84,100.04,8721,100.09,100.09,100.06,8729132.2,8729132.2,8729132.2,2018-12-13,62.0,7.65,,,,19.95,,2018-10-12,1000,SUR,,,7.5945,,RUB
10,EQOB,2018-10-15,ВТБ Б-1-2,RU000A0ZYKF9,9,2581678.9,100.06,100.24,100.24,100.24,7.01,100.1,6.64,100.06,2579,100.1,100.1,100.24,11310811.1,2582679.5,11310811.1,2018-12-13,59.0,7.56,,,,19.95,,2018-10-15,1000,SUR,,,6.4597,,RUB
11,EQOB,2018-10-16,ВТБ Б-1-2,RU000A0ZYKF9,16,1782632.2,100.02,100.26,100.19,100.19,7.23,100.15,6.94,100.05,1780,100.15,100.15,100.19,1782632.2,1782632.2,1782632.2,2018-12-13,58.0,7.21,,,,19.95,,2018-10-16,1000,SUR,,,6.7475,,RUB
12,EQOB,2018-10-17,ВТБ Б-1-2,RU000A0ZYKF9,16,23023191.4,100.06,100.26,100.25,100.25,7.45,100.2,6.51,100.19,22978,100.2,100.2,100.25,23023191.4,23023191.4,23023191.4,2018-12-13,57.0,6.85,,,,19.95,,2018-10-17,1000,SUR,,,6.3404,,RUB
13,EQOB,2018-10-18,ВТБ Б-1-2,RU000A0ZYKF9,11,358537.5,100.1,100.25,100.1,100.1,7.67,100.15,7.52,100.25,358,,100.12,100.1,0.0,545671.1,0.0,2018-12-13,56.0,7.17,,,,19.95,,2018-10-18,1000,SUR,,,7.2889,,RUB
14,EQOB,2018-10-19,ВТБ Б-1-2,RU000A0ZYKF9,24,3353552.2,100.06,100.12,100.09,100.07,7.89,100.08,7.57,100.12,3351,100.08,100.08,100.07,3353552.2,3353552.2,3353552.2,2018-12-13,55.0,7.65,,,,19.95,,2018-10-19,1000,SUR,,,7.3416,,RUB
15,EQOB,2018-10-22,ВТБ Б-1-2,RU000A0ZYKF9,21,58304528.6,100.07,100.1,100.08,100.08,8.55,100.08,7.61,100.08,58258,100.08,100.08,100.08,58304528.6,58304528.6,58304528.6,2018-12-13,52.0,7.61,,,,19.95,,2018-10-22,1000,SUR,,,7.3715,,RUB
16,EQOB,2018-10-23,ВТБ Б-1-2,RU000A0ZYKF9,29,45514597.1,100.02,100.1,100.09,100.09,8.77,100.08,7.52,100.02,45476,100.08,100.08,100.09,45514597.1,45514597.1,45514597.1,2018-12-13,51.0,7.6,,,,19.95,,2018-10-23,1000,SUR,,,7.2868,,RUB
17,EQOB,2018-10-24,ВТБ Б-1-2,RU000A0ZYKF9,6,407200.3,100.04,100.08,100.08,100.08,8.99,100.05,7.58,100.06,407,100.08,100.09,100.08,45921797.4,25366643.6,45921797.4,2018-12-13,50.0,7.82,,,,19.95,,2018-10-24,1000,SUR,,,7.3449,,RUB
18,EQOB,2018-10-25,ВТБ Б-1-2,RU000A0ZYKF9,20,5395176.7,100.04,100.08,100.08,100.08,9.21,100.08,7.57,100.06,5391,100.08,100.08,100.08,5395176.7,5395176.7,5395176.7,2018-12-13,49.0,7.57,,,,19.95,,2018-10-25,1000,SUR,,,7.3309,,RUB
19,EQOB,2018-10-26,ВТБ Б-1-2,RU000A0ZYKF9,25,20849660.7,100.07,100.1,100.08,100.08,9.42,100.08,7.56,100.08,20833,100.08,100.08,100.08,20849660.7,20849660.7,20849660.7,2018-12-13,48.0,7.56,,,,19.95,,2018-10-26,1000,SUR,,,7.324,,RUB
20,EQOB,2018-10-29,ВТБ Б-1-2,RU000A0ZYKF9,55,97694832.3,100.01,100.08,100.02,100.01,10.08,100.03,8.03,100.08,97668,100.03,100.03,100.01,97694832.3,97694832.3,97694832.3,2018-12-13,45.0,7.95,,,,19.95,,2018-10-29,1000,SUR,,,7.7636,,RUB
21,EQOB,2018-10-30,ВТБ Б-1-2,RU000A0ZYKF9,11,1094284.4,100.01,100.05,100.04,100.04,10.3,100.03,7.85,100.01,1094,100.03,100.03,100.04,1094284.4,1094284.4,1094284.4,2018-12-13,44.0,7.94,,,,19.95,,2018-10-30,1000,SUR,,,7.5921,,RUB
22,EQOB,2018-10-31,ВТБ Б-1-2,RU000A0ZYKF9,10,2137605.1,100.01,100.17,100.16,100.16,10.52,100.03,6.76,100.01,2137,100.03,100.03,100.16,2137605.1,2137605.1,2137605.1,2018-12-13,43.0,7.93,,,,19.95,,2018-10-31,1000,SUR,,,6.5668,,RUB
23,EQOB,2018-11-01,ВТБ Б-1-2,RU000A0ZYKF9,12,4999671.1,100.01,100.16,100.07,100.07,10.74,100.03,7.55,100.16,4998,100.03,100.03,100.07,4999671.1,4999671.1,4999671.1,2018-12-13,42.0,7.92,,,,19.95,,2018-11-01,1000,SUR,,,7.3119,,RUB
24,EQOB,2018-11-02,ВТБ Б-1-2,RU000A0ZYKF9,31,12955987.5,100.01,100.07,100.03,100.03,10.96,100.03,7.92,100.05,12952,100.03,100.03,100.03,12955987.5,12955987.5,12955987.5,2018-12-13,41.0,7.92,,,,19.95,,2018-11-02,1000,SUR,,,7.6501,,RUB
25,EQOB,2018-11-06,ВТБ Б-1-2,RU000A0ZYKF9,10,2823430.2,100.0,100.16,100.02,100.02,11.84,100.02,7.98,100.16,2823,100.02,100.02,100.02,2823430.2,2823430.2,2823430.2,2018-12-13,37.0,7.98,,,,19.95,,2018-11-06,1000,SUR,,,7.7103,,RUB
26,EQOB,2018-11-07,ВТБ Б-1-2,RU000A0ZYKF9,56,24267046.9,100.0,100.05,100.02,100.02,12.05,100.02,7.99,100.03,24263,100.02,100.02,100.02,24267046.9,24267046.9,24267046.9,2018-12-13,36.0,7.99,,,,19.95,,2018-11-07,1000,SUR,,,7.7125,,RUB
27,EQOB,2018-11-08,ВТБ Б-1-2,RU000A0ZYKF9,14,5130841.1,100.01,100.05,100.05,100.05,12.27,100.02,7.65,100.02,5130,100.02,100.02,100.05,5130841.1,5130841.1,5130841.1,2018-12-13,35.0,7.98,,,,19.95,,2018-11-08,1000,SUR,,,7.3933,,RUB
28,EQOB,2018-11-09,ВТБ Б-1-2,RU000A0ZYKF9,28,12334945.3,100.0,100.05,100.0,100.0,12.49,100.02,8.2,100.05,12332,100.02,100.02,100.0,12334945.3,12334945.3,12334945.3,2018-12-13,34.0,7.97,,,,19.95,,2018-11-09,1000,SUR,,,7.9097,,RUB
29,EQOB,2018-11-12,ВТБ Б-1-2,RU000A0ZYKF9,27,7673164.5,99.92,100.16,100.05,100.02,13.15,99.95,7.57,100.0,7677,99.95,99.95,100.02,7673164.5,7673164.5,7673164.5,2018-12-13,31.0,8.83,,,,19.95,,2018-11-12,1000,SUR,,,7.3179,,RUB
30,EQOB,2018-11-13,ВТБ Б-1-2,RU000A0ZYKF9,16,1899729.8,99.98,100.07,100.0,100.0,13.37,100.04,8.19,100.05,1899,100.04,100.04,100.0,1899729.8,1899729.8,1899729.8,2018-12-13,30.0,7.67,,,,19.95,,2018-11-13,1000,SUR,,,7.9,,RUB
31,EQOB,2018-11-14,ВТБ Б-1-2,RU000A0ZYKF9,12,1385929.3,99.95,100.17,100.13,100.13,13.59,99.99,6.46,100.15,1386,99.99,99.99,100.13,1385929.3,1385929.3,1385929.3,2018-12-13,29.0,8.33,,,,19.95,,2018-11-14,1000,SUR,,,6.2752,,RUB
32,EQOB,2018-11-15,ВТБ Б-1-2,RU000A0ZYKF9,17,4396295.7,100.01,100.17,100.04,100.04,13.81,100.03,7.63,100.13,4395,100.03,100.03,100.04,4396295.7,4396295.7,4396295.7,2018-12-13,28.0,7.77,,,,19.95,,2018-11-15,1000,SUR,,,7.3777,,RUB
33,EQOB,2018-11-16,ВТБ Б-1-2,RU000A0ZYKF9,15,10281836.8,100.0,100.03,100.02,100.02,14.03,100.02,7.9,100.0,10280,100.02,100.02,100.02,10281836.8,10281836.8,10281836.8,2018-12-13,27.0,7.9,,,,19.95,,2018-11-16,1000,SUR,,,7.6241,,RUB
34,EQOB,2018-11-19,ВТБ Б-1-2,RU000A0ZYKF9,14,5017340.8,100.02,100.04,100.04,100.04,14.68,100.03,7.55,100.03,5016,100.03,100.03,100.04,5017340.8,5017340.8,5017340.8,2018-12-13,24.0,7.71,,,,19.95,,2018-11-19,1000,SUR,,,7.2964,,RUB
35,EQOB,2018-11-20,ВТБ Б-1-2,RU000A0ZYKF9,17,2306552.4,100.02,100.04,100.02,100.02,14.9,100.02,7.86,100.04,2306,100.02,100.02,100.02,2306552.4,2306552.4,2306552.4,2018-12-13,23.0,7.86,,,,19.95,,2018-11-20,1000,SUR,,,7.5822,,RUB
36,EQOB,2018-11-21,ВТБ Б-1-2,RU000A0ZYKF9,13,1542703.3,100.03,100.11,100.03,100.03,15.12,100.05,7.66,100.11,1542,100.05,100.05,100.03,1542703.3,1542703.3,1542703.3,2018-12-13,22.0,7.31,,,,19.95,,2018-11-21,1000,SUR,,,,,RUB
37,EQOB,2018-11-22,ВТБ Б-1-2,RU000A0ZYKF9,34,20196391.4,100.01,100.04,100.04,100.04,15.34,100.03,7.45,100.04,20190,100.03,100.03,100.04,20196391.4,20196391.4,20196391.4,2018-12-13,21.0,7.64,,,,19.95,,2018-11-22,1000,SUR,,,7.204,,RUB
38,EQOB,2018-11-23,ВТБ Б-1-2,RU000A0ZYKF9,34,27130042.8,100.01,100.12,100.04,100.04,15.56,100.03,7.42,100.04,27122,100.03,100.03,100.04,27130042.8,27130042.8,27130042.8,2018-12-13,20.0,7.61,,,,19.95,,2018-11-23,1000,SUR,,,7.1674,,RUB
