history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ФПКГарИнP3;RU000A0ZYL55;1;1000;100;100;100;100;35.98;100;13.11;100;1;;97.5;100;0;546948.1;0;2020-12-16;411;13.11;;;;63.58;2019-12-18;2018-10-01;1000;SUR;;12.9726;;2019-12-23;RUB
EQOB;2018-10-02;ФПКГарИнP3;RU000A0ZYL55;1;999.9;99.99;99.99;99.99;99.99;36.33;99.99;13.12;99.99;1;;97.5;99.99;0;547948;0;2020-12-16;410;13.12;;;;63.58;2019-12-18;2018-10-02;1000;SUR;;12.9818;;2019-12-23;RUB
EQOB;2018-10-03;ФПКГарИнP3;RU000A0ZYL55;1;3980;99.5;99.5;99.5;99.5;36.68;99.5;13.6;99.5;4;;97.63;99.5;0;503753;0;2020-12-16;409;13.6;;;;63.58;2019-12-18;2018-10-03;1000;SUR;;13.4555;;2019-12-23;RUB
EQOB;2018-10-04;ФПКГарИнP3;RU000A0ZYL55;3;150233;95.95;99.3;99.3;99.3;37.03;97.55;13.8;95.95;154;;97.99;99.3;0;504669;0;2020-12-16;408;15.56;;;;63.58;2019-12-18;2018-10-04;1000;SUR;;13.6513;;2019-12-23;RUB
EQOB;2018-10-05;ФПКГарИнP3;RU000A0ZYL55;2;8946;99.4;99.4;99.4;99.4;37.38;99.4;13.7;99.4;9;;98.03;99.4;0;508797.5;0;2020-12-16;407;13.7;;;;63.58;2019-12-18;2018-10-05;1000;SUR;;13.5545;;2019-12-23;RUB
EQOB;2018-10-08;ФПКГарИнP3;RU000A0ZYL55;1;3976;99.4;99.4;99.4;99.4;38.42;99.4;13.71;99.4;4;;98.04;99.4;0;512773.5;0;2020-12-16;404;13.71;;;;63.58;2019-12-18;2018-10-08;1000;SUR;;13.5583;;2019-12-23;RUB
EQOB;2018-10-09;ФПКГарИнP3;RU000A0ZYL55;2;19820;99.1;99.1;99.1;99.1;38.77;99.1;14.01;99.1;20;;98.14;99.1;0;515225;0;2020-12-16;403;14.01;;;;63.58;2019-12-18;2018-10-09;1000;SUR;;13.8559;;2019-12-23;RUB
EQOB;2018-10-10;ФПКГарИнP3;RU000A0ZYL55;1;4974.5;99.49;99.49;99.49;99.49;39.12;99.49;13.62;99.49;5;;98.15;99.49;0;520199.5;0;2020-12-16;402;13.62;;;;63.58;2019-12-18;2018-10-10;1000;SUR;;13.4714;;2019-12-23;RUB
EQOB;2018-10-11;ФПКГарИнP3;RU000A0ZYL55;3;182593.5;98.55;99.47;98.55;98.55;39.47;98.7;14.57;99.47;185;;98.49;98.55;0;509203.9;0;2020-12-16;401;14.42;;;;63.58;2019-12-18;2018-10-11;1000;SUR;;14.4097;;2019-12-23;RUB
EQOB;2018-10-12;ФПКГарИнP3;RU000A0ZYL55;3;29607;98.19;98.94;98.94;98.94;39.82;98.57;14.18;98.19;30;;98.5;98.94;0;538810.9;0;2020-12-16;400;14.55;;;;63.58;2019-12-18;2018-10-12;1000;SUR;;14.0207;;2019-12-23;RUB
