history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ДОМРФИА 03;RU000A0ZYLX0;0;0;;;;109.56;;;;;0;;;109.56;0;0;0;2037-10-28;;;;;;;;2018-07-17;798.1;SUR;;;;;RUB
EQOB;2018-10-02;ДОМРФИА 03;RU000A0ZYLX0;0;0;;;;109.56;;;;;0;;;109.56;0;0;0;2037-10-28;;;;;;;;2018-07-17;798.1;SUR;;;;;RUB
EQOB;2018-10-03;ДОМРФИА 03;RU000A0ZYLX0;0;0;;;;109.56;;;;;0;;;109.56;0;0;0;2037-10-28;;;;;;;;2018-07-17;798.1;SUR;;;;;RUB
EQOB;2018-10-04;ДОМРФИА 03;RU000A0ZYLX0;0;0;;;;109.56;;;;;0;;;109.56;0;0;0;2037-10-28;;;;;;;;2018-07-17;798.1;SUR;;;;;RUB
EQOB;2018-10-05;ДОМРФИА 03;RU000A0ZYLX0;0;0;;;;109.56;;;;;0;;;109.56;0;0;0;2037-10-28;;;;;;;;2018-07-17;798.1;SUR;;;;;RUB
EQOB;2018-10-08;ДОМРФИА 03;RU000A0ZYLX0;0;0;;;;109.56;;;;;0;;;109.56;0;0;0;2037-10-28;;;;;;;;2018-07-17;798.1;SUR;;;;;RUB
EQOB;2018-10-09;ДОМРФИА 03;RU000A0ZYLX0;0;0;;;;109.56;;;;;0;;;109.56;0;0;0;2037-10-28;;;;;;;;2018-07-17;798.1;SUR;;;;;RUB
EQOB;2018-10-10;ДОМРФИА 03;RU000A0ZYLX0;0;0;;;;109.56;;;;;0;;;109.56;0;0;0;2037-10-28;;;;;;;;2018-07-17;798.1;SUR;;;;;RUB
EQOB;2018-10-11;ДОМРФИА 03;RU000A0ZYLX0;0;0;;;;109.56;;;;;0;;;109.56;0;0;0;2037-10-28;;;;;;;;2018-07-17;798.1;SUR;;;;;RUB
EQOB;2018-10-12;ДОМРФИА 03;RU000A0ZYLX0;0;0;;;;109.56;;;;;0;;;109.56;0;0;0;2037-10-28;;;;;;;;2018-07-17;798.1;SUR;;;;;RUB
EQOB;2018-10-15;ДОМРФИА 03;RU000A0ZYLX0;0;0;;;;109.56;;;;;0;;;109.56;0;0;0;2037-10-28;;;;;;;;2018-07-17;798.1;SUR;;;;;RUB
