,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,ГТЛК 1P-08,RU000A0ZYR91,1,4848.5,96.97,96.97,96.97,96.97,11.9,96.97,8.52,96.97,5,96.28,96.29,96.97,61690853.0,56015369.5,61690853.0,2033-01-18,3101,8.52,,,,19.7,,2018-10-01,1000,SUR,,9.1201,,2022-08-05,RUB
1,EQOB,2018-10-02,ГТЛК 1P-08,RU000A0ZYR91,1,14545.5,96.97,96.97,96.97,96.97,12.12,96.97,8.52,96.97,15,96.28,96.28,96.97,61629910.4,54098915.0,61629910.4,2033-01-18,3100,8.52,,,,19.7,,2018-10-02,1000,SUR,,9.1206,,2022-08-05,RUB
2,EQOB,2018-10-03,ГТЛК 1P-08,RU000A0ZYR91,3,16484.9,96.97,96.97,96.97,96.97,12.34,96.97,8.52,96.97,17,96.25,96.25,96.97,48235504.9,48213199.5,48235504.9,2033-01-18,3099,8.52,,,,19.7,,2018-10-03,1000,SUR,,9.1211,,2022-08-05,RUB
3,EQOB,2018-10-04,ГТЛК 1P-08,RU000A0ZYR91,1,6787.2,96.96,96.96,96.96,96.96,12.55,96.96,8.53,96.96,7,96.25,96.25,96.96,48219986.7,48219986.7,48219986.7,2033-01-18,3098,8.53,,,,19.7,,2018-10-04,1000,SUR,,9.1253,,2022-08-05,RUB
4,EQOB,2018-10-05,ГТЛК 1P-08,RU000A0ZYR91,3,8716.7,96.04,96.98,96.95,96.95,12.77,96.85,8.53,96.98,9,96.28,96.25,96.95,61745147.3,48228703.4,61745147.3,2033-01-18,3096,8.54,,,,19.7,,2018-10-05,1000,SUR,,9.1292,,2022-08-05,RUB
5,EQOB,2018-10-08,ГТЛК 1P-08,RU000A0ZYR91,3,99975.7,96.03,96.98,96.98,96.98,13.42,96.13,8.52,96.03,104,,96.25,96.98,0.0,48328679.1,0.0,2033-01-18,3084,8.63,,,,19.7,,2018-10-08,1000,SUR,,9.1209,,2022-08-05,RUB
6,EQOB,2018-10-09,ГТЛК 1P-08,RU000A0ZYR91,0,0.0,,,,96.98,13.64,,8.52,,0,,96.25,96.98,0.0,48328679.1,0.0,2033-01-18,3085,,,,,19.7,,2018-10-08,1000,SUR,,9.1289,,2022-08-05,RUB
7,EQOB,2018-10-10,ГТЛК 1P-08,RU000A0ZYR91,1,59157.8,96.98,96.98,96.98,96.98,13.85,96.98,8.52,96.98,61,96.25,96.25,96.98,48410142.3,48387836.9,48410142.3,2033-01-18,3092,8.52,,,,19.7,,2018-10-10,1000,SUR,,9.1223,,2022-08-05,RUB
8,EQOB,2018-10-11,ГТЛК 1P-08,RU000A0ZYR91,1,15516.8,96.98,96.98,96.98,96.98,14.07,96.98,8.52,96.98,16,96.25,96.25,96.98,48403353.7,48403353.7,48403353.7,2033-01-18,3091,8.52,,,,19.7,,2018-10-11,1000,SUR,,9.1228,,2022-08-05,RUB
9,EQOB,2018-10-12,ГТЛК 1P-08,RU000A0ZYR91,1,12607.4,96.98,96.98,96.98,96.98,14.28,96.98,8.52,96.98,13,,96.25,96.98,0.0,48415961.1,0.0,2033-01-18,3090,8.52,,,,19.7,,2018-10-12,1000,SUR,,9.1237,,2022-08-05,RUB
