,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,РоялКапБО1,RU000A0ZZ9X2,0,0.0,,,,100.77,8.38,,17.83,,0,100.7,100.7,100.77,1320235.0,1318215.0,1320235.0,2020-06-12,244,,,,,44.88,2019-06-14,2018-09-28,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,РоялКапБО1,RU000A0ZZ9X2,5,311469.4,100.75,100.8,100.8,100.8,8.88,100.8,17.82,100.75,309,,100.76,100.8,0.0,605565.4,0.0,2020-06-12,243,17.82,,,,44.88,2019-06-14,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,РоялКапБО1,RU000A0ZZ9X2,4,105941.5,100.85,100.99,100.85,100.85,9.37,100.9,17.73,100.99,105,100.73,100.78,100.85,1737645.9,711506.9,1737645.9,2020-06-12,243,17.64,,,,44.88,2019-06-14,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,РоялКапБО1,RU000A0ZZ9X2,2,4066880.5,100.84,100.85,100.85,100.85,9.86,100.84,17.72,100.84,4033,100.84,100.84,100.85,4484291.4,4481268.9,4484291.4,2020-06-12,241,17.74,,,,44.88,2019-06-14,2018-10-04,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,РоялКапБО1,RU000A0ZZ9X2,2,5049.1,100.97,101.0,101.0,100.98,10.36,100.98,17.45,100.97,5,100.84,100.84,100.98,4489340.5,4484302.6,4489340.5,2020-06-12,241,17.49,,,,44.88,2019-06-14,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,РоялКапБО1,RU000A0ZZ9X2,2,3016.2,100.22,100.7,100.22,100.22,11.84,100.54,18.82,100.7,3,100.84,100.84,100.22,4492356.7,4180887.3,4492356.7,2020-06-12,237,18.25,,,,44.88,2019-06-14,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,РоялКапБО1,RU000A0ZZ9X2,2,103020.0,101.0,101.0,101.0,101.0,12.33,101.0,17.42,101.0,102,100.85,100.84,101.0,4283907.3,4268758.8,4283907.3,2020-06-12,237,17.42,,,,44.88,2019-06-14,2018-10-09,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,РоялКапБО1,RU000A0ZZ9X2,0,0.0,,,,101.0,12.82,,17.42,,0,100.81,100.84,101.0,5915611.7,4268758.8,5915611.7,2020-06-12,236,,,,,44.88,2019-06-14,2018-10-09,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,РоялКапБО1,RU000A0ZZ9X2,3,83549.7,100.19,100.99,100.99,100.99,13.32,100.66,17.43,100.19,83,100.84,100.84,100.99,4746447.4,4261515.5,4746447.4,2020-06-12,234,18.02,,,,44.88,2019-06-14,2018-10-11,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,РоялКапБО1,RU000A0ZZ9X2,4,49485.1,100.99,100.99,100.99,100.99,13.81,100.99,17.42,100.99,49,,100.84,100.99,0.0,4311000.6,0.0,2020-06-12,234,17.42,,,,44.88,2019-06-14,2018-10-12,1000,SUR,,,,,RUB
10,EQOB,2018-10-15,РоялКапБО1,RU000A0ZZ9X2,1,10099.0,100.99,100.99,100.99,100.99,15.29,100.99,17.4,100.99,10,,100.84,100.99,0.0,4321099.6,0.0,2020-06-12,231,17.4,,,,44.88,2019-06-14,2018-10-15,1000,SUR,,,,,RUB
11,EQOB,2018-10-16,РоялКапБО1,RU000A0ZZ9X2,4,67345.0,100.5,101.0,101.0,101.0,15.78,100.85,17.37,100.5,67,,100.84,101.0,0.0,4388444.6,0.0,2020-06-12,230,17.64,,,,44.88,2019-06-14,2018-10-16,1000,SUR,,,,,RUB
12,EQOB,2018-10-17,РоялКапБО1,RU000A0ZZ9X2,10,229875.0,100.7,101.0,101.0,101.0,16.27,100.82,17.36,101.0,228,,100.81,101.0,0.0,541353.8,0.0,2020-06-12,229,17.69,,,,44.88,2019-06-14,2018-10-17,1000,SUR,,,,,RUB
13,EQOB,2018-10-18,РоялКапБО1,RU000A0ZZ9X2,5,178264.0,100.7,100.75,100.7,100.7,16.77,100.71,17.91,100.7,177,,100.76,100.7,0.0,515880.0,0.0,2020-06-12,227,17.89,,,,44.88,2019-06-14,2018-10-18,1000,SUR,,,,,RUB
14,EQOB,2018-10-19,РоялКапБО1,RU000A0ZZ9X2,5,87611.5,100.7,100.71,100.7,100.7,17.26,100.7,17.9,100.71,87,,100.76,100.7,0.0,502795.5,0.0,2020-06-12,226,17.9,,,,44.88,2019-06-14,2018-10-19,1000,SUR,,,,,RUB
15,EQOB,2018-10-22,РоялКапБО1,RU000A0ZZ9X2,12,267712.0,100.0,100.75,100.75,100.75,18.74,100.27,17.79,100.62,267,,100.49,100.75,0.0,533587.5,0.0,2020-06-12,223,18.69,,,,44.88,2019-06-14,2018-10-22,1000,SUR,,,,,RUB
16,EQOB,2018-10-23,РоялКапБО1,RU000A0ZZ9X2,0,0.0,,,,100.75,19.23,,17.78,,0,,100.49,100.75,0.0,533587.5,0.0,2020-06-12,222,,,,,44.88,2019-06-14,2018-10-22,1000,SUR,,,,,RUB
17,EQOB,2018-10-24,РоялКапБО1,RU000A0ZZ9X2,3,157076.4,100.69,100.69,100.69,100.69,19.73,100.69,17.89,100.69,156,,100.47,100.69,0.0,512399.9,0.0,2020-06-12,221,17.89,,,,44.88,2019-06-14,2018-10-24,1000,SUR,,,,,RUB
18,EQOB,2018-10-25,РоялКапБО1,RU000A0ZZ9X2,4,28193.2,100.07,100.75,100.75,100.75,20.22,100.69,17.77,100.7,28,100.48,100.47,100.75,540593.1,513401.6,540593.1,2020-06-12,220,17.88,,,,44.88,2019-06-14,2018-10-25,1000,SUR,,,,,RUB
19,EQOB,2018-10-26,РоялКапБО1,RU000A0ZZ9X2,4,233105.0,100.41,100.75,100.41,100.44,20.71,100.48,18.42,100.75,232,,100.52,100.44,0.0,534754.6,0.0,2020-06-12,219,18.28,,,,44.88,2019-06-14,2018-10-26,1000,SUR,,,,,RUB
20,EQOB,2018-10-29,РоялКапБО1,RU000A0ZZ9X2,13,182808.4,100.4,100.75,100.4,100.4,22.19,100.44,18.42,100.75,182,,100.5,100.4,0.0,500493.0,0.0,2020-06-12,216,18.35,,,,44.88,2019-06-14,2018-10-29,1000,SUR,,,,,RUB
21,EQOB,2018-10-30,РоялКапБО1,RU000A0ZZ9X2,3,105787.5,100.75,100.75,100.75,100.75,22.68,100.75,17.74,100.75,105,,100.52,100.75,0.0,521700.9,0.0,2020-06-12,215,17.74,,,,44.88,2019-06-14,2018-10-30,1000,SUR,,,,,RUB
22,EQOB,2018-10-31,РоялКапБО1,RU000A0ZZ9X2,3,67362.4,100.5,100.55,100.55,100.55,23.18,100.54,18.12,100.5,67,,100.51,100.55,0.0,561860.8,0.0,2020-06-12,214,18.14,,,,44.88,2019-06-14,2018-10-31,1000,SUR,,,,,RUB
23,EQOB,2018-11-01,РоялКапБО1,RU000A0ZZ9X2,5,125931.0,100.55,100.75,100.75,100.75,23.67,100.74,17.73,100.6,125,,100.58,100.75,0.0,532094.3,0.0,2020-06-12,213,17.75,,,,44.88,2019-06-14,2018-11-01,1000,SUR,,,,,RUB
24,EQOB,2018-11-02,РоялКапБО1,RU000A0ZZ9X2,2,8060.0,100.75,100.75,100.75,100.75,24.16,100.75,17.72,100.75,8,,100.59,100.75,0.0,540154.3,0.0,2020-06-12,212,17.72,,,,44.88,2019-06-14,2018-11-02,1000,SUR,,,,,RUB
25,EQOB,2018-11-06,РоялКапБО1,RU000A0ZZ9X2,4,100719.0,100.7,100.8,100.7,100.72,26.14,100.72,17.8,100.8,100,,100.63,100.72,0.0,568558.3,0.0,2020-06-12,208,17.76,,,,44.88,2019-06-14,2018-11-06,1000,SUR,,,,,RUB
26,EQOB,2018-11-07,РоялКапБО1,RU000A0ZZ9X2,6,471635.0,100.75,101.0,101.0,101.0,26.63,100.78,17.19,100.75,468,100.77,100.77,101.0,572354.0,572354.0,572354.0,2020-06-12,208,17.63,,,,44.88,2019-06-14,2018-11-07,1000,SUR,,,,,RUB
27,EQOB,2018-11-08,РоялКапБО1,RU000A0ZZ9X2,9,1254573.8,100.25,100.75,100.75,100.75,27.12,100.29,17.68,100.61,1251,100.42,100.31,100.75,1726208.8,1305073.8,1726208.8,2020-06-12,206,18.61,,,,44.88,2019-06-14,2018-11-08,1000,SUR,,,,,RUB
28,EQOB,2018-11-09,РоялКапБО1,RU000A0ZZ9X2,0,0.0,,,,100.75,27.62,,17.68,,0,100.42,100.31,100.75,1726208.8,1305073.8,1726208.8,2020-06-12,205,,,,,44.88,2019-06-14,2018-11-08,1000,SUR,,,,,RUB
