history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
TQOD;2018-10-01;ГТЛК 1P-11;RU000A0ZZAL5;0;0;;;;96;1.63;;7.13;;0;;101.7152;96;0;14316474.01;0;2033-06-03;1512;;;;;14.83;2023-06-16;2018-09-27;1000;USD;;;;;USD
TQOD;2018-10-02;ГТЛК 1P-11;RU000A0ZZAL5;0;0;;;;96;1.79;;7.14;;0;;101.7152;96;0;14316474.01;0;2033-06-03;1511;;;;;14.83;2023-06-16;2018-09-27;1000;USD;;;;;USD
TQOD;2018-10-03;ГТЛК 1P-11;RU000A0ZZAL5;0;0;;;;96;1.96;;7.14;;0;;101.7152;96;0;14316474.01;0;2033-06-03;1510;;;;;14.83;2023-06-16;2018-09-27;1000;USD;;;;;USD
TQOD;2018-10-04;ГТЛК 1P-11;RU000A0ZZAL5;0;0;;;;96;2.12;;7.14;;0;;101.7152;96;0;14316474.01;0;2033-06-03;1509;;;;;14.83;2023-06-16;2018-09-27;1000;USD;;;;;USD
TQOD;2018-10-05;ГТЛК 1P-11;RU000A0ZZAL5;0;0;;;;96;2.28;;7.14;;0;;101.7152;96;0;14316474.01;0;2033-06-03;1508;;;;;14.83;2023-06-16;2018-09-27;1000;USD;;;;;USD
TQOD;2018-10-08;ГТЛК 1P-11;RU000A0ZZAL5;1;1000;100;100;100;100;2.77;100;6.08;100;1;;101.7018;100;0;14319034.84;0;2033-06-03;1502;6.08;;;;14.83;2023-06-16;2018-10-08;1000;USD;;;;;USD
TQOD;2018-10-09;ГТЛК 1P-11;RU000A0ZZAL5;0;0;;;;100;2.93;;6.08;;0;;101.7018;100;0;14319034.84;0;2033-06-03;1504;;;;;14.83;2023-06-16;2018-10-08;1000;USD;;;;;USD
TQOD;2018-10-10;ГТЛК 1P-11;RU000A0ZZAL5;0;0;;;;100;3.1;;6.08;;0;;101.7018;100;0;14319034.84;0;2033-06-03;1503;;;;;14.83;2023-06-16;2018-10-08;1000;USD;;;;;USD
TQOD;2018-10-11;ГТЛК 1P-11;RU000A0ZZAL5;0;0;;;;100;3.26;;6.08;;0;;101.7018;100;0;14319034.84;0;2033-06-03;1502;;;;;14.83;2023-06-16;2018-10-08;1000;USD;;;;;USD
TQOD;2018-10-12;ГТЛК 1P-11;RU000A0ZZAL5;0;0;;;;100;3.42;;6.08;;0;;101.7018;100;0;14319034.84;0;2033-06-03;1501;;;;;14.83;2023-06-16;2018-10-08;1000;USD;;;;;USD
TQOD;2018-10-15;ГТЛК 1P-11;RU000A0ZZAL5;0;0;;;;100;3.91;;6.08;;0;;101.7018;100;0;14319034.84;0;2033-06-03;1498;;;;;14.83;2023-06-16;2018-10-08;1000;USD;;;;;USD
TQOD;2018-10-16;ГТЛК 1P-11;RU000A0ZZAL5;0;0;;;;100;4.08;;6.08;;0;;101.7018;100;0;14319034.84;0;2033-06-03;1497;;;;;14.83;2023-06-16;2018-10-08;1000;USD;;;;;USD
TQOD;2018-10-17;ГТЛК 1P-11;RU000A0ZZAL5;0;0;;;;100;4.24;;6.08;;0;;101.7018;100;0;14319034.84;0;2033-06-03;1496;;;;;14.83;2023-06-16;2018-10-08;1000;USD;;;;;USD
