,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,ПионЛизБП1,RU000A0ZZAT8,28,792979.7,99.98,100.01,99.99,99.99,2.35,100.0,12.98,99.98,793,100.0,100.0,99.99,792979.7,792979.7,792979.7,2023-05-31,252,12.96,,,,10.07,2019-06-21,2018-10-01,1000,SUR,,12.9795,,2019-06-21,RUB
1,EQOB,2018-10-02,ПионЛизБП1,RU000A0ZZAT8,34,818948.1,99.98,100.04,100.0,100.0,2.68,99.99,12.96,99.98,819,99.99,99.99,100.0,818948.1,818948.1,818948.1,2023-05-31,251,12.98,,,,10.07,2019-06-21,2018-10-02,1000,SUR,,12.964,,2019-06-21,RUB
2,EQOB,2018-10-03,ПионЛизБП1,RU000A0ZZAT8,35,1281658.2,99.9,100.03,100.02,99.9,3.02,99.97,12.93,100.03,1282,99.97,99.97,99.9,1281658.2,1281658.2,1281658.2,2023-05-31,250,13.01,,,,10.07,2019-06-21,2018-10-03,1000,SUR,,12.9304,,2019-06-21,RUB
3,EQOB,2018-10-04,ПионЛизБП1,RU000A0ZZAT8,23,1247956.0,99.98,100.03,99.98,99.98,3.36,100.0,13.0,100.0,1248,100.0,100.0,99.98,1247956.0,1247956.0,1247956.0,2023-05-31,249,12.96,,,,10.07,2019-06-21,2018-10-04,1000,SUR,,12.9953,,2019-06-21,RUB
4,EQOB,2018-10-05,ПионЛизБП1,RU000A0ZZAT8,29,2211472.5,99.92,100.03,100.03,99.98,3.69,99.98,12.91,99.98,2212,99.98,99.98,99.98,2211472.5,2211472.5,2211472.5,2023-05-31,248,13.0,,,,10.07,2019-06-21,2018-10-05,1000,SUR,,12.9136,,2019-06-21,RUB
5,EQOB,2018-10-08,ПионЛизБП1,RU000A0ZZAT8,30,494951.9,99.98,100.03,100.03,100.03,4.7,99.99,12.91,100.0,495,,99.99,100.03,0.0,995852.2,0.0,2023-05-31,245,12.98,,,,10.07,2019-06-21,2018-10-08,1000,SUR,,12.9124,,2019-06-21,RUB
6,EQOB,2018-10-09,ПионЛизБП1,RU000A0ZZAT8,33,930968.0,99.98,100.02,99.98,99.98,5.03,100.0,13.0,100.0,931,100.0,100.0,99.98,930968.0,930968.0,930968.0,2023-05-31,244,12.96,,,,10.07,2019-06-21,2018-10-09,1000,SUR,,12.997,,2019-06-21,RUB
7,EQOB,2018-10-10,ПионЛизБП1,RU000A0ZZAT8,20,827955.0,99.98,100.03,100.02,100.0,5.37,99.99,12.93,99.99,828,99.99,99.99,100.0,827955.0,827955.0,827955.0,2023-05-31,243,12.98,,,,10.07,2019-06-21,2018-10-10,1000,SUR,,12.9291,,2019-06-21,RUB
8,EQOB,2018-10-11,ПионЛизБП1,RU000A0ZZAT8,37,1706907.8,99.98,100.03,100.0,100.0,5.71,99.99,12.96,100.0,1707,99.99,99.99,100.0,1706907.8,1706907.8,1706907.8,2023-05-31,242,12.98,,,,10.07,2019-06-21,2018-10-11,1000,SUR,,12.962,,2019-06-21,RUB
9,EQOB,2018-10-12,ПионЛизБП1,RU000A0ZZAT8,63,3871940.1,99.9,100.03,100.03,99.93,6.04,99.95,12.91,100.0,3874,99.95,99.95,99.93,3871940.1,3871940.1,3871940.1,2023-05-31,241,13.05,,,,10.07,2019-06-21,2018-10-12,1000,SUR,,12.9121,,2019-06-21,RUB
