,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,ПИК БО-П07,RU000A0ZZBJ7,0,0.0,,,,101.17,22.41,,8.37,,0,,100.63,101.17,0.0,513218.1,0.0,2021-06-25,891,,,,,43.38,,2018-09-20,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,ПИК БО-П07,RU000A0ZZBJ7,0,0.0,,,,101.17,22.64,,8.37,,0,,100.63,101.17,0.0,513218.1,0.0,2021-06-25,890,,,,,43.38,,2018-09-20,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,ПИК БО-П07,RU000A0ZZBJ7,0,0.0,,,,101.17,22.88,,8.37,,0,,100.63,101.17,0.0,513218.1,0.0,2021-06-25,889,,,,,43.38,,2018-09-20,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,ПИК БО-П07,RU000A0ZZBJ7,15,3813078.3,98.4,98.99,98.95,98.95,23.12,98.4,9.34,98.4,3875,98.4,98.4,98.95,3813078.3,3813078.3,3813078.3,2021-06-25,887,9.59,,,,43.38,,2018-10-04,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,ПИК БО-П07,RU000A0ZZBJ7,1,989.5,98.95,98.95,98.95,98.95,23.36,98.95,9.34,98.95,1,98.4,98.4,98.95,3814067.8,1846067.8,3814067.8,2021-06-25,886,9.34,,,,43.38,,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,ПИК БО-П07,RU000A0ZZBJ7,5,108765.0,98.15,99.0,98.9,98.9,24.07,98.88,9.37,99.0,110,98.42,98.45,98.9,3922832.8,1095772.8,3922832.8,2021-06-25,883,9.38,,,,43.38,,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,ПИК БО-П07,RU000A0ZZBJ7,0,0.0,,,,98.9,24.31,,9.37,,0,98.42,98.45,98.9,3922832.8,1095772.8,3922832.8,2021-06-25,882,,,,,43.38,,2018-10-08,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,ПИК БО-П07,RU000A0ZZBJ7,0,0.0,,,,98.9,24.55,,9.37,,0,98.42,98.45,98.9,3922832.8,1095772.8,3922832.8,2021-06-25,881,,,,,43.38,,2018-10-08,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,ПИК БО-П07,RU000A0ZZBJ7,0,0.0,,,,98.9,24.79,,9.37,,0,98.42,98.45,98.9,3922832.8,1095772.8,3922832.8,2021-06-25,880,,,,,43.38,,2018-10-08,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,ПИК БО-П07,RU000A0ZZBJ7,0,0.0,,,,98.9,25.03,,9.37,,0,98.42,98.45,98.9,3922832.8,1095772.8,3922832.8,2021-06-25,879,,,,,43.38,,2018-10-08,1000,SUR,,,,,RUB
10,EQOB,2018-10-15,ПИК БО-П07,RU000A0ZZBJ7,1,1929539.0,98.9,98.9,98.9,98.9,25.74,98.9,9.37,98.9,1951,98.57,98.9,98.9,5852371.8,2044241.0,5852371.8,2021-06-25,876,9.37,,,,43.38,,2018-10-15,1000,SUR,,,,,RUB
