,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,ЕАБР 1Р-01,RU000A0ZZDB0,0,0.0,,,,99.0,14.37,,8.59,,0,98.93,98.93,99.0,100904992,100902029.5,100904992,2028-07-11,457,,,,,37.9,2020-01-21,2018-09-28,1000,SUR,,8.5888,,2020-01-24,RUB
1,EQOB,2018-10-02,ЕАБР 1Р-01,RU000A0ZZDB0,1,3465000.0,99.0,99.0,99.0,99.0,14.58,99.0,8.59,99.0,3500,98.93,98.93,99.0,104369992,104366042.0,104369992,2028-07-11,456,8.59,,,,37.9,2020-01-21,2018-10-02,1000,SUR,,8.536,,2020-01-24,RUB
2,EQOB,2018-10-03,ЕАБР 1Р-01,RU000A0ZZDB0,0,0.0,,,,99.0,14.78,,8.59,,0,98.93,98.93,99.0,104369992,104366042.0,104369992,2028-07-11,455,,,,,37.9,2020-01-21,2018-10-02,1000,SUR,,8.5555,,2020-01-24,RUB
3,EQOB,2018-10-04,ЕАБР 1Р-01,RU000A0ZZDB0,0,0.0,,,,99.0,14.99,,8.59,,0,98.93,98.93,99.0,105359992,104366042.0,105359992,2028-07-11,454,,,,,37.9,2020-01-21,2018-10-02,1000,SUR,,8.575,,2020-01-24,RUB
4,EQOB,2018-10-05,ЕАБР 1Р-01,RU000A0ZZDB0,0,0.0,,,,99.0,15.2,,8.59,,0,98.93,98.93,99.0,105359992,104366042.0,105359992,2028-07-11,453,,,,,37.9,2020-01-21,2018-10-02,1000,SUR,,8.5946,,2020-01-24,RUB
5,EQOB,2018-10-08,ЕАБР 1Р-01,RU000A0ZZDB0,0,0.0,,,,99.0,15.82,,8.6,,0,98.93,98.93,99.0,105359992,104366042.0,105359992,2028-07-11,450,,,,,37.9,2020-01-21,2018-10-02,1000,SUR,,8.6539,,2020-01-24,RUB
6,EQOB,2018-10-09,ЕАБР 1Р-01,RU000A0ZZDB0,0,0.0,,,,99.0,16.03,,8.6,,0,98.93,98.93,99.0,104369992,104366042.0,104369992,2028-07-11,449,,,,,37.9,2020-01-21,2018-10-02,1000,SUR,,8.6739,,2020-01-24,RUB
7,EQOB,2018-10-10,ЕАБР 1Р-01,RU000A0ZZDB0,0,0.0,,,,99.0,16.24,,8.6,,0,98.93,98.93,99.0,104369992,104366042.0,104369992,2028-07-11,448,,,,,37.9,2020-01-21,2018-10-02,1000,SUR,,8.6939,,2020-01-24,RUB
8,EQOB,2018-10-11,ЕАБР 1Р-01,RU000A0ZZDB0,0,0.0,,,,99.0,16.45,,8.6,,0,,98.93,99.0,0,104366042.0,0,2028-07-11,447,,,,,37.9,2020-01-21,2018-10-02,1000,SUR,,8.7141,,2020-01-24,RUB
9,EQOB,2018-10-12,ЕАБР 1Р-01,RU000A0ZZDB0,0,0.0,,,,99.0,16.66,,8.61,,0,,98.93,99.0,0,104366042.0,0,2028-07-11,446,,,,,37.9,2020-01-21,2018-10-02,1000,SUR,,8.7343,,2020-01-24,RUB
10,EQOB,2018-10-15,ЕАБР 1Р-01,RU000A0ZZDB0,0,0.0,,,,99.0,17.28,,8.61,,0,,98.93,99.0,0,104366042.0,0,2028-07-11,443,,,,,37.9,2020-01-21,2018-10-02,1000,SUR,,8.7956,,2020-01-24,RUB
11,EQOB,2018-10-16,ЕАБР 1Р-01,RU000A0ZZDB0,0,0.0,,,,99.0,17.49,98.85,8.61,,0,,98.93,99.0,0,104366042.0,0,2028-07-11,442,0.0,,,,37.9,2020-01-21,2018-10-02,1000,SUR,,8.8162,,2020-01-24,RUB
12,EQOB,2018-10-17,ЕАБР 1Р-01,RU000A0ZZDB0,0,0.0,,,,99.0,17.7,,8.61,,0,,98.93,99.0,0,104366042.0,0,2028-07-11,441,,,,,37.9,2020-01-21,2018-10-02,1000,SUR,,8.8369,,2020-01-24,RUB
13,EQOB,2018-10-18,ЕАБР 1Р-01,RU000A0ZZDB0,0,0.0,,,,99.0,17.91,,8.62,,0,,98.93,99.0,0,104366042.0,0,2028-07-11,440,,,,,37.9,2020-01-21,2018-10-02,1000,SUR,,8.8577,,2020-01-24,RUB
14,EQOB,2018-10-19,ЕАБР 1Р-01,RU000A0ZZDB0,0,0.0,,,,99.0,18.12,,8.62,,0,,98.93,99.0,0,104366042.0,0,2028-07-11,439,,,,,37.9,2020-01-21,2018-10-02,1000,SUR,,8.8786,,2020-01-24,RUB
15,EQOB,2018-10-22,ЕАБР 1Р-01,RU000A0ZZDB0,0,0.0,,,,99.0,18.74,,8.62,,0,,98.93,99.0,0,104366042.0,0,2028-07-11,436,,,,,37.9,2020-01-21,2018-10-02,1000,SUR,,,,,RUB
16,EQOB,2018-10-23,ЕАБР 1Р-01,RU000A0ZZDB0,0,0.0,,,,99.0,18.95,,8.62,,0,,98.93,99.0,0,104366042.0,0,2028-07-11,435,,,,,37.9,2020-01-21,2018-10-02,1000,SUR,,,,,RUB
17,EQOB,2018-10-24,ЕАБР 1Р-01,RU000A0ZZDB0,0,0.0,,,,99.0,19.16,,8.63,,0,,98.93,99.0,0,104366042.0,0,2028-07-11,434,,,,,37.9,2020-01-21,2018-10-02,1000,SUR,,,,,RUB
18,EQOB,2018-10-25,ЕАБР 1Р-01,RU000A0ZZDB0,0,0.0,,,,99.0,19.36,,8.63,,0,,98.93,99.0,0,104366042.0,0,2028-07-11,433,,,,,37.9,2020-01-21,2018-10-02,1000,SUR,,,,,RUB
19,EQOB,2018-10-26,ЕАБР 1Р-01,RU000A0ZZDB0,1,99250.0,99.25,99.25,99.25,99.25,19.57,99.25,8.4,99.25,100,,98.93,99.25,0,104464304.5,0,2028-07-11,432,8.4,,,,37.9,2020-01-21,2018-10-26,1000,SUR,,,,,RUB
20,EQOB,2018-10-29,ЕАБР 1Р-01,RU000A0ZZDB0,0,0.0,,,,99.25,20.2,,8.41,,0,,98.93,99.25,0,104464304.5,0,2028-07-11,429,,,,,37.9,2020-01-21,2018-10-26,1000,SUR,,,,,RUB
21,EQOB,2018-10-30,ЕАБР 1Р-01,RU000A0ZZDB0,0,0.0,,,,99.25,20.41,,8.41,,0,,98.93,99.25,0,104464304.5,0,2028-07-11,428,,,,,37.9,2020-01-21,2018-10-26,1000,SUR,,,,,RUB
22,EQOB,2018-10-31,ЕАБР 1Р-01,RU000A0ZZDB0,0,0.0,,,,99.25,20.61,,8.41,,0,,98.93,99.25,0,104464304.5,0,2028-07-11,427,,,,,37.9,2020-01-21,2018-10-26,1000,SUR,,,,,RUB
