,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQTF,2018-10-01,RUSE ETF,RUSE,38,4963573.0,1600.0,1500.0,1600.0,1572.0,1573.5,1572.0,3154,1573.5,1573.5,1572.0,4963573.0,4963573.0,4963573.0,4259835.07
1,TQTF,2018-10-02,RUSE ETF,RUSE,35,3974348.5,1600.0,1499.0,1700.0,1558.0,1565.5,1558.0,2539,1565.5,1565.5,1558.0,3974348.5,3974348.5,3974348.5,4259835.07
2,TQTF,2018-10-03,RUSE ETF,RUSE,52,15896690.5,1565.0,1563.5,1590.0,1590.0,1573.5,1590.0,10103,1573.5,1573.5,1590.0,15896690.5,15896690.5,15896690.5,4259835.07
3,TQTF,2018-10-04,RUSE ETF,RUSE,37,9635740.5,1580.5,1567.0,1587.0,1571.0,1580.5,1571.0,6096,1580.5,1580.5,1571.0,9635740.5,9635740.5,9635740.5,4259835.07
4,TQTF,2018-10-05,RUSE ETF,RUSE,24,4124894.0,1564.5,1554.0,1567.5,1564.0,1560.0,1564.0,2644,1560.0,1560.0,1564.0,4124894.0,4124894.0,4124894.0,4259835.07
5,TQTF,2018-10-08,RUSE ETF,RUSE,42,12132048.5,1564.0,1554.0,1571.5,1567.0,1565.0,1567.0,7753,1565.0,1565.0,1567.0,12132048.5,12132048.5,12132048.5,4259835.07
6,TQTF,2018-10-09,RUSE ETF,RUSE,22,8966017.5,1575.5,1566.0,1581.0,1566.0,1576.0,1566.0,5689,1576.0,1576.0,1566.0,8966017.5,8966017.5,8966017.5,4259835.07
7,TQTF,2018-10-10,RUSE ETF,RUSE,18,4340906.5,1585.0,1541.0,1585.0,1541.0,1556.0,1541.0,2790,1556.0,1556.0,1541.0,4340906.5,4340906.5,4340906.5,4259835.07
8,TQTF,2018-10-11,RUSE ETF,RUSE,17,3058121.0,1530.0,1508.0,1530.0,1515.0,1511.0,1515.0,2024,1511.0,1511.0,1515.0,3058121.0,3058121.0,3058121.0,4259835.07
9,TQTF,2018-10-12,RUSE ETF,RUSE,23,3237480.0,1529.0,1529.0,1538.0,1538.0,1535.0,1538.0,2109,1535.0,1535.0,1538.0,3237480.0,3237480.0,3237480.0,4259835.07
10,TQTF,2018-10-15,RUSE ETF,RUSE,19,3448105.0,1538.0,1526.5,1538.0,1531.5,1529.0,1531.5,2255,1529.0,1529.0,1531.5,3448105.0,3448105.0,3448105.0,4259835.07
11,TQTF,2018-10-16,RUSE ETF,RUSE,22,10609818.5,1531.5,1523.0,1544.5,1544.5,1529.5,1544.5,6936,1529.5,1529.5,1544.5,10609818.5,10609818.5,10609818.5,4259835.07
12,TQTF,2018-10-17,RUSE ETF,RUSE,29,5716942.0,1550.5,1536.0,1552.0,1537.0,1549.5,1536.0,3689,1549.5,1549.5,1537.0,5716942.0,5716942.0,5716942.0,4259835.07
13,TQTF,2018-10-18,RUSE ETF,RUSE,12,343963.5,1536.0,1520.0,1540.0,1520.0,1528.5,1520.0,225,,1534.0,1520.0,0.0,530712.0,0.0,4259835.07
14,TQTF,2018-10-19,RUSE ETF,RUSE,26,19690720.0,1522.0,1505.0,1522.0,1505.5,1510.5,1505.0,13036,1510.5,1510.5,1505.5,19690720.0,19690720.0,19690720.0,4259835.07
15,TQTF,2018-10-22,RUSE ETF,RUSE,15,10711458.5,1511.5,1478.5,1511.5,1478.5,1492.0,1478.5,7180,1492.0,1492.0,1478.5,10711458.5,10711458.5,10711458.5,4259835.07
16,TQTF,2018-10-23,RUSE ETF,RUSE,33,2472439.5,1475.0,1469.0,1484.0,1482.0,1474.5,1482.0,1677,1474.5,1474.5,1482.0,2472439.5,2472439.5,2472439.5,4259835.07
17,TQTF,2018-10-24,RUSE ETF,RUSE,29,8132551.5,1483.5,1479.0,1498.0,1497.5,1495.0,1497.5,5439,1495.0,1495.0,1497.5,8132551.5,8132551.5,8132551.5,4259835.07
18,TQTF,2018-10-25,RUSE ETF,RUSE,19,12350369.0,1485.5,1484.0,1492.0,1491.0,1489.0,1491.0,8295,1489.0,1489.0,1491.0,12350369.0,12350369.0,12350369.0,4259835.07
19,TQTF,2018-10-26,RUSE ETF,RUSE,29,13079730.0,1484.0,1458.5,1484.0,1465.5,1461.5,1465.5,8948,1461.5,1461.5,1465.5,13079730.0,13079730.0,13079730.0,4259835.07
20,TQTF,2018-10-29,RUSE ETF,RUSE,20,2333222.0,1470.5,1468.0,1483.5,1482.0,1475.0,1482.0,1582,1475.0,1475.0,1482.0,2333222.0,2333222.0,2333222.0,4259835.07
21,TQTF,2018-10-30,RUSE ETF,RUSE,19,9354245.0,1475.0,1460.5,1477.5,1464.5,1466.5,1464.5,6379,1466.5,1466.5,1464.5,9354245.0,9354245.0,9354245.0,4259835.07
22,TQTF,2018-10-31,RUSE ETF,RUSE,15,2342843.5,1486.0,1486.0,1497.0,1496.0,1494.0,1496.0,1568,1494.0,1494.0,1496.0,2342843.5,2342843.5,2342843.5,4259835.07
23,TQTF,2018-11-01,RUSE ETF,RUSE,6,1371850.0,1501.0,1494.0,1501.0,1494.5,1501.0,1494.5,914,1496.5,1500.0,1494.5,3714693.5,1675435.5,3714693.5,7178669.92
24,TQTF,2018-11-02,RUSE ETF,RUSE,17,2608565.0,1470.5,1470.5,1521.5,1517.0,1516.5,1517.0,1720,1516.5,1516.5,1517.0,2608565.0,2608565.0,2608565.0,7178669.92
25,TQTF,2018-11-06,RUSE ETF,RUSE,22,5835597.5,1524.0,1524.0,1537.5,1537.5,1532.5,1537.5,3808,1532.5,1532.5,1537.5,5835597.5,5835597.5,5835597.5,7178669.92
26,TQTF,2018-11-07,RUSE ETF,RUSE,16,8462516.5,1536.0,1527.5,1554.0,1553.0,1545.0,1553.0,5478,1545.0,1545.0,1553.0,8462516.5,8462516.5,8462516.5,7178669.92
27,TQTF,2018-11-08,RUSE ETF,RUSE,10,2314467.5,1553.0,1550.5,1561.5,1550.5,1556.5,1550.5,1487,1556.5,1556.5,1550.5,2314467.5,2314467.5,2314467.5,7178669.92
28,TQTF,2018-11-09,RUSE ETF,RUSE,15,10577726.5,1536.5,1522.5,1537.0,1522.5,1525.5,1522.5,6933,1525.5,1525.5,1522.5,10577726.5,10577726.5,10577726.5,7178669.92
29,TQTF,2018-11-12,RUSE ETF,RUSE,31,2161893.0,1561.0,1524.5,1561.0,1525.0,1534.5,1528.0,1409,1534.5,1534.5,1525.0,2161893.0,2161893.0,2161893.0,7178669.92
30,TQTF,2018-11-13,RUSE ETF,RUSE,8,6455261.0,1526.5,1516.0,1526.5,1526.0,1517.5,1526.0,4254,1521.5,1517.5,1526.0,8617154.0,6609239.0,8617154.0,7178669.92
31,TQTF,2018-11-14,RUSE ETF,RUSE,23,5614735.5,1515.0,1500.0,1515.0,1514.5,1512.0,1514.5,3714,1512.0,1512.0,1514.5,5614735.5,5614735.5,5614735.5,7178669.92
32,TQTF,2018-11-15,RUSE ETF,RUSE,10,628568.5,1517.5,1517.5,1524.5,1519.0,1518.5,1519.0,414,1518.5,1518.5,1519.0,628568.5,628568.5,628568.5,7178669.92
