,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,ИКРУСС-ИНВ,RUSI,0,0,,,,28.2,,,0,,,28.2,0,0,0,
1,TQBR,2018-10-02,ИКРУСС-ИНВ,RUSI,1,2740,27.4,27.4,27.4,27.4,27.4,27.4,100,,,27.4,0,0,0,
2,TQBR,2018-10-03,ИКРУСС-ИНВ,RUSI,0,0,,,,27.4,,,0,,,27.4,0,0,0,
3,TQBR,2018-10-04,ИКРУСС-ИНВ,RUSI,0,0,,,,27.4,,,0,,,27.4,0,0,0,
4,TQBR,2018-10-05,ИКРУСС-ИНВ,RUSI,0,0,,,,27.4,,,0,,,27.4,0,0,0,
5,TQBR,2018-10-08,ИКРУСС-ИНВ,RUSI,0,0,,,,27.4,,,0,,,27.4,0,0,0,
6,TQBR,2018-10-09,ИКРУСС-ИНВ,RUSI,0,0,,,,27.4,,,0,,,27.4,0,0,0,
7,TQBR,2018-10-10,ИКРУСС-ИНВ,RUSI,0,0,,,,27.4,,,0,,,27.4,0,0,0,
8,TQBR,2018-10-11,ИКРУСС-ИНВ,RUSI,0,0,,,,27.4,,,0,,,27.4,0,0,0,
9,TQBR,2018-10-12,ИКРУСС-ИНВ,RUSI,0,0,,,,27.4,,,0,,,27.4,0,0,0,
10,TQBR,2018-10-15,ИКРУСС-ИНВ,RUSI,0,0,,,,27.4,,,0,,,27.4,0,0,0,
11,TQBR,2018-10-16,ИКРУСС-ИНВ,RUSI,0,0,,,,27.4,,,0,,,27.4,0,0,0,
12,TQBR,2018-10-17,ИКРУСС-ИНВ,RUSI,0,0,,,,27.4,,,0,,,27.4,0,0,0,
13,TQBR,2018-10-18,ИКРУСС-ИНВ,RUSI,0,0,,,,27.4,,,0,,,27.4,0,0,0,
14,TQBR,2018-10-19,ИКРУСС-ИНВ,RUSI,0,0,,,,27.4,,,0,,,27.4,0,0,0,
15,TQBR,2018-10-22,ИКРУСС-ИНВ,RUSI,0,0,,,,27.4,,,0,,,27.4,0,0,0,
16,TQBR,2018-10-23,ИКРУСС-ИНВ,RUSI,0,0,,,,27.4,,,0,,,27.4,0,0,0,
17,TQBR,2018-10-24,ИКРУСС-ИНВ,RUSI,0,0,,,,27.4,,,0,,,27.4,0,0,0,
18,TQBR,2018-10-25,ИКРУСС-ИНВ,RUSI,0,0,,,,27.4,,,0,,,27.4,0,0,0,
19,TQBR,2018-10-26,ИКРУСС-ИНВ,RUSI,1,2800,28.0,28.0,28.0,28.0,28.0,28.0,100,,,28.0,0,0,0,
20,TQBR,2018-10-29,ИКРУСС-ИНВ,RUSI,0,0,,,,28.0,,,0,,,28.0,0,0,0,
21,TQBR,2018-10-30,ИКРУСС-ИНВ,RUSI,0,0,,,,28.0,,,0,,,28.0,0,0,0,
22,TQBR,2018-10-31,ИКРУСС-ИНВ,RUSI,0,0,,,,28.0,,,0,,,28.0,0,0,0,
23,TQBR,2018-11-01,ИКРУСС-ИНВ,RUSI,0,0,,,,28.0,,,0,,,28.0,0,0,0,
