history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;САФМАР ао;SFIN;525;7555172;715;681;720;720;693.2;720;10900;693.2;693.2;720;7555172;7555172;7555172;
TQBR;2018-10-02;САФМАР ао;SFIN;621;6370112;701.2;685;724.4;706;703.2;706;9060;703.2;703.2;706;6370112;6370112;6370112;
TQBR;2018-10-03;САФМАР ао;SFIN;661;6801708;697.6;686.6;705;702.2;697;704.4;9760;696.8;696.8;702.2;6801708;6801708;6801708;
TQBR;2018-10-04;САФМАР ао;SFIN;716;7893580;697.2;692.2;740;740;703.6;740;11220;703.6;703.6;740;7893580;7893580;7893580;
TQBR;2018-10-05;САФМАР ао;SFIN;549;5519358;737;709.8;739;714.2;714;714.2;7730;714;714;714.2;5519358;5519358;5519358;
TQBR;2018-10-08;САФМАР ао;SFIN;547;5226148;715;695.2;715;700.2;704.4;700.2;7420;704.4;704.4;700.2;5226148;5226148;5226148;
TQBR;2018-10-09;САФМАР ао;SFIN;595;5161858;706;692.4;706.6;693.4;698.6;692.4;7390;698.4;698.4;693.4;5161858;5161858;5161858;
TQBR;2018-10-10;САФМАР ао;SFIN;1241;29039844;717.8;701.2;726;726;709;726;40960;709;709;726;29039844;29039844;29039844;
TQBR;2018-10-11;САФМАР ао;SFIN;1356;30984762;716.2;703.6;724.8;724.8;710.8;724.8;43590;710.8;710.8;724.8;30984762;30984762;30984762;
TQBR;2018-10-12;САФМАР ао;SFIN;1244;29008754;725.8;719.8;735;735;729.8;735;39750;729.8;729.8;735;29008754;29008754;29008754;
TQBR;2018-10-15;САФМАР ао;SFIN;1251;25295958;723.2;703.6;723.2;721.6;710.8;721.6;35590;710.8;710.8;721.6;25295958;25295958;25295958;
TQBR;2018-10-16;САФМАР ао;SFIN;901;17867692;715.6;705.2;721;721;714;721;25030;713.8;713.8;721;17867692;17867692;17867692;
TQBR;2018-10-17;САФМАР ао;SFIN;1011;27385550;714.2;700.4;718;718;706.8;718;38750;706.8;706.8;718;27385550;27385550;27385550;
TQBR;2018-10-18;САФМАР ао;SFIN;1183;25639704;707.4;707.4;716.6;716.6;710.8;716.6;36070;710.8;710.8;716.6;25639704;25639704;25639704;
TQBR;2018-10-19;САФМАР ао;SFIN;1458;36001566;712.6;703;714.6;703;709.2;703;50770;709.2;709.2;703;36001566;36001566;36001566;
TQBR;2018-10-22;САФМАР ао;SFIN;726;22184082;705.6;692.2;717.4;717.4;698.2;717.4;31780;698;698;717.4;22184082;22184082;22184082;
TQBR;2018-10-23;САФМАР ао;SFIN;626;22123770;717.6;685;717.6;707.8;691.4;707.8;32000;691.4;691.4;707.8;22123770;22123770;22123770;
TQBR;2018-10-24;САФМАР ао;SFIN;1299;32480214;691.6;671;694.4;676.6;679.4;676.6;47810;679.4;679.4;676.6;32480214;32480214;32480214;
