,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,Сургнфгз,SNGS,5240,439282240.0,27.69,27.56,27.865,27.8,27.71,27.8,15853500,27.71,27.71,27.8,439282240.0,439282240.0,439282240.0,
1,TQBR,2018-10-02,Сургнфгз,SNGS,4807,277897245.0,27.82,27.55,27.865,27.55,27.71,27.55,10028500,27.71,27.71,27.55,277897245.0,277897245.0,277897245.0,
2,TQBR,2018-10-03,Сургнфгз,SNGS,5779,503723851.5,27.685,27.58,28.065,27.825,27.82,27.825,18108000,27.82,27.82,27.825,503723851.5,503723851.5,503723851.5,
3,TQBR,2018-10-04,Сургнфгз,SNGS,12559,771700943.0,27.85,27.295,27.85,27.395,27.53,27.395,28032900,27.53,27.53,27.395,771700943.0,771700943.0,771700943.0,
4,TQBR,2018-10-05,Сургнфгз,SNGS,4076,360508703.5,27.325,27.27,27.53,27.275,27.395,27.275,13158600,27.395,27.395,27.275,360508703.5,360508703.5,360508703.5,
5,TQBR,2018-10-08,Сургнфгз,SNGS,3983,273404474.0,27.5,27.35,27.61,27.47,27.475,27.47,9950900,27.475,27.475,27.47,273404474.0,273404474.0,273404474.0,
6,TQBR,2018-10-09,Сургнфгз,SNGS,6693,522465824.0,27.57,27.2,27.65,27.215,27.39,27.215,19075300,27.39,27.39,27.215,522465824.0,522465824.0,522465824.0,
7,TQBR,2018-10-10,Сургнфгз,SNGS,5028,382027953.0,27.22,26.95,27.385,26.97,27.145,26.97,14074000,27.145,27.145,26.97,382027953.0,382027953.0,382027953.0,
8,TQBR,2018-10-11,Сургнфгз,SNGS,5681,464888894.0,26.885,26.775,27.175,26.875,26.965,26.875,17238900,26.965,26.965,26.875,464888894.0,464888894.0,464888894.0,
9,TQBR,2018-10-12,Сургнфгз,SNGS,3763,254325814.5,26.995,26.945,27.26,27.12,27.13,27.12,9375100,27.13,27.13,27.12,254325814.5,254325814.5,254325814.5,
10,TQBR,2018-10-15,Сургнфгз,SNGS,3400,222689084.5,27.165,26.86,27.295,27.105,27.0,27.105,8248300,27.0,27.0,27.105,222689084.5,222689084.5,222689084.5,
11,TQBR,2018-10-16,Сургнфгз,SNGS,3708,227664856.0,26.975,26.915,27.23,27.18,27.095,27.18,8402400,27.095,27.095,27.18,227664856.0,227664856.0,227664856.0,
12,TQBR,2018-10-17,Сургнфгз,SNGS,3938,277054193.0,27.2,27.005,27.34,27.175,27.15,27.175,10203700,27.15,27.15,27.175,277054193.0,277054193.0,277054193.0,
13,TQBR,2018-10-18,Сургнфгз,SNGS,4251,325622979.0,27.15,27.04,27.375,27.28,27.21,27.28,11966500,27.21,27.21,27.28,325622979.0,325622979.0,325622979.0,
14,TQBR,2018-10-19,Сургнфгз,SNGS,4239,304594955.0,27.2,27.19,27.535,27.4,27.375,27.4,11126700,27.375,27.375,27.4,304594955.0,304594955.0,304594955.0,
15,TQBR,2018-10-22,Сургнфгз,SNGS,4212,282733419.5,27.38,26.93,27.45,27.03,27.21,27.03,10390900,27.21,27.21,27.03,282733419.5,282733419.5,282733419.5,
16,TQBR,2018-10-23,Сургнфгз,SNGS,6055,402624873.0,26.98,26.56,26.995,26.735,26.735,26.735,15058500,26.735,26.735,26.735,402624873.0,402624873.0,402624873.0,
17,TQBR,2018-10-24,Сургнфгз,SNGS,4959,360137962.5,26.815,26.59,26.915,26.59,26.725,26.59,13476900,26.725,26.725,26.59,360137962.5,360137962.5,360137962.5,
18,TQBR,2018-10-25,Сургнфгз,SNGS,12592,572564388.0,26.495,26.15,26.57,26.51,26.375,26.51,21708300,26.375,26.375,26.51,572564388.0,572564388.0,572564388.0,
19,TQBR,2018-10-26,Сургнфгз,SNGS,7617,316681724.0,26.455,26.17,26.52,26.38,26.315,26.38,12034700,26.315,26.315,26.38,316681724.0,316681724.0,316681724.0,
20,TQBR,2018-10-29,Сургнфгз,SNGS,2454,174418830.5,26.37,26.235,26.56,26.475,26.43,26.475,6598800,26.43,26.43,26.475,174418830.5,174418830.5,174418830.5,
21,TQBR,2018-10-30,Сургнфгз,SNGS,5452,383836501.0,26.515,26.035,26.515,26.11,26.205,26.11,14646900,26.205,26.205,26.11,383836501.0,383836501.0,383836501.0,
22,TQBR,2018-10-31,Сургнфгз,SNGS,6734,561351538.5,26.2,26.18,26.6,26.57,26.48,26.57,21198600,26.48,26.48,26.57,561351538.5,561351538.5,561351538.5,
23,TQBR,2018-11-01,Сургнфгз,SNGS,7997,564498836.0,26.67,26.135,26.8,26.5,26.415,26.5,21370300,26.415,26.415,26.5,564498836.0,564498836.0,564498836.0,
24,TQBR,2018-11-02,Сургнфгз,SNGS,5552,341539029.0,26.515,26.41,26.74,26.685,26.59,26.685,12844700,26.59,26.59,26.685,341539029.0,341539029.0,341539029.0,
25,TQBR,2018-11-06,Сургнфгз,SNGS,6216,452693323.5,26.805,26.8,27.32,27.03,27.07,27.03,16723600,27.07,27.07,27.03,452693323.5,452693323.5,452693323.5,
26,TQBR,2018-11-07,Сургнфгз,SNGS,8019,510596268.5,26.92,26.85,27.455,27.305,27.195,27.305,18774600,27.195,27.195,27.305,510596268.5,510596268.5,510596268.5,
27,TQBR,2018-11-08,Сургнфгз,SNGS,4046,315841681.0,27.265,27.125,27.5,27.225,27.36,27.225,11542900,27.36,27.36,27.225,315841681.0,315841681.0,315841681.0,
28,TQBR,2018-11-09,Сургнфгз,SNGS,4245,388896862.0,27.12,27.055,27.365,27.365,27.17,27.365,14314100,27.17,27.17,27.365,388896862.0,388896862.0,388896862.0,
29,TQBR,2018-11-12,Сургнфгз,SNGS,3347,238649448.5,27.305,26.94,27.475,26.94,27.215,26.94,8769400,27.215,27.215,26.94,238649448.5,238649448.5,238649448.5,
30,TQBR,2018-11-13,Сургнфгз,SNGS,4127,261614679.5,26.815,26.805,27.27,26.93,27.07,26.93,9663800,27.07,27.07,26.93,261614679.5,261614679.5,261614679.5,
31,TQBR,2018-11-14,Сургнфгз,SNGS,5528,355465105.0,26.92,26.72,27.215,27.05,26.965,27.05,13182000,26.965,26.965,27.05,355465105.0,355465105.0,355465105.0,
32,TQBR,2018-11-15,Сургнфгз,SNGS,3881,256020270.5,27.1,26.88,27.28,27.19,27.085,27.19,9453200,27.085,27.085,27.19,256020270.5,256020270.5,256020270.5,
33,TQBR,2018-11-16,Сургнфгз,SNGS,2839,197343743.5,27.23,27.075,27.31,27.3,27.18,27.3,7260500,27.18,27.18,27.3,197343743.5,197343743.5,197343743.5,
34,TQBR,2018-11-19,Сургнфгз,SNGS,8760,383214588.0,27.275,27.07,27.37,27.14,27.19,27.14,14096000,27.185,27.185,27.14,383214588.0,383214588.0,383214588.0,
35,TQBR,2018-11-20,Сургнфгз,SNGS,5624,370471179.5,27.1,26.77,27.265,26.945,27.08,26.945,13685500,27.07,27.07,26.945,370471179.5,370471179.5,370471179.5,
36,TQBR,2018-11-21,Сургнфгз,SNGS,4354,262513783.5,26.875,26.74,27.185,27.155,27.025,27.155,9713600,27.025,27.025,27.155,262513783.5,262513783.5,262513783.5,
37,TQBR,2018-11-22,Сургнфгз,SNGS,4167,325166038.0,27.15,26.88,27.3,27.285,27.13,27.285,11985800,27.13,27.13,27.285,325166038.0,325166038.0,325166038.0,
38,TQBR,2018-11-23,Сургнфгз,SNGS,4197,236292865.5,27.27,26.915,27.27,27.2,27.075,27.2,8727100,27.075,27.075,27.2,236292865.5,236292865.5,236292865.5,
39,TQBR,2018-11-26,Сургнфгз,SNGS,6718,394823741.0,27.19,26.31,27.19,26.76,26.735,26.76,14767700,26.735,26.735,26.76,394823741.0,394823741.0,394823741.0,
40,TQBR,2018-11-27,Сургнфгз,SNGS,5547,268608866.5,26.595,26.58,26.905,26.715,26.71,26.715,10056200,26.71,26.71,26.715,268608866.5,268608866.5,268608866.5,
41,TQBR,2018-11-28,Сургнфгз,SNGS,3982,259840114.0,26.715,26.675,26.975,26.9,26.845,26.9,9678400,26.845,26.845,26.9,259840114.0,259840114.0,259840114.0,
42,TQBR,2018-11-29,Сургнфгз,SNGS,5974,390788905.5,26.95,26.81,27.33,27.21,27.125,27.21,14406500,27.125,27.125,27.21,390788905.5,390788905.5,390788905.5,
43,TQBR,2018-11-30,Сургнфгз,SNGS,3895,436086450.0,27.2,27.0,27.4,27.35,27.275,27.35,15989200,27.275,27.275,27.35,436086450.0,436086450.0,436086450.0,
44,TQBR,2018-12-03,Сургнфгз,SNGS,7015,482511106.0,27.325,27.325,28.0,27.83,27.775,27.83,17370900,27.775,27.775,27.83,482511106.0,482511106.0,482511106.0,
45,TQBR,2018-12-04,Сургнфгз,SNGS,4033,285631486.5,27.85,27.565,28.115,28.115,27.935,28.115,10225400,27.935,27.935,28.115,285631486.5,285631486.5,285631486.5,
46,TQBR,2018-12-05,Сургнфгз,SNGS,6111,429612225.0,27.97,27.455,28.3,28.3,27.875,28.3,15412800,27.875,27.875,28.3,429612225.0,429612225.0,429612225.0,
47,TQBR,2018-12-06,Сургнфгз,SNGS,5319,495626122.5,28.17,27.805,28.37,28.35,28.1,28.35,17638300,28.1,28.1,28.35,495626122.5,495626122.5,495626122.5,
48,TQBR,2018-12-07,Сургнфгз,SNGS,3832,248273428.0,28.28,28.23,28.455,28.315,28.355,28.315,8755800,28.355,28.355,28.315,248273428.0,248273428.0,248273428.0,
49,TQBR,2018-12-10,Сургнфгз,SNGS,4222,208392904.5,28.25,28.005,28.29,28.005,28.13,28.005,7408600,28.13,28.13,28.005,208392904.5,208392904.5,208392904.5,
