history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
TQOB;2018-10-01;ОФЗ 26215;SU26215RMFS2;52;29563427.33;95.901;96.39;96.05;96.05;7.67;96.054;8.15;96.232;30778;96.054;96.054;96.05;29563427.33;29563427.33;29563427.33;2023-08-16;1521;8.15;;;7;34.9;;2018-10-01;1000;SUR;;;;;RUB
TQOB;2018-10-02;ОФЗ 26215;SU26215RMFS2;74;23100372.73;96;96.399;96.331;96.331;7.86;96.093;8.08;96.348;24041;96.087;96.087;96.331;23100372.73;23100372.73;23100372.73;2023-08-16;1520;8.14;;;7;34.9;;2018-10-02;1000;SUR;;;;;RUB
TQOB;2018-10-03;ОФЗ 26215;SU26215RMFS2;124;2069028965.31;95.702;96.28;96;96;8.05;95.936;8.16;96.007;2156887;95.927;95.927;96;2069028965.31;2069028965.31;2069028965.31;2023-08-16;1519;8.18;;;7;34.9;;2018-10-03;1000;SUR;;;;;RUB
TQOB;2018-10-04;ОФЗ 26215;SU26215RMFS2;194;3007257599.81;95.261;96.096;95.35;95.301;8.25;95.469;8.34;95.806;3151476;95.424;95.424;95.301;3007257599.81;3007257599.81;3007257599.81;2023-08-16;1517;8.31;;;7;34.9;;2018-10-04;1000;SUR;;;;;RUB
TQOB;2018-10-05;ОФЗ 26215;SU26215RMFS2;74;56627685.07;95.021;95.598;95.3;95.408;8.44;95.314;8.36;95.288;59412;95.314;95.314;95.408;56627685.07;56627685.07;56627685.07;2023-08-16;1516;8.35;;;7;34.9;;2018-10-05;1000;SUR;;;;;RUB
TQOB;2018-10-08;ОФЗ 26215;SU26215RMFS2;82;22382990.11;94.752;95.799;94.87;94.87;9.01;95.008;8.47;95.53;23559;95.008;95.008;94.87;22382990.11;22382990.11;22382990.11;2023-08-16;1512;8.44;;;7;34.9;;2018-10-08;1000;SUR;;;;;RUB
TQOB;2018-10-09;ОФЗ 26215;SU26215RMFS2;100;103054230.29;94.733;95.281;95.28;95.28;9.2;94.998;8.36;95.28;108481;94.997;94.997;95.28;103054230.29;103054230.29;103054230.29;2023-08-16;1511;8.44;;;7;34.9;;2018-10-09;1000;SUR;;;;;RUB
TQOB;2018-10-10;ОФЗ 26215;SU26215RMFS2;92;171383306.34;94.753;95.5;94.93;94.97;9.4;95.228;8.46;94.76;180017;95.204;95.204;94.97;171383306.34;171383306.34;171383306.34;2023-08-16;1511;8.38;;;7;34.9;;2018-10-10;1000;SUR;;;;;RUB
TQOB;2018-10-11;ОФЗ 26215;SU26215RMFS2;80;116306061.25;94.731;95.34;95;95.091;9.59;95.101;8.44;95.337;122298;95.101;95.101;95.091;116306061.25;116306061.25;116306061.25;2023-08-16;1509;8.41;;;7;34.9;;2018-10-11;1000;SUR;;;;;RUB
TQOB;2018-10-12;ОФЗ 26215;SU26215RMFS2;66;2300716.03;94.915;95.327;95.16;95.16;9.78;95.346;8.4;95.001;2417;95.189;95.189;95.16;2300716.03;2300716.03;2300716.03;2023-08-16;1509;8.35;;;7;34.9;;2018-10-12;1000;SUR;;;;;RUB
