,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,TQOB,2018-10-01,ОФЗ 46012,SU46012RMFS9,0,0.0,,,,118.979,2.77,,4.74,,0,,109.463,118.979,0,556642.14,0,2029-09-05,2640,,,,8.656,84.16,,2018-09-24,975,SUR,,,,,RUB
1,TQOB,2018-10-02,ОФЗ 46012,SU46012RMFS9,1,3129.75,107.0,107.0,107.0,107.0,3.01,107.0,6.27,107.0,3,,109.449,107.0,0,559771.89,0,2029-09-05,2625,6.27,,,8.656,84.16,,2018-10-02,975,SUR,,,,,RUB
2,TQOB,2018-10-03,ОФЗ 46012,SU46012RMFS9,0,0.0,,,,107.0,3.24,,6.27,,0,,109.449,107.0,0,559771.89,0,2029-09-05,2638,,,,8.656,84.16,,2018-10-02,975,SUR,,,,,RUB
3,TQOB,2018-10-04,ОФЗ 46012,SU46012RMFS9,1,1053.0,108.0,108.0,108.0,108.0,3.47,108.0,6.13,108.0,1,,109.446,108.0,0,560824.89,0,2029-09-05,2629,6.13,,,8.656,84.16,,2018-10-04,975,SUR,,,,,RUB
4,TQOB,2018-10-05,ОФЗ 46012,SU46012RMFS9,2,1950.06,95.006,105.0,105.0,105.0,3.7,100.00299999999999,6.55,95.006,2,,109.41,105.0,0,562774.95,0,2029-09-05,2578,7.28,,,8.656,84.16,,2018-10-05,975,SUR,,,,,RUB
5,TQOB,2018-10-08,ОФЗ 46012,SU46012RMFS9,0,0.0,,,,105.0,4.39,,6.55,,0,,109.41,105.0,0,562774.95,0,2029-09-05,2633,,,,8.656,84.16,,2018-10-05,975,SUR,,,,,RUB
6,TQOB,2018-10-09,ОФЗ 46012,SU46012RMFS9,2,4221.75,106.0,109.0,106.0,106.0,4.62,108.25,6.41,109.0,4,,109.40100000000001,106.0,0,566996.7,0,2029-09-05,2625,6.1,,,8.656,84.16,,2018-10-09,975,SUR,,,,,RUB
7,TQOB,2018-10-10,ОФЗ 46012,SU46012RMFS9,0,0.0,,,,106.0,4.86,,6.41,,0,,109.40100000000001,106.0,0,566996.7,0,2029-09-05,2631,,,,8.656,84.16,,2018-10-09,975,SUR,,,,,RUB
8,TQOB,2018-10-11,ОФЗ 46012,SU46012RMFS9,1,1023.75,105.0,105.0,105.0,105.0,5.09,105.0,6.55,105.0,1,,109.39299999999999,105.0,0,568020.45,0,2029-09-05,2604,6.55,,,8.656,84.16,,2018-10-11,975,SUR,,,,,RUB
9,TQOB,2018-10-12,ОФЗ 46012,SU46012RMFS9,0,0.0,,,,105.0,5.32,,6.54,,0,,109.39299999999999,105.0,0,568020.45,0,2029-09-05,2629,,,,8.656,84.16,,2018-10-11,975,SUR,,,,,RUB
