,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,ТНСэнрг ао,TNSE,0,0,,,,1255,,,0,,1215,1255,0,760725,0,
1,TQBR,2018-10-02,ТНСэнрг ао,TNSE,0,0,,,,1255,,,0,,1215,1255,0,760725,0,
2,TQBR,2018-10-03,ТНСэнрг ао,TNSE,3,3740,1250.0,1245.0,1250.0,1245,1245.0,1245.0,3,,1215,1245,0,764465,0,
3,TQBR,2018-10-04,ТНСэнрг ао,TNSE,0,0,,,,1245,,,0,,1215,1245,0,764465,0,
4,TQBR,2018-10-05,ТНСэнрг ао,TNSE,0,0,,,,1245,,,0,,1215,1245,0,764465,0,
5,TQBR,2018-10-08,ТНСэнрг ао,TNSE,6,36220,1215.0,1205.0,1240.0,1240,1205.0,1240.0,30,,1225,1240,0,500685,0,
6,TQBR,2018-10-09,ТНСэнрг ао,TNSE,0,0,,,,1240,,,0,,1225,1240,0,500685,0,
7,TQBR,2018-10-10,ТНСэнрг ао,TNSE,0,0,,,,1240,,,0,,1225,1240,0,500685,0,
8,TQBR,2018-10-11,ТНСэнрг ао,TNSE,5,21780,1210.0,1210.0,1210.0,1210,1210.0,1210.0,18,,1225,1210,0,522465,0,
9,TQBR,2018-10-12,ТНСэнрг ао,TNSE,0,0,,,,1210,,,0,,1225,1210,0,522465,0,
10,TQBR,2018-10-15,ТНСэнрг ао,TNSE,0,0,,,,1210,,,0,,1225,1210,0,522465,0,
11,TQBR,2018-10-16,ТНСэнрг ао,TNSE,3,53800,1240.0,1220.0,1240.0,1240,1225.0,1240.0,44,,1230,1240,0,507825,0,
12,TQBR,2018-10-17,ТНСэнрг ао,TNSE,3,21100,1240.0,1240.0,1250.0,1240,1240.0,1250.0,17,,1230,1240,0,501010,0,
13,TQBR,2018-10-18,ТНСэнрг ао,TNSE,3,50100,1250.0,1250.0,1255.0,1255,1255.0,1255.0,40,,1235,1255,0,501870,0,
14,TQBR,2018-10-19,ТНСэнрг ао,TNSE,0,0,,,,1255,,,0,,1235,1255,0,501870,0,
15,TQBR,2018-10-22,ТНСэнрг ао,TNSE,2,2420,1210.0,1210.0,1210.0,1210,1210.0,1210.0,2,,1235,1210,0,504290,0,
16,TQBR,2018-10-23,ТНСэнрг ао,TNSE,0,0,,,,1210,,,0,,1235,1210,0,504290,0,
17,TQBR,2018-10-24,ТНСэнрг ао,TNSE,0,0,,,,1210,,,0,,1235,1210,0,504290,0,
18,TQBR,2018-10-25,ТНСэнрг ао,TNSE,0,0,,,,1210,,,0,,1235,1210,0,504290,0,
19,TQBR,2018-10-26,ТНСэнрг ао,TNSE,2,6175,1235.0,1235.0,1235.0,1235,1235.0,1235.0,5,,1235,1235,0,510465,0,
20,TQBR,2018-10-29,ТНСэнрг ао,TNSE,3,8680,1240.0,1240.0,1240.0,1240,1240.0,1240.0,7,,1235,1240,0,501135,0,
