history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;ОВК ао;UWGN;3750;15562092;461.2;449;464;455;456;455;34131;456;456;455;15562092;15562092;15562092;
TQBR;2018-10-02;ОВК ао;UWGN;4233;21312818.6;464.8;449;469.8;460.2;464.2;460.2;45914;464.2;464.2;460.2;21312818.6;21312818.6;21312818.6;
TQBR;2018-10-03;ОВК ао;UWGN;3426;22059134.8;465;456;496;470.2;478.8;470.2;46074;478.8;478.8;470.2;22059134.8;22059134.8;22059134.8;
TQBR;2018-10-04;ОВК ао;UWGN;3575;15232308;493.8;465;493.8;471;471;471;32338;471;471;471;15232308;15232308;15232308;
TQBR;2018-10-05;ОВК ао;UWGN;3246;15011627;469;454.2;479;460;465.2;460;32266;465.2;465.2;460;15011627;15011627;15011627;
TQBR;2018-10-08;ОВК ао;UWGN;2661;15147244;466.8;455.4;466.8;457;460.2;457;32911;460.2;460.2;457;15147244;15147244;15147244;
TQBR;2018-10-09;ОВК ао;UWGN;2665;20692739.6;456.2;452.8;467.6;460.2;461.4;460.2;44852;461.4;461.4;460.2;20692739.6;20692739.6;20692739.6;
TQBR;2018-10-10;ОВК ао;UWGN;2557;65857974.8;464.4;453.4;467.4;460;461;460;142879;461;461;460;65857974.8;65857974.8;65857974.8;
TQBR;2018-10-11;ОВК ао;UWGN;3039;23430289.4;452.4;444.6;463;451.2;455.2;451.2;51487;455;455;451.2;23430289.4;23430289.4;23430289.4;
TQBR;2018-10-12;ОВК ао;UWGN;3324;15468927.8;450;448.4;452.2;449;451;449;34306;451;451;449;15468927.8;15468927.8;15468927.8;
TQBR;2018-10-15;ОВК ао;UWGN;3561;12430332.8;454.6;446.2;464.8;448.6;455.2;448.6;27309;455.2;455.2;448.6;12430332.8;12430332.8;12430332.8;
TQBR;2018-10-16;ОВК ао;UWGN;4551;25661397.2;446.8;435;457.2;435.2;448.2;435.2;57273;448;448;435.2;25661397.2;25661397.2;25661397.2;
TQBR;2018-10-17;ОВК ао;UWGN;2799;15649987;435.6;435.4;459.6;457.2;453.8;457.2;34497;453.6;453.6;457.2;15649987;15649987;15649987;
TQBR;2018-10-18;ОВК ао;UWGN;3266;144208795.2;459.8;452.2;474.4;452.2;460.2;452.2;313451;460;460;452.2;144208795.2;144208795.2;144208795.2;
TQBR;2018-10-19;ОВК ао;UWGN;3455;16845736.2;454;418.6;463;418.6;450.6;418.6;37381;450.6;450.6;418.6;16845736.2;16845736.2;16845736.2;
TQBR;2018-10-22;ОВК ао;UWGN;2309;14097061.2;435;418;445;429.6;431.2;429.6;32691;431.2;431.2;429.6;14097061.2;14097061.2;14097061.2;
TQBR;2018-10-23;ОВК ао;UWGN;1220;8279545;439;422.2;448.6;427.6;431.2;427.6;19205;431.2;431.2;427.6;8279545;8279545;8279545;
TQBR;2018-10-24;ОВК ао;UWGN;1493;8124614.4;428.8;422.2;435;425.6;427.6;425.6;19004;427.6;427.6;425.6;8124614.4;8124614.4;8124614.4;
TQBR;2018-10-25;ОВК ао;UWGN;1634;456043098;424.8;422.2;430.2;423.6;428.2;423;1065141;428.2;428.2;423.6;456043098;456043098;456043098;
TQBR;2018-10-26;ОВК ао;UWGN;4621;8344861.2;423;419.4;427.2;423;421.8;423;19790;421.6;421.6;423;8344861.2;8344861.2;8344861.2;
TQBR;2018-10-29;ОВК ао;UWGN;3620;10556466.6;423.4;420.6;439.2;434;429.6;434;24574;429.6;429.6;434;10556466.6;10556466.6;10556466.6;
TQBR;2018-10-30;ОВК ао;UWGN;1107;7607861.2;425.6;425.6;438.8;430.4;433.2;430.8;17561;433.2;433.2;430.4;7607861.2;7607861.2;7607861.2;
TQBR;2018-10-31;ОВК ао;UWGN;3441;9252400.8;439;432.4;441.4;434.4;436.4;435.6;21200;436.4;436.4;434.4;9252400.8;9252400.8;9252400.8;
TQBR;2018-11-01;ОВК ао;UWGN;3056;8605387;426.2;425;430.8;428.6;428;428.6;20104;428;428;428.6;8605387;8605387;8605387;
TQBR;2018-11-02;ОВК ао;UWGN;3083;7826580.8;425;423.4;449;444.4;429.8;444.4;18214;429.8;429.8;444.4;7826580.8;7826580.8;7826580.8;
TQBR;2018-11-06;ОВК ао;UWGN;4225;12186871.6;441.2;425.8;460;425.8;445.6;425.8;27353;445.6;445.6;425.8;12186871.6;12186871.6;12186871.6;
TQBR;2018-11-07;ОВК ао;UWGN;3530;12110691;431.4;425.6;440;436.6;431.6;436.6;28059;431.6;431.6;436.6;12110691;12110691;12110691;
TQBR;2018-11-08;ОВК ао;UWGN;2647;11374130.2;431.2;429.6;436.4;433;435;433;26149;435;435;433;11374130.2;11374130.2;11374130.2;
TQBR;2018-11-09;ОВК ао;UWGN;3799;49604965.6;436;422;436;424.8;430.6;424.8;115238;430.4;430.4;424.8;49604965.6;49604965.6;49604965.6;
TQBR;2018-11-12;ОВК ао;UWGN;3484;11484687;433;421;433;422;425.2;422;27010;425.2;425.2;422;11484687;11484687;11484687;
TQBR;2018-11-13;ОВК ао;UWGN;3458;10081773.4;427.8;421.2;427.8;423.4;423.6;426.4;23798;423.6;423.6;423.4;10081773.4;10081773.4;10081773.4;
TQBR;2018-11-14;ОВК ао;UWGN;3846;12749055.8;439.2;420.4;439.2;423;425.8;422.2;29945;425.8;425.8;423;12749055.8;12749055.8;12749055.8;
TQBR;2018-11-15;ОВК ао;UWGN;4510;10280550.8;424.2;420;427.4;424.8;424.8;424.6;24209;424.6;424.6;424.8;10280550.8;10280550.8;10280550.8;
TQBR;2018-11-16;ОВК ао;UWGN;3287;139825636.2;424;422;427.2;424.8;424;424.8;329783;424;424;424.8;139825636.2;139825636.2;139825636.2;
