history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQDE;2018-10-01;АСКО ао;ACKO;43;783120;7.9;7.5;7.9;7.54;7.68;7.5;102000;7.68;7.68;7.54;783120;783120;783120;
TQDE;2018-10-02;АСКО ао;ACKO;26;447620;7.86;7.48;7.86;7.76;7.6;7.76;59000;;7.58;7.76;0;500120;0;
TQDE;2018-10-03;АСКО ао;ACKO;14;123960;7.98;7.6;7.98;7.84;7.76;7.84;16000;;7.6;7.84;0;500980;0;
TQDE;2018-10-04;АСКО ао;ACKO;12;205500;7.84;7.74;7.94;7.82;7.9;7.82;26000;;7.7;7.82;0;547280;0;
TQDE;2018-10-05;АСКО ао;ACKO;44;759120;7.58;7.5;7.76;7.52;7.6;7.52;100000;7.6;7.6;7.52;759120;759120;759120;
TQDE;2018-10-08;АСКО ао;ACKO;29;525120;7.46;7.42;7.6;7.58;7.5;7.58;70000;7.5;7.5;7.58;525120;525120;525120;
TQDE;2018-10-09;АСКО ао;ACKO;17;391460;7.54;7.5;7.78;7.58;7.68;7.6;51000;;7.64;7.58;0;512160;0;
TQDE;2018-10-10;АСКО ао;ACKO;26;779080;7.5;7.44;7.66;7.44;7.5;7.44;104000;7.5;7.5;7.44;779080;779080;779080;
TQDE;2018-10-11;АСКО ао;ACKO;14;537120;7.62;7.3;7.62;7.3;7.46;7.3;72000;7.46;7.46;7.3;537120;537120;537120;
TQDE;2018-10-12;АСКО ао;ACKO;10;294000;7.92;7.42;7.92;7.42;7.74;7.42;38000;;7.58;7.42;0;515700;0;
TQDE;2018-10-15;АСКО ао;ACKO;22;480800;7.5;7.32;7.5;7.42;7.4;7.42;65000;;7.4;7.42;0;511080;0;
TQDE;2018-10-16;АСКО ао;ACKO;3;59360;7.42;7.42;7.42;7.42;7.42;7.42;8000;7.4;7.4;7.42;540160;517660;540160;
TQDE;2018-10-17;АСКО ао;ACKO;8;237000;7.36;7.34;7.5;7.4;7.42;7.4;32000;;7.4;7.4;0;503160;0;
TQDE;2018-10-18;АСКО ао;ACKO;7;88640;7.4;7.34;7.42;7.4;7.4;7.4;12000;;7.4;7.4;0;525380;0;
TQDE;2018-10-19;АСКО ао;ACKO;15;309860;7.36;7.34;7.4;7.34;7.38;7.34;42000;;7.4;7.34;0;503080;0;
TQDE;2018-10-22;АСКО ао;ACKO;98;2388300;7.36;7.36;8.26;8.04;7.94;8.02;301000;7.94;7.94;8.04;2388300;2388300;2388300;
TQDE;2018-10-23;АСКО ао;ACKO;52;828380;8.04;7.5;8.06;7.92;7.82;7.8;106000;7.82;7.82;7.92;828380;828380;828380;
TQDE;2018-10-24;АСКО ао;ACKO;20;283400;7.66;7.5;7.88;7.72;7.66;7.72;37000;;7.7;7.72;0;508740;0;
TQDE;2018-10-25;АСКО ао;ACKO;15;233000;8;7.44;8;7.48;7.52;7.48;31000;;7.6;7.48;0;508740;0;
TQDE;2018-10-26;АСКО ао;ACKO;12;163980;7.48;7.4;7.6;7.42;7.46;7.5;22000;;7.5;7.42;0;503000;0;
TQDE;2018-10-29;АСКО ао;ACKO;21;713340;7.38;7.28;7.54;7.28;7.36;7.28;97000;7.36;7.36;7.28;713340;713340;713340;
TQDE;2018-10-30;АСКО ао;ACKO;16;429460;7.54;7.2;7.54;7.38;7.4;7.44;58000;;7.38;7.38;0;502260;0;
TQDE;2018-10-31;АСКО ао;ACKO;7;67620;7.78;7.34;7.78;7.34;7.52;7.34;9000;;7.4;7.34;0;548040;0;
TQDE;2018-11-01;АСКО ао;ACKO;22;374200;7.58;7.22;7.58;7.4;7.34;7.38;51000;;7.38;7.4;0;626960;0;
TQDE;2018-11-02;АСКО ао;ACKO;9;154840;7.34;7.34;7.52;7.38;7.38;7.38;21000;7.34;7.34;7.38;529040;506900;529040;
TQDE;2018-11-06;АСКО ао;ACKO;12;164800;7.58;7.4;7.84;7.52;7.5;7.52;22000;;7.4;7.52;0;539860;0;
TQDE;2018-11-07;АСКО ао;ACKO;6;59600;7.5;7.38;7.5;7.5;7.46;7.5;8000;;7.42;7.5;0;504880;0;
TQDE;2018-11-08;АСКО ао;ACKO;10;89020;7.4;7.34;7.56;7.44;7.42;7.52;12000;;7.42;7.44;0;519920;0;
TQDE;2018-11-09;АСКО ао;ACKO;18;322360;7.6;7.22;7.6;7.46;7.34;7.48;44000;;7.38;7.46;0;552800;0;
TQDE;2018-11-12;АСКО ао;ACKO;47;875760;7.54;7.2;7.56;7.26;7.3;7.38;120000;7.3;7.3;7.26;875760;875760;875760;
TQDE;2018-11-13;АСКО ао;ACKO;40;1028080;7.28;7.2;7.5;7.4;7.4;7.4;139000;7.4;7.4;7.4;1028080;1028080;1028080;
TQDE;2018-11-14;АСКО ао;ACKO;7;80640;7.4;7.22;7.44;7.38;7.34;7.44;11000;7.4;7.38;7.38;1108720;833960;1108720;
TQDE;2018-11-15;АСКО ао;ACKO;27;254980;7.54;7.18;7.54;7.32;7.3;7.36;35000;;7.28;7.32;0;502660;0;
TQDE;2018-11-16;АСКО ао;ACKO;8;72900;7.28;7.2;7.4;7.32;7.3;7.4;10000;;7.3;7.32;0;517680;0;
TQDE;2018-11-19;АСКО ао;ACKO;8;144860;7.22;7.22;7.4;7.34;7.24;7.4;20000;;7.28;7.34;0;517040;0;
TQDE;2018-11-20;АСКО ао;ACKO;5;86640;7.2;7.2;7.24;7.24;7.22;7.24;12000;;7.26;7.24;0;500340;0;
TQDE;2018-11-21;АСКО ао;ACKO;28;349640;7.2;7.04;7.3;7.14;7.14;7.1;49000;;7.16;7.14;0;508940;0;
TQDE;2018-11-22;АСКО ао;ACKO;17;220980;7.36;7.1;7.36;7.18;7.14;7.18;31000;;7.12;7.18;0;505820;0;
TQDE;2018-11-23;АСКО ао;ACKO;9;155540;7.04;7.04;7.1;7.1;7.08;7.1;22000;;7.1;7.1;0;504720;0;
TQDE;2018-11-26;АСКО ао;ACKO;27;381120;7.02;6.76;7.04;7;6.94;7;55000;;6.96;7;0;522580;0;
TQDE;2018-11-27;АСКО ао;ACKO;17;583240;7.12;6.9;7.12;6.96;6.94;6.96;84000;6.94;6.94;6.96;583240;583240;583240;
TQDE;2018-11-28;АСКО ао;ACKO;2;14220;7.1;7.1;7.12;7.12;7.12;7.12;2000;6.94;6.94;7.12;597460;569640;597460;
TQDE;2018-11-29;АСКО ао;ACKO;6;56200;7.1;7;7.1;7.08;7.04;7.08;8000;6.96;6.96;7.08;653660;529240;653660;
TQDE;2018-11-30;АСКО ао;ACKO;11;119380;6.84;6.84;7.14;7.1;7.02;7.14;17000;;7;7.1;0;503720;0;
TQDE;2018-12-03;АСКО ао;ACKO;4;27880;7;6.94;7;6.94;6.98;6.94;4000;;7;6.94;0;531600;0;
TQDE;2018-12-04;АСКО ао;ACKO;4;97600;6.98;6.94;6.98;6.98;6.98;6.98;14000;;7.02;6.98;0;505000;0;
TQDE;2018-12-05;АСКО ао;ACKO;9;68840;6.96;6.8;6.98;6.86;6.88;6.96;10000;;7;6.86;0;504380;0;
TQDE;2018-12-06;АСКО ао;ACKO;30;463840;7.14;6.84;7.14;6.9;6.92;6.94;67000;;6.92;6.9;0;504900;0;
TQDE;2018-12-07;АСКО ао;ACKO;14;179120;6.84;6.76;7;7;6.9;7;26000;;6.9;7;0;510720;0;
TQDE;2018-12-10;АСКО ао;ACKO;6;69540;7.08;6.82;7.08;7;6.96;7;10000;;6.9;7;0;566420;0;
TQDE;2018-12-11;АСКО ао;ACKO;17;387800;6.82;6.76;6.94;6.92;6.8;6.92;57000;;6.84;6.92;0;527020;0;
TQDE;2018-12-12;АСКО ао;ACKO;6;83480;6.96;6.94;7;7;6.96;7;12000;;6.84;7;0;506200;0;
TQDE;2018-12-13;АСКО ао;ACKO;10;159260;6.98;6.74;7;6.94;6.92;7;23000;;6.86;6.94;0;507900;0;
TQDE;2018-12-14;АСКО ао;ACKO;8;124540;6.66;6.66;7;6.86;6.92;6.86;18000;;6.9;6.86;0;510520;0;
TQDE;2018-12-17;АСКО ао;ACKO;7;199060;6.78;6.78;6.96;6.94;6.86;6.94;29000;;6.9;6.94;0;524580;0;
TQDE;2018-12-18;АСКО ао;ACKO;9;125080;6.96;6.82;7;6.98;6.96;7;18000;;6.92;6.98;0;511480;0;
TQDE;2018-12-19;АСКО ао;ACKO;4;55120;6.82;6.8;6.92;6.9;6.9;6.9;8000;;6.9;6.9;0;503800;0;
TQDE;2018-12-20;АСКО ао;ACKO;7;74520;6.64;6.64;6.82;6.82;6.78;6.82;11000;;6.88;6.82;0;544300;0;
TQDE;2018-12-21;АСКО ао;ACKO;2;20940;6.98;6.98;6.98;6.98;6.98;6.98;3000;;6.9;6.98;0;565240;0;


