,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,Система ао,AFKS,5110,224067566.5,8.74,8.66,9.125,9.0,9.0,9.0,24896500,9.0,9.0,9.0,224067566.5,224067566.5,224067566.5,
1,TQBR,2018-10-02,Система ао,AFKS,3660,141364833.5,9.085,8.8,9.11,9.01,8.965,9.01,15765400,8.965,8.965,9.01,141364833.5,141364833.5,141364833.5,
2,TQBR,2018-10-03,Система ао,AFKS,3205,118890840.5,9.01,8.92,9.11,8.955,9.01,8.955,13193800,9.01,9.01,8.955,118890840.5,118890840.5,118890840.5,
3,TQBR,2018-10-04,Система ао,AFKS,2756,84908851.5,9.01,8.76,9.01,8.795,8.875,8.795,9569600,8.875,8.875,8.795,84908851.5,84908851.5,84908851.5,
4,TQBR,2018-10-05,Система ао,AFKS,4831,129975821.5,8.755,8.45,8.79,8.505,8.61,8.505,15094500,8.61,8.61,8.505,129975821.5,129975821.5,129975821.5,
5,TQBR,2018-10-08,Система ао,AFKS,7568,141831672.0,8.5,8.19,8.5,8.38,8.35,8.38,16986400,8.35,8.35,8.38,141831672.0,141831672.0,141831672.0,
6,TQBR,2018-10-09,Система ао,AFKS,5489,105211247.5,8.38,8.235,8.415,8.38,8.305,8.38,12666100,8.305,8.305,8.38,105211247.5,105211247.5,105211247.5,
7,TQBR,2018-10-10,Система ао,AFKS,3484,86904169.0,8.37,8.2,8.37,8.2,8.27,8.2,10505700,8.27,8.27,8.2,86904169.0,86904169.0,86904169.0,
8,TQBR,2018-10-11,Система ао,AFKS,4788,169421407.0,8.0,8.0,8.22,8.13,8.12,8.13,20875300,8.115,8.115,8.13,169421407.0,169421407.0,169421407.0,
9,TQBR,2018-10-12,Система ао,AFKS,2987,63496843.5,8.175,8.15,8.285,8.195,8.21,8.195,7733700,8.21,8.21,8.195,63496843.5,63496843.5,63496843.5,
10,TQBR,2018-10-15,Система ао,AFKS,3409,111442462.5,8.23,8.2,8.525,8.42,8.37,8.42,13315200,8.37,8.37,8.42,111442462.5,111442462.5,111442462.5,
11,TQBR,2018-10-16,Система ао,AFKS,3003,101028214.5,8.42,8.26,8.465,8.325,8.385,8.325,12051700,8.385,8.385,8.325,101028214.5,101028214.5,101028214.5,
12,TQBR,2018-10-17,Система ао,AFKS,1835,54471909.0,8.345,8.275,8.375,8.285,8.33,8.285,6540300,8.33,8.33,8.285,54471909.0,54471909.0,54471909.0,
13,TQBR,2018-10-18,Система ао,AFKS,1848,57651609.0,8.26,8.245,8.355,8.255,8.295,8.255,6948100,8.295,8.295,8.255,57651609.0,57651609.0,57651609.0,
14,TQBR,2018-10-19,Система ао,AFKS,3053,93808256.0,8.3,8.12,8.335,8.175,8.195,8.175,11448500,8.195,8.195,8.175,93808256.0,93808256.0,93808256.0,
15,TQBR,2018-10-22,Система ао,AFKS,2383,56784890.0,8.125,8.08,8.22,8.085,8.125,8.085,6989100,8.125,8.125,8.085,56784890.0,56784890.0,56784890.0,
16,TQBR,2018-10-23,Система ао,AFKS,3786,137407848.0,8.08,7.85,8.08,7.95,7.95,7.95,17286300,7.95,7.95,7.95,137407848.0,137407848.0,137407848.0,
17,TQBR,2018-10-24,Система ао,AFKS,2476,75170796.0,7.96,7.93,8.035,7.985,7.975,7.985,9423500,7.975,7.975,7.985,75170796.0,75170796.0,75170796.0,
18,TQBR,2018-10-25,Система ао,AFKS,2847,59533246.0,7.93,7.86,7.985,7.875,7.895,7.875,7536000,7.9,7.9,7.875,59533246.0,59533246.0,59533246.0,
19,TQBR,2018-10-26,Система ао,AFKS,6202,135182124.5,7.875,7.65,7.915,7.65,7.745,7.65,17454900,7.745,7.745,7.65,135182124.5,135182124.5,135182124.5,
20,TQBR,2018-10-29,Система ао,AFKS,3591,85913308.0,7.7,7.7,7.94,7.87,7.825,7.87,10976900,7.825,7.825,7.87,85913308.0,85913308.0,85913308.0,
21,TQBR,2018-10-30,Система ао,AFKS,2021,45734743.5,7.8,7.77,7.945,7.785,7.85,7.785,5827300,7.85,7.85,7.785,45734743.5,45734743.5,45734743.5,
22,TQBR,2018-10-31,Система ао,AFKS,2049,47744343.0,7.83,7.785,7.925,7.8,7.83,7.8,6097400,7.83,7.83,7.8,47744343.0,47744343.0,47744343.0,
23,TQBR,2018-11-01,Система ао,AFKS,4257,75892327.4,7.82,7.779,7.999,7.999,7.877999999999999,7.999,9633000,7.877999999999999,7.877999999999999,7.999,75892327.4,75892327.4,75892327.4,
24,TQBR,2018-11-02,Система ао,AFKS,3959,84364943.0,8.01,7.921,8.21,8.13,8.113999999999999,8.13,10397100,8.113999999999999,8.113999999999999,8.13,84364943.0,84364943.0,84364943.0,
25,TQBR,2018-11-06,Система ао,AFKS,3245,45862259.2,8.13,8.13,8.273,8.193,8.198,8.193,5594100,8.198,8.198,8.193,45862259.2,45862259.2,45862259.2,
26,TQBR,2018-11-07,Система ао,AFKS,3601,46148230.0,8.17,8.061,8.228,8.203,8.17,8.203,5648700,8.17,8.17,8.203,46148230.0,46148230.0,46148230.0,
27,TQBR,2018-11-08,Система ао,AFKS,4973,103327035.6,8.232000000000001,8.17,8.356,8.205,8.245,8.205,12532500,8.245,8.245,8.205,103327035.6,103327035.6,103327035.6,
28,TQBR,2018-11-09,Система ао,AFKS,2566,72597190.5,8.181000000000001,8.01,8.227,8.13,8.162,8.13,8894200,8.162,8.162,8.13,72597190.5,72597190.5,72597190.5,
29,TQBR,2018-11-12,Система ао,AFKS,2664,50700133.5,8.16,8.04,8.214,8.04,8.133,8.04,6233800,8.133,8.133,8.04,50700133.5,50700133.5,50700133.5,
30,TQBR,2018-11-13,Система ао,AFKS,2736,59889116.8,8.009,7.965,8.174,8.13,8.059,8.13,7430900,8.059,8.059,8.13,59889116.8,59889116.8,59889116.8,
31,TQBR,2018-11-14,Система ао,AFKS,3622,58909669.0,8.1,8.0,8.15,8.047,8.047,8.047,7320800,8.047,8.047,8.047,58909669.0,58909669.0,58909669.0,
32,TQBR,2018-11-15,Система ао,AFKS,3398,69856706.4,8.03,8.02,8.169,8.02,8.08,8.02,8645300,8.08,8.08,8.02,69856706.4,69856706.4,69856706.4,
33,TQBR,2018-11-16,Система ао,AFKS,4697,100288911.1,8.04,7.867000000000001,8.05,7.95,7.9639999999999995,7.95,12593500,7.9639999999999995,7.9639999999999995,7.95,100288911.1,100288911.1,100288911.1,
34,TQBR,2018-11-19,Система ао,AFKS,2400,36262975.4,7.94,7.94,8.014,8.007,7.995,8.007,4535600,7.995,7.995,8.007,36262975.4,36262975.4,36262975.4,
35,TQBR,2018-11-20,Система ао,AFKS,6243,111537150.6,7.99,7.711,8.001,7.819,7.803999999999999,7.819,14293200,7.803999999999999,7.803999999999999,7.819,111537150.6,111537150.6,111537150.6,
36,TQBR,2018-11-21,Система ао,AFKS,3006,61002585.2,7.8,7.755,7.973,7.961,7.906000000000001,7.961,7715800,7.906000000000001,7.906000000000001,7.961,61002585.2,61002585.2,61002585.2,
37,TQBR,2018-11-22,Система ао,AFKS,1830,40955397.9,7.957999999999999,7.874,7.999,7.905,7.937,7.905,5160000,7.937,7.937,7.905,40955397.9,40955397.9,40955397.9,
38,TQBR,2018-11-23,Система ао,AFKS,2943,46407135.1,7.903,7.792000000000001,7.933,7.87,7.835,7.87,5923200,7.835,7.835,7.87,46407135.1,46407135.1,46407135.1,
39,TQBR,2018-11-26,Система ао,AFKS,3584,63705288.8,7.9,7.73,7.944,7.8660000000000005,7.832000000000001,7.8660000000000005,8134100,7.832000000000001,7.832000000000001,7.8660000000000005,63705288.8,63705288.8,63705288.8,
40,TQBR,2018-11-27,Система ао,AFKS,17262,141111997.1,7.898,7.6,7.971,7.77,7.78,7.77,18137000,7.78,7.78,7.77,141111997.1,141111997.1,141111997.1,
41,TQBR,2018-11-28,Система ао,AFKS,19131,429417647.7,7.774,7.712000000000001,8.339,8.245,8.106,8.245,52974200,8.106,8.106,8.245,429417647.7,429417647.7,429417647.7,
42,TQBR,2018-11-29,Система ао,AFKS,10906,160324331.5,8.246,8.238999999999999,8.482999999999999,8.419,8.354,8.419,19190900,8.354,8.354,8.419,160324331.5,160324331.5,160324331.5,
43,TQBR,2018-11-30,Система ао,AFKS,5068,127050934.8,8.37,8.37,8.604,8.568999999999999,8.535,8.568999999999999,14886400,8.535,8.535,8.568999999999999,127050934.8,127050934.8,127050934.8,
44,TQBR,2018-12-03,Система ао,AFKS,6998,157418391.0,8.65,8.351,8.9,8.471,8.557,8.471,18395800,8.557,8.557,8.471,157418391.0,157418391.0,157418391.0,
45,TQBR,2018-12-04,Система ао,AFKS,3475,79676663.8,8.43,8.331,8.557,8.414,8.424,8.414,9458000,8.424,8.424,8.414,79676663.8,79676663.8,79676663.8,
46,TQBR,2018-12-05,Система ао,AFKS,4878,84724739.8,8.396,8.335,8.59,8.472000000000001,8.48,8.472000000000001,9991100,8.48,8.48,8.472000000000001,84724739.8,84724739.8,84724739.8,
47,TQBR,2018-12-06,Система ао,AFKS,4150,71101202.6,8.405,8.324,8.472000000000001,8.367,8.387,8.367,8477900,8.387,8.387,8.367,71101202.6,71101202.6,71101202.6,
48,TQBR,2018-12-07,Система ао,AFKS,4261,96869711.5,8.378,8.23,8.466000000000001,8.23,8.363,8.23,11582500,8.363,8.363,8.23,96869711.5,96869711.5,96869711.5,
49,TQBR,2018-12-10,Система ао,AFKS,5432,107741148.1,8.248,8.013,8.308,8.033,8.14,8.033,13257600,8.127,8.127,8.033,107741148.1,107741148.1,107741148.1,
50,TQBR,2018-12-11,Система ао,AFKS,3105,79420560.0,8.05,7.92,8.222000000000001,8.1,8.103,8.1,9801500,8.103,8.103,8.1,79420560.0,79420560.0,79420560.0,
