history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;Аэрофлот;AFLT;2254;162863900;106.55;105.8;106.85;106.2;106.25;106.2;1532500;106.25;106.25;106.2;162863900;162863900;162863900;
TQBR;2018-10-02;Аэрофлот;AFLT;3234;247243720;106.25;105.55;107.95;106.4;107;106.4;2310500;107;107;106.4;247243720;247243720;247243720;
TQBR;2018-10-03;Аэрофлот;AFLT;2763;216409285;106.4;106.1;107.6;107.1;107;107.1;2022800;107;107;107.1;216409285;216409285;216409285;
TQBR;2018-10-04;Аэрофлот;AFLT;3664;256618570;107.1;106.4;108.2;106.4;107.1;106.4;2396300;107.1;107.1;106.4;256618570;256618570;256618570;
TQBR;2018-10-05;Аэрофлот;AFLT;4380;338189605;106.35;103.45;106.35;104.65;104.75;104.65;3228300;104.75;104.75;104.65;338189605;338189605;338189605;
TQBR;2018-10-08;Аэрофлот;AFLT;4284;334901105;104.6;101.5;104.7;102.65;102.5;102.65;3266900;102.5;102.5;102.65;334901105;334901105;334901105;
TQBR;2018-10-09;Аэрофлот;AFLT;3054;213520055;103;102.05;103.95;102.1;102.5;102.1;2082800;102.5;102.5;102.1;213520055;213520055;213520055;
TQBR;2018-10-10;Аэрофлот;AFLT;4335;351681550;102;101.7;105.05;102.15;103.1;102.15;3410600;103.1;103.1;102.15;351681550;351681550;351681550;
TQBR;2018-10-11;Аэрофлот;AFLT;5133;360168225;101;100.1;102.15;100.9;101;100.9;3565400;101;101;100.9;360168225;360168225;360168225;
TQBR;2018-10-12;Аэрофлот;AFLT;4532;327151180;101;101;104.15;102;102.2;102;3201000;102.2;102.2;102;327151180;327151180;327151180;
TQBR;2018-10-15;Аэрофлот;AFLT;4775;343830685;101.9;100.15;102.9;100.15;100.9;100.15;3408000;100.9;100.9;100.15;343830685;343830685;343830685;
TQBR;2018-10-16;Аэрофлот;AFLT;6098;430907845;100.2;98.5;101.25;99;99.45;99;4331900;99.45;99.45;99;430907845;430907845;430907845;
TQBR;2018-10-17;Аэрофлот;AFLT;4617;367537530;100.15;97.65;100.45;98;98.9;98;3715400;98.9;98.9;98;367537530;367537530;367537530;
TQBR;2018-10-18;Аэрофлот;AFLT;7695;643119090;97.6;95.2;97.85;96;96.2;96;6686900;96.2;96.2;96;643119090;643119090;643119090;
TQBR;2018-10-19;Аэрофлот;AFLT;5146;388374005;95.9;94.7;97.25;95.5;96.15;95.5;4039200;96.15;96.15;95.5;388374005;388374005;388374005;
TQBR;2018-10-22;Аэрофлот;AFLT;5881;408526155;94.9;91.5;96.7;92.4;94;92.4;4346900;94;94;92.4;408526155;408526155;408526155;
TQBR;2018-10-23;Аэрофлот;AFLT;7196;516359265;91.15;89.45;92.45;92.3;90.8;92.3;5686000;90.8;90.8;92.3;516359265;516359265;516359265;
TQBR;2018-10-24;Аэрофлот;AFLT;4604;407871660;92.65;91.8;94;92.9;92.9;92.9;4391600;92.9;92.9;92.9;407871660;407871660;407871660;
TQBR;2018-10-25;Аэрофлот;AFLT;4517;287846015;91.6;90.65;93.8;91.85;92.15;91.85;3123700;92.15;92.15;91.85;287846015;287846015;287846015;
TQBR;2018-10-26;Аэрофлот;AFLT;4033;312627350;91.9;89.95;92.5;91.6;91.1;91.6;3431100;91.1;91.1;91.6;312627350;312627350;312627350;
TQBR;2018-10-29;Аэрофлот;AFLT;6165;483271940;90.4;90.4;94.7;94.05;93.4;94.05;5173600;93.4;93.4;94.05;483271940;483271940;483271940;
TQBR;2018-10-30;Аэрофлот;AFLT;8365;698338145;94.05;93.7;98.25;98.25;96.25;98.25;7257700;96.2;96.2;98.25;698338145;698338145;698338145;
TQBR;2018-10-31;Аэрофлот;AFLT;8526;730247635;98.4;96.5;99.9;97.25;97.85;97.25;7462500;97.85;97.85;97.25;730247635;730247635;730247635;
TQBR;2018-11-01;Аэрофлот;AFLT;7453;565632218;97.88;96;98.5;96.88;97.28;96.88;5814700;97.28;97.28;96.88;565632218;565632218;565632218;
