history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;Акрон;AKRN;178;3716040;4699;4651;4700;4659;4674;4659;795;4674;4674;4659;3716040;3716040;3716040;
TQBR;2018-10-02;Акрон;AKRN;183;3173904;4660;4626;4685;4646;4647;4646;683;4647;4647;4646;3173904;3173904;3173904;
TQBR;2018-10-03;Акрон;AKRN;751;9883903;4631;4624;4680;4663;4647;4663;2127;4647;4647;4663;9883903;9883903;9883903;
TQBR;2018-10-04;Акрон;AKRN;1034;20496744;4666;4583;4668;4619;4608;4619;4448;4608;4608;4619;20496744;20496744;20496744;
TQBR;2018-10-05;Акрон;AKRN;130;2475898;4628;4589;4628;4616;4602;4616;538;4602;4602;4616;2475898;2475898;2475898;
TQBR;2018-10-08;Акрон;AKRN;359;10408464;4628;4550;4628;4609;4581;4609;2272;4581;4581;4609;10408464;10408464;10408464;
TQBR;2018-10-09;Акрон;AKRN;188;3101719;4600;4590;4640;4629;4623;4629;671;4623;4623;4629;3101719;3101719;3101719;
TQBR;2018-10-10;Акрон;AKRN;410;7552568;4627;4582;4779;4630;4651;4630;1624;4651;4651;4630;7552568;7552568;7552568;
TQBR;2018-10-11;Акрон;AKRN;514;11566504;4579;4510;4606;4600;4559;4600;2537;4559;4559;4600;11566504;11566504;11566504;
TQBR;2018-10-12;Акрон;AKRN;147;4507305;4600;4532;4710;4650;4656;4650;968;4656;4656;4650;4507305;4507305;4507305;
TQBR;2018-10-15;Акрон;AKRN;123;2052817;4622;4602;4710;4620;4623;4620;444;4623;4623;4620;2052817;2052817;2052817;
TQBR;2018-10-16;Акрон;AKRN;300;17883405;4627;4575;4640;4640;4601;4640;3887;4601;4601;4640;17883405;17883405;17883405;
TQBR;2018-10-17;Акрон;AKRN;576;115167070;4653;4605;4681;4669;4660;4669;24712;4660;4660;4669;115167070;115167070;115167070;
TQBR;2018-10-18;Акрон;AKRN;217;49365374;4674;4631;4712;4640;4653;4640;10610;4653;4653;4640;49365374;49365374;49365374;
TQBR;2018-10-19;Акрон;AKRN;81;1194616;4620;4620;4693;4640;4648;4640;257;4648;4648;4640;1194616;1194616;1194616;
TQBR;2018-10-22;Акрон;AKRN;283;11053609;4640;4576;4669;4600;4627;4600;2389;4627;4627;4600;11053609;11053609;11053609;
TQBR;2018-10-23;Акрон;AKRN;531;23972052;4592;4541;4624;4580;4561;4580;5256;4561;4561;4580;23972052;23972052;23972052;
TQBR;2018-10-24;Акрон;AKRN;286;28004857;4580;4539;4609;4550;4554;4550;6149;4554;4554;4550;28004857;28004857;28004857;
TQBR;2018-10-25;Акрон;AKRN;191;6052569;4567;4519;4568;4536;4537;4536;1334;4537;4537;4536;6052569;6052569;6052569;
