history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;АЛРОСА-Нюр;ALNU;10;1049000;104000;104000;106000;104000;105000;104000;10;105000;105000;104000;1049000;1049000;1049000;
TQBR;2018-10-02;АЛРОСА-Нюр;ALNU;2;515000;103000;103000;103000;103000;103000;103000;5;104500;104500;103000;1564000;1355500;1564000;
TQBR;2018-10-03;АЛРОСА-Нюр;ALNU;41;5760000;105000;100000;110000;109000;106500;110000;54;106500;106500;109000;5760000;5760000;5760000;
TQBR;2018-10-04;АЛРОСА-Нюр;ALNU;23;4924500;110000;105500;111500;105500;109500;105500;45;109500;109500;105500;4924500;4924500;4924500;
TQBR;2018-10-05;АЛРОСА-Нюр;ALNU;35;5725000;105500;103500;110500;105000;108000;105000;53;108000;108000;105000;5725000;5725000;5725000;
TQBR;2018-10-08;АЛРОСА-Нюр;ALNU;16;3852000;103500;102000;105000;104000;104000;103500;37;104000;104000;104000;3852000;3852000;3852000;
TQBR;2018-10-09;АЛРОСА-Нюр;ALNU;18;2914000;102000;101500;106500;104000;104000;104000;28;104000;104000;104000;2914000;2914000;2914000;
TQBR;2018-10-10;АЛРОСА-Нюр;ALNU;24;3812500;103000;102500;105000;103000;103000;103000;37;103000;103000;103000;3812500;3812500;3812500;
TQBR;2018-10-11;АЛРОСА-Нюр;ALNU;26;3589500;104000;100500;104000;102000;102500;101500;35;102500;102500;102000;3589500;3589500;3589500;
TQBR;2018-10-12;АЛРОСА-Нюр;ALNU;12;1936000;101500;101000;102500;102000;102000;102000;19;102000;102000;102000;1936000;1936000;1936000;
TQBR;2018-10-15;АЛРОСА-Нюр;ALNU;9;1018500;101000;101000;103000;102500;102000;102500;10;102000;102000;102500;2954500;1120500;2954500;
TQBR;2018-10-16;АЛРОСА-Нюр;ALNU;38;8433500;101500;100500;103500;102000;101500;102000;83;101500;101500;102000;8433500;8433500;8433500;
TQBR;2018-10-17;АЛРОСА-Нюр;ALNU;48;9468500;100500;100000;102500;100000;101000;100000;94;100500;100500;100000;9468500;9468500;9468500;
TQBR;2018-10-18;АЛРОСА-Нюр;ALNU;13;1300000;100000;99000;101000;99500;100000;99500;13;100000;100000;99500;1300000;1300000;1300000;
TQBR;2018-10-19;АЛРОСА-Нюр;ALNU;21;6238500;99500;98000;99500;99000;99000;99500;63;99000;99000;99000;6238500;6238500;6238500;
TQBR;2018-10-22;АЛРОСА-Нюр;ALNU;15;12932500;100500;98000;100500;99500;99500;99500;130;99500;99500;99500;12932500;12932500;12932500;
TQBR;2018-10-23;АЛРОСА-Нюр;ALNU;23;5668000;98500;94500;98500;98500;97500;98500;58;97500;97500;98500;5668000;5668000;5668000;
TQBR;2018-10-24;АЛРОСА-Нюр;ALNU;0;0;;;;98500;;;0;97500;97000;98500;5668000;971000;5668000;
TQBR;2018-10-25;АЛРОСА-Нюр;ALNU;2;195000;97000;97000;98000;97500;97500;98000;2;97500;97500;97500;5863000;975000;5863000;
TQBR;2018-10-26;АЛРОСА-Нюр;ALNU;4;587500;98000;97500;98000;98000;98000;98000;6;99000;98000;98000;19383000;1175500;19383000;
TQBR;2018-10-29;АЛРОСА-Нюр;ALNU;7;1073000;98000;96000;98000;96000;97500;96000;11;97500;97500;96000;1660500;1464500;1660500;
TQBR;2018-10-30;АЛРОСА-Нюр;ALNU;28;4796000;96500;91000;96500;91500;94000;91000;51;94000;94000;91500;4796000;4796000;4796000;
TQBR;2018-10-31;АЛРОСА-Нюр;ALNU;62;7853500;91000;85000;92000;86500;87500;85000;90;87500;87500;86500;7853500;7853500;7853500;
TQBR;2018-11-01;АЛРОСА-Нюр;ALNU;2;176500;88500;88000;88500;88000;88500;88000;2;87500;86000;88000;8030000;1115500;8030000;
TQBR;2018-11-02;АЛРОСА-Нюр;ALNU;11;1027500;85000;84500;87500;84500;85500;84500;12;85500;85500;84500;1027500;1027500;1027500;
TQBR;2018-11-06;АЛРОСА-Нюр;ALNU;31;2977500;86000;84000;90000;85000;85000;85000;35;85000;85000;85000;2977500;2977500;2977500;
TQBR;2018-11-07;АЛРОСА-Нюр;ALNU;9;765500;85000;83500;86000;85000;85000;85000;9;85000;85000;85000;3743000;850500;3743000;
