history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;АшинскийМЗ;AMEZ;62;307773;4.87;4.86;4.96;4.86;4.9;4.86;62800;;4.89;4.86;0;507202;0;
TQBR;2018-10-02;АшинскийМЗ;AMEZ;128;340340;4.89;4.74;4.9;4.8;4.79;4.8;71100;;4.82;4.8;0;503228;0;
TQBR;2018-10-03;АшинскийМЗ;AMEZ;263;821161;4.77;4.52;4.81;4.7;4.66;4.7;176200;4.66;4.66;4.7;821161;821161;821161;
TQBR;2018-10-04;АшинскийМЗ;AMEZ;126;390651;4.69;4.53;4.69;4.64;4.65;4.64;84100;;4.66;4.64;0;509969;0;
TQBR;2018-10-05;АшинскийМЗ;AMEZ;50;162484;4.65;4.6;4.68;4.62;4.62;4.62;35200;;4.64;4.62;0;501818;0;
TQBR;2018-10-08;АшинскийМЗ;AMEZ;154;681381;4.63;4.55;4.74;4.7;4.62;4.7;147600;4.62;4.62;4.7;681381;681381;681381;
TQBR;2018-10-09;АшинскийМЗ;AMEZ;22;33218;4.7;4.65;4.73;4.68;4.68;4.67;7100;;4.62;4.68;0;614629;0;
TQBR;2018-10-10;АшинскийМЗ;AMEZ;51;251210;4.65;4.59;4.69;4.69;4.64;4.69;54100;;4.65;4.69;0;536163;0;
TQBR;2018-10-11;АшинскийМЗ;AMEZ;125;716164;4.64;4.49;4.64;4.61;4.58;4.61;156400;4.58;4.58;4.61;716164;716164;716164;
TQBR;2018-10-12;АшинскийМЗ;AMEZ;137;164157;4.52;4.52;4.83;4.75;4.69;4.75;35000;;4.61;4.75;0;500008;0;
TQBR;2018-10-15;АшинскийМЗ;AMEZ;106;454859;4.74;4.67;4.97;4.7;4.77;4.7;95400;;4.77;4.7;0;500245;0;
TQBR;2018-10-16;АшинскийМЗ;AMEZ;225;278624;4.68;4.63;4.86;4.65;4.68;4.65;59500;;4.69;4.65;0;501825;0;
TQBR;2018-10-17;АшинскийМЗ;AMEZ;170;987223;4.66;4.49;4.68;4.5;4.57;4.5;216100;4.57;4.57;4.5;987223;987223;987223;
TQBR;2018-10-18;АшинскийМЗ;AMEZ;163;309220;4.53;4.51;4.67;4.58;4.59;4.57;67400;;4.55;4.58;0;507656;0;
TQBR;2018-10-19;АшинскийМЗ;AMEZ;44;50615;4.64;4.59;4.69;4.63;4.64;4.63;10900;;4.57;4.63;0;508771;0;
TQBR;2018-10-22;АшинскийМЗ;AMEZ;78;204548;4.61;4.52;4.66;4.57;4.55;4.57;45000;;4.58;4.57;0;500305;0;
TQBR;2018-10-23;АшинскийМЗ;AMEZ;73;86046;4.58;4.48;4.59;4.49;4.53;4.52;19000;;4.57;4.49;0;503427;0;
TQBR;2018-10-24;АшинскийМЗ;AMEZ;58;91147;4.52;4.48;4.6;4.49;4.53;4.49;20100;;4.56;4.49;0;503044;0;
TQBR;2018-10-25;АшинскийМЗ;AMEZ;70;214908;4.47;4.38;4.51;4.39;4.42;4.39;48600;;4.49;4.39;0;500285;0;
TQBR;2018-10-26;АшинскийМЗ;AMEZ;228;818281;4.42;4.24;4.54;4.41;4.35;4.41;188100;4.35;4.35;4.41;818281;818281;818281;
TQBR;2018-10-29;АшинскийМЗ;AMEZ;108;350453;4.33;4.25;4.5;4.4;4.4;4.44;79700;;4.39;4.4;0;512369;0;
TQBR;2018-10-30;АшинскийМЗ;AMEZ;56;126542;4.37;4.29;4.47;4.44;4.38;4.45;28900;;4.39;4.44;0;504154;0;
TQBR;2018-10-31;АшинскийМЗ;AMEZ;30;72489;4.48;4.41;4.48;4.48;4.45;4.48;16300;;4.41;4.48;0;500101;0;
TQBR;2018-11-01;АшинскийМЗ;AMEZ;69;210290.4;4.476;4.33;4.478;4.384;4.354;4.384;48300;;4.386;4.384;0;518540.4;0;
TQBR;2018-11-02;АшинскийМЗ;AMEZ;41;106315.4;4.378;4.356;4.448;4.4;4.394;4.4;24200;;4.38;4.4;0;502428.8;0;
TQBR;2018-11-06;АшинскийМЗ;AMEZ;37;171973.6;4.394;4.35;4.5;4.5;4.49;4.5;38300;;4.41;4.5;0;500088.4;0;
TQBR;2018-11-07;АшинскийМЗ;AMEZ;45;370837;4.444;4.436;4.502;4.494;4.484;4.494;82700;;4.488;4.494;0;507100.8;0;
TQBR;2018-11-08;АшинскийМЗ;AMEZ;46;84368.6;4.434;4.4;4.482;4.474;4.44;4.474;19000;;4.48;4.474;0;527647.2;0;
TQBR;2018-11-09;АшинскийМЗ;AMEZ;79;355317.4;4.476;4.434;4.55;4.448;4.492;4.448;79100;;4.476;4.448;0;501831.4;0;
TQBR;2018-11-12;АшинскийМЗ;AMEZ;27;49422.8;4.5;4.418;4.5;4.494;4.454;4.494;11100;;4.478;4.494;0;501091.8;0;
TQBR;2018-11-13;АшинскийМЗ;AMEZ;31;51576.8;4.494;4.45;4.5;4.494;4.486;4.45;11500;;4.484;4.494;0;501314.8;0;
TQBR;2018-11-14;АшинскийМЗ;AMEZ;99;303701.4;4.444;3.8;4.476;4.386;4.26;4.394;71300;;4.348;4.386;0;534482.2;0;
TQBR;2018-11-15;АшинскийМЗ;AMEZ;126;402094.4;4.396;4.334;4.5;4.394;4.41;4.394;91200;;4.4;4.394;0;502055;0;
TQBR;2018-11-16;АшинскийМЗ;AMEZ;71;98867.2;4.43;4.31;4.43;4.394;4.356;4.394;22700;;4.398;4.394;0;500082.4;0;
TQBR;2018-11-19;АшинскийМЗ;AMEZ;320;273115.8;4.394;4.352;4.496;4.45;4.434;4.45;61600;;4.402;4.45;0;522519.2;0;
TQBR;2018-11-20;АшинскийМЗ;AMEZ;131;130171.6;4.468;4.356;4.496;4.428;4.444;4.448;29300;;4.42;4.428;0;501711.6;0;
TQBR;2018-11-21;АшинскийМЗ;AMEZ;153;202728.4;4.448;4.306;4.448;4.322;4.35;4.322;46600;;4.408;4.322;0;500233.4;0;
TQBR;2018-11-22;АшинскийМЗ;AMEZ;142;441963;4.386;4.226;4.446;4.276;4.32;4.276;102300;;4.32;4.276;0;506387;0;
