,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,Аптеки36и6,APTK,260,731054.6,5.15,5.13,5.23,5.15,5.17,5.15,141460,5.17,5.17,5.15,731054.6,731054.6,731054.6,
1,TQBR,2018-10-02,Аптеки36и6,APTK,209,935984.8,5.18,5.13,5.19,5.18,5.16,5.18,181470,5.16,5.16,5.18,935984.8,935984.8,935984.8,
2,TQBR,2018-10-03,Аптеки36и6,APTK,1727,6594436.1,5.2,5.16,5.49,5.44,5.35,5.44,1233330,5.35,5.35,5.44,6594436.1,6594436.1,6594436.1,
3,TQBR,2018-10-04,Аптеки36и6,APTK,953,3791695.5,5.4,5.25,5.57,5.34,5.44,5.34,697470,5.44,5.44,5.34,3791695.5,3791695.5,3791695.5,
4,TQBR,2018-10-05,Аптеки36и6,APTK,742,2643580.6,5.36,4.94,5.43,5.19,5.17,5.19,510930,5.17,5.17,5.19,2643580.6,2643580.6,2643580.6,
5,TQBR,2018-10-08,Аптеки36и6,APTK,711,1719816.9,5.18,5.0,5.28,5.14,5.1,5.14,337040,5.1,5.1,5.14,1719816.9,1719816.9,1719816.9,
6,TQBR,2018-10-09,Аптеки36и6,APTK,342,1090363.7,5.11,5.05,5.17,5.06,5.11,5.1,213430,5.11,5.11,5.06,1090363.7,1090363.7,1090363.7,
7,TQBR,2018-10-10,Аптеки36и6,APTK,190,545076.2,5.06,5.06,5.13,5.07,5.09,5.07,107190,5.09,5.09,5.07,545076.2,545076.2,545076.2,
8,TQBR,2018-10-11,Аптеки36и6,APTK,566,1764469.0,5.05,4.92,5.09,4.99,4.98,4.99,354020,4.98,4.98,4.99,1764469.0,1764469.0,1764469.0,
9,TQBR,2018-10-12,Аптеки36и6,APTK,207,533090.4,4.99,4.96,5.04,5.02,5.0,5.02,106550,5.0,5.0,5.02,533090.4,533090.4,533090.4,
