,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,Башнефт ап,BANEP,1203,54676324.5,1880.0,1871.0,1901.5,1882.0,1888.5,1882.0,28953,1888.5,1888.5,1882.0,54676324.5,54676324.5,54676324.5,
1,TQBR,2018-10-02,Башнефт ап,BANEP,2567,96015966.5,1884.0,1870.5,1902.5,1895.0,1890.0,1895.0,50803,1890.0,1890.0,1895.0,96015966.5,96015966.5,96015966.5,
2,TQBR,2018-10-03,Башнефт ап,BANEP,3940,104404142.5,1895.0,1877.5,1925.0,1921.0,1904.5,1921.0,54818,1904.5,1904.5,1921.0,104404142.5,104404142.5,104404142.5,
3,TQBR,2018-10-04,Башнефт ап,BANEP,3389,169215393.5,1921.0,1850.0,1952.5,1875.0,1890.0,1875.0,89387,1893.0,1893.0,1875.0,169215393.5,169215393.5,169215393.5,
4,TQBR,2018-10-05,Башнефт ап,BANEP,1547,92430076.0,1880.0,1851.5,1884.5,1862.0,1855.0,1862.0,49669,1861.0,1861.0,1862.0,92430076.0,92430076.0,92430076.0,
5,TQBR,2018-10-08,Башнефт ап,BANEP,2153,64427739.0,1856.0,1855.0,1878.0,1856.0,1863.5,1856.0,34576,1863.5,1863.5,1856.0,64427739.0,64427739.0,64427739.0,
6,TQBR,2018-10-09,Башнефт ап,BANEP,1771,43202598.0,1867.0,1858.0,1874.0,1859.5,1867.5,1859.5,23136,1867.5,1867.5,1859.5,43202598.0,43202598.0,43202598.0,
7,TQBR,2018-10-10,Башнефт ап,BANEP,1902,75167712.5,1878.0,1836.0,1881.0,1836.0,1849.5,1836.0,40645,1849.5,1849.5,1836.0,75167712.5,75167712.5,75167712.5,
8,TQBR,2018-10-11,Башнефт ап,BANEP,4779,318494577.0,1829.0,1750.0,1829.0,1750.0,1796.0,1750.0,177285,1796.5,1796.5,1750.0,318494577.0,318494577.0,318494577.0,
9,TQBR,2018-10-12,Башнефт ап,BANEP,2130,100199567.5,1768.0,1768.0,1820.0,1813.5,1804.0,1813.5,55537,1804.0,1804.0,1813.5,100199567.5,100199567.5,100199567.5,
10,TQBR,2018-10-15,Башнефт ап,BANEP,1567,66094861.5,1815.5,1786.5,1826.0,1810.0,1805.0,1810.0,36618,1805.0,1805.0,1810.0,66094861.5,66094861.5,66094861.5,
11,TQBR,2018-10-16,Башнефт ап,BANEP,997,35778767.5,1810.0,1805.0,1830.0,1815.0,1820.0,1815.0,19658,1820.0,1820.0,1815.0,35778767.5,35778767.5,35778767.5,
12,TQBR,2018-10-17,Башнефт ап,BANEP,1305,64206693.0,1821.5,1821.5,1852.0,1837.5,1839.5,1837.5,34901,1839.5,1839.5,1837.5,64206693.0,64206693.0,64206693.0,
13,TQBR,2018-10-18,Башнефт ап,BANEP,1368,45937680.5,1839.5,1832.0,1846.0,1844.0,1840.0,1844.0,24967,1840.0,1840.0,1844.0,45937680.5,45937680.5,45937680.5,
14,TQBR,2018-10-19,Башнефт ап,BANEP,1029,96746653.0,1837.5,1830.0,1848.0,1840.0,1837.0,1840.0,52663,1837.0,1837.0,1840.0,96746653.0,96746653.0,96746653.0,
15,TQBR,2018-10-22,Башнефт ап,BANEP,1260,87531260.0,1840.0,1825.0,1849.5,1844.0,1837.0,1844.0,47650,1837.0,1837.0,1844.0,87531260.0,87531260.0,87531260.0,
16,TQBR,2018-10-23,Башнефт ап,BANEP,3048,126061443.5,1837.0,1800.0,1837.0,1815.5,1817.5,1815.5,69360,1817.5,1817.5,1815.5,126061443.5,126061443.5,126061443.5,
17,TQBR,2018-10-24,Башнефт ап,BANEP,1979,67683490.0,1815.0,1787.0,1850.0,1840.0,1834.5,1840.0,36918,1833.5,1833.5,1840.0,67683490.0,67683490.0,67683490.0,
18,TQBR,2018-10-25,Башнефт ап,BANEP,1180,60511835.5,1810.5,1781.5,1837.0,1832.5,1826.0,1832.5,33139,1826.0,1826.0,1832.5,60511835.5,60511835.5,60511835.5,
19,TQBR,2018-10-26,Башнефт ап,BANEP,1353,53337762.5,1840.0,1810.0,1840.0,1816.5,1818.5,1816.5,29329,1818.5,1818.5,1816.5,53337762.5,53337762.5,53337762.5,
20,TQBR,2018-10-29,Башнефт ап,BANEP,3595,67788786.5,1820.0,1799.0,1828.0,1825.0,1817.5,1825.0,37297,1817.5,1817.5,1825.0,67788786.5,67788786.5,67788786.5,
21,TQBR,2018-10-30,Башнефт ап,BANEP,6430,78415155.5,1839.5,1811.5,1839.5,1825.0,1827.5,1825.0,42903,1827.5,1827.5,1825.0,78415155.5,78415155.5,78415155.5,
