history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;Белон ао;BLNG;40;67783;2.76;2.73;2.79;2.79;2.77;2.79;24500;;2.74;2.79;0;500465;0;
TQBR;2018-10-02;Белон ао;BLNG;47;109759;2.79;2.72;2.79;2.77;2.76;2.77;39700;;2.75;2.77;0;505118;0;
TQBR;2018-10-03;Белон ао;BLNG;59;267471;2.78;2.72;2.82;2.78;2.78;2.78;96200;;2.77;2.78;0;500505;0;
TQBR;2018-10-04;Белон ао;BLNG;51;175664;2.8;2.72;2.8;2.75;2.74;2.76;64200;;2.76;2.75;0;500780;0;
TQBR;2018-10-05;Белон ао;BLNG;27;57856;2.78;2.73;2.78;2.76;2.74;2.76;21100;;2.76;2.76;0;500435;0;
TQBR;2018-10-08;Белон ао;BLNG;35;117608;2.78;2.73;2.78;2.75;2.74;2.77;42900;;2.75;2.75;0;506027;0;
TQBR;2018-10-09;Белон ао;BLNG;60;554310;2.79;2.7;2.79;2.71;2.71;2.72;204800;2.71;2.71;2.71;554310;554310;554310;
TQBR;2018-10-10;Белон ао;BLNG;35;47252;2.76;2.72;2.76;2.74;2.73;2.74;17300;;2.71;2.74;0;534576;0;
TQBR;2018-10-11;Белон ао;BLNG;47;122209;2.76;2.66;2.77;2.72;2.69;2.72;45400;;2.7;2.72;0;500080;0;
TQBR;2018-10-12;Белон ао;BLNG;22;16315;2.72;2.71;2.74;2.73;2.72;2.73;6000;;2.71;2.73;0;515311;0;
TQBR;2018-10-15;Белон ао;BLNG;25;70918;2.74;2.71;2.74;2.73;2.73;2.73;26000;;2.71;2.73;0;516319;0;
TQBR;2018-10-16;Белон ао;BLNG;35;77086;2.73;2.71;2.75;2.74;2.73;2.74;28200;;2.71;2.74;0;593405;0;
TQBR;2018-10-17;Белон ао;BLNG;78;186044;2.75;2.68;2.76;2.73;2.7;2.73;68800;;2.71;2.73;0;503436;0;
TQBR;2018-10-18;Белон ао;BLNG;131;827738;2.7;2.64;2.73;2.69;2.66;2.69;311300;2.66;2.66;2.69;827738;827738;827738;
TQBR;2018-10-19;Белон ао;BLNG;26;47326;2.69;2.67;2.7;2.68;2.69;2.7;17600;;2.66;2.68;0;505538;0;
TQBR;2018-10-22;Белон ао;BLNG;72;361662;2.71;2.62;2.71;2.68;2.65;2.68;136400;;2.66;2.68;0;500989;0;
TQBR;2018-10-23;Белон ао;BLNG;101;394889;2.64;2.59;2.67;2.63;2.62;2.64;150800;;2.63;2.63;0;500597;0;
TQBR;2018-10-24;Белон ао;BLNG;42;140672;2.65;2.62;2.69;2.68;2.65;2.68;53000;;2.63;2.68;0;512035;0;
TQBR;2018-10-25;Белон ао;BLNG;29;59027;2.69;2.65;2.73;2.67;2.67;2.67;22100;;2.63;2.67;0;516877;0;
TQBR;2018-10-26;Белон ао;BLNG;32;74380;2.68;2.64;2.71;2.68;2.69;2.7;27700;;2.64;2.68;0;524478;0;
TQBR;2018-10-29;Белон ао;BLNG;23;23599;2.66;2.66;2.7;2.68;2.68;2.67;8800;;2.64;2.68;0;548077;0;
TQBR;2018-10-30;Белон ао;BLNG;28;79671;2.71;2.65;2.73;2.68;2.72;2.69;29900;;2.65;2.68;0;506511;0;
TQBR;2018-10-31;Белон ао;BLNG;49;225859;2.65;2.64;2.7;2.67;2.65;2.67;85300;;2.66;2.67;0;537083;0;
TQBR;2018-11-01;Белон ао;BLNG;25;382935;2.69;2.645;2.69;2.67;2.645;2.67;144700;;2.65;2.67;0;502046;0;
TQBR;2018-11-02;Белон ао;BLNG;31;28510.5;2.69;2.645;2.69;2.68;2.665;2.68;10700;;2.65;2.68;0;504054.5;0;
TQBR;2018-11-06;Белон ао;BLNG;29;78335.5;2.685;2.655;2.69;2.67;2.67;2.67;29300;;2.65;2.67;0;518700;0;
TQBR;2018-11-07;Белон ао;BLNG;55;264886.5;2.68;2.65;2.7;2.69;2.685;2.695;98700;;2.665;2.69;0;721494;0;
TQBR;2018-11-08;Белон ао;BLNG;44;176030.5;2.69;2.65;2.72;2.67;2.685;2.705;65500;;2.685;2.67;0;508304;0;
TQBR;2018-11-09;Белон ао;BLNG;26;81777;2.715;2.66;2.715;2.7;2.69;2.7;30400;;2.685;2.7;0;502985;0;
TQBR;2018-11-12;Белон ао;BLNG;35;95591.5;2.705;2.665;2.715;2.7;2.695;2.7;35500;;2.69;2.7;0;526619.5;0;
TQBR;2018-11-13;Белон ао;BLNG;84;529842;2.73;2.6;2.73;2.675;2.63;2.675;201400;2.63;2.63;2.675;529842;529842;529842;
TQBR;2018-11-14;Белон ао;BLNG;98;615555;2.675;2.595;2.675;2.635;2.61;2.65;236000;2.61;2.61;2.635;615555;615555;615555;
TQBR;2018-11-15;Белон ао;BLNG;128;959151.5;2.66;2.62;2.73;2.7;2.695;2.715;355600;2.695;2.695;2.7;959151.5;959151.5;959151.5;
TQBR;2018-11-16;Белон ао;BLNG;184;878378;2.73;2.685;2.82;2.73;2.755;2.75;318800;2.755;2.755;2.73;878378;878378;878378;
TQBR;2018-11-19;Белон ао;BLNG;159;538773;2.78;2.67;2.855;2.705;2.725;2.705;197700;2.725;2.725;2.705;538773;538773;538773;
TQBR;2018-11-20;Белон ао;BLNG;51;98107;2.735;2.665;2.735;2.665;2.68;2.695;36600;;2.7;2.665;0;510450;0;
TQBR;2018-11-21;Белон ао;BLNG;43;52981;2.73;2.66;2.74;2.675;2.69;2.7;19700;;2.7;2.675;0;505716;0;
TQBR;2018-11-22;Белон ао;BLNG;50;29460.5;2.705;2.66;2.725;2.68;2.68;2.71;11000;;2.695;2.68;0;535176.5;0;
TQBR;2018-11-23;Белон ао;BLNG;84;143267.5;2.705;2.66;2.73;2.71;2.695;2.73;53200;;2.69;2.71;0;504607;0;
TQBR;2018-11-26;Белон ао;BLNG;79;181588.5;2.68;2.67;2.725;2.695;2.69;2.695;67500;;2.69;2.695;0;500563.5;0;
TQBR;2018-11-27;Белон ао;BLNG;37;81324;2.715;2.685;2.725;2.715;2.71;2.725;30000;;2.69;2.715;0;520652.5;0;
TQBR;2018-11-28;Белон ао;BLNG;70;151095;2.73;2.705;2.75;2.735;2.725;2.745;55400;;2.705;2.735;0;507460.5;0;
TQBR;2018-11-29;Белон ао;BLNG;58;166581.5;2.75;2.71;2.82;2.74;2.725;2.745;61100;;2.715;2.74;0;501364.5;0;
TQBR;2018-11-30;Белон ао;BLNG;33;70135;2.8;2.715;2.8;2.735;2.73;2.735;25700;;2.72;2.735;0;514711;0;
TQBR;2018-12-03;Белон ао;BLNG;71;79142;2.795;2.72;2.795;2.735;2.74;2.735;28900;;2.73;2.735;0;500346.5;0;
TQBR;2018-12-04;Белон ао;BLNG;62;73178.5;2.795;2.715;2.795;2.725;2.73;2.73;26800;;2.73;2.725;0;508279.5;0;
TQBR;2018-12-05;Белон ао;BLNG;33;37010.5;2.74;2.71;2.74;2.735;2.72;2.735;13600;;2.73;2.735;0;501779.5;0;
TQBR;2018-12-06;Белон ао;BLNG;69;128158;2.745;2.72;2.75;2.74;2.74;2.75;46800;;2.73;2.74;0;515807.5;0;
TQBR;2018-12-07;Белон ао;BLNG;180;867696.5;2.75;2.705;2.835;2.725;2.76;2.735;314600;2.76;2.76;2.725;867696.5;867696.5;867696.5;
TQBR;2018-12-10;Белон ао;BLNG;78;96205;2.75;2.705;2.79;2.725;2.725;2.735;35300;;2.725;2.725;0;500786;0;
TQBR;2018-12-11;Белон ао;BLNG;39;35142;2.71;2.71;2.76;2.72;2.725;2.72;12900;;2.72;2.72;0;501463;0;
TQBR;2018-12-12;Белон ао;BLNG;40;92180.5;2.745;2.72;2.75;2.73;2.725;2.73;33800;;2.725;2.73;0;503273;0;
TQBR;2018-12-13;Белон ао;BLNG;64;170906;2.73;2.715;2.795;2.73;2.735;2.73;62500;;2.73;2.73;0;520686.5;0;
TQBR;2018-12-14;Белон ао;BLNG;39;39595;2.74;2.71;2.745;2.74;2.73;2.745;14500;;2.73;2.74;0;501045.5;0;
TQBR;2018-12-17;Белон ао;BLNG;59;126691.5;2.745;2.72;2.79;2.73;2.75;2.75;46100;;2.735;2.73;0;502608.5;0;
TQBR;2018-12-18;Белон ао;BLNG;62;237648;2.74;2.71;2.75;2.73;2.715;2.73;87500;;2.73;2.73;0;507382.5;0;
TQBR;2018-12-19;Белон ао;BLNG;86;260890.5;2.72;2.7;2.745;2.735;2.72;2.735;95900;;2.72;2.735;0;500178.5;0;
TQBR;2018-12-20;Белон ао;BLNG;53;140515;2.71;2.71;2.75;2.71;2.725;2.735;51600;;2.72;2.71;0;551052;0;
TQBR;2018-12-21;Белон ао;BLNG;41;79438.5;2.72;2.72;2.745;2.72;2.73;2.72;29100;;2.725;2.72;0;510494.5;0;


