,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,БурЗолото,BRZL,26,235550,880,880,900,880,880,880,267,,885,880,0,501340,0,
1,TQBR,2018-10-02,БурЗолото,BRZL,26,546640,890,880,890,885,880,885,621,880.0,880,885,546640,546640,546640,
2,TQBR,2018-10-03,БурЗолото,BRZL,23,211940,880,880,900,895,885,900,240,,880,895,0,534050,0,
3,TQBR,2018-10-04,БурЗолото,BRZL,38,162200,900,895,915,900,905,895,179,,890,900,0,515825,0,
4,TQBR,2018-10-05,БурЗолото,BRZL,18,74120,900,900,915,900,905,900,82,,895,900,0,501945,0,
5,TQBR,2018-10-08,БурЗолото,BRZL,52,733275,910,885,925,900,900,900,816,900.0,900,900,733275,733275,733275,
6,TQBR,2018-10-09,БурЗолото,BRZL,19,87910,915,900,920,920,905,920,97,,900,920,0,509455,0,
7,TQBR,2018-10-10,БурЗолото,BRZL,102,443990,915,915,970,940,950,950,467,,945,940,0,530080,0,
8,TQBR,2018-10-11,БурЗолото,BRZL,73,468500,930,905,950,950,925,950,507,,930,950,0,538225,0,
9,TQBR,2018-10-12,БурЗолото,BRZL,33,66540,955,925,955,935,935,935,71,,925,935,0,501685,0,
10,TQBR,2018-10-15,БурЗолото,BRZL,104,545870,955,935,980,950,970,950,564,970.0,970,950,545870,545870,545870,
11,TQBR,2018-10-16,БурЗолото,BRZL,23,79260,945,945,960,960,955,960,83,,965,960,0,506945,0,
12,TQBR,2018-10-17,БурЗолото,BRZL,49,181140,950,930,985,935,950,940,191,,960,935,0,523790,0,
13,TQBR,2018-10-18,БурЗолото,BRZL,83,506220,945,910,955,925,935,925,542,935.0,935,925,506220,506220,506220,
14,TQBR,2018-10-19,БурЗолото,BRZL,132,828430,925,860,925,880,880,890,939,880.0,880,880,828430,828430,828430,
15,TQBR,2018-10-22,БурЗолото,BRZL,54,350985,885,850,885,860,860,860,408,,865,860,0,501430,0,
