history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;OPEN;LOW;HIGH;LEGALCLOSEPRICE;WAPRICE;CLOSE;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;WAVAL
TQBR;2018-10-01;СевСт-ао;CHMF;3818;444603790;1092.5;1078.9;1094.1;1083.4;1086.6;1083.4;409150;1086.7;1086.7;1083.4;444603790;444603790;444603790;
TQBR;2018-10-02;СевСт-ао;CHMF;3518;359177547;1085.3;1071.9;1087.5;1078.7;1079.4;1078.7;332790;1079.3;1079.3;1078.7;359177547;359177547;359177547;
TQBR;2018-10-03;СевСт-ао;CHMF;5334;654434496;1081.1;1079.2;1100;1099.6;1095.5;1099.6;597440;1095.4;1095.4;1099.6;654434496;654434496;654434496;
TQBR;2018-10-04;СевСт-ао;CHMF;6087;687929062;1091.1;1090.2;1118.6;1109.1;1107.8;1109.1;621230;1107.4;1107.4;1109.1;687929062;687929062;687929062;
TQBR;2018-10-05;СевСт-ао;CHMF;4844;589528494;1110;1094.2;1116;1094.2;1106.4;1094.2;532830;1106.4;1106.4;1094.2;589528494;589528494;589528494;
TQBR;2018-10-08;СевСт-ао;CHMF;4578;536931585;1095.9;1088.1;1104.7;1089.9;1095.2;1089.9;490200;1095.3;1095.3;1089.9;536931585;536931585;536931585;
TQBR;2018-10-09;СевСт-ао;CHMF;3836;481775253;1091.9;1087.3;1112.1;1103.2;1096.9;1103.2;439160;1097;1097;1103.2;481775253;481775253;481775253;
TQBR;2018-10-10;СевСт-ао;CHMF;4173;745984173;1110.7;1087;1114.3;1092.8;1094.4;1092.8;681610;1094.4;1094.4;1092.8;745984173;745984173;745984173;
TQBR;2018-10-11;СевСт-ао;CHMF;11258;1311398077;1080.6;1054.2;1083.7;1065;1068.3;1065;1226680;1069.1;1069.1;1065;1311398077;1311398077;1311398077;
TQBR;2018-10-12;СевСт-ао;CHMF;6840;658796441;1066.6;1050.2;1078.9;1057;1058.4;1057;622240;1058.7;1058.7;1057;658796441;658796441;658796441;
TQBR;2018-10-15;СевСт-ао;CHMF;7374;744104131;1057;1030;1064.1;1030;1042.6;1030;713720;1042.6;1042.6;1030;744104131;744104131;744104131;
TQBR;2018-10-16;СевСт-ао;CHMF;5919;639873386;1023.4;1022.1;1046.9;1044;1035.6;1044;617880;1035.6;1035.6;1044;639873386;639873386;639873386;
TQBR;2018-10-17;СевСт-ао;CHMF;6199;679368439;1050;1049.5;1078.7;1073;1068.7;1073;635700;1068.7;1068.7;1073;679368439;679368439;679368439;
TQBR;2018-10-18;СевСт-ао;CHMF;6270;652690841;1068.1;1045.7;1078;1054.8;1057.8;1054.8;617020;1057.8;1057.8;1054.8;652690841;652690841;652690841;
TQBR;2018-10-19;СевСт-ао;CHMF;5922;626783350;1060;1049.3;1070.1;1049.3;1056.8;1049.3;593120;1056.8;1056.8;1049.3;626783350;626783350;626783350;
TQBR;2018-10-22;СевСт-ао;CHMF;4617;488405463;1052.6;1045;1060.6;1054.5;1051.6;1054.5;464480;1051.5;1051.5;1054.5;488405463;488405463;488405463;
TQBR;2018-10-23;СевСт-ао;CHMF;10613;1301368503;1048.4;1014.3;1050.6;1018.9;1024.7;1018.9;1269960;1024.7;1024.7;1018.9;1301368503;1301368503;1301368503;
TQBR;2018-10-24;СевСт-ао;CHMF;8177;1071053561;1028.7;1009;1036.6;1009.1;1023.1;1009.1;1046860;1023.1;1023.1;1009.1;1071053561;1071053561;1071053561;
TQBR;2018-10-25;СевСт-ао;CHMF;6996;750136920;1002;994.2;1016.6;1015.5;1007;1015.5;744900;1007;1007;1015.5;750136920;750136920;750136920;
TQBR;2018-10-26;СевСт-ао;CHMF;6450;624920034;1007.5;987.5;1012.2;994.5;996.2;994.5;627330;996.2;996.2;994.5;624920034;624920034;624920034;
TQBR;2018-10-29;СевСт-ао;CHMF;4819;525867436;994.5;988;1005.1;1001.4;995;1001.4;528500;995;995;1001.4;525867436;525867436;525867436;
TQBR;2018-10-30;СевСт-ао;CHMF;4178;371018320;999;986.5;1000.5;996.8;993.9;996.8;373310;993.9;993.9;996.8;371018320;371018320;371018320;
TQBR;2018-10-31;СевСт-ао;CHMF;6842;779299276;1000;999.4;1030;1030;1016.6;1030;766600;1016.6;1016.6;1030;779299276;779299276;779299276;
TQBR;2018-11-01;СевСт-ао;CHMF;5286;494489371;1027.5;1012.7;1028.4;1026;1020.4;1026;484600;1020.4;1020.4;1026;494489371;494489371;494489371;
TQBR;2018-11-02;СевСт-ао;CHMF;7413;995646340;1028.5;1026.2;1045.5;1040.5;1037.8;1040.5;959390;1037.8;1037.8;1040.5;995646340;995646340;995646340;
TQBR;2018-11-06;СевСт-ао;CHMF;6029;700354910;1040.6;1026.4;1054;1032.6;1038.2;1032.6;674570;1038.2;1038.2;1032.6;700354910;700354910;700354910;
TQBR;2018-11-07;СевСт-ао;CHMF;5220;577934122;1030;1027.5;1050.2;1042.6;1039.5;1042.6;556000;1039.4;1039.4;1042.6;577934122;577934122;577934122;
TQBR;2018-11-08;СевСт-ао;CHMF;5260;601134380;1046.3;1021;1046.4;1025.6;1031.3;1025.6;582910;1031.3;1031.3;1025.6;601134380;601134380;601134380;
TQBR;2018-11-09;СевСт-ао;CHMF;5807;716415256;1016.7;1015.5;1039.3;1039.3;1030;1039.3;695540;1030;1030;1039.3;716415256;716415256;716415256;
TQBR;2018-11-12;СевСт-ао;CHMF;4193;568040026;1039;1029.8;1046;1033.5;1036.7;1033.5;548070;1036.4;1036.4;1033.5;568040026;568040026;568040026;
TQBR;2018-11-13;СевСт-ао;CHMF;4795;577675578;1027;1025.1;1041.3;1037;1035.9;1037;557650;1035.9;1035.9;1037;577675578;577675578;577675578;
TQBR;2018-11-14;СевСт-ао;CHMF;5744;543458746;1037;1024.1;1043;1024.9;1031.8;1024.9;526720;1031.8;1031.8;1024.9;543458746;543458746;543458746;
TQBR;2018-11-15;СевСт-ао;CHMF;6202;650428285;1029.6;1023;1037.4;1023.5;1030;1023.5;631480;1030;1030;1023.5;650428285;650428285;650428285;
TQBR;2018-11-16;СевСт-ао;CHMF;4995;499845273;1027;1021.5;1033.9;1024.1;1025.2;1024.1;487380;1025.6;1025.6;1024.1;499845273;499845273;499845273;
TQBR;2018-11-19;СевСт-ао;CHMF;8063;914862348;1024.1;1007;1030.4;1010;1017.6;1010;899090;1017.5;1017.5;1010;914862348;914862348;914862348;
TQBR;2018-11-20;СевСт-ао;CHMF;7613;701030689;1009;999.4;1010.9;1005;1003.6;1005;698500;1003.6;1003.6;1005;701030689;701030689;701030689;
TQBR;2018-11-21;СевСт-ао;CHMF;6229;647405358;1005;1001;1017;1015.8;1007.9;1015.8;642330;1007.9;1007.9;1015.8;647405358;647405358;647405358;
TQBR;2018-11-22;СевСт-ао;CHMF;5374;743487841;1014;1004.4;1014;1006.6;1008;1006.6;737620;1008;1008;1006.6;743487841;743487841;743487841;
TQBR;2018-11-23;СевСт-ао;CHMF;6212;639251884;1006.6;1002;1010.9;1002;1004.6;1002;636320;1004.6;1004.6;1002;639251884;639251884;639251884;
TQBR;2018-11-26;СевСт-ао;CHMF;10038;858689939;1004.2;991.6;1008.8;998;999.3;998;859290;999.3;999.3;998;858689939;858689939;858689939;
TQBR;2018-11-27;СевСт-ао;CHMF;11582;1245812046;999.5;986.4;1008.4;986.4;996.1;986.4;1251110;995.8;995.8;986.4;1245812046;1245812046;1245812046;
TQBR;2018-11-28;СевСт-ао;CHMF;7834;875476664;987.9;985.5;998.2;997.1;992.9;997.1;881740;992.9;992.9;997.1;875476664;875476664;875476664;
TQBR;2018-11-29;СевСт-ао;CHMF;8347;884186173;1000;996.1;1008;1003;1003.3;1003;881300;1003.3;1003.3;1003;884186173;884186173;884186173;
TQBR;2018-11-30;СевСт-ао;CHMF;11345;1719794350;1006.5;991.2;1006.5;1002.7;999.2;1002.7;1721330;999.1;999.1;1002.7;1719794350;1719794350;1719794350;
TQBR;2018-12-03;СевСт-ао;CHMF;13973;1449760763;974.5;967.5;988.4;978;978;978;1479230;980.1;980.1;978;1449760763;1449760763;1449760763;
TQBR;2018-12-04;СевСт-ао;CHMF;11982;1244752055;981;959;981;964.3;968.7;964.3;1285240;968.5;968.5;964.3;1244752055;1244752055;1244752055;
TQBR;2018-12-05;СевСт-ао;CHMF;7947;655249172;963;960.1;974.8;960.6;966;960.6;678330;966;966;960.6;655249172;655249172;655249172;
TQBR;2018-12-06;СевСт-ао;CHMF;6455;609159294;960;950.3;961.3;952.5;954.6;952.5;638120;954.6;954.6;952.5;609159294;609159294;609159294;
TQBR;2018-12-07;СевСт-ао;CHMF;6377;559618699;958.5;948.7;966.3;955.1;956.9;955.1;584820;956.9;956.9;955.1;559618699;559618699;559618699;
TQBR;2018-12-10;СевСт-ао;CHMF;4288;356809150;950.5;947.7;959.9;947.7;954.2;947.7;373920;954.2;954.2;947.7;356809150;356809150;356809150;
TQBR;2018-12-11;СевСт-ао;CHMF;10085;783959091;949;931;952.8;940;939.3;940;834650;939.3;939.3;940;783959091;783959091;783959091;
TQBR;2018-12-12;СевСт-ао;CHMF;5252;523404996;940;926.7;941.6;937.9;933.1;937.9;560910;933.1;933.1;937.9;523404996;523404996;523404996;
TQBR;2018-12-13;СевСт-ао;CHMF;5143;443072873;937;925.6;941;940.4;933.1;940.4;474710;933.4;933.4;940.4;443072873;443072873;443072873;
TQBR;2018-12-14;СевСт-ао;CHMF;3884;399141922;939.9;926.5;939.9;936.2;932.5;936.2;428040;932.5;932.5;936.2;399141922;399141922;399141922;
TQBR;2018-12-17;СевСт-ао;CHMF;6121;685146317;935;931.4;958.8;957.9;952.3;957.9;719490;952.3;952.3;957.9;685146317;685146317;685146317;
TQBR;2018-12-18;СевСт-ао;CHMF;7013;713443319;950;948;964.5;957.3;957;957.3;745500;957;957;957.3;713443319;713443319;713443319;
